"Date","MKC","Price"
2004-06-18,51,34.35
2004-06-25,51,34.15
2004-07-02,51,34.22
2004-07-09,52,35.12
2004-07-16,52,35.72
2004-07-23,39,35.75
2004-07-30,39,35.77
2004-08-06,39,33.03
2004-08-13,39,32.25
2004-08-20,39,32.7
2004-08-27,39,33.48
2004-09-03,39,34.08
2004-09-10,40,34.4
2004-09-17,34,35.08
2004-09-24,36,33.72
2004-10-01,38,34.78
2004-10-08,41,34.34
2004-10-15,43,35.19
2004-10-22,45,35.01
2004-10-29,42,35.43
2004-11-05,42,37.41
2004-11-12,39,37.33
2004-11-19,39,36.3
2004-11-26,39,37.27
2004-12-03,43,36.98
2004-12-10,30,36.94
2004-12-17,29,38.61
2004-12-31,29,38.6
2005-01-07,29,38.06
2005-01-14,29,38.03
2005-01-21,31,38.83
2005-01-28,30,37.1
2005-02-04,36,37.85
2005-02-11,34,37.52
2005-02-18,30,37.82
2005-02-25,32,38
2005-03-04,33,38.25
2005-03-11,35,37.65
2005-03-18,37,36.75
2005-04-01,30,34.24
2005-04-08,26,34.74
2005-04-15,26,34.29
2005-04-22,31,34.67
2005-04-29,36,34.59
2005-05-06,26,34.1
2005-05-13,27,33.56
2005-05-20,27,34.74
2005-05-27,31,34.15
2005-06-03,31,33.43
2005-06-10,31,33
2005-06-17,31,33.55
2005-06-24,31,33.26
2005-07-01,31,32.75
2005-08-12,27,33.79
2005-08-19,25,34.3
2005-08-26,23,33.77
2005-09-02,23,33.53
2005-09-09,23,29.39
2005-09-16,23,31.06
2005-09-23,23,31.11
2005-09-30,30,32.63
2005-10-07,30,31.9
2005-10-14,28,30.81
2005-10-21,25,30.43
2005-10-28,25,30.11
2005-11-04,25,30.02
2005-11-11,24,30.8
2005-11-18,24,30.63
2005-11-25,21,31.2
2005-12-02,21,31.8
2005-12-09,37,30.14
2005-12-16,24,30.28
2005-12-23,28,30.57
2005-12-30,27,30.92
2006-01-06,31,31.6
2006-01-13,21,30.85
2006-01-20,36,30.49
2006-01-27,25,31.16
2006-02-03,27,30.61
2006-02-10,36,31.91
2006-02-17,17,32.9
2006-02-24,30,33.37
2006-03-03,33,32.85
2006-03-10,32,33.75
2006-03-17,37,34.37
2006-03-24,33,35.04
2006-03-31,21,33.86
2006-04-07,26,33.84
2006-04-21,25,34.31
2006-04-28,36,34.83
2006-05-05,31,35.02
2006-05-12,33,34.62
2006-05-19,29,35.02
2006-05-26,25,34.95
2006-06-02,25,34.14
2006-06-09,29,33.23
2006-06-16,30,32.97
2006-06-23,28,32.55
2006-06-30,18,33.55
2006-07-07,19,34.1
2006-07-14,30,34.25
2006-07-21,30,34.82
2006-07-28,22,34.83
2006-08-04,28,35.33
2006-08-11,27,35.65
2006-08-18,38,35.52
2006-08-25,17,35.7
2006-09-01,18,36.7
2006-09-08,24,36.64
2006-09-15,28,36.92
2006-09-22,32,36.65
2006-09-29,24,37.98
2006-10-06,21,37.32
2006-10-13,22,36.74
2006-10-20,27,37.01
2006-10-27,37,36.7
2006-11-03,16,36.9
2006-11-10,27,37.57
2006-11-17,27,38.67
2006-11-24,26,38.61
2006-12-01,26,38.85
2006-12-08,33,39.13
2006-12-15,15,39.41
2006-12-22,19,39.03
2006-12-29,24,38.56
2007-01-05,34,37.99
2007-01-12,36,37.98
2007-01-19,33,38.13
2007-01-26,24,38.5
2007-02-02,36,39.18
2007-02-09,23,39.03
2007-02-16,21,39.28
