"Date","buy.DFS","Price"
2008-09-05,57,16.42
2009-01-02,69,9.51
2009-01-09,55,8.71
2009-02-20,52,5.74
2009-02-27,53,5.73
2009-03-06,53,4.95
2009-03-13,54,6.23
2009-03-20,54,5.51
2009-03-27,55,6.8
2009-04-03,47,6.75
2009-08-07,46,12.76
2009-08-14,46,12.48
2009-08-21,46,13.51
2009-08-28,46,14.23
2009-09-04,46,13.55
2009-09-11,46,14.71
2009-09-18,59,16.06
2009-09-25,71,15.36
2009-10-02,41,15.33
2009-10-09,41,16.2
2009-10-16,42,15.08
2009-10-23,43,15.03
2009-10-30,44,14.14
2009-11-06,45,14.53
2009-11-13,46,15.4
2009-11-20,50,15.35
2009-11-27,48,15.13
2009-12-04,58,15.18
2009-12-11,69,16.13
2009-12-18,79,14.95
2010-01-08,53,15.03
2010-01-15,44,14.76
2010-01-22,35,13.46
2010-01-29,35,13.68
2010-02-05,35,13.01
2010-02-12,35,13.03
2010-02-19,35,13.67
2010-02-26,35,13.65
2010-03-05,35,14.17
2010-03-12,35,14.97
2010-03-19,36,15.24
2010-03-26,36,15.39
2010-04-09,55,15.5
2010-04-16,42,15.36
2010-04-23,36,16.26
2010-04-30,36,15.46
2010-05-07,36,14.08
2010-05-14,42,14.24
2010-05-21,48,13.53
2010-05-28,54,13.45
2010-06-04,37,12.86
2010-06-11,40,13.66
2010-06-18,44,14
2010-06-25,47,14.52
2010-07-02,36,13.84
2010-07-09,73,14.85
2010-07-16,41,14.5
2010-07-23,45,15.06
2010-07-30,48,15.27
2010-08-06,52,15.31
2010-08-13,48,14.68
2010-08-20,52,14.27
2010-08-27,43,14.77
2010-09-03,46,15.86
2010-09-10,50,15.9
2010-09-17,53,15.57
2010-09-24,40,16.77
2010-10-01,70,16.58
2010-10-08,37,16.95
2010-10-15,30,17.1
2010-10-22,30,17.41
2010-10-29,42,17.65
2010-11-05,42,18.91
2010-11-12,43,18.6
2010-11-19,44,18.4
2010-11-26,35,18.42
2010-12-03,29,18.84
2010-12-10,41,19.27
2010-12-17,41,18.02
2010-12-31,76,18.53
2011-01-07,61,18.9
2011-01-14,39,20.38
2011-01-21,35,20.47
2011-01-28,45,20.46
2011-02-04,54,20.61
2011-02-11,29,21.72
2011-02-18,56,21.86
2011-02-25,47,21.82
2011-03-04,31,21.61
2011-03-11,29,21.83
2011-03-18,29,22
2011-03-25,32,24
2011-04-01,35,24.15
2011-04-08,38,23.85
2011-04-15,33,24.28
2011-04-29,33,24.84
2011-05-06,37,24.29
2011-05-13,34,24.24
2011-05-20,40,24.92
2011-05-27,32,23.77
2011-06-03,41,23.2
2011-06-10,32,22.52
2011-06-17,32,23.09
2011-06-24,32,24.79
2011-07-01,32,26.55
2011-07-08,32,27.12
2011-07-15,35,25.43
2011-07-22,32,25.97
2011-07-29,29,25.61
2011-08-05,34,22.83
2011-08-12,31,23.33
2011-08-19,36,22.91
2011-08-26,28,24.79
