"Date","buy.MSI","Price"
2004-07-09,73,17.5
2004-07-16,73,15.8
2004-07-23,74,15.28
2004-07-30,75,15.93
2004-08-06,76,14.74
2004-08-13,77,14.21
2004-08-20,65,16.05
2004-08-27,65,16.59
2004-09-03,65,16.14
2004-09-10,65,16.69
2004-12-10,55,16.34
2004-12-17,70,17
2004-12-31,100,17.2
2005-03-18,57,15.01
2005-04-01,75,14.89
2005-04-08,84,15.2
2005-04-15,48,14.75
2005-04-22,48,15.78
2005-04-29,48,15.34
2005-05-06,48,15.69
2005-08-19,49,20.45
2005-08-26,41,21.12
2005-09-02,41,22
2005-09-09,41,22.88
2005-09-16,41,23.68
2005-09-23,41,22.79
2005-11-18,36,23.86
2006-02-03,38,21.17
2006-02-10,34,21.6
2006-02-17,34,21.49
2006-06-02,30,21.76
2006-06-09,30,20.59
2006-06-16,30,20.08
2006-06-23,30,19.88
2006-06-30,30,20.15
2006-11-17,27,22.38
2006-11-24,27,22.46
2006-12-01,27,21.86
2006-12-08,28,21.09
2006-12-15,28,20.71
2007-02-09,20,19.57
2007-02-16,22,19.26
2007-02-23,24,19.15
2007-03-02,25,18.64
2007-05-18,18,18.79
2007-07-06,20,17.84
2007-07-13,20,17.9
2007-07-20,24,17.95
2007-07-27,29,16.95
2007-08-03,22,16.35
2007-08-10,20,16.61
2007-08-17,20,16.31
2007-08-24,19,16.74
2007-08-31,19,16.95
2007-09-07,19,17.13
2007-09-14,19,16.97
2007-09-21,37,17.89
2007-09-28,16,18.53
2007-10-05,16,18.81
2007-10-12,16,19.13
2007-10-19,17,18.7
2007-10-26,18,19.24
2007-11-02,18,17.95
2007-11-09,23,16.48
2007-11-16,16,16.61
2007-11-23,16,15.71
2007-11-30,16,15.97
2007-12-07,19,16.3
2007-12-14,26,16
2007-12-21,27,16.3
2007-12-28,18,16.28
2008-01-04,18,15.07
2008-01-11,24,14.64
2008-01-18,30,13.33
2008-01-25,18,10.73
2008-02-01,18,12.69
2008-02-08,18,11.26
2008-02-15,15,11.28
2008-02-22,15,11.36
2008-02-29,22,9.97
2008-03-07,31,9.82
2008-03-14,19,9.55
2008-03-28,16,9.21
2008-04-04,15,9.67
2008-04-11,13,9.04
2008-04-18,14,9.25
2008-04-25,14,9.24
2008-05-02,15,10.03
2008-05-09,13,9.76
2008-05-16,32,10.07
2008-05-23,23,9.1
2008-05-30,21,9.33
2008-06-06,85,8.93
2008-06-13,84,9.13
2008-06-20,78,7.94
2008-06-27,73,7.35
2008-07-11,73,6.99
2008-07-18,75,7.46
2008-07-25,51,7.25
2008-08-01,68,8.81
2008-08-08,50,9.63
2008-08-15,64,10.33
2008-08-22,47,9.99
2008-08-29,60,9.42
2008-09-05,51,9.06
2008-09-12,58,8.13
2008-09-19,43,7.53
2008-09-26,47,7.63
2008-10-03,50,6.72
2008-10-10,57,4.68
2008-10-17,38,5.62
2008-10-24,32,5.01
2008-10-31,33,5.37
2008-11-07,41,4.79
2008-11-14,38,4.08
2008-11-21,38,3.28
2008-11-28,40,4.31
2008-12-05,41,4.36
2008-12-12,29,4.19
2008-12-19,36,4.45
2008-12-26,33,4.05
2009-01-02,49,4.67
2009-01-09,35,4.46
2009-01-16,35,4.54
2009-01-23,38,4.6
2009-01-30,41,4.43
2009-02-06,49,3.88
2009-02-13,43,3.87
2009-02-20,36,3.61
2009-02-27,41,3.52
2009-03-06,38,3.1
2009-03-13,40,3.75
2009-03-20,43,3.96
2009-03-27,42,4.37
2009-04-03,39,4.56
2009-04-17,44,5.56
2009-04-24,35,5.81
2009-05-01,29,5.54
2009-05-08,32,6.5
2009-05-15,35,5.91
2009-05-22,33,5.9
2009-05-29,39,6.06
2009-06-05,37,6.24
2009-06-12,37,6.73
2009-06-19,26,6.11
2009-06-26,42,6.62
2009-07-10,20,6.05
2009-07-17,25,6.3
2009-07-24,34,6.58
2009-07-31,25,7.16
2009-08-07,29,7.13
2009-08-14,29,7.26
2009-08-21,42,7.58
2009-08-28,33,7.21
2009-09-04,35,7.73
2009-09-11,33,8.68
2009-09-18,22,8.96
2009-09-25,17,8.11
2009-10-02,29,7.99
2009-10-09,29,8.48
2009-10-16,26,7.85
2009-10-23,24,8.24
2009-10-30,28,8.57
2009-11-06,28,8.89
2009-11-13,28,8.78
2009-11-20,31,8.28
2009-11-27,38,8.2
2009-12-04,37,8.18
2009-12-11,28,8.55
2009-12-18,31,8.53
2010-01-08,33,7.76
2010-01-15,25,7.58
2010-01-22,34,7.21
2010-01-29,40,6.15
2010-02-05,31,6.4
2010-02-12,25,7.15
2010-02-19,24,7.01
2010-02-26,27,6.76
2010-03-05,26,6.95
2010-03-12,25,7.01
2010-03-19,17,7.18
2010-03-26,24,7.17
2010-04-09,27,7.39
2010-04-16,10,7.31
2010-04-23,20,7.09
2010-04-30,25,7.07
2010-05-07,31,6.6
2010-05-14,23,6.79
2010-05-21,23,6.84
2010-05-28,28,6.85
2010-06-04,16,6.7
2010-06-11,25,7.11
2010-06-18,17,7.26
2010-06-25,23,7.07
2010-07-02,19,6.48
2010-07-09,22,6.76
2010-07-16,28,7.5
2010-07-23,22,7.75
2010-07-30,38,7.49
2010-08-06,34,8
2010-08-13,20,7.64
2010-08-20,28,7.48
2010-08-27,30,7.68
2010-09-03,29,7.94
2010-09-10,28,7.92
2010-09-17,33,8.38
2010-09-24,30,8.68
2010-10-01,20,8.56
2010-10-08,25,8.3
2010-10-15,22,7.95
2010-10-22,21,7.83
2010-10-29,23,8.16
2010-11-05,20,8.2
2010-11-12,23,7.99
2010-11-19,24,8.12
2010-11-26,19,7.82
2010-12-03,21,8.24
2010-12-10,19,8.64
2010-12-17,23,8.88
2010-12-31,32,9.07
