"Date","McGraw.Hill.Financial","Price"
2008-09-05,56,43.38
2008-09-12,54,43.61
2008-09-19,54,38.15
2008-09-26,54,34.03
2009-03-06,46,17.64
2009-08-28,56,33.61
2009-09-04,54,29.1
2009-09-11,66,27.7
2009-09-18,48,26.81
2009-09-25,39,23.67
2009-10-02,39,24.62
2009-10-09,39,27.28
2009-10-16,39,29.58
2009-10-23,37,30.49
2009-10-30,37,28.78
2009-11-06,37,29.32
2009-11-13,37,31.06
2009-11-20,37,30.99
2009-11-27,39,30.45
2009-12-04,40,31.93
2009-12-11,41,34.82
2010-01-29,34,35.45
2010-02-05,42,34.22
2010-02-12,42,34.17
2010-02-19,42,35.33
2010-02-26,57,34.2
2010-05-07,42,30.28
2010-08-20,33,28.18
2010-08-27,39,28.35
2010-09-03,46,29.68
2010-09-10,54,30.24
2010-09-17,31,30.55
2010-09-24,30,33.18
2010-10-01,45,32.99
2010-10-08,33,34.33
2010-10-15,33,35.54
2010-10-22,42,36.4
2010-10-29,52,37.65
2010-11-05,29,39.31
2010-11-12,30,36.6
2010-11-19,31,35.13
2010-11-26,28,34.31
2010-12-03,28,35.69
2010-12-10,28,35.98
2010-12-17,30,36.3
2010-12-31,35,36.41
2011-01-07,38,37.74
2011-01-14,40,37.5
2011-01-21,32,37.64
2011-01-28,32,38.27
2011-02-04,28,36.58
2011-02-11,29,37.45
2011-02-18,31,38.85
2011-02-25,38,38.07
2011-03-04,28,38.13
2011-03-11,31,37.54
2011-03-18,33,37.95
2011-03-25,29,38.53
2011-04-01,29,39.19
2011-04-08,29,38.97
2011-04-15,26,39.31
2011-04-29,41,40.47
2011-05-06,52,41.09
2011-05-13,36,42.08
2011-05-20,28,42.8
2011-07-22,28,43.92
2011-07-29,28,41.6
2011-08-05,28,41.72
2011-08-12,28,37.77
2011-08-19,30,37
2011-08-26,32,40.59
2011-09-02,37,40.62
2011-09-09,42,38.72
2011-09-16,52,45.29
2011-09-23,56,42.93
2011-09-30,46,41
2011-10-07,52,41.83
2011-10-14,22,44.97
2011-10-21,46,44.62
2011-10-28,27,43.36
2011-11-04,29,42.49
2011-11-11,45,43.22
2011-11-18,37,43.16
2011-11-25,37,40.54
2011-12-02,37,43.22
2011-12-09,35,43.21
2011-12-16,22,42.75
2011-12-23,27,45.15
2011-12-30,32,44.97
2012-01-06,36,46.01
2012-01-13,41,46.09
2012-01-20,31,46.26
2012-01-27,27,46.9
2012-02-03,28,46.39
2012-02-10,32,45.52
2012-02-17,34,45.97
2012-02-24,28,46.03
2012-03-02,22,46.23
2012-03-09,33,46.6
2012-03-16,28,47.54
2012-03-23,29,47.18
2012-03-30,28,48.47
2012-04-13,23,48.57
2012-04-20,28,49.53
2012-04-27,30,49.22
2012-05-04,33,48.7
2012-06-15,33,42.5
2012-06-22,24,43.15
2012-06-29,24,45
2012-07-06,30,45.21
2012-07-13,24,46.21
2012-07-20,24,46.99
2012-07-27,24,47.03
2012-08-03,24,48.42
2012-08-10,24,49.19
2012-08-17,22,49.11
2012-08-24,31,49.57
2012-08-31,51,51.2
2012-09-07,47,52.91
2012-09-14,63,53.51
2012-09-21,36,54.5
2012-09-28,54,54.59
2012-10-05,37,55.83
2012-10-12,24,55.36
2012-10-19,40,56.09
2012-10-26,38,56.03
2012-11-02,31,54.43
2012-11-09,27,50.77
2012-11-16,25,50.73
2012-11-23,40,51.94
2012-11-30,26,53.11
2012-12-07,38,56.53
2012-12-14,30,53.98
2012-12-21,23,54.04
2012-12-28,31,53.23
2013-01-04,38,55.1
2013-01-11,45,53.87
2013-01-18,36,54.34
2013-01-25,35,56.98
2013-02-01,46,58.34
2013-02-08,40,42.67
2013-02-15,40,44.95
2013-02-22,33,46.04
2013-03-01,46,47.26
2013-03-08,31,47.56
2013-03-15,40,48.9
2013-03-22,25,48.37
2013-04-05,36,51.54
2013-04-12,38,51.8
2013-04-19,22,51.85
2013-04-26,40,52
2013-05-03,49,54.43
2013-05-10,46,55.69
2013-05-17,45,55.7
2013-05-24,53,53.45
2013-05-31,43,54.55
2013-06-07,46,54.74
2013-06-14,40,54.73
2013-06-21,43,54.41
2013-06-28,50,53.19
2013-07-05,40,54.87
2013-07-12,71,57.44
2013-07-19,44,58.49
2013-07-26,59,60.5
2013-08-02,33,62.76
2013-08-09,44,62.76
2013-08-16,63,60.66
2013-08-23,84,60
2013-08-30,81,58.37
2013-09-06,75,60.03
2013-09-13,73,61.74
2013-09-20,81,65.68
2013-09-27,89,65.92
2013-10-04,94,66.03
2013-10-11,100,67.85
2013-10-18,78,68.93
2013-10-25,72,71.35
2013-11-01,73,71.08
2013-11-08,58,71.42
2013-11-15,82,72.12
2013-11-22,63,74.28
2013-11-29,57,74.5
2013-12-06,74,74.73
2013-12-13,52,72.2
2013-12-20,61,76
2013-12-27,18,77.47
2014-01-03,45,77.54
2014-01-10,87,78.04
2014-01-17,98,76.75
2014-01-24,63,73.27
2014-01-31,89,76.04
2014-02-07,87,79.97
2014-02-14,78,81.53
2014-02-21,66,80.22
2014-02-28,72,79.66
2014-03-07,77,81.7
2014-03-14,52,79.55
2014-03-21,74,76.87
2014-03-28,51,75.01
2014-04-04,54,75.17
2014-04-11,72,71.98
2014-04-25,69,75.05
