"Date","Amgen.Inc","Price"
2007-02-23,100,66.23
2007-03-02,82,61.75
2007-03-09,82,60.86
2007-03-16,82,59.3
2007-03-23,83,58.02
2007-03-30,84,55.88
2007-05-18,66,54.04
2007-10-12,63,58.17
2008-01-18,50,47.45
2008-01-25,50,48.14
2008-02-01,50,47.36
2008-02-08,72,46.56
2008-02-15,50,46.64
2008-02-22,66,46.43
2008-02-29,82,45.52
2008-03-07,53,44.18
2008-03-14,53,44.46
2008-03-28,53,41.45
2008-04-04,53,41.53
2008-06-13,47,43.97
2008-08-08,53,63.8
2008-09-26,43,60.67
2008-10-03,47,58.89
2008-10-10,42,48.58
2009-01-09,46,57.78
2009-01-16,44,57.52
2009-01-23,44,53.19
2009-01-30,46,54.85
2009-02-06,48,58.03
2009-02-13,49,57.9
2009-02-20,51,56.69
2009-02-27,44,48.93
2009-03-06,43,46.38
2009-03-13,50,51.25
2009-03-20,47,48.62
2009-03-27,39,51.65
2009-04-03,47,46.57
2009-07-31,35,62.31
2009-10-09,31,59.42
2009-10-16,35,61.32
2009-10-23,39,56.17
2009-10-30,44,53.62
2009-11-06,48,54.69
2009-12-18,30,55.8
2010-01-08,35,56.77
2010-01-15,37,56.25
2010-01-22,39,56.6
2010-01-29,33,58.48
2010-02-05,34,57.68
2010-02-12,35,56.48
2010-02-19,27,57.38
2010-02-26,27,56.61
2010-03-05,27,57.24
2010-03-12,27,57.43
2010-03-19,27,60
2010-06-04,28,54.34
2010-09-10,25,54.35
2010-09-17,24,55.22
2010-09-24,26,56.32
2010-10-01,23,55.51
2010-10-08,23,56.39
2010-10-15,28,56.71
2010-10-22,28,57.55
2010-12-10,27,53.89
2010-12-17,29,57.42
2010-12-31,31,54.9
2011-01-07,31,56.98
2011-01-14,33,56.5
2011-01-21,34,56.97
2011-01-28,35,55.29
2011-02-04,27,55.2
2011-02-11,27,53.74
2011-02-18,20,52.24
2011-02-25,20,52.26
2011-03-04,20,52.32
2011-03-11,21,53.53
2011-03-18,21,52.94
2011-03-25,22,53.15
2011-04-01,22,53.08
2011-04-08,23,53.9
2011-04-15,24,55.51
2011-04-29,23,56.85
2011-05-06,23,57.63
2011-05-13,24,60.47
2011-05-20,24,60.86
2011-05-27,20,59.35
2011-06-03,22,58.69
2011-06-10,23,57.99
2011-06-17,24,58.01
2011-06-24,22,57.04
2011-07-01,22,58.28
2011-07-08,22,57.64
2011-07-15,22,55.05
2011-07-22,22,55.22
2011-07-29,22,54.7
2011-08-05,23,52.12
2011-08-12,23,50
2011-08-19,23,51.98
2011-08-26,23,54.08
2011-09-02,23,54.1
2011-09-09,23,54.04
2011-09-16,24,56.71
2011-09-23,24,55.1
2011-09-30,19,54.96
