Date,buy BA,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.35
2004-02-13,0,44.45
2004-02-20,0,44.34
2004-02-27,0,43.37
2004-03-05,0,42.72
2004-03-12,0,40.30
2004-03-19,0,39.43
2004-03-26,0,39.35
2004-04-02,0,41.84
2004-04-09,0,
2004-04-16,0,41.50
2004-04-23,0,42.45
2004-04-30,0,42.69
2004-05-07,0,43.40
2004-05-14,0,43.44
2004-05-21,0,43.40
2004-05-28,0,45.80
2004-06-04,0,46.90
2004-06-11,0,
2004-06-18,0,49.80
2004-06-25,0,51.30
2004-07-02,0,49.52
2004-07-09,0,50.04
2004-07-16,0,49.13
2004-07-23,0,47.06
2004-07-30,0,50.75
2004-08-06,0,48.33
2004-08-13,0,49.72
2004-08-20,0,50.46
2004-08-27,0,51.99
2004-09-03,0,53.10
2004-09-10,0,54.15
2004-09-17,0,55.15
2004-09-24,0,53.14
2004-10-01,0,52.48
2004-10-08,0,50.10
2004-10-15,0,50.19
2004-10-22,0,49.51
2004-10-29,0,49.90
2004-11-05,0,51.15
2004-11-12,0,53.93
2004-11-19,0,53.77
2004-11-26,0,54.02
2004-12-03,0,55.26
2004-12-10,0,52.42
2004-12-17,0,53.10
2004-12-24,0,
2004-12-31,0,51.77
2005-01-07,0,50.31
2005-01-14,0,50.91
2005-01-21,0,50.07
2005-01-28,0,49.92
2005-02-04,0,52.58
2005-02-11,0,54.14
2005-02-18,0,52.78
2005-02-25,0,54.99
2005-03-04,0,58.38
2005-03-11,0,57.49
2005-03-18,0,57.16
2005-03-25,0,
2005-04-01,0,58.78
2005-04-08,0,58.60
2005-04-15,0,57.00
2005-04-22,0,57.88
2005-04-29,0,59.52
2005-05-06,0,61.01
2005-05-13,0,59.50
2005-05-20,0,61.90
2005-05-27,0,63.02
2005-06-03,0,64.66
2005-06-10,0,64.65
2005-06-17,0,64.62
2005-06-24,0,60.59
2005-07-01,0,64.68
2005-07-08,0,65.07
2005-07-15,0,64.75
2005-07-22,0,66.20
2005-07-29,0,66.01
2005-08-05,0,66.19
2005-08-12,0,66.54
2005-08-19,0,67.15
2005-08-26,0,66.31
2005-09-02,0,64.34
2005-09-09,0,65.40
2005-09-16,0,64.80
2005-09-23,0,63.20
2005-09-30,0,67.95
2005-10-07,0,67.30
2005-10-14,0,67.50
2005-10-21,0,66.02
2005-10-28,0,65.64
2005-11-04,0,65.28
2005-11-11,0,65.35
2005-11-18,0,66.95
2005-11-25,0,69.06
2005-12-02,0,69.44
2005-12-09,0,69.65
2005-12-16,0,70.75
2005-12-23,0,71.49
2005-12-30,0,70.24
2006-01-06,0,69.35
2006-01-13,0,69.48
2006-01-20,0,66.50
2006-01-27,0,68.56
2006-02-03,0,70.87
2006-02-10,0,72.53
2006-02-17,0,72.96
2006-02-24,0,74.31
2006-03-03,0,73.39
2006-03-10,0,74.79
2006-03-17,0,77.85
2006-03-24,0,78.73
2006-03-31,0,77.93
2006-04-07,0,79.57
2006-04-14,0,
2006-04-21,0,86.46
2006-04-28,0,83.45
2006-05-05,0,88.47
2006-05-12,0,87.01
2006-05-19,0,84.61
2006-05-26,0,83.50
2006-06-02,0,83.80
2006-06-09,0,80.50
2006-06-16,0,85.54
2006-06-23,0,83.39
2006-06-30,0,81.91
2006-07-07,0,79.99
2006-07-14,0,77.25
2006-07-21,0,79.08
2006-07-28,0,78.91
2006-08-04,0,79.49
2006-08-11,0,75.96
2006-08-18,0,77.62
2006-08-25,0,73.93
2006-09-01,0,75.43
2006-09-08,0,72.80
2006-09-15,0,75.01
2006-09-22,0,77.25
2006-09-29,0,78.85
2006-10-06,0,83.68
2006-10-13,0,82.39
2006-10-20,0,81.74
2006-10-27,0,79.74
2006-11-03,0,79.97
2006-11-10,0,85.62
2006-11-17,0,89.52
2006-11-24,0,89.77
2006-12-01,0,89.55
2006-12-08,0,90.13
2006-12-15,0,90.70
2006-12-22,0,88.76
2006-12-29,0,88.84
2007-01-05,0,89.15
2007-01-12,0,88.13
2007-01-19,0,88.63
2007-01-26,0,85.43
2007-02-02,0,90.05
2007-02-09,0,90.00
2007-02-16,0,90.94
2007-02-23,0,90.28
2007-03-02,0,87.03
2007-03-09,0,89.51
2007-03-16,0,90.00
2007-03-23,0,90.98
2007-03-30,0,88.91
2007-04-06,0,
2007-04-13,0,91.03
2007-04-20,0,93.29
2007-04-27,0,94.02
2007-05-04,0,93.61
2007-05-11,0,93.40
2007-05-18,0,96.63
2007-05-25,0,98.25
2007-06-01,58,99.83
2007-06-08,63,98.19
2007-06-15,0,98.15
2007-06-22,0,95.92
2007-06-29,0,96.16
2007-07-06,0,98.88
2007-07-13,0,101.88
2007-07-20,0,103.86
2007-07-27,0,103.71
2007-08-03,0,104.24
2007-08-10,0,98.44
2007-08-17,0,95.93
2007-08-24,0,98.47
2007-08-31,0,96.70
2007-09-07,0,94.84
2007-09-14,0,99.35
2007-09-21,56,102.59
2007-09-28,0,104.99
2007-10-05,0,102.25
2007-10-12,0,96.69
2007-10-19,0,93.90
2007-10-26,0,96.02
2007-11-02,0,97.76
2007-11-09,0,94.21
2007-11-16,47,89.99
2007-11-23,57,89.54
2007-11-30,0,92.54
2007-12-07,0,93.16
2007-12-14,0,88.42
2007-12-21,0,89.07
2007-12-28,0,88.25
2008-01-04,0,85.82
2008-01-11,45,80.52
2008-01-18,57,78.40
2008-01-25,69,77.03
2008-02-01,72,82.76
2008-02-08,75,79.33
2008-02-15,78,85.18
2008-02-22,44,83.04
2008-02-29,44,82.79
2008-03-07,44,76.60
2008-03-14,44,76.23
2008-03-21,44,
2008-03-28,46,73.47
2008-04-04,49,75.65
2008-04-11,51,76.86
2008-04-18,53,78.66
2008-04-25,46,84.84
2008-05-02,46,85.69
2008-05-09,44,84.06
2008-05-16,44,85.17
2008-05-23,44,81.48
2008-05-30,45,82.77
2008-06-06,47,73.16
2008-06-13,48,75.12
2008-06-20,49,75.83
2008-06-27,50,66.92
2008-07-04,50,
2008-07-11,50,63.28
2008-07-18,42,68.14
2008-07-25,59,63.83
2008-08-01,63,62.01
2008-08-08,67,67.86
2008-08-15,70,64.45
2008-08-22,72,65.55
2008-08-29,75,65.56
2008-09-05,46,62.89
2008-09-12,47,63.30
2008-09-19,49,59.76
2008-09-26,50,58.32
2008-10-03,52,53.83
2008-10-10,39,41.80
2008-10-17,39,44.55
2008-10-24,42,45.24
2008-10-31,78,52.42
2008-11-07,36,46.58
2008-11-14,51,41.04
2008-11-21,58,39.58
2008-11-28,52,42.63
2008-12-05,38,39.53
2008-12-12,38,39.20
2008-12-19,35,41.24
2008-12-26,55,40.53
2009-01-02,66,45.25
2009-01-09,53,44.45
2009-01-16,62,42.46
2009-01-23,51,41.98
2009-01-30,32,42.31
2009-02-06,35,42.92
2009-02-13,56,40.48
2009-02-20,38,36.31
2009-02-27,42,31.44
2009-03-06,46,30.10
2009-03-13,57,33.40
2009-03-20,69,32.55
2009-03-27,55,37.53
2009-04-03,31,37.69
2009-04-10,52,
2009-04-17,51,38.32
2009-04-24,58,38.72
2009-05-01,50,41.21
2009-05-08,40,45.83
2009-05-15,45,43.00
2009-05-22,57,42.94
2009-05-29,45,44.85
2009-06-05,30,52.65
2009-06-12,30,51.44
2009-06-19,53,48.44
2009-06-26,44,41.88
2009-07-03,33,
2009-07-10,51,39.65
2009-07-17,46,41.36
2009-07-24,49,42.37
2009-07-31,46,42.91
2009-08-07,52,46.69
2009-08-14,67,44.87
2009-08-21,36,45.87
2009-08-28,38,51.04
2009-09-04,40,49.15
2009-09-11,45,51.35
2009-09-18,44,53.02
2009-09-25,36,51.52
2009-10-02,38,51.40
2009-10-09,43,52.69
2009-10-16,48,53.19
2009-10-23,31,49.89
2009-10-30,31,47.80
2009-11-06,39,49.68
2009-11-13,46,50.68
2009-11-20,66,51.70
2009-11-27,56,52.45
2009-12-04,40,54.68
2009-12-11,54,55.60
2009-12-18,46,53.44
2009-12-25,45,
2010-01-01,45,
2010-01-08,55,61.60
2010-01-15,58,60.82
2010-01-22,45,57.77
2010-01-29,47,60.60
2010-02-05,63,58.40
2010-02-12,42,59.65
2010-02-19,43,63.59
2010-02-26,44,63.16
2010-03-05,72,67.93
2010-03-12,58,69.83
2010-03-19,47,70.72
2010-03-26,56,72.59
2010-04-02,32,
2010-04-09,63,72.42
2010-04-16,65,70.79
2010-04-23,30,75.13
2010-04-30,62,72.43
2010-05-07,33,66.72
2010-05-14,60,69.82
2010-05-21,55,64.56
2010-05-28,63,64.18
2010-06-04,49,61.15
2010-06-11,36,65.38
2010-06-18,51,67.96
2010-06-25,46,68.77
2010-07-02,58,61.94
2010-07-09,55,64.66
2010-07-16,41,61.90
2010-07-23,60,67.93
2010-07-30,41,68.14
2010-08-06,53,68.70
2010-08-13,52,64.84
2010-08-20,43,64.60
2010-08-27,70,63.16
2010-09-03,70,64.64
2010-09-10,84,63.84
2010-09-17,83,62.95
2010-09-24,79,64.60
2010-10-01,81,66.83
2010-10-08,45,69.23
2010-10-15,65,70.11
2010-10-22,56,71.26
2010-10-29,73,70.64
2010-11-05,47,71.27
2010-11-12,53,63.09
2010-11-19,57,63.59
2010-11-26,76,64.80
2010-12-03,59,66.54
2010-12-10,67,64.16
2010-12-17,77,65.03
2010-12-24,97,
2010-12-31,95,65.26
2011-01-07,87,69.38
2011-01-14,82,70.07
2011-01-21,71,71.68
2011-01-28,60,69.23
2011-02-04,72,71.38
2011-02-11,59,72.14
2011-02-18,70,73.04
2011-02-25,55,72.30
2011-03-04,74,71.80
2011-03-11,53,71.64
2011-03-18,59,69.10
2011-03-25,59,73.34
2011-04-01,82,74.01
2011-04-08,66,73.47
2011-04-15,51,72.60
2011-04-22,61,
2011-04-29,51,79.78
2011-05-06,54,79.31
2011-05-13,62,79.03
2011-05-20,77,77.52
2011-05-27,74,76.99
2011-06-03,61,74.84
2011-06-10,57,72.69
2011-06-17,54,74.16
2011-06-24,63,71.26
2011-07-01,61,74.27
2011-07-08,76,75.07
2011-07-15,59,71.28
2011-07-22,71,72.67
2011-07-29,58,70.47
2011-08-05,70,62.75
2011-08-12,92,61.75
2011-08-19,100,57.54
2011-08-26,58,62.80
2011-09-02,73,64.03
2011-09-09,75,61.79
2011-09-16,68,65.38
2011-09-23,60,59.51
2011-09-30,68,60.51
2011-10-07,80,61.81
2011-10-14,71,63.89
2011-10-21,65,64.59
2011-10-28,59,68.17
2011-11-04,78,65.80
2011-11-11,66,66.92
2011-11-18,63,67.46
2011-11-25,64,62.78
2011-12-02,73,71.30
2011-12-09,67,71.93
2011-12-16,85,71.01
2011-12-23,100,73.97
2011-12-30,89,73.35
2012-01-06,89,73.98
2012-01-13,97,74.60
2012-01-20,88,75.52
2012-01-27,81,74.55
2012-02-03,86,76.34
2012-02-10,93,74.95
2012-02-17,91,75.35
2012-02-24,78,76.06
2012-03-02,75,74.90
2012-03-09,94,73.29
2012-03-16,86,75.20
2012-03-23,68,73.97
2012-03-30,65,74.37
2012-04-06,67,
2012-04-13,71,72.92
2012-04-20,56,73.55
2012-04-27,57,77.27
2012-05-04,72,75.84
2012-05-11,50,73.56
2012-05-18,55,69.15
2012-05-25,52,70.00
2012-06-01,47,67.24
2012-06-08,59,69.94
2012-06-15,51,71.99
2012-06-22,47,71.96
2012-06-29,49,74.30
2012-07-06,55,73.69
2012-07-13,61,73.51
2012-07-20,55,73.89
2012-07-27,51,75.51
2012-08-03,64,72.81
2012-08-10,60,74.21
2012-08-17,63,73.91
2012-08-24,70,71.09
2012-08-31,48,71.40
2012-09-07,60,72.89
2012-09-14,56,71.28
2012-09-21,57,69.97
2012-09-28,41,69.60
2012-10-05,60,70.89
2012-10-12,41,71.85
2012-10-19,44,74.01
2012-10-26,38,71.11
2012-11-02,45,70.05
2012-11-09,43,73.25
2012-11-16,64,70.77
2012-11-23,70,73.74
2012-11-30,43,74.28
2012-12-07,48,74.64
2012-12-14,37,74.02
2012-12-21,63,76.17
2012-12-28,58,74.69
2013-01-04,94,77.69
2013-01-11,90,75.16
2013-01-18,62,75.04
2013-01-25,55,75.03
2013-02-01,49,74.87
2013-02-08,40,76.56
2013-02-15,62,75.03
2013-02-22,54,76.66
2013-03-01,52,77.28
2013-03-08,57,81.23
2013-03-15,53,86.43
2013-03-22,53,84.82
2013-03-29,41,
2013-04-05,48,86.17
2013-04-12,44,88.89
2013-04-19,60,87.96
2013-04-26,54,92.85
2013-05-03,59,93.74
2013-05-10,54,94.24
2013-05-17,58,98.92
2013-05-24,58,100.00
2013-05-31,50,99.02
2013-06-07,50,102.49
2013-06-14,52,101.83
2013-06-21,57,99.98
2013-06-28,51,102.44
2013-07-05,51,104.20
2013-07-12,52,101.87
2013-07-19,48,106.96
2013-07-26,50,105.60
2013-08-02,73,107.90
2013-08-09,69,105.33
2013-08-16,49,103.47
2013-08-23,54,105.48
2013-08-30,66,103.92
2013-09-06,67,106.07
2013-09-13,51,111.33
2013-09-20,54,116.63
2013-09-27,57,118.74
2013-10-04,43,117.20
2013-10-11,44,117.98
2013-10-18,56,122.52
2013-10-25,52,131.19
2013-11-01,68,133.03
2013-11-08,61,133.49
2013-11-15,57,136.08
2013-11-22,51,135.97
2013-11-29,62,134.25
2013-12-06,57,135.18
2013-12-13,50,133.83
2013-12-20,50,136.67
2013-12-27,51,136.90
2014-01-03,56,137.62
2014-01-10,55,141.90
2014-01-17,53,140.46
2014-01-24,67,136.65
2014-01-31,64,125.26
2014-02-07,47,127.02
2014-02-14,53,130.16
2014-02-21,49,128.28
2014-02-28,50,128.92
2014-03-07,54,128.54
2014-03-14,62,123.11
2014-03-21,36,122.58
2014-03-28,49,124.46
2014-04-04,46,127.38
2014-04-11,39,122.07
2014-04-18,42,
2014-04-25,47,128.66
2014-05-02, ,
