Date,PFE,Price
2004-01-09,36,
2004-01-16,35,
2004-01-23,37,
2004-01-30,22,
2004-02-06,39,38.85
2004-02-13,45,37.38
2004-02-20,36,37.27
2004-02-27,51,36.65
2004-03-05,27,37.17
2004-03-12,66,35.29
2004-03-19,33,33.95
2004-03-26,34,34.29
2004-04-02,34,36.00
2004-04-09,27,
2004-04-16,35,37.62
2004-04-23,33,36.42
2004-04-30,41,35.76
2004-05-07,28,36.36
2004-05-14,27,35.60
2004-05-21,30,34.81
2004-05-28,33,35.34
2004-06-04,28,35.62
2004-06-11,24,
2004-06-18,21,35.43
2004-06-25,28,33.82
2004-07-02,25,33.94
2004-07-09,26,34.00
2004-07-16,36,32.38
2004-07-23,37,32.30
2004-07-30,23,31.96
2004-08-06,23,31.18
2004-08-13,25,31.15
2004-08-20,25,31.74
2004-08-27,32,32.65
2004-09-03,22,32.55
2004-09-10,19,31.86
2004-09-17,25,31.72
2004-09-24,35,29.66
2004-10-01,30,30.97
2004-10-08,36,29.80
2004-10-15,27,28.50
2004-10-22,33,27.74
2004-10-29,36,28.95
2004-11-05,26,28.79
2004-11-12,21,27.45
2004-11-19,28,27.23
2004-11-26,27,27.16
2004-12-03,42,27.89
2004-12-10,39,27.09
2004-12-17,30,25.75
2004-12-24,46,
2004-12-31,40,26.89
2005-01-07,31,26.30
2005-01-14,32,25.25
2005-01-21,34,24.48
2005-01-28,31,24.35
2005-02-04,30,24.23
2005-02-11,46,25.15
2005-02-18,39,26.80
2005-02-25,43,26.86
2005-03-04,31,26.85
2005-03-11,32,26.36
2005-03-18,37,25.83
2005-03-25,26,
2005-04-01,30,26.15
2005-04-08,45,26.60
2005-04-15,34,27.71
2005-04-22,42,27.22
2005-04-29,34,27.17
2005-05-06,32,27.61
2005-05-13,36,27.86
2005-05-20,30,28.58
2005-05-27,41,28.35
2005-06-03,28,27.96
2005-06-10,31,27.68
2005-06-17,40,28.78
2005-06-24,48,28.52
2005-07-01,38,27.10
2005-07-08,29,27.14
2005-07-15,33,27.57
2005-07-22,35,26.50
2005-07-29,44,26.50
2005-08-05,35,26.25
2005-08-12,35,26.16
2005-08-19,45,25.55
2005-08-26,36,24.89
2005-09-02,27,25.33
2005-09-09,40,26.33
2005-09-16,44,25.90
2005-09-23,33,24.87
2005-09-30,35,24.97
2005-10-07,46,24.39
2005-10-14,46,24.32
2005-10-21,59,21.25
2005-10-28,52,21.50
2005-11-04,48,22.26
2005-11-11,47,22.43
2005-11-18,39,21.60
2005-11-25,34,21.67
2005-12-02,53,21.30
2005-12-09,44,20.60
2005-12-16,61,22.58
2005-12-23,63,23.96
2005-12-30,38,23.32
2006-01-06,49,24.85
2006-01-13,45,24.67
2006-01-20,49,24.71
2006-01-27,54,25.99
2006-02-03,49,25.28
2006-02-10,58,25.68
2006-02-17,47,25.82
2006-02-24,40,26.37
2006-03-03,45,26.34
2006-03-10,50,26.08
2006-03-17,34,26.39
2006-03-24,38,26.02
2006-03-31,45,24.92
2006-04-07,31,24.69
2006-04-14,31,
2006-04-21,35,24.87
2006-04-28,32,25.33
2006-05-05,38,25.41
2006-05-12,37,24.50
2006-05-19,30,23.82
2006-05-26,31,24.00
2006-06-02,33,24.19
2006-06-09,39,23.53
2006-06-16,36,23.43
2006-06-23,35,22.64
2006-06-30,34,23.47
2006-07-07,26,23.68
2006-07-14,37,22.42
2006-07-21,35,23.83
2006-07-28,41,26.11
2006-08-04,45,25.98
2006-08-11,48,25.82
2006-08-18,36,27.05
2006-08-25,34,27.23
2006-09-01,39,27.96
2006-09-08,30,27.59
2006-09-15,43,28.04
2006-09-22,39,28.16
2006-09-29,37,28.36
2006-10-06,43,27.90
2006-10-13,35,27.59
2006-10-20,40,27.68
2006-10-27,31,27.22
2006-11-03,38,26.55
2006-11-10,38,25.71
2006-11-17,36,27.21
2006-11-24,25,26.89
2006-12-01,41,27.86
2006-12-08,100,25.17
2006-12-15,41,25.64
2006-12-22,50,25.97
2006-12-29,29,25.90
2007-01-05,31,26.30
2007-01-12,37,26.64
2007-01-19,36,27.22
2007-01-26,44,26.29
2007-02-02,36,26.80
2007-02-09,31,26.38
2007-02-16,37,26.30
2007-02-23,35,25.62
2007-03-02,42,24.79
2007-03-09,27,25.41
2007-03-16,34,24.99
2007-03-23,33,25.66
2007-03-30,28,25.26
2007-04-06,28,
2007-04-13,33,26.67
2007-04-20,36,26.97
2007-04-27,37,26.61
2007-05-04,35,27.08
2007-05-11,35,27.04
2007-05-18,33,27.44
2007-05-25,30,27.53
2007-06-01,27,27.68
2007-06-08,27,26.52
2007-06-15,29,26.47
2007-06-22,28,25.38
2007-06-29,28,25.57
2007-07-06,23,25.92
2007-07-13,32,25.91
2007-07-20,35,24.90
2007-07-27,33,23.79
2007-08-03,33,23.51
2007-08-10,31,23.99
2007-08-17,33,23.94
2007-08-24,29,24.74
2007-08-31,23,24.84
2007-09-07,23,24.25
2007-09-14,21,24.29
2007-09-21,30,24.59
2007-09-28,32,24.43
2007-10-05,29,25.58
2007-10-12,23,25.26
2007-10-19,28,24.07
2007-10-26,30,24.31
2007-11-02,28,23.67
2007-11-09,22,22.83
2007-11-16,26,23.39
2007-11-23,23,22.98
2007-11-30,26,23.76
2007-12-07,25,24.40
2007-12-14,27,23.10
2007-12-21,27,23.24
2007-12-28,19,22.90
2008-01-04,23,22.83
2008-01-11,31,24.02
2008-01-18,30,22.50
2008-01-25,30,22.61
2008-02-01,30,23.59
2008-02-08,29,22.30
2008-02-15,27,22.33
2008-02-22,25,22.50
2008-02-29,26,22.28
2008-03-07,31,21.35
2008-03-14,26,20.64
2008-03-21,25,
2008-03-28,26,20.50
2008-04-04,26,21.35
2008-04-11,25,20.45
2008-04-18,29,20.47
2008-04-25,28,20.43
2008-05-02,24,20.61
2008-05-09,27,19.79
2008-05-16,29,20.03
2008-05-23,25,19.53
2008-05-30,27,19.36
2008-06-06,31,17.96
2008-06-13,36,17.99
2008-06-20,31,17.33
2008-06-27,29,17.28
2008-07-04,22,
2008-07-11,28,17.81
2008-07-18,29,18.32
2008-07-25,33,18.89
2008-08-01,26,18.60
2008-08-08,25,19.84
2008-08-15,23,19.97
2008-08-22,22,19.75
2008-08-29,21,19.11
2008-09-05,23,18.51
2008-09-12,26,18.62
2008-09-19,31,18.55
2008-09-26,27,18.66
2008-10-03,32,19.00
2008-10-10,39,15.14
2008-10-17,37,16.91
2008-10-24,36,16.57
2008-10-31,35,17.71
2008-11-07,28,16.86
2008-11-14,33,16.28
2008-11-21,31,15.67
2008-11-28,27,16.43
2008-12-05,25,16.55
2008-12-12,27,16.92
2008-12-19,26,17.30
2008-12-26,17,17.10
2009-01-02,24,18.27
2009-01-09,31,17.44
2009-01-16,30,17.50
2009-01-23,32,17.45
2009-01-30,47,14.58
2009-02-06,33,14.84
2009-02-13,29,14.58
2009-02-20,27,13.71
2009-02-27,30,12.31
2009-03-06,29,12.73
2009-03-13,33,14.54
2009-03-20,27,13.63
2009-03-27,29,14.04
2009-04-03,28,13.55
2009-04-10,23,
2009-04-17,27,14.16
2009-04-24,28,13.17
2009-05-01,27,13.58
2009-05-08,30,14.40
2009-05-15,36,15.01
2009-05-22,35,14.96
2009-05-29,26,15.19
2009-06-05,28,14.51
2009-06-12,26,14.76
2009-06-19,28,15.00
2009-06-26,26,15.19
2009-07-03,22,
2009-07-10,20,14.20
2009-07-17,24,14.96
2009-07-24,25,16.48
2009-07-31,26,15.93
2009-08-07,24,15.96
2009-08-14,25,15.77
2009-08-21,28,16.64
2009-08-28,24,16.81
2009-09-04,29,16.39
2009-09-11,18,16.25
2009-09-18,24,16.51
2009-09-25,21,16.40
2009-10-02,23,16.15
2009-10-09,21,16.92
2009-10-16,28,17.77
2009-10-23,29,17.25
2009-10-30,22,17.03
2009-11-06,26,16.96
2009-11-13,24,17.59
2009-11-20,24,18.36
2009-11-27,24,18.25
2009-12-04,24,18.49
2009-12-11,21,18.30
2009-12-18,23,18.30
2009-12-25,21,
2010-01-01,17,
2010-01-08,21,18.68
2010-01-15,24,19.49
2010-01-22,26,18.96
2010-01-29,26,18.66
2010-02-05,26,17.96
2010-02-12,19,17.80
2010-02-19,21,17.99
2010-02-26,19,17.55
2010-03-05,23,17.48
2010-03-12,25,17.08
2010-03-19,21,16.91
2010-03-26,26,17.14
2010-04-02,22,
2010-04-09,24,17.25
2010-04-16,24,16.80
2010-04-23,23,16.91
2010-04-30,23,16.72
2010-05-07,27,16.46
2010-05-14,29,16.20
2010-05-21,25,15.40
2010-05-28,26,15.23
2010-06-04,22,14.76
2010-06-11,20,15.46
2010-06-18,21,15.21
2010-06-25,23,14.64
2010-07-02,20,14.14
2010-07-09,16,14.77
2010-07-16,22,14.56
2010-07-23,20,14.58
2010-07-30,19,15.00
2010-08-06,24,16.24
2010-08-13,20,16.08
2010-08-20,21,15.92
2010-08-27,21,16.09
2010-09-03,18,16.46
2010-09-10,16,16.99
2010-09-17,20,17.06
2010-09-24,21,17.40
2010-10-01,21,17.18
2010-10-08,24,17.46
2010-10-15,22,17.75
2010-10-22,23,17.50
2010-10-29,23,17.42
2010-11-05,23,17.18
2010-11-12,25,16.85
2010-11-19,18,16.80
2010-11-26,19,16.49
2010-12-03,20,16.72
2010-12-10,26,17.02
2010-12-17,24,17.03
2010-12-24,18,
2010-12-31,19,17.51
2011-01-07,23,18.34
2011-01-14,20,18.34
2011-01-21,21,18.36
2011-01-28,24,18.15
2011-02-04,25,19.30
2011-02-11,23,18.83
2011-02-18,23,19.19
2011-02-25,21,18.86
2011-03-04,19,19.66
2011-03-11,18,19.47
2011-03-18,22,20.18
2011-03-25,22,20.35
2011-04-01,24,20.38
2011-04-08,21,20.46
2011-04-15,21,20.53
2011-04-22,21,
2011-04-29,20,20.97
2011-05-06,21,20.55
2011-05-13,22,20.92
2011-05-20,25,20.69
2011-05-27,22,20.93
2011-06-03,22,20.84
2011-06-10,23,20.11
2011-06-17,20,20.26
2011-06-24,20,20.08
2011-07-01,18,20.75
2011-07-08,17,20.16
2011-07-15,18,19.75
2011-07-22,18,20.07
2011-07-29,19,19.25
2011-08-05,22,17.49
2011-08-12,25,17.86
2011-08-19,20,17.67
2011-08-26,17,18.21
2011-09-02,19,18.46
2011-09-09,15,18.28
2011-09-16,19,18.15
2011-09-23,18,17.45
2011-09-30,21,17.68
2011-10-07,20,18.44
2011-10-14,19,19.04
2011-10-21,23,19.06
2011-10-28,22,19.82
2011-11-04,20,19.66
2011-11-11,23,19.99
2011-11-18,17,19.53
2011-11-25,20,18.45
2011-12-02,21,19.89
2011-12-09,21,20.56
2011-12-16,21,21.03
2011-12-23,21,21.83
2011-12-30,17,21.64
2012-01-06,22,21.57
2012-01-13,21,21.84
2012-01-20,23,21.90
2012-01-27,23,21.48
2012-02-03,23,21.20
2012-02-10,22,21.05
2012-02-17,22,21.19
2012-02-24,20,21.18
2012-03-02,22,21.41
2012-03-09,21,21.48
2012-03-16,19,21.94
2012-03-23,18,21.82
2012-03-30,22,22.65
2012-04-06,19,
2012-04-13,23,21.85
2012-04-20,20,22.56
2012-04-27,22,23.08
2012-05-04,21,22.38
2012-05-11,23,22.65
2012-05-18,23,22.57
2012-05-25,26,22.13
2012-06-01,24,21.64
2012-06-08,23,22.14
2012-06-15,25,22.61
2012-06-22,28,22.73
2012-06-29,23,23.00
2012-07-06,24,22.54
2012-07-13,18,22.81
2012-07-20,21,23.70
2012-07-27,19,23.83
2012-08-03,21,24.28
2012-08-10,18,23.94
2012-08-17,18,23.79
2012-08-24,21,24.01
2012-08-31,20,23.86
2012-09-07,18,24.24
2012-09-14,18,23.80
2012-09-21,21,24.52
2012-09-28,20,24.85
2012-10-05,21,25.52
2012-10-12,20,25.12
2012-10-19,21,25.76
2012-10-26,21,25.43
2012-11-02,17,24.55
2012-11-09,20,24.17
2012-11-16,18,23.86
2012-11-23,19,24.53
2012-11-30,21,25.02
2012-12-07,21,25.56
2012-12-14,22,25.18
2012-12-21,19,25.08
2012-12-28,15,24.89
2013-01-04,16,25.96
2013-01-11,21,26.52
2013-01-18,21,26.54
2013-01-25,20,27.00
2013-02-01,26,27.63
2013-02-08,21,26.88
2013-02-15,21,27.29
2013-02-22,22,27.38
2013-03-01,23,27.39
2013-03-08,23,28.19
2013-03-15,23,28.02
2013-03-22,21,28.38
2013-03-29,21,
2013-04-05,24,29.10
2013-04-12,24,30.67
2013-04-19,24,31.06
2013-04-26,24,30.09
2013-05-03,28,28.96
2013-05-10,27,28.72
2013-05-17,25,28.96
2013-05-24,25,29.04
2013-05-31,24,27.23
2013-06-07,29,28.26
2013-06-14,31,29.09
2013-06-21,27,28.46
2013-06-28,26,28.01
2013-07-05,20,27.97
2013-07-12,18,28.81
2013-07-19,19,29.09
2013-07-26,19,29.37
2013-08-02,21,29.37
2013-08-09,17,29.21
2013-08-16,17,28.37
2013-08-23,17,28.34
2013-08-30,18,28.21
2013-09-06,17,28.28
2013-09-13,18,28.51
2013-09-20,20,28.97
2013-09-27,20,28.88
2013-10-04,20,29.00
2013-10-11,19,28.72
2013-10-18,20,30.51
2013-10-25,21,30.61
2013-11-01,22,31.17
2013-11-08,19,31.32
2013-11-15,19,32.20
2013-11-22,20,32.12
2013-11-29,20,31.73
2013-12-06,20,31.54
2013-12-13,21,30.25
2013-12-20,21,30.25
2013-12-27,16,30.64
2014-01-03,15,30.52
2014-01-10,19,30.69
2014-01-17,20,31.09
2014-01-24,20,30.09
2014-01-31,26,30.40
2014-02-07,23,31.22
2014-02-14,24,31.94
2014-02-21,21,31.46
2014-02-28,24,32.11
2014-03-07,22,32.43
2014-03-14,24,31.23
2014-03-21,23,32.18
