Date,XOM,Price
2004-01-09,0,
2004-01-16,14,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,40.51
2004-02-13,0,41.91
2004-02-20,0,42.03
2004-02-27,17,42.17
2004-03-05,10,42.49
2004-03-12,10,42.03
2004-03-19,10,41.50
2004-03-26,9,40.74
2004-04-02,9,41.91
2004-04-09,12,
2004-04-16,9,43.86
2004-04-23,9,42.97
2004-04-30,12,42.55
2004-05-07,15,43.25
2004-05-14,14,43.27
2004-05-21,11,42.60
2004-05-28,14,43.25
2004-06-04,12,43.37
2004-06-11,12,
2004-06-18,12,44.98
2004-06-25,9,44.25
2004-07-02,17,44.72
2004-07-09,12,45.45
2004-07-16,13,45.83
2004-07-23,14,45.32
2004-07-30,14,46.30
2004-08-06,15,45.12
2004-08-13,12,44.92
2004-08-20,14,45.25
2004-08-27,12,45.44
2004-09-03,10,47.06
2004-09-10,10,47.37
2004-09-17,10,48.37
2004-09-24,16,47.83
2004-10-01,9,48.89
2004-10-08,11,49.84
2004-10-15,8,49.02
2004-10-22,8,48.70
2004-10-29,12,49.22
2004-11-05,17,50.39
2004-11-12,11,50.42
2004-11-19,12,50.38
2004-11-26,13,51.65
2004-12-03,13,50.27
2004-12-10,13,50.15
2004-12-17,13,49.80
2004-12-24,9,
2004-12-31,9,51.26
2005-01-07,9,49.79
2005-01-14,10,51.07
2005-01-21,9,50.44
2005-01-28,11,51.27
2005-02-04,21,55.29
2005-02-11,11,56.11
2005-02-18,19,59.41
2005-02-25,23,63.26
2005-03-04,26,63.57
2005-03-11,21,61.05
2005-03-18,15,62.65
2005-03-25,15,
2005-04-01,11,60.55
2005-04-08,21,60.01
2005-04-15,17,56.19
2005-04-22,28,59.42
2005-04-29,18,57.03
2005-05-06,23,57.60
2005-05-13,22,53.70
2005-05-20,14,54.01
2005-05-27,19,56.80
2005-06-03,21,57.15
2005-06-10,19,58.38
2005-06-17,24,60.89
2005-06-24,25,58.15
2005-07-01,20,58.31
2005-07-08,21,59.40
2005-07-15,27,58.16
