Date,buy IBM,Price
2004-01-09,0,
2004-01-16,50,
2004-01-23,48,
2004-01-30,30,
2004-02-06,32,98.94
2004-02-13,35,99.71
2004-02-20,48,97.31
2004-02-27,42,96.50
2004-03-05,44,96.45
2004-03-12,63,93.30
2004-03-19,36,91.62
2004-03-26,41,92.77
2004-04-02,46,94.20
2004-04-09,52,
2004-04-16,44,92.28
2004-04-23,44,91.28
2004-04-30,42,88.17
2004-05-07,42,88.19
2004-05-14,26,86.41
2004-05-21,46,87.13
2004-05-28,29,88.59
2004-06-04,40,87.56
2004-06-11,51,
2004-06-18,62,90.06
2004-06-25,34,89.55
2004-07-02,25,87.04
2004-07-09,50,83.89
2004-07-16,50,84.28
2004-07-23,42,84.85
2004-07-30,33,87.07
2004-08-06,55,83.48
2004-08-13,36,83.91
2004-08-20,38,85.25
2004-08-27,51,84.94
2004-09-03,41,84.39
2004-09-10,38,86.76
2004-09-17,32,85.74
2004-09-24,31,84.43
2004-10-01,37,86.72
2004-10-08,50,86.71
2004-10-15,25,84.85
2004-10-22,24,87.39
2004-10-29,23,89.75
2004-11-05,34,93.28
2004-11-12,36,95.32
2004-11-19,38,94.45
2004-11-26,42,94.72
2004-12-03,30,97.08
2004-12-10,57,96.67
2004-12-17,41,96.20
2004-12-24,41,
2004-12-31,46,98.58
2005-01-07,38,95.78
2005-01-14,28,94.10
2005-01-21,36,92.38
2005-01-28,31,92.89
2005-02-04,37,94.51
2005-02-11,37,93.30
2005-02-18,21,93.27
2005-02-25,32,92.80
2005-03-04,34,92.37
2005-03-11,51,91.51
2005-03-18,39,89.28
2005-03-25,29,
2005-04-01,36,90.44
2005-04-08,32,87.60
2005-04-15,21,76.70
2005-04-22,40,74.21
2005-04-29,30,76.38
2005-05-06,49,75.26
2005-05-13,32,73.16
2005-05-20,33,76.41
2005-05-27,31,77.10
2005-06-03,30,75.79
2005-06-10,36,74.77
2005-06-17,27,76.39
2005-06-24,42,74.01
2005-07-01,32,74.67
2005-07-08,24,79.30
2005-07-15,27,82.38
2005-07-22,27,84.44
2005-07-29,49,83.46
2005-08-05,29,83.36
2005-08-12,30,82.19
2005-08-19,37,82.76
2005-08-26,39,80.38
2005-09-02,37,79.46
2005-09-09,32,81.44
2005-09-16,23,80.33
2005-09-23,38,78.00
2005-09-30,35,80.22
2005-10-07,24,80.50
2005-10-14,37,82.35
2005-10-21,22,83.33
2005-10-28,26,81.42
2005-11-04,30,83.00
2005-11-11,30,84.55
2005-11-18,29,87.77
2005-11-25,22,88.80
2005-12-02,27,88.65
2005-12-09,38,86.97
2005-12-16,31,83.37
2005-12-23,38,83.48
2005-12-30,26,82.20
2006-01-06,17,84.95
2006-01-13,34,83.17
2006-01-20,31,81.36
2006-01-27,30,81.02
2006-02-03,26,79.97
2006-02-10,32,81.33
2006-02-17,35,80.71
2006-02-24,26,80.10
2006-03-03,35,79.96
2006-03-10,14,81.57
2006-03-17,24,83.30
2006-03-24,16,83.36
2006-03-31,24,82.47
2006-04-07,25,82.48
2006-04-14,20,
2006-04-21,28,81.66
2006-04-28,17,82.34
2006-05-05,21,83.28
2006-05-12,30,82.39
2006-05-19,17,80.28
2006-05-26,30,80.75
2006-06-02,19,79.52
2006-06-09,21,77.63
2006-06-16,21,77.95
2006-06-23,14,77.10
2006-06-30,20,76.82
2006-07-07,18,76.42
2006-07-14,22,73.57
2006-07-21,19,74.86
2006-07-28,21,76.96
2006-08-04,48,75.91
2006-08-11,39,75.48
2006-08-18,29,79.90
2006-08-25,31,79.88
2006-09-01,24,81.41
2006-09-08,30,80.66
2006-09-15,26,82.94
2006-09-22,20,81.21
2006-09-29,20,81.94
2006-10-06,20,83.14
2006-10-13,22,86.08
2006-10-20,21,90.48
2006-10-27,25,90.76
2006-11-03,25,91.41
2006-11-10,14,91.76
2006-11-17,18,93.81
2006-11-24,26,93.35
2006-12-01,14,91.25
2006-12-08,24,93.86
2006-12-15,25,95.30
2006-12-22,21,95.25
2006-12-29,18,97.15
2007-01-05,16,97.42
2007-01-12,25,99.34
2007-01-19,14,96.17
2007-01-26,20,97.45
2007-02-02,21,99.17
2007-02-09,30,98.55
2007-02-16,21,98.99
2007-02-23,17,97.73
2007-03-02,23,90.90
2007-03-09,19,93.28
2007-03-16,23,93.25
2007-03-23,18,95.03
2007-03-30,16,94.26
2007-04-06,19,
2007-04-13,22,94.93
2007-04-20,19,94.58
2007-04-27,23,101.17
2007-05-04,14,102.96
2007-05-11,19,105.98
2007-05-18,21,107.99
2007-05-25,21,105.18
2007-06-01,27,106.54
2007-06-08,23,103.07
2007-06-15,18,105.09
2007-06-22,26,104.44
2007-06-29,22,105.25
2007-07-06,16,109.03
2007-07-13,23,108.60
2007-07-20,23,114.81
2007-07-27,24,115.62
2007-08-03,19,111.89
2007-08-10,27,112.64
2007-08-17,21,110.90
2007-08-24,19,113.24
2007-08-31,18,116.69
2007-09-07,18,115.55
2007-09-14,17,115.13
2007-09-21,24,116.78
2007-09-28,18,117.80
2007-10-05,17,116.30
2007-10-12,23,117.81
2007-10-19,16,112.28
2007-10-26,22,113.73
2007-11-02,18,114.59
2007-11-09,16,100.25
2007-11-16,26,104.79
2007-11-23,20,104.05
2007-11-30,18,105.18
2007-12-07,20,108.86
2007-12-14,15,105.77
2007-12-21,16,111.05
2007-12-28,20,110.09
2008-01-04,21,101.13
2008-01-11,14,97.67
2008-01-18,14,103.40
2008-01-25,17,104.52
2008-02-01,23,109.08
2008-02-08,13,103.27
2008-02-15,17,106.16
2008-02-22,13,108.07
2008-02-29,19,113.86
2008-03-07,12,113.94
2008-03-14,19,115.23
2008-03-21,19,
2008-03-28,14,114.57
2008-04-04,11,115.76
2008-04-11,15,116.00
2008-04-18,19,124.40
2008-04-25,15,123.08
2008-05-02,17,123.18
2008-05-09,17,124.06
2008-05-16,14,127.82
2008-05-23,13,124.20
2008-05-30,14,129.43
2008-06-06,20,124.94
2008-06-13,18,126.15
2008-06-20,12,122.74
2008-06-27,15,120.05
2008-07-04,14,
2008-07-11,17,122.12
2008-07-18,18,129.89
2008-07-25,21,128.53
2008-08-01,14,126.64
2008-08-08,15,128.81
2008-08-15,16,126.36
2008-08-22,20,124.93
2008-08-29,12,121.73
2008-09-05,14,114.33
2008-09-12,18,118.97
2008-09-19,16,118.85
2008-09-26,18,119.42
2008-10-03,12,103.44
2008-10-10,12,87.75
2008-10-17,11,90.78
2008-10-24,15,82.07
2008-10-31,17,92.97
2008-11-07,14,86.27
2008-11-14,17,80.33
2008-11-21,14,74.88
2008-11-28,17,81.60
2008-12-05,11,80.59
2008-12-12,12,82.20
2008-12-19,16,83.52
2008-12-26,13,81.33
2009-01-02,14,87.37
2009-01-09,16,84.70
2009-01-16,10,84.92
2009-01-23,18,89.49
2009-01-30,15,91.65
2009-02-06,14,96.14
2009-02-13,10,93.84
2009-02-20,13,88.79
2009-02-27,11,92.03
2009-03-06,18,85.81
2009-03-13,16,90.36
2009-03-20,100,92.51
2009-03-27,51,94.15
2009-04-03,39,102.22
2009-04-10,31,
2009-04-17,17,101.27
2009-04-24,20,100.08
2009-05-01,17,104.61
2009-05-08,15,101.49
2009-05-15,13,101.37
2009-05-22,15,101.89
2009-05-29,15,106.28
2009-06-05,11,107.24
2009-06-12,10,108.21
2009-06-19,9,105.89
2009-06-26,12,105.68
2009-07-03,12,
2009-07-10,17,100.83
2009-07-17,12,115.42
2009-07-24,15,117.64
2009-07-31,15,117.93
2009-08-07,12,119.33
2009-08-14,11,118.57
2009-08-21,13,119.90
2009-08-28,16,118.22
2009-09-04,14,117.46
2009-09-11,14,118.05
2009-09-18,12,122.11
2009-09-25,14,121.08
2009-10-02,14,119.02
2009-10-09,15,125.93
2009-10-16,10,121.64
2009-10-23,11,120.36
2009-10-30,12,120.61
2009-11-06,11,123.49
2009-11-13,15,127.03
2009-11-20,14,126.96
2009-11-27,13,125.70
2009-12-04,10,127.25
2009-12-11,14,129.68
2009-12-18,11,127.91
2009-12-25,12,
2010-01-01,7,
2010-01-08,12,130.85
2010-01-15,9,131.78
2010-01-22,14,125.50
2010-01-29,9,122.39
2010-02-05,10,123.52
2010-02-12,11,124.00
2010-02-19,14,127.19
2010-02-26,13,127.16
2010-03-05,7,127.25
2010-03-12,9,127.94
2010-03-19,12,127.71
2010-03-26,10,129.26
2010-04-02,12,
2010-04-09,12,128.76
2010-04-16,10,130.63
2010-04-23,9,129.99
2010-04-30,12,129.00
2010-05-07,7,122.10
2010-05-14,9,131.19
2010-05-21,11,125.42
2010-05-28,13,125.26
2010-06-04,9,125.28
2010-06-11,9,128.45
2010-06-18,9,130.15
2010-06-25,8,127.12
2010-07-02,8,121.86
2010-07-09,9,127.96
2010-07-16,10,128.03
2010-07-23,9,128.38
2010-07-30,9,128.40
2010-08-06,9,130.14
2010-08-13,10,127.87
2010-08-20,9,127.50
2010-08-27,11,124.73
2010-09-03,11,127.58
2010-09-10,7,127.99
2010-09-17,11,130.19
2010-09-24,12,134.11
2010-10-01,10,135.64
2010-10-08,9,138.85
2010-10-15,10,141.06
2010-10-22,10,139.67
2010-10-29,11,143.60
2010-11-05,11,146.92
2010-11-12,8,143.74
2010-11-19,11,145.05
2010-11-26,9,143.90
2010-12-03,9,145.38
2010-12-10,6,144.82
2010-12-17,7,145.00
2010-12-24,9,
2010-12-31,8,146.76
2011-01-07,8,147.93
2011-01-14,9,150.00
2011-01-21,9,155.50
2011-01-28,10,159.21
2011-02-04,8,164.00
2011-02-11,8,163.85
2011-02-18,10,164.84
2011-02-25,8,162.28
2011-03-04,11,161.83
2011-03-11,9,162.43
2011-03-18,7,155.89
2011-03-25,8,162.18
2011-04-01,6,164.27
2011-04-08,10,164.05
2011-04-15,8,166.21
2011-04-22,8,
2011-04-29,6,170.58
2011-05-06,8,168.89
2011-05-13,8,169.92
2011-05-20,9,170.16
2011-05-27,7,167.50
