Date,CAT,Price
2004-01-09,74,
2004-01-16,70,
2004-01-23,71,
2004-01-30,69,
2004-02-06,69,78.50
2004-02-13,68,77.42
2004-02-20,72,76.82
2004-02-27,69,75.75
2004-03-05,68,76.37
2004-03-12,83,74.93
2004-03-19,71,76.30
2004-03-26,72,77.44
2004-04-02,70,81.20
2004-04-09,71,
2004-04-16,68,81.97
2004-04-23,69,81.96
2004-04-30,68,77.73
2004-05-07,67,77.12
2004-05-14,66,75.69
2004-05-21,66,73.03
2004-05-28,66,75.35
2004-06-04,64,75.50
2004-06-11,66,
2004-06-18,64,74.42
2004-06-25,68,78.15
2004-07-02,68,76.72
2004-07-09,69,77.08
2004-07-16,72,77.81
2004-07-23,70,73.22
2004-07-30,72,73.49
2004-08-06,71,70.25
2004-08-13,69,71.75
2004-08-20,71,72.24
2004-08-27,69,73.70
2004-09-03,68,73.56
2004-09-10,67,75.10
2004-09-17,67,76.12
2004-09-24,89,74.76
2004-10-01,71,80.60
2004-10-08,68,79.50
2004-10-15,69,81.09
2004-10-22,68,77.34
2004-10-29,68,80.54
2004-11-05,65,87.17
2004-11-12,67,89.97
2004-11-19,66,90.18
2004-11-26,66,92.80
2004-12-03,64,90.92
2004-12-10,67,91.62
2004-12-17,66,94.24
2004-12-24,78,
2004-12-31,67,97.51
2005-01-07,64,93.38
2005-01-14,66,93.69
2005-01-21,67,89.23
2005-01-28,66,87.46
2005-02-04,66,91.90
2005-02-11,68,92.78
2005-02-18,65,90.84
2005-02-25,65,94.82
2005-03-04,65,99.96
2005-03-11,66,99.00
2005-03-18,63,96.40
2005-03-25,66,
2005-04-01,64,90.15
2005-04-08,63,90.69
2005-04-15,63,83.46
2005-04-22,62,89.81
2005-04-29,64,88.05
2005-05-06,66,90.16
2005-05-13,65,89.00
2005-05-20,62,93.63
2005-05-27,64,94.31
2005-06-03,64,93.97
2005-06-10,63,97.02
2005-06-17,64,100.20
2005-06-24,64,96.86
2005-07-01,65,95.93
2005-07-08,63,98.70
2005-07-15,65,50.67
2005-07-22,67,52.41
2005-07-29,67,53.91
2005-08-05,69,53.61
2005-08-12,67,54.80
2005-08-19,67,54.82
2005-08-26,70,53.49
2005-09-02,66,58.25
2005-09-09,64,58.86
2005-09-16,69,57.72
2005-09-23,68,58.92
2005-09-30,67,58.75
2005-10-07,72,56.62
2005-10-14,71,54.74
2005-10-21,69,48.92
2005-10-28,73,51.07
2005-11-04,71,53.55
2005-11-11,72,54.87
2005-11-18,70,57.28
2005-11-25,70,57.95
2005-12-02,72,58.81
2005-12-09,71,58.09
2005-12-16,71,59.64
2005-12-23,71,58.51
2005-12-30,69,57.77
2006-01-06,77,60.45
2006-01-13,72,62.33
2006-01-20,69,60.78
2006-01-27,70,67.53
2006-02-03,70,68.13
2006-02-10,68,68.75
2006-02-17,65,72.05
2006-02-24,73,72.70
2006-03-03,71,74.61
2006-03-10,67,70.95
2006-03-17,67,76.23
2006-03-24,69,75.50
2006-03-31,70,71.81
2006-04-07,67,74.92
2006-04-14,67,
2006-04-21,67,77.87
2006-04-28,66,75.74
2006-05-05,66,79.98
2006-05-12,63,77.81
2006-05-19,64,72.78
2006-05-26,64,74.42
2006-06-02,63,72.81
2006-06-09,64,67.52
2006-06-16,65,70.55
2006-06-23,65,72.14
2006-06-30,66,74.48
2006-07-07,64,72.58
2006-07-14,67,69.19
2006-07-21,69,68.35
2006-07-28,69,71.21
2006-08-04,67,73.10
2006-08-11,67,67.03
2006-08-18,71,68.31
2006-08-25,68,65.99
2006-09-01,65,67.27
2006-09-08,63,67.32
2006-09-15,64,65.43
2006-09-22,65,62.77
2006-09-29,65,65.80
2006-10-06,65,68.05
2006-10-13,65,69.08
2006-10-20,67,59.00
2006-10-27,68,61.27
2006-11-03,68,60.43
2006-11-10,65,59.60
2006-11-17,68,60.94
2006-11-24,71,62.87
2006-12-01,64,61.19
2006-12-08,65,63.40
2006-12-15,65,61.82
2006-12-22,64,60.59
2006-12-29,64,61.33
2007-01-05,74,60.22
2007-01-12,65,59.74
2007-01-19,59,59.37
2007-01-26,61,61.09
2007-02-02,62,65.25
2007-02-09,60,64.80
2007-02-16,61,67.67
2007-02-23,64,67.26
2007-03-02,62,63.04
2007-03-09,63,64.40
2007-03-16,64,63.16
2007-03-23,83,66.88
2007-03-30,69,67.03
2007-04-06,75,
2007-04-13,65,66.79
2007-04-20,65,71.82
2007-04-27,67,73.76
2007-05-04,64,73.10
2007-05-11,61,74.88
2007-05-18,61,74.77
2007-05-25,61,75.71
2007-06-01,61,78.14
2007-06-08,63,78.52
2007-06-15,62,81.11
2007-06-22,61,80.90
2007-06-29,62,78.30
2007-07-06,59,78.81
2007-07-13,64,85.13
2007-07-20,64,83.20
2007-07-27,65,76.02
2007-08-03,63,78.96
2007-08-10,64,77.55
2007-08-17,65,72.64
2007-08-24,61,76.32
2007-08-31,60,75.77
2007-09-07,58,73.44
2007-09-14,59,73.16
2007-09-21,61,78.16
2007-09-28,61,78.43
2007-10-05,62,80.33
2007-10-12,62,80.30
2007-10-19,62,73.57
2007-10-26,64,75.04
2007-11-02,67,74.76
2007-11-09,61,70.41
2007-11-16,61,69.44
2007-11-23,63,68.63
2007-11-30,61,71.90
2007-12-07,60,74.20
2007-12-14,64,73.39
2007-12-21,63,72.73
2007-12-28,62,73.16
2008-01-04,67,68.53
2008-01-11,72,66.01
2008-01-18,63,62.81
2008-01-25,65,65.93
2008-02-01,64,71.76
2008-02-08,64,68.01
2008-02-15,62,69.95
2008-02-22,61,71.18
2008-02-29,62,72.33
2008-03-07,62,69.84
2008-03-14,59,74.79
2008-03-21,60,
2008-03-28,60,77.09
2008-04-04,60,77.83
2008-04-11,61,74.80
2008-04-18,60,85.28
2008-04-25,61,82.25
2008-05-02,60,82.80
2008-05-09,61,81.76
2008-05-16,58,83.70
2008-05-23,59,81.55
2008-05-30,59,82.64
2008-06-06,58,79.99
2008-06-13,60,81.50
2008-06-20,61,79.08
2008-06-27,61,73.75
2008-07-04,61,
2008-07-11,61,69.81
2008-07-18,64,70.89
2008-07-25,65,70.48
2008-08-01,66,68.14
2008-08-08,64,70.90
2008-08-15,63,70.35
2008-08-22,63,70.27
2008-08-29,62,70.73
2008-09-05,59,64.07
2008-09-12,61,65.46
2008-09-19,63,66.49
2008-09-26,62,64.13
2008-10-03,64,51.21
2008-10-10,65,43.13
2008-10-17,64,39.32
2008-10-24,66,33.30
2008-10-31,67,38.20
2008-11-07,62,38.45
2008-11-14,64,36.96
2008-11-21,66,34.67
2008-11-28,61,40.99
2008-12-05,60,38.26
2008-12-12,65,42.08
2008-12-19,62,42.69
2008-12-26,62,42.72
2009-01-02,67,46.91
2009-01-09,69,43.20
