Date,KO,Price
2004-01-09,19,
2004-01-16,18,
2004-01-23,19,
2004-01-30,17,
2004-02-06,16,50.99
2004-02-13,17,51.14
2004-02-20,19,50.94
2004-02-27,18,49.96
2004-03-05,18,50.10
2004-03-12,16,48.45
2004-03-19,18,48.78
2004-03-26,16,48.78
2004-04-02,15,50.93
2004-04-09,18,
2004-04-16,15,51.93
2004-04-23,18,51.05
2004-04-30,16,50.57
2004-05-07,17,50.74
2004-05-14,16,50.00
2004-05-21,17,49.38
2004-05-28,17,51.35
2004-06-04,16,52.27
2004-06-11,17,
2004-06-18,17,51.39
2004-06-25,18,50.10
2004-07-02,17,50.53
2004-07-09,18,51.02
2004-07-16,17,50.58
2004-07-23,18,45.17
2004-07-30,20,43.86
2004-08-06,18,43.50
2004-08-13,19,44.37
2004-08-20,19,44.21
2004-08-27,19,44.72
2004-09-03,18,45.49
2004-09-10,18,42.96
2004-09-17,17,40.30
2004-09-24,20,39.99
2004-10-01,19,40.31
2004-10-08,17,40.00
2004-10-15,19,39.20
2004-10-22,17,38.90
2004-10-29,16,40.66
2004-11-05,18,41.40
2004-11-12,17,40.79
2004-11-19,17,39.73
2004-11-26,19,39.86
2004-12-03,20,40.71
2004-12-10,19,40.53
2004-12-17,19,40.95
2004-12-24,18,
2004-12-31,53,41.64
2005-01-07,30,41.16
2005-01-14,22,40.97
2005-01-21,20,40.91
2005-01-28,19,41.49
2005-02-04,18,42.47
2005-02-11,20,42.76
2005-02-18,18,42.96
2005-02-25,18,43.02
2005-03-04,18,43.64
2005-03-11,18,42.48
2005-03-18,18,41.46
2005-03-25,17,
2005-04-01,18,41.38
2005-04-08,16,42.10
2005-04-15,16,41.29
2005-04-22,18,42.13
2005-04-29,18,43.44
2005-05-06,19,44.19
2005-05-13,17,44.11
2005-05-20,18,45.05
2005-05-27,18,44.93
2005-06-03,18,44.23
2005-06-10,19,43.95
2005-06-17,18,44.05
2005-06-24,18,42.20
2005-07-01,17,42.21
2005-07-08,19,42.73
2005-07-15,19,43.08
2005-07-22,19,44.03
2005-07-29,19,43.76
2005-08-05,20,44.06
2005-08-12,20,43.58
2005-08-19,19,44.39
2005-08-26,19,43.57
2005-09-02,19,43.90
2005-09-09,21,44.05
2005-09-16,20,43.40
2005-09-23,18,42.35
2005-09-30,20,43.19
2005-10-07,20,42.20
2005-10-14,18,42.07
2005-10-21,18,41.93
2005-10-28,19,42.83
2005-11-04,19,42.30
2005-11-11,20,42.76
2005-11-18,19,42.20
2005-11-25,19,42.80
2005-12-02,20,42.82
2005-12-09,20,41.51
2005-12-16,20,41.21
2005-12-23,22,41.15
2005-12-30,22,40.31
2006-01-06,22,41.41
2006-01-13,22,41.31
2006-01-20,22,40.09
2006-01-27,22,41.97
2006-02-03,20,40.88
2006-02-10,21,41.16
2006-02-17,21,41.79
2006-02-24,21,42.23
2006-03-03,20,41.80
2006-03-10,20,42.77
2006-03-17,20,42.79
2006-03-24,20,42.66
2006-03-31,20,41.87
2006-04-07,20,41.35
2006-04-14,19,
2006-04-21,21,41.85
2006-04-28,20,41.96
2006-05-05,21,42.71
2006-05-12,19,43.18
2006-05-19,19,43.65
2006-05-26,20,44.49
2006-06-02,20,43.89
2006-06-09,19,43.55
2006-06-16,19,43.21
2006-06-23,20,42.75
2006-06-30,18,43.02
2006-07-07,20,43.18
2006-07-14,19,42.65
2006-07-21,20,43.90
2006-07-28,22,44.52
2006-08-04,22,43.85
2006-08-11,22,43.76
2006-08-18,22,44.31
2006-08-25,23,44.52
2006-09-01,22,45.07
2006-09-08,22,44.60
2006-09-15,22,44.60
2006-09-22,21,43.99
2006-09-29,20,44.68
2006-10-06,20,44.76
2006-10-13,21,44.02
2006-10-20,21,46.75
2006-10-27,21,46.87
2006-11-03,22,46.50
2006-11-10,21,46.47
2006-11-17,23,47.26
2006-11-24,23,46.92
2006-12-01,22,46.57
2006-12-08,24,48.91
2006-12-15,23,48.93
2006-12-22,23,48.38
2006-12-29,23,48.25
2007-01-05,24,48.26
2007-01-12,23,48.55
2007-01-19,23,48.26
2007-01-26,22,47.83
2007-02-02,22,48.24
2007-02-09,21,47.76
2007-02-16,22,47.87
2007-02-23,23,47.26
2007-03-02,22,45.89
2007-03-09,22,47.57
2007-03-16,22,47.21
2007-03-23,22,48.05
2007-03-30,21,48.00
2007-04-06,23,
2007-04-13,22,49.88
2007-04-20,23,52.09
2007-04-27,22,52.06
2007-05-04,22,53.21
2007-05-11,22,52.69
2007-05-18,22,52.63
2007-05-25,22,51.89
2007-06-01,24,52.80
2007-06-08,24,51.67
2007-06-15,23,51.58
2007-06-22,23,51.62
2007-06-29,23,52.31
2007-07-06,24,52.60
2007-07-13,24,53.11
2007-07-20,25,53.21
2007-07-27,24,52.28
2007-08-03,25,53.28
2007-08-10,25,54.98
2007-08-17,25,54.45
2007-08-24,26,54.00
2007-08-31,25,53.78
2007-09-07,24,54.59
2007-09-14,25,56.40
2007-09-21,22,56.55
2007-09-28,25,57.47
2007-10-05,24,58.07
2007-10-12,25,57.80
2007-10-19,25,58.76
2007-10-26,23,61.57
2007-11-02,24,60.51
2007-11-09,26,60.83
2007-11-16,25,62.62
2007-11-23,26,62.30
2007-11-30,25,62.10
2007-12-07,25,63.15
2007-12-14,27,63.81
2007-12-21,25,63.07
2007-12-28,28,62.27
2008-01-04,29,61.85
2008-01-11,26,63.77
2008-01-18,28,60.74
