Date,INTC,Price
2004-01-09,19,
2004-01-16,28,
2004-01-23,18,
2004-01-30,22,
2004-02-06,14,30.88
2004-02-13,22,30.14
2004-02-20,21,30.00
2004-02-27,27,29.20
2004-03-05,24,28.95
2004-03-12,15,27.69
2004-03-19,15,26.49
2004-03-26,19,27.38
2004-04-02,22,28.12
2004-04-09,29,
2004-04-16,18,26.45
2004-04-23,17,27.53
2004-04-30,13,25.73
2004-05-07,13,26.47
2004-05-14,16,27.04
2004-05-21,12,27.55
2004-05-28,19,28.55
2004-06-04,20,28.14
2004-06-11,18,
2004-06-18,12,27.64
2004-06-25,10,27.78
2004-07-02,16,26.33
2004-07-09,19,26.57
2004-07-16,26,22.73
2004-07-23,22,22.67
2004-07-30,18,24.38
2004-08-06,13,22.77
2004-08-13,19,21.56
2004-08-20,24,21.62
2004-08-27,19,22.02
2004-09-03,25,20.05
2004-09-10,24,20.57
2004-09-17,24,20.59
2004-09-24,22,20.13
2004-10-01,21,20.85
2004-10-08,15,20.55
2004-10-15,19,20.61
2004-10-22,21,21.30
2004-10-29,22,22.26
2004-11-05,17,23.36
2004-11-12,18,23.69
2004-11-19,19,24.16
2004-11-26,19,23.21
2004-12-03,32,23.91
2004-12-10,20,22.56
2004-12-17,22,22.77
2004-12-24,12,
2004-12-31,19,23.39
2005-01-07,17,22.80
2005-01-14,26,23.02
2005-01-21,15,22.42
2005-01-28,22,22.24
2005-02-04,18,23.00
2005-02-11,13,24.17
2005-02-18,17,24.02
2005-02-25,18,24.09
2005-03-04,18,24.68
2005-03-11,23,24.20
2005-03-18,18,23.41
2005-03-25,16,
2005-04-01,14,23.01
2005-04-08,29,23.29
2005-04-15,12,22.12
2005-04-22,25,23.24
2005-04-29,20,23.52
2005-05-06,28,24.49
2005-05-13,29,25.12
2005-05-20,22,26.35
2005-05-27,44,27.39
2005-06-03,35,27.33
2005-06-10,65,26.98
2005-06-17,29,27.12
2005-06-24,28,26.10
2005-07-01,40,26.21
2005-07-08,21,27.28
2005-07-15,37,28.30
2005-07-22,51,26.75
2005-07-29,36,27.14
2005-08-05,36,26.77
2005-08-12,23,26.31
2005-08-19,30,25.65
2005-08-26,27,25.41
2005-09-02,22,25.28
2005-09-09,27,25.25
2005-09-16,31,24.81
2005-09-23,22,24.38
2005-09-30,26,24.65
2005-10-07,25,23.82
2005-10-14,25,23.23
2005-10-21,41,23.15
2005-10-28,23,23.33
2005-11-04,32,23.99
