Date,sell T,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,26.02
2004-02-13,0,25.05
2004-02-20,0,23.88
2004-02-27,0,24.01
2004-03-05,0,25.02
2004-03-12,0,24.36
2004-03-19,0,24.62
2004-03-26,0,23.92
2004-04-02,0,24.87
2004-04-09,0,
2004-04-16,0,24.17
2004-04-23,0,25.42
2004-04-30,0,24.90
2004-05-07,0,24.74
2004-05-14,0,24.50
2004-05-21,0,24.33
2004-05-28,0,23.70
2004-06-04,0,23.93
2004-06-11,0,
2004-06-18,0,24.60
2004-06-25,0,23.80
2004-07-02,0,24.11
2004-07-09,0,23.59
2004-07-16,0,23.10
2004-07-23,0,24.22
2004-07-30,0,25.34
2004-08-06,0,24.85
2004-08-13,0,25.06
2004-08-20,0,25.57
2004-08-27,0,25.84
2004-09-03,0,26.20
2004-09-10,0,26.57
2004-09-17,0,26.48
2004-09-24,0,26.05
2004-10-01,0,26.32
2004-10-08,0,26.83
2004-10-15,0,26.68
2004-10-22,0,25.24
2004-10-29,0,25.26
2004-11-05,0,26.25
2004-11-12,0,26.67
2004-11-19,0,25.89
2004-11-26,0,25.48
2004-12-03,0,25.81
2004-12-10,0,25.31
2004-12-17,0,25.70
2004-12-24,0,
2004-12-31,0,25.77
2005-01-07,0,25.08
2005-01-14,0,24.41
2005-01-21,0,24.58
2005-01-28,0,23.62
2005-02-04,0,24.60
2005-02-11,0,24.26
2005-02-18,0,24.18
2005-02-25,0,24.21
2005-03-04,0,24.49
2005-03-11,0,24.00
2005-03-18,0,23.35
2005-03-25,0,
2005-04-01,0,23.66
2005-04-08,0,23.75
2005-04-15,0,23.00
2005-04-22,0,23.20
2005-04-29,0,23.80
2005-05-06,0,23.62
2005-05-13,0,23.08
2005-05-20,0,23.63
2005-05-27,0,23.67
2005-06-03,0,23.34
2005-06-10,0,23.63
2005-06-17,0,24.02
2005-06-24,0,23.50
2005-07-01,0,23.93
2005-07-08,0,23.57
2005-07-15,0,24.12
2005-07-22,0,23.72
2005-07-29,0,24.45
2005-08-05,0,24.61
2005-08-12,0,24.46
2005-08-19,0,24.14
2005-08-26,90,23.71
2005-09-02,74,23.87
2005-09-09,74,24.05
2005-09-16,0,24.23
2005-09-23,0,23.77
2005-09-30,0,23.97
2005-10-07,0,22.75
2005-10-14,0,22.20
2005-10-21,0,23.00
2005-10-28,0,23.89
2005-11-04,0,23.66
2005-11-11,0,23.95
2005-11-18,0,24.38
2005-11-25,0,24.77
2005-12-02,0,25.07
2005-12-09,0,24.90
2005-12-16,0,24.96
2005-12-23,0,24.63
2005-12-30,0,24.49
2006-01-06,0,24.93
2006-01-13,0,24.99
2006-01-20,0,24.71
2006-01-27,0,25.89
2006-02-03,0,26.79
2006-02-10,0,27.48
2006-02-17,0,28.28
2006-02-24,0,27.57
2006-03-03,0,27.99
2006-03-10,0,27.23
2006-03-17,0,27.00
2006-03-24,0,27.37
2006-03-31,0,27.04
2006-04-07,0,26.16
2006-04-14,0,
2006-04-21,0,25.35
2006-04-28,0,26.21
2006-05-05,0,25.97
2006-05-12,0,25.62
2006-05-19,0,25.28
2006-05-26,67,26.23
2006-06-02,0,26.73
2006-06-09,0,26.62
2006-06-16,0,27.79
2006-06-23,0,27.37
2006-06-30,0,27.89
2006-07-07,0,27.74
2006-07-14,0,26.58
2006-07-21,0,27.34
2006-07-28,0,30.06
2006-08-04,0,30.97
2006-08-11,0,30.22
2006-08-18,0,30.51
2006-08-25,0,30.63
2006-09-01,47,31.61
2006-09-08,0,31.35
2006-09-15,0,31.86
2006-09-22,0,32.90
2006-09-29,0,32.56
2006-10-06,0,31.78
2006-10-13,0,33.60
2006-10-20,0,34.44
2006-10-27,0,34.22
2006-11-03,0,33.72
2006-11-10,0,33.05
2006-11-17,0,33.20
2006-11-24,0,32.67
2006-12-01,0,34.00
2006-12-08,0,34.97
2006-12-15,0,35.66
2006-12-22,43,34.98
2006-12-29,38,35.75
2007-01-05,38,33.96
2007-01-12,38,34.73
2007-01-19,44,35.07
2007-01-26,36,36.40
2007-02-02,36,38.12
2007-02-09,39,36.90
2007-02-16,41,37.48
2007-02-23,43,37.00
2007-03-02,45,36.44
2007-03-09,35,36.55
2007-03-16,35,36.98
2007-03-23,35,38.88
2007-03-30,35,39.43
2007-04-06,42,
2007-04-13,50,38.84
2007-04-20,41,39.87
2007-04-27,41,38.64
2007-05-04,41,39.48
2007-05-11,41,39.59
2007-05-18,38,41.10
2007-05-25,31,40.76
2007-06-01,32,40.53
2007-06-08,39,40.26
2007-06-15,47,40.28
2007-06-22,35,38.85
2007-06-29,44,41.50
2007-07-06,32,40.66
2007-07-13,48,40.40
2007-07-20,61,39.06
2007-07-27,38,39.24
2007-08-03,40,39.45
2007-08-10,41,38.87
2007-08-17,35,39.05
2007-08-24,41,40.36
2007-08-31,48,39.87
2007-09-07,29,38.73
2007-09-14,54,40.44
2007-09-21,40,42.53
2007-09-28,39,42.31
2007-10-05,45,42.14
2007-10-12,30,42.29
2007-10-19,48,41.37
2007-10-26,26,41.46
2007-11-02,33,40.42
2007-11-09,39,39.20
2007-11-16,45,39.55
2007-11-23,34,37.63
2007-11-30,25,38.21
2007-12-07,27,38.47
2007-12-14,42,41.14
2007-12-21,57,41.48
2007-12-28,39,42.44
2008-01-04,47,40.89
2008-01-11,37,38.20
2008-01-18,38,36.11
2008-01-25,43,35.26
2008-02-01,45,38.28
2008-02-08,47,36.37
2008-02-15,31,37.88
2008-02-22,33,34.98
2008-02-29,37,34.83
2008-03-07,41,35.01
2008-03-14,43,35.03
2008-03-21,32,
2008-03-28,37,37.66
2008-04-04,31,38.48
2008-04-11,40,37.30
2008-04-18,45,37.51
2008-04-25,39,38.58
2008-05-02,44,40.13
2008-05-09,44,38.59
2008-05-16,60,40.07
2008-05-23,42,38.53
2008-05-30,47,39.90
2008-06-06,44,38.21
2008-06-13,45,36.68
2008-06-20,39,34.43
2008-06-27,42,32.76
2008-07-04,35,
2008-07-11,78,32.58
2008-07-18,44,32.12
2008-07-25,44,31.40
2008-08-01,50,30.44
2008-08-08,60,30.97
2008-08-15,58,31.66
2008-08-22,56,31.17
2008-08-29,50,31.99
2008-09-05,51,31.50
2008-09-12,49,31.54
2008-09-19,49,30.43
2008-09-26,73,30.00
2008-10-03,51,28.12
2008-10-10,34,22.42
2008-10-17,43,25.29
2008-10-24,57,24.68
2008-10-31,36,26.77
2008-11-07,62,27.00
2008-11-14,40,27.65
2008-11-21,49,25.19
2008-11-28,48,28.56
2008-12-05,41,28.15
2008-12-12,44,28.18
2008-12-19,40,28.12
2008-12-26,42,27.94
2009-01-02,53,29.42
2009-01-09,42,26.68
2009-01-16,36,25.23
2009-01-23,55,26.12
2009-01-30,44,24.62
2009-02-06,45,26.08
2009-02-13,54,24.19
2009-02-20,54,23.58
2009-02-27,39,23.77
2009-03-06,56,22.58
2009-03-13,63,24.27
2009-03-20,54,25.33
2009-03-27,50,26.00
2009-04-03,50,26.83
2009-04-10,38,
2009-04-17,46,25.95
2009-04-24,57,25.16
2009-05-01,45,26.01
2009-05-08,54,25.25
2009-05-15,65,24.88
2009-05-22,40,23.68
2009-05-29,54,24.79
2009-06-05,33,24.56
2009-06-12,48,25.01
2009-06-19,60,24.04
2009-06-26,54,24.82
2009-07-03,60,
2009-07-10,63,23.44
2009-07-17,66,23.98
2009-07-24,61,25.45
2009-07-31,47,26.23
2009-08-07,56,25.62
2009-08-14,78,25.45
2009-08-21,61,26.00
2009-08-28,56,26.21
2009-09-04,66,25.51
2009-09-11,48,26.66
2009-09-18,43,27.05
2009-09-25,46,26.96
2009-10-02,60,26.52
2009-10-09,65,25.66
2009-10-16,44,25.70
2009-10-23,60,25.73
2009-10-30,42,25.67
2009-11-06,63,25.93
2009-11-13,48,26.25
2009-11-20,49,26.02
2009-11-27,51,26.99
2009-12-04,40,27.60
2009-12-11,58,28.01
2009-12-18,51,27.32
2009-12-25,38,
2010-01-01,53,
2010-01-08,44,27.10
2010-01-15,55,25.79
2010-01-22,69,25.39
2010-01-29,39,25.36
2010-02-05,49,25.24
2010-02-12,51,25.07
2010-02-19,49,25.10
2010-02-26,75,24.81
2010-03-05,61,24.99
2010-03-12,57,25.62
2010-03-19,39,26.24
2010-03-26,50,26.24
2010-04-02,34,
2010-04-09,50,26.44
2010-04-16,40,25.93
2010-04-23,51,26.25
2010-04-30,56,26.06
2010-05-07,64,25.10
2010-05-14,64,25.40
2010-05-21,63,24.85
2010-05-28,71,24.30
2010-06-04,41,24.17
2010-06-11,62,25.29
2010-06-18,63,25.43
2010-06-25,62,24.79
2010-07-02,53,24.29
2010-07-09,50,24.83
2010-07-16,57,24.69
2010-07-23,53,25.54
2010-07-30,44,25.94
2010-08-06,51,26.54
2010-08-13,67,26.72
2010-08-20,67,26.45
2010-08-27,62,26.94
2010-09-03,66,27.44
2010-09-10,62,27.83
2010-09-17,43,28.17
2010-09-24,82,28.58
2010-10-01,46,28.81
2010-10-08,56,28.22
2010-10-15,58,28.33
2010-10-22,64,28.29
2010-10-29,63,28.52
2010-11-05,61,29.27
2010-11-12,52,28.46
2010-11-19,58,28.32
2010-11-26,52,27.93
2010-12-03,67,28.49
2010-12-10,61,28.89
2010-12-17,75,29.21
2010-12-24,68,
2010-12-31,74,29.38
2011-01-07,59,28.85
2011-01-14,60,28.43
2011-01-21,59,28.33
2011-01-28,55,27.49
2011-02-04,59,27.97
2011-02-11,69,28.47
2011-02-18,64,28.57
2011-02-25,90,28.13
2011-03-04,67,27.92
2011-03-11,76,28.46
2011-03-18,58,27.94
2011-03-25,51,28.85
2011-04-01,70,30.62
2011-04-08,73,30.71
2011-04-15,60,30.65
2011-04-22,58,
2011-04-29,73,31.12
2011-05-06,58,31.26
2011-05-13,63,31.41
2011-05-20,78,31.32
2011-05-27,55,31.29
2011-06-03,63,30.65
2011-06-10,53,30.34
2011-06-17,62,30.77
2011-06-24,54,30.44
2011-07-01,55,31.68
2011-07-08,78,31.14
2011-07-15,73,30.31
2011-07-22,65,30.32
2011-07-29,82,29.26
2011-08-05,76,28.93
2011-08-12,77,28.22
2011-08-19,80,27.99
2011-08-26,65,29.04
2011-09-02,61,28.05
2011-09-09,65,27.54
2011-09-16,63,28.94
2011-09-23,60,27.85
2011-09-30,54,28.52
2011-10-07,63,28.44
2011-10-14,69,29.17
2011-10-21,72,29.13
2011-10-28,73,29.74
2011-11-04,54,29.16
2011-11-11,51,29.42
2011-11-18,53,28.64
2011-11-25,57,27.41
2011-12-02,59,28.96
2011-12-09,76,29.03
2011-12-16,65,28.85
2011-12-23,66,29.87
2011-12-30,61,30.24
2012-01-06,69,29.68
2012-01-13,67,30.07
2012-01-20,64,30.51
2012-01-27,72,29.16
2012-02-03,68,29.95
2012-02-10,67,29.84
2012-02-17,68,30.01
2012-02-24,72,30.34
2012-03-02,84,30.87
2012-03-09,61,31.18
2012-03-16,71,31.59
2012-03-23,74,31.52
2012-03-30,71,31.23
2012-04-06,71,
2012-04-13,65,30.54
2012-04-20,70,30.86
2012-04-27,65,32.67
2012-05-04,69,32.86
2012-05-11,64,33.59
2012-05-18,68,33.66
2012-05-25,77,33.69
2012-06-01,84,33.90
2012-06-08,80,34.55
2012-06-15,67,35.71
2012-06-22,74,35.17
2012-06-29,72,35.66
2012-07-06,70,35.44
2012-07-13,73,35.35
2012-07-20,82,35.29
2012-07-27,96,37.14
2012-08-03,69,37.58
2012-08-10,77,37.49
2012-08-17,76,37.17
2012-08-24,76,36.95
2012-08-31,71,36.64
2012-09-07,84,37.30
2012-09-14,85,37.26
2012-09-21,85,38.08
2012-09-28,95,37.70
2012-10-05,72,37.86
2012-10-12,73,35.63
2012-10-19,74,35.32
2012-10-26,91,34.63
2012-11-02,74,34.93
2012-11-09,70,33.54
2012-11-16,82,33.14
2012-11-23,74,34.36
2012-11-30,74,34.13
2012-12-07,95,33.74
2012-12-14,90,34.01
2012-12-21,95,33.67
2012-12-28,72,33.32
2013-01-04,85,35.23
2013-01-11,73,34.27
2013-01-18,65,33.44
2013-01-25,70,34.02
2013-02-01,78,35.51
2013-02-08,80,35.27
2013-02-15,77,35.36
2013-02-22,82,35.68
2013-03-01,71,36.01
2013-03-08,75,36.68
2013-03-15,100,36.43
2013-03-22,73,36.43
2013-03-29,79,
2013-04-05,80,38.02
2013-04-12,71,38.59
2013-04-19,78,38.28
2013-04-26,87,37.04
2013-05-03,87,37.34
2013-05-10,87,37.36
2013-05-17,79,37.44
2013-05-24,86,36.75
2013-05-31,67,34.99
2013-06-07,77,35.45
2013-06-14,85,35.91
2013-06-21,72,34.47
2013-06-28,81,35.40
2013-07-05,76,35.83
2013-07-12,79,35.81
2013-07-19,86,35.81
2013-07-26,86,35.60
2013-08-02,68,35.77
2013-08-09,82,34.80
2013-08-16,89,34.18
2013-08-23,87,34.29
2013-08-30,69,33.83
2013-09-06,75,33.41
2013-09-13,99,34.32
2013-09-20,86,34.31
2013-09-27,76,33.98
2013-10-04,89,33.75
2013-10-11,90,34.20
2013-10-18,68,34.61
2013-10-25,76,35.19
2013-11-01,72,36.24
2013-11-08,71,35.17
2013-11-15,79,35.43
2013-11-22,79,35.42
2013-11-29,75,35.21
2013-12-06,73,34.53
2013-12-13,84,33.85
2013-12-20,68,34.30
2013-12-27,75,35.18
2014-01-03,79,34.80
2014-01-10,74,33.62
2014-01-17,75,33.70
2014-01-24,84,33.42
2014-01-31,63,33.32
2014-02-07,70,32.30
2014-02-14,73,33.15
2014-02-21,67,32.80
2014-02-28,94,31.93
2014-03-07,77,32.54
2014-03-14,70,32.49
2014-03-21,70,34.30
2014-03-28,79,35.07
2014-04-04,83,35.55
2014-04-11,72,35.20
2014-04-18,85,
2014-04-25,80,34.49
2014-05-02, ,
