Date,GE,Price
2004-01-09,87,
2004-01-16,88,
2004-01-23,86,
2004-01-30,84,
2004-02-06,87,33.18
2004-02-13,86,32.72
2004-02-20,79,32.70
2004-02-27,82,32.52
2004-03-05,86,32.77
2004-03-12,79,30.60
2004-03-19,79,30.14
2004-03-26,78,30.10
2004-04-02,79,31.06
2004-04-09,81,
2004-04-16,80,31.23
2004-04-23,82,30.69
2004-04-30,85,29.95
2004-05-07,81,30.00
2004-05-14,85,30.16
2004-05-21,76,30.65
2004-05-28,80,31.12
2004-06-04,77,31.23
2004-06-11,83,
2004-06-18,80,32.58
2004-06-25,87,32.18
2004-07-02,83,31.67
2004-07-09,81,32.17
2004-07-16,92,33.09
2004-07-23,89,32.52
2004-07-30,86,33.25
2004-08-06,90,31.52
2004-08-13,85,31.89
2004-08-20,92,32.65
2004-08-27,87,32.77
2004-09-03,84,32.84
2004-09-10,89,33.88
2004-09-17,83,34.22
2004-09-24,80,33.41
2004-10-01,80,33.97
2004-10-08,88,33.74
2004-10-15,84,33.55
2004-10-22,82,32.95
2004-10-29,83,34.12
2004-11-05,81,35.19
2004-11-12,83,36.25
2004-11-19,87,36.27
2004-11-26,79,35.44
2004-12-03,88,35.83
2004-12-10,85,36.69
2004-12-17,86,36.75
2004-12-24,74,
2004-12-31,84,36.50
2005-01-07,90,36.00
2005-01-14,85,35.52
2005-01-21,87,35.13
2005-01-28,87,35.75
2005-02-04,81,36.25
2005-02-11,84,36.23
2005-02-18,88,35.88
2005-02-25,88,35.62
2005-03-04,84,36.12
2005-03-11,83,35.82
2005-03-18,84,35.88
2005-03-25,83,
2005-04-01,80,35.47
2005-04-08,80,35.74
2005-04-15,80,35.75
2005-04-22,81,36.10
2005-04-29,83,36.20
2005-05-06,83,35.85
2005-05-13,84,35.70
2005-05-20,83,37.00
2005-05-27,84,36.88
2005-06-03,83,36.70
2005-06-10,82,36.63
2005-06-17,88,36.50
2005-06-24,88,34.78
2005-07-01,87,34.74
2005-07-08,81,34.99
2005-07-15,90,35.53
2005-07-22,88,35.07
2005-07-29,89,34.50
2005-08-05,84,33.81
2005-08-12,84,34.25
2005-08-19,86,33.95
2005-08-26,85,33.38
2005-09-02,82,33.33
2005-09-09,82,33.98
2005-09-16,86,34.47
2005-09-23,81,33.40
2005-09-30,85,33.67
2005-10-07,85,34.22
2005-10-14,87,34.34
2005-10-21,81,33.73
2005-10-28,81,34.05
2005-11-04,86,34.02
2005-11-11,86,34.65
2005-11-18,87,35.75
2005-11-25,84,36.20
2005-12-02,88,35.50
2005-12-09,86,35.53
2005-12-16,82,36.06
2005-12-23,80,35.42
2005-12-30,82,35.05
2006-01-06,83,35.47
2006-01-13,84,35.10
2006-01-20,83,33.37
2006-01-27,86,32.95
2006-02-03,84,32.85
2006-02-10,83,33.28
2006-02-17,80,33.61
2006-02-24,81,33.14
2006-03-03,85,33.06
2006-03-10,80,33.65
2006-03-17,81,34.51
2006-03-24,81,33.95
2006-03-31,83,34.78
2006-04-07,83,34.03
2006-04-14,81,
2006-04-21,85,33.97
2006-04-28,83,34.59
2006-05-05,80,35.16
2006-05-12,83,34.28
2006-05-19,81,34.16
2006-05-26,80,34.33
2006-06-02,83,34.66
2006-06-09,81,34.07
2006-06-16,83,33.93
2006-06-23,83,33.16
2006-06-30,83,32.96
2006-07-07,83,33.30
2006-07-14,86,32.11
2006-07-21,91,32.25
2006-07-28,90,33.02
2006-08-04,87,32.80
2006-08-11,86,32.50
2006-08-18,83,34.00
2006-08-25,87,33.84
2006-09-01,84,34.14
2006-09-08,84,34.01
2006-09-15,84,34.85
2006-09-22,83,34.40
2006-09-29,83,35.30
2006-10-06,82,36.14
2006-10-13,87,35.98
2006-10-20,84,35.47
2006-10-27,84,35.21
2006-11-03,83,34.77
2006-11-10,81,35.17
2006-11-17,85,36.25
2006-11-24,82,35.69
2006-12-01,85,35.28
2006-12-08,82,35.27
2006-12-15,82,37.36
2006-12-22,79,37.57
2006-12-29,76,37.21
2007-01-05,82,37.56
2007-01-12,85,37.89
2007-01-19,92,36.95
2007-01-26,87,36.07
2007-02-02,84,36.27
2007-02-09,85,35.53
2007-02-16,80,35.87
2007-02-23,83,35.10
2007-03-02,84,34.87
2007-03-09,85,34.32
2007-03-16,84,34.36
2007-03-23,83,35.82
2007-03-30,83,35.36
2007-04-06,82,
2007-04-13,83,35.38
2007-04-20,81,35.13
2007-04-27,84,36.84
2007-05-04,78,37.15
2007-05-11,78,36.97
2007-05-18,100,36.96
2007-05-25,90,37.56
2007-06-01,84,37.45
2007-06-08,88,37.32
2007-06-15,84,38.12
2007-06-22,85,38.24
2007-06-29,86,38.28
2007-07-06,82,38.48
2007-07-13,91,39.50
2007-07-20,87,40.12
2007-07-27,88,38.79
2007-08-03,88,38.06
2007-08-10,87,38.23
2007-08-17,84,38.45
2007-08-24,85,39.41
2007-08-31,83,38.87
2007-09-07,80,38.75
2007-09-14,81,40.35
2007-09-21,85,41.25
2007-09-28,83,41.40
2007-10-05,82,41.77
2007-10-12,83,41.03
2007-10-19,79,40.04
2007-10-26,80,40.38
2007-11-02,84,40.33
2007-11-09,82,38.38
2007-11-16,83,38.65
2007-11-23,82,37.67
2007-11-30,85,38.29
2007-12-07,94,37.23
2007-12-14,82,36.91
2007-12-21,79,37.14
2007-12-28,73,37.34
2008-01-04,83,36.04
2008-01-11,84,35.17
2008-01-18,84,34.31
2008-01-25,83,34.00
2008-02-01,82,36.16
2008-02-08,78,33.84
2008-02-15,80,34.37
2008-02-22,82,33.55
2008-02-29,82,33.14
2008-03-07,78,32.23
2008-03-14,80,33.82
2008-03-21,78,
2008-03-28,79,36.61
2008-04-04,81,37.56
2008-04-11,84,32.05
2008-04-18,86,32.69
2008-04-25,83,33.33
2008-05-02,77,33.34
2008-05-09,79,32.27
2008-05-16,81,32.13
2008-05-23,80,30.43
2008-05-30,79,30.72
2008-06-06,80,30.02
2008-06-13,83,29.15
2008-06-20,80,27.38
2008-06-27,83,26.26
2008-07-04,81,
2008-07-11,89,27.66
2008-07-18,85,28.00
2008-07-25,84,28.71
2008-08-01,82,28.21
2008-08-08,83,29.64
2008-08-15,81,29.80
2008-08-22,78,29.12
2008-08-29,79,28.10
2008-09-05,76,27.88
2008-09-12,78,26.75
2008-09-19,84,26.62
2008-09-26,84,25.25
2008-10-03,90,21.57
2008-10-10,91,21.50
2008-10-17,90,19.63
2008-10-24,85,17.83
2008-10-31,82,19.51
2008-11-07,77,18.86
2008-11-14,83,16.02
2008-11-21,87,14.03
2008-11-28,80,17.17
2008-12-05,84,17.85
2008-12-12,80,17.11
2008-12-19,78,16.50
2008-12-26,70,15.97
2009-01-02,77,17.07
2009-01-09,80,16.00
2009-01-16,83,13.96
2009-01-23,83,12.03
2009-01-30,81,12.13
2009-02-06,84,11.10
2009-02-13,79,11.44
2009-02-20,85,9.38
2009-02-27,89,8.51
2009-03-06,96,7.06
2009-03-13,95,9.62
2009-03-20,90,9.54
2009-03-27,87,10.78
2009-04-03,87,10.94
2009-04-10,82,
2009-04-17,83,12.39
2009-04-24,82,12.11
2009-05-01,80,12.69
2009-05-08,82,14.53
2009-05-15,80,12.86
2009-05-22,76,13.10
2009-05-29,75,13.48
2009-06-05,76,13.54
2009-06-12,75,13.51
2009-06-19,77,12.10
2009-06-26,74,11.75
2009-07-03,74,
2009-07-10,79,10.78
2009-07-17,78,11.65
2009-07-24,78,12.03
