Date,DD,Price
2004-01-09,55,
2004-01-16,52,
2004-01-23,56,
2004-01-30,55,
2004-02-06,53,44.45
2004-02-13,52,44.46
2004-02-20,55,45.28
2004-02-27,60,45.09
2004-03-05,54,44.64
2004-03-12,65,42.30
2004-03-19,57,41.55
2004-03-26,53,41.74
2004-04-02,60,43.71
2004-04-09,56,
2004-04-16,56,44.98
2004-04-23,53,44.65
2004-04-30,52,42.95
2004-05-07,49,42.00
2004-05-14,60,41.69
2004-05-21,57,41.99
2004-05-28,52,43.20
2004-06-04,55,42.82
2004-06-11,54,
2004-06-18,55,44.09
2004-06-25,52,43.76
2004-07-02,54,43.62
2004-07-09,62,43.09
2004-07-16,54,42.50
2004-07-23,61,42.28
2004-07-30,56,42.87
2004-08-06,64,41.55
2004-08-13,55,40.21
2004-08-20,61,41.70
2004-08-27,60,42.55
2004-09-03,59,42.66
2004-09-10,54,43.30
2004-09-17,55,42.66
2004-09-24,53,41.78
2004-10-01,59,43.15
2004-10-08,60,43.46
2004-10-15,62,42.76
2004-10-22,60,42.02
2004-10-29,55,42.87
2004-11-05,57,44.18
2004-11-12,50,44.50
2004-11-19,57,44.88
2004-11-26,55,45.46
2004-12-03,55,45.73
2004-12-10,57,45.98
2004-12-17,58,47.75
2004-12-24,58,
2004-12-31,61,49.05
2005-01-07,59,47.37
2005-01-14,60,47.07
2005-01-21,56,46.71
2005-01-28,58,47.23
2005-02-04,57,48.71
2005-02-11,62,51.10
2005-02-18,57,53.95
2005-02-25,57,53.96
2005-03-04,60,54.55
2005-03-11,67,53.47
2005-03-18,57,52.14
2005-03-25,59,
2005-04-01,64,50.83
2005-04-08,55,50.70
2005-04-15,52,46.55
2005-04-22,57,48.10
2005-04-29,58,47.11
2005-05-06,60,48.05
2005-05-13,59,46.24
2005-05-20,59,46.97
2005-05-27,60,46.87
2005-06-03,57,46.10
2005-06-10,61,47.25
2005-06-17,57,46.94
2005-06-24,56,44.68
2005-07-01,58,42.83
2005-07-08,60,43.50
2005-07-15,61,44.06
2005-07-22,59,44.20
2005-07-29,63,42.68
2005-08-05,61,42.71
2005-08-12,64,41.35
2005-08-19,69,40.73
2005-08-26,63,39.74
2005-09-02,59,38.85
2005-09-09,58,39.84
2005-09-16,56,40.51
2005-09-23,55,38.78
2005-09-30,60,39.17
2005-10-07,60,37.88
2005-10-14,60,38.00
2005-10-21,58,38.64
2005-10-28,66,42.00
2005-11-04,64,43.31
2005-11-11,60,42.50
