Date,UNH,Price
2004-01-09,66,
2004-01-16,54,
2004-01-23,62,
2004-01-30,48,
2004-02-06,64,59.62
2004-02-13,74,59.67
2004-02-20,57,61.04
2004-02-27,61,62.00
2004-03-05,60,63.17
2004-03-12,61,61.82
2004-03-19,57,63.47
2004-03-26,66,62.07
2004-04-02,65,65.12
2004-04-09,60,
2004-04-16,41,65.41
2004-04-23,63,65.95
2004-04-30,50,61.48
2004-05-07,74,60.53
2004-05-14,51,62.52
2004-05-21,49,63.20
2004-05-28,53,65.25
2004-06-04,49,64.95
2004-06-11,55,
2004-06-18,44,64.00
2004-06-25,45,61.73
2004-07-02,36,60.95
2004-07-09,46,60.25
2004-07-16,22,65.64
2004-07-23,38,62.90
2004-07-30,38,62.90
2004-08-06,50,61.35
2004-08-13,50,64.90
2004-08-20,51,65.57
2004-08-27,53,65.64
2004-09-03,63,67.04
2004-09-10,54,68.87
2004-09-17,64,69.82
2004-09-24,68,71.33
2004-10-01,64,73.76
2004-10-08,60,73.40
2004-10-15,78,73.35
2004-10-22,80,69.86
2004-10-29,76,72.40
2004-11-05,59,79.48
2004-11-12,59,81.50
2004-11-19,84,81.72
2004-11-26,75,83.88
2004-12-03,87,82.31
2004-12-10,81,84.77
2004-12-17,62,85.36
2004-12-24,49,
2004-12-31,47,88.03
2005-01-07,67,87.23
2005-01-14,53,89.56
2005-01-21,70,88.85
2005-01-28,58,88.15
2005-02-04,71,91.77
2005-02-11,68,87.75
2005-02-18,73,89.05
2005-02-25,66,91.39
2005-03-04,61,93.29
2005-03-11,69,90.28
2005-03-18,54,91.25
2005-03-25,69,
2005-04-01,72,95.83
2005-04-08,69,98.40
2005-04-15,63,93.27
2005-04-22,65,91.26
2005-04-29,58,94.51
2005-05-06,67,98.41
2005-05-13,54,95.37
2005-05-20,54,96.50
2005-05-27,54,97.77
2005-06-03,53,50.60
2005-06-10,49,50.79
2005-06-17,42,51.85
2005-06-24,53,51.30
2005-07-01,46,52.81
2005-07-08,62,53.05
2005-07-15,49,50.82
2005-07-22,62,50.80
2005-07-29,66,52.30
2005-08-05,50,52.06
2005-08-12,58,52.09
