Date,WMT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,29,
2004-02-06,28,57.58
2004-02-13,26,56.32
2004-02-20,26,59.43
2004-02-27,26,59.56
2004-03-05,43,60.24
2004-03-12,28,58.48
2004-03-19,28,58.60
2004-03-26,49,59.41
2004-04-02,32,58.60
2004-04-09,32,
2004-04-16,33,58.44
2004-04-23,34,58.97
2004-04-30,35,57.00
2004-05-07,35,53.90
2004-05-14,36,55.06
2004-05-21,30,55.09
2004-05-28,43,55.73
2004-06-04,24,56.59
2004-06-11,28,
2004-06-18,24,55.62
2004-06-25,22,52.51
2004-07-02,24,51.93
2004-07-09,27,51.76
2004-07-16,29,52.65
2004-07-23,31,53.16
2004-07-30,34,53.01
2004-08-06,36,51.33
2004-08-13,34,53.40
2004-08-20,34,54.65
2004-08-27,28,53.56
2004-09-03,28,53.25
2004-09-10,19,53.45
2004-09-17,19,52.48
2004-09-24,24,52.81
2004-10-01,30,53.13
2004-10-08,24,52.85
2004-10-15,29,52.53
2004-10-22,34,51.99
2004-10-29,36,53.92
2004-11-05,27,56.47
2004-11-12,29,56.85
2004-11-19,30,55.25
2004-11-26,31,55.32
2004-12-03,32,52.93
2004-12-10,32,52.71
2004-12-17,23,52.02
2004-12-24,20,
2004-12-31,29,52.82
2005-01-07,37,53.99
2005-01-14,25,53.99
2005-01-21,34,53.01
2005-01-28,22,52.43
2005-02-04,26,53.46
2005-02-11,29,52.10
2005-02-18,32,52.72
2005-02-25,21,51.49
2005-03-04,22,53.10
2005-03-11,40,51.60
2005-03-18,35,51.45
2005-03-25,24,
2005-04-01,27,48.99
2005-04-08,44,48.57
2005-04-15,48,47.70
2005-04-22,35,46.81
2005-04-29,56,47.14
2005-05-06,58,48.96
2005-05-13,61,47.13
2005-05-20,40,47.18
2005-05-27,48,47.27
2005-06-03,44,47.35
2005-06-10,39,47.98
2005-06-17,55,48.93
2005-06-24,38,47.37
2005-07-01,33,48.28
2005-07-08,54,49.90
2005-07-15,47,50.25
2005-07-22,37,49.54
2005-07-29,50,49.35
2005-08-05,48,49.32
2005-08-12,48,48.70
2005-08-19,46,46.58
2005-08-26,51,45.70
2005-09-02,42,44.55
2005-09-09,36,45.89
2005-09-16,36,43.87
2005-09-23,55,43.20
2005-09-30,59,43.82
2005-10-07,54,44.03
2005-10-14,71,45.04
2005-10-21,56,45.72
2005-10-28,73,45.50
2005-11-04,90,47.69
2005-11-11,59,49.00
2005-11-18,100,49.50
2005-11-25,75,50.49
2005-12-02,89,47.97
2005-12-09,90,48.08
2005-12-16,72,49.27
2005-12-23,80,48.34
2005-12-30,77,46.80
2006-01-06,77,45.88
2006-01-13,64,45.40
2006-01-20,60,45.00
2006-01-27,66,45.84
2006-02-03,61,45.49
2006-02-10,66,45.75
2006-02-17,64,46.10
2006-02-24,57,45.45
2006-03-03,55,45.33
2006-03-10,67,45.33
2006-03-17,56,46.69
2006-03-24,61,48.19
2006-03-31,51,47.24
2006-04-07,60,46.02
2006-04-14,54,
2006-04-21,50,45.82
2006-04-28,58,45.03
2006-05-05,56,47.25
2006-05-12,48,46.54
2006-05-19,72,47.32
2006-05-26,54,49.65
2006-06-02,56,47.83
2006-06-09,46,47.13
2006-06-16,58,48.31
2006-06-23,44,47.94
2006-06-30,38,48.17
2006-07-07,37,46.00
2006-07-14,46,43.05
2006-07-21,41,43.72
2006-07-28,42,44.46
2006-08-04,41,44.87
2006-08-11,42,44.69
2006-08-18,57,44.49
2006-08-25,60,43.88
2006-09-01,42,45.45
2006-09-08,40,46.72
2006-09-15,55,48.22
2006-09-22,56,48.29
2006-09-29,48,49.32
2006-10-06,64,48.32
2006-10-13,52,48.46
2006-10-20,54,49.37
2006-10-27,70,50.73
2006-11-03,66,47.53
2006-11-10,53,46.47
2006-11-17,69,47.50
2006-11-24,47,47.90
2006-12-01,70,45.87
2006-12-08,43,46.35
2006-12-15,54,46.45
2006-12-22,51,45.54
2006-12-29,34,46.18
2007-01-05,49,47.39
2007-01-12,51,47.98
2007-01-19,42,48.31
2007-01-26,45,47.67
2007-02-02,35,48.08
2007-02-09,46,47.97
2007-02-16,45,48.48
2007-02-23,51,49.57
2007-03-02,63,47.81
2007-03-09,49,47.42
2007-03-16,30,46.21
2007-03-23,34,47.91
2007-03-30,36,46.95
2007-04-06,38,
2007-04-13,48,47.41
2007-04-20,47,49.76
2007-04-27,50,48.34
2007-05-04,39,48.27
2007-05-11,47,47.78
2007-05-18,42,47.27
2007-05-25,41,46.91
2007-06-01,39,49.47
2007-06-08,64,50.08
2007-06-15,47,49.34
2007-06-22,38,47.83
2007-06-29,32,48.11
2007-07-06,27,48.39
2007-07-13,41,49.15
2007-07-20,48,48.06
2007-07-27,51,45.94
2007-08-03,32,45.52
2007-08-10,50,46.07
2007-08-17,67,43.49
2007-08-24,47,43.74
2007-08-31,49,43.63
2007-09-07,39,42.39
2007-09-14,38,43.32
2007-09-21,41,44.23
2007-09-28,47,43.65
2007-10-05,34,45.37
2007-10-12,43,47.06
2007-10-19,34,44.98
2007-10-26,46,44.64
2007-11-02,45,44.19
2007-11-09,46,42.90
2007-11-16,61,46.34
2007-11-23,42,45.73
2007-11-30,39,47.90
2007-12-07,50,49.02
2007-12-14,35,47.63
2007-12-21,42,48.21
2007-12-28,32,48.08
2008-01-04,32,45.72
2008-01-11,36,47.72
2008-01-18,44,47.58
2008-01-25,43,48.09
2008-02-01,50,51.18
2008-02-08,47,48.76
2008-02-15,40,49.44
2008-02-22,46,49.97
2008-02-29,50,49.59
2008-03-07,44,49.90
2008-03-14,39,49.82
2008-03-21,46,
2008-03-28,43,52.12
2008-04-04,43,54.40
2008-04-11,49,54.80
2008-04-18,41,56.31
2008-04-25,45,57.65
2008-05-02,41,57.50
2008-05-09,46,57.18
2008-05-16,58,57.04
2008-05-23,41,55.75
2008-05-30,37,57.74
2008-06-06,46,58.37
2008-06-13,63,59.18
2008-06-20,47,56.26
2008-06-27,41,56.30
2008-07-04,31,
2008-07-11,44,56.29
2008-07-18,36,57.92
2008-07-25,32,56.83
2008-08-01,35,57.75
2008-08-08,48,57.86
2008-08-15,41,59.37
2008-08-22,41,59.44
2008-08-29,34,59.07
2008-09-05,39,60.74
2008-09-12,47,62.41
2008-09-19,54,59.70
2008-09-26,43,60.71
2008-10-03,60,59.73
2008-10-10,81,50.95
2008-10-17,77,53.77
2008-10-24,56,51.40
2008-10-31,58,55.81
2008-11-07,56,54.39
2008-11-14,58,52.71
2008-11-21,57,52.92
2008-11-28,47,55.88
2008-12-05,48,58.21
2008-12-12,50,54.63
2008-12-19,44,55.74
2008-12-26,30,55.35
2009-01-02,35,57.18
2009-01-09,50,51.58
2009-01-16,43,51.56
2009-01-23,38,48.35
2009-01-30,37,47.12
2009-02-06,51,49.63
2009-02-13,46,46.53
2009-02-20,52,50.02
2009-02-27,49,49.24
2009-03-06,61,48.91
2009-03-13,51,49.19
2009-03-20,43,49.59
2009-03-27,40,52.57
2009-04-03,45,53.80
2009-04-10,42,
2009-04-17,39,50.20
2009-04-24,38,47.87
2009-05-01,40,50.05
2009-05-08,40,50.14
2009-05-15,43,48.15
2009-05-22,34,49.25
2009-05-29,29,49.74
2009-06-05,40,51.07
2009-06-12,34,49.84
2009-06-19,39,48.17
2009-06-26,27,48.63
2009-07-03,24,
2009-07-10,30,47.57
2009-07-17,27,48.49
2009-07-24,34,48.94
2009-07-31,32,49.88
2009-08-07,29,49.29
2009-08-14,39,51.79
2009-08-21,30,51.36
2009-08-28,30,51.13
2009-09-04,33,51.68
2009-09-11,33,50.72
2009-09-18,30,50.11
2009-09-25,36,49.47
2009-10-02,25,49.08
2009-10-09,28,49.97
2009-10-16,36,51.22
2009-10-23,33,50.44
2009-10-30,38,49.68
2009-11-06,33,51.25
2009-11-13,39,53.20
2009-11-20,37,54.28
2009-11-27,32,54.63
2009-12-04,34,54.24
2009-12-11,33,54.65
2009-12-18,27,52.85
2009-12-25,29,
2010-01-01,17,
2010-01-08,30,53.33
2010-01-15,31,53.68
2010-01-22,25,52.94
2010-01-29,32,53.43
2010-02-05,25,53.45
2010-02-12,22,52.90
2010-02-19,28,53.49
2010-02-26,21,54.07
2010-03-05,20,54.14
2010-03-12,20,53.90
2010-03-19,30,55.34
2010-03-26,27,55.51
2010-04-02,25,
2010-04-09,26,55.07
2010-04-16,27,54.11
2010-04-23,25,54.53
2010-04-30,24,53.64
2010-05-07,24,52.40
2010-05-14,26,52.12
2010-05-21,32,51.37
2010-05-28,25,50.56
2010-06-04,22,50.40
2010-06-11,18,50.86
2010-06-18,18,51.55
2010-06-25,22,48.80
2010-07-02,25,48.00
2010-07-09,29,49.43
2010-07-16,21,49.67
2010-07-23,23,51.67
2010-07-30,22,51.19
2010-08-06,23,51.79
2010-08-13,26,50.40
2010-08-20,30,50.22
2010-08-27,19,51.00
2010-09-03,30,52.04
2010-09-10,20,51.97
2010-09-17,21,53.01
2010-09-24,27,54.08
2010-10-01,21,53.36
2010-10-08,19,54.41
2010-10-15,26,53.35
2010-10-22,21,54.06
2010-10-29,23,54.17
2010-11-05,26,55.20
2010-11-12,28,54.13
2010-11-19,28,54.39
2010-11-26,19,53.74
2010-12-03,23,54.62
2010-12-10,26,54.28
2010-12-17,23,54.41
2010-12-24,21,
2010-12-31,26,53.93
2011-01-07,26,54.08
2011-01-14,23,54.81
2011-01-21,22,55.73
2011-01-28,23,56.70
2011-02-04,24,56.03
2011-02-11,25,55.69
2011-02-18,25,55.38
2011-02-25,30,51.75
2011-03-04,29,52.07
2011-03-11,27,52.59
2011-03-18,23,51.52
2011-03-25,24,52.35
2011-04-01,22,52.13
2011-04-08,22,52.54
2011-04-15,27,53.55
2011-04-22,23,
2011-04-29,22,54.98
2011-05-06,26,55.02
2011-05-13,21,55.72
2011-05-20,24,55.29
2011-05-27,20,54.70
2011-06-03,25,53.66
2011-06-10,22,52.72
2011-06-17,22,52.82
2011-06-24,26,52.41
2011-07-01,23,53.51
2011-07-08,24,54.08
2011-07-15,20,53.63
2011-07-22,17,54.52
2011-07-29,20,52.71
2011-08-05,32,50.85
2011-08-12,36,49.75
2011-08-19,29,52.30
2011-08-26,20,52.90
2011-09-02,24,52.03
2011-09-09,25,51.36
2011-09-16,21,52.65
2011-09-23,19,50.80
2011-09-30,22,51.90
2011-10-07,20,53.70
2011-10-14,23,55.46
2011-10-21,25,56.92
2011-10-28,28,57.15
2011-11-04,22,57.50
2011-11-11,26,59.20
2011-11-18,26,57.23
2011-11-25,21,56.89
2011-12-02,23,58.09
2011-12-09,27,58.32
2011-12-16,20,58.27
2011-12-23,21,59.99
2011-12-30,22,59.76
2012-01-06,25,59.00
2012-01-13,25,59.54
2012-01-20,24,61.01
2012-01-27,22,60.71
2012-02-03,22,62.03
2012-02-10,22,61.90
2012-02-17,22,62.48
2012-02-24,31,58.79
2012-03-02,29,59.01
2012-03-09,23,60.08
2012-03-16,21,60.84
2012-03-23,22,60.75
2012-03-30,21,61.20
2012-04-06,23,
2012-04-13,20,59.77
2012-04-20,22,62.45
2012-04-27,42,59.03
2012-05-04,22,58.70
2012-05-11,22,59.42
2012-05-18,27,62.43
2012-05-25,30,65.31
2012-06-01,25,65.55
2012-06-08,28,68.22
2012-06-15,26,67.75
2012-06-22,23,67.30
2012-06-29,28,69.72
2012-07-06,25,71.36
2012-07-13,23,73.18
2012-07-20,29,72.25
2012-07-27,24,74.52
2012-08-03,30,74.55
2012-08-10,24,73.68
2012-08-17,32,71.99
2012-08-24,27,72.11
2012-08-31,23,72.60
2012-09-07,20,73.82
2012-09-14,23,74.50
2012-09-21,24,74.45
2012-09-28,23,73.80
2012-10-05,22,75.13
2012-10-12,27,75.81
2012-10-19,25,75.62
2012-10-26,26,75.11
2012-11-02,24,72.77
2012-11-09,30,72.31
2012-11-16,32,68.03
2012-11-23,25,70.20
2012-11-30,26,72.02
2012-12-07,26,72.29
2012-12-14,25,68.75
2012-12-21,26,68.65
2012-12-28,22,67.61
2013-01-04,25,69.06
2013-01-11,26,68.63
2013-01-18,23,69.20
2013-01-25,20,69.00
2013-02-01,26,70.49
2013-02-08,23,71.48
2013-02-15,25,69.30
2013-02-22,31,70.40
2013-03-01,24,71.74
2013-03-08,28,73.03
2013-03-15,25,72.50
2013-03-22,23,74.28
2013-03-29,22,
2013-04-05,23,76.39
2013-04-12,32,78.56
2013-04-19,26,78.29
2013-04-26,25,79.04
2013-05-03,25,79.25
2013-05-10,25,78.89
2013-05-17,28,77.87
2013-05-24,24,77.31
2013-05-31,21,74.84
2013-06-07,24,76.33
2013-06-14,24,74.87
2013-06-21,22,73.51
2013-06-28,20,74.49
2013-07-05,19,75.21
2013-07-12,21,77.63
2013-07-19,21,78.08
2013-07-26,24,78.00
2013-08-02,22,78.75
2013-08-09,23,76.90
2013-08-16,28,74.11
2013-08-23,26,73.44
2013-08-30,26,72.98
2013-09-06,24,72.59
2013-09-13,23,74.36
2013-09-20,22,75.83
2013-09-27,24,74.36
2013-10-04,21,72.80
2013-10-11,22,74.82
2013-10-18,24,75.71
2013-10-25,21,76.08
2013-11-01,23,77.07
2013-11-08,21,77.96
2013-11-15,26,79.22
2013-11-22,22,79.81
2013-11-29,26,81.01
2013-12-06,23,79.94
2013-12-13,22,78.08
2013-12-20,23,77.43
2013-12-27,17,78.47
2014-01-03,20,78.65
2014-01-10,21,78.04
2014-01-17,19,76.19
2014-01-24,22,74.42
2014-01-31,24,74.68
2014-02-07,22,73.75
2014-02-14,24,75.79
2014-02-21,27,73.12
2014-02-28,23,74.70
2014-03-07,20,74.58
2014-03-14,21,74.28
2014-03-21,19,76.10
2014-03-28,22,76.01
2014-04-04,19,77.31
2014-04-11,21,76.50
2014-04-18,17,
2014-04-25,18,78.62
2014-05-02, ,
