Date,The Coca-Cola Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,50.99
2004-02-13,0,51.14
2004-02-20,0,50.94
2004-02-27,0,49.96
2004-03-05,0,50.10
2004-03-12,0,48.45
2004-03-19,0,48.78
2004-03-26,0,48.78
2004-04-02,0,50.93
2004-04-09,0,
2004-04-16,0,51.93
2004-04-23,0,51.05
2004-04-30,0,50.57
2004-05-07,0,50.74
2004-05-14,0,50.00
2004-05-21,0,49.38
2004-05-28,0,51.35
2004-06-04,0,52.27
2004-06-11,0,
2004-06-18,0,51.39
2004-06-25,0,50.10
2004-07-02,0,50.53
2004-07-09,0,51.02
2004-07-16,0,50.58
2004-07-23,0,45.17
2004-07-30,0,43.86
2004-08-06,0,43.50
2004-08-13,0,44.37
2004-08-20,0,44.21
2004-08-27,0,44.72
2004-09-03,0,45.49
2004-09-10,0,42.96
2004-09-17,0,40.30
2004-09-24,0,39.99
2004-10-01,0,40.31
2004-10-08,0,40.00
2004-10-15,0,39.20
2004-10-22,0,38.90
2004-10-29,0,40.66
2004-11-05,0,41.40
2004-11-12,0,40.79
2004-11-19,0,39.73
2004-11-26,0,39.86
2004-12-03,0,40.71
2004-12-10,0,40.53
2004-12-17,0,40.95
2004-12-24,0,
2004-12-31,0,41.64
2005-01-07,0,41.16
2005-01-14,0,40.97
2005-01-21,0,40.91
2005-01-28,0,41.49
2005-02-04,0,42.47
2005-02-11,0,42.76
2005-02-18,0,42.96
2005-02-25,0,43.02
2005-03-04,0,43.64
2005-03-11,0,42.48
2005-03-18,0,41.46
2005-03-25,0,
2005-04-01,0,41.38
2005-04-08,0,42.10
2005-04-15,0,41.29
2005-04-22,0,42.13
2005-04-29,0,43.44
2005-05-06,0,44.19
2005-05-13,0,44.11
2005-05-20,0,45.05
2005-05-27,0,44.93
2005-06-03,0,44.23
2005-06-10,0,43.95
2005-06-17,0,44.05
2005-06-24,0,42.20
2005-07-01,0,42.21
2005-07-08,0,42.73
2005-07-15,0,43.08
2005-07-22,0,44.03
2005-07-29,0,43.76
2005-08-05,0,44.06
2005-08-12,0,43.58
2005-08-19,0,44.39
2005-08-26,0,43.57
2005-09-02,0,43.90
2005-09-09,0,44.05
2005-09-16,0,43.40
2005-09-23,0,42.35
2005-09-30,0,43.19
2005-10-07,0,42.20
2005-10-14,0,42.07
2005-10-21,0,41.93
2005-10-28,0,42.83
2005-11-04,0,42.30
2005-11-11,0,42.76
2005-11-18,0,42.20
2005-11-25,0,42.80
2005-12-02,99,42.82
2005-12-09,0,41.51
2005-12-16,0,41.21
2005-12-23,0,41.15
2005-12-30,0,40.31
2006-01-06,0,41.41
2006-01-13,0,41.31
2006-01-20,0,40.09
2006-01-27,0,41.97
2006-02-03,0,40.88
2006-02-10,0,41.16
2006-02-17,0,41.79
2006-02-24,0,42.23
2006-03-03,0,41.80
2006-03-10,0,42.77
2006-03-17,0,42.79
2006-03-24,0,42.66
2006-03-31,0,41.87
2006-04-07,0,41.35
2006-04-14,0,
2006-04-21,0,41.85
2006-04-28,0,41.96
2006-05-05,0,42.71
2006-05-12,0,43.18
2006-05-19,0,43.65
2006-05-26,0,44.49
2006-06-02,85,43.89
2006-06-09,84,43.55
2006-06-16,84,43.21
2006-06-23,0,42.75
2006-06-30,0,43.02
2006-07-07,0,43.18
2006-07-14,0,42.65
2006-07-21,0,43.90
2006-07-28,0,44.52
2006-08-04,0,43.85
2006-08-11,0,43.76
2006-08-18,0,44.31
2006-08-25,0,44.52
2006-09-01,0,45.07
2006-09-08,0,44.60
2006-09-15,95,44.60
2006-09-22,86,43.99
2006-09-29,0,44.68
2006-10-06,0,44.76
2006-10-13,0,44.02
2006-10-20,0,46.75
2006-10-27,0,46.87
2006-11-03,68,46.50
2006-11-10,66,46.47
2006-11-17,66,47.26
2006-11-24,66,46.92
2006-12-01,89,46.57
2006-12-08,71,48.91
2006-12-15,71,48.93
2006-12-22,71,48.38
2006-12-29,72,48.25
2007-01-05,72,48.26
2007-01-12,72,48.55
2007-01-19,76,48.26
2007-01-26,79,47.83
2007-02-02,82,48.24
2007-02-09,85,47.76
2007-02-16,93,47.87
2007-02-23,100,47.26
2007-03-02,94,45.89
2007-03-09,90,47.57
2007-03-16,90,47.21
2007-03-23,61,48.05
2007-03-30,61,48.00
2007-04-06,62,
2007-04-13,62,49.88
2007-04-20,98,52.09
2007-04-27,60,52.06
2007-05-04,55,53.21
2007-05-11,55,52.69
2007-05-18,55,52.63
2007-05-25,55,51.89
2007-06-01,76,52.80
2007-06-08,56,51.67
2007-06-15,69,51.58
2007-06-22,81,51.62
2007-06-29,50,52.31
2007-07-06,51,52.60
2007-07-13,56,53.11
2007-07-20,61,53.21
2007-07-27,65,52.28
2007-08-03,48,53.28
2007-08-10,48,54.98
2007-08-17,48,54.45
2007-08-24,48,54.00
2007-08-31,48,53.78
2007-09-07,51,54.59
2007-09-14,45,56.40
2007-09-21,58,56.55
2007-09-28,71,57.47
2007-10-05,53,58.07
2007-10-12,54,57.80
2007-10-19,55,58.76
2007-10-26,63,61.57
2007-11-02,62,60.51
2007-11-09,62,60.83
2007-11-16,56,62.62
2007-11-23,58,62.30
2007-11-30,60,62.10
2007-12-07,59,63.15
2007-12-14,52,63.81
2007-12-21,43,63.07
2007-12-28,43,62.27
2008-01-04,43,61.85
2008-01-11,43,63.77
2008-01-18,54,60.74
2008-01-25,49,58.41
2008-02-01,49,59.26
2008-02-08,42,59.25
2008-02-15,42,58.76
2008-02-22,41,58.26
2008-02-29,66,58.46
2008-03-07,44,58.85
2008-03-14,45,57.53
2008-03-21,47,
2008-03-28,37,60.94
2008-04-04,50,60.25
2008-04-11,50,60.29
2008-04-18,83,60.11
2008-04-25,37,59.33
2008-05-02,56,58.77
2008-05-09,55,56.15
2008-05-16,53,57.07
2008-05-23,59,58.63
2008-05-30,64,57.26
2008-06-06,39,55.80
2008-06-13,43,55.42
2008-06-20,46,53.66
2008-06-27,48,51.84
2008-07-04,38,
2008-07-11,37,50.27
2008-07-18,37,50.03
2008-07-25,37,52.06
2008-08-01,44,53.14
2008-08-08,41,55.41
2008-08-15,41,55.06
2008-08-22,36,54.37
2008-08-29,42,52.07
2008-09-05,49,51.93
2008-09-12,55,54.50
2008-09-19,52,52.72
2008-09-26,42,52.48
2008-10-03,36,52.57
2008-10-10,31,41.50
2008-10-17,31,44.20
2008-10-24,34,41.61
2008-10-31,36,44.06
2008-11-07,44,46.25
2008-11-14,51,45.02
2008-11-21,45,44.00
2008-11-28,40,46.87
2008-12-05,40,45.98
2008-12-12,40,44.57
2008-12-19,37,44.43
2008-12-26,29,44.58
2009-01-02,29,45.90
2009-01-09,29,44.60
2009-01-16,29,43.84
2009-01-23,31,42.20
2009-01-30,35,42.72
2009-02-06,39,43.55
2009-02-13,42,43.85
2009-02-20,44,42.84
2009-02-27,28,40.85
2009-03-06,57,39.10
2009-03-13,49,41.22
2009-03-20,44,42.64
2009-03-27,51,45.10
2009-04-03,63,44.97
2009-04-10,39,
2009-04-17,39,45.02
2009-04-24,48,42.79
2009-05-01,33,42.47
2009-05-08,59,42.92
2009-05-15,42,44.96
2009-05-22,39,47.30
2009-05-29,31,49.16
2009-06-05,50,49.44
2009-06-12,29,48.89
2009-06-19,29,48.81
2009-06-26,29,48.13
2009-07-03,29,
2009-07-10,33,48.31
2009-07-17,38,50.32
2009-07-24,29,49.36
2009-07-31,30,49.84
2009-08-07,39,49.34
2009-08-14,49,48.47
2009-08-21,58,49.91
2009-08-28,38,49.06
2009-09-04,45,49.95
2009-09-11,27,51.51
2009-09-18,46,53.76
2009-09-25,34,52.97
2009-10-02,41,53.87
2009-10-09,31,54.65
2009-10-16,42,55.01
2009-10-23,53,53.24
2009-10-30,38,53.31
2009-11-06,38,54.49
2009-11-13,38,56.46
2009-11-20,34,57.48
2009-11-27,26,57.18
2009-12-04,42,57.49
2009-12-11,40,59.11
2009-12-18,41,56.92
2009-12-25,31,
2010-01-01,31,
2010-01-08,31,55.15
2010-01-15,30,56.29
2010-01-22,25,54.24
2010-01-29,25,54.25
2010-02-05,23,53.09
2010-02-12,25,53.98
2010-02-19,42,55.72
2010-02-26,43,52.72
2010-03-05,33,54.70
2010-03-12,45,53.35
2010-03-19,31,54.75
2010-03-26,53,54.65
2010-04-02,32,
2010-04-09,33,54.59
2010-04-16,33,54.97
2010-04-23,37,53.88
2010-04-30,44,53.45
2010-05-07,37,52.67
2010-05-14,36,53.34
2010-05-21,30,51.59
2010-05-28,36,51.40
2010-06-04,34,51.27
2010-06-11,23,51.65
2010-06-18,28,52.31
2010-06-25,30,50.26
2010-07-02,23,50.05
2010-07-09,26,52.40
2010-07-16,32,52.37
2010-07-23,20,54.75
2010-07-30,21,55.11
2010-08-06,22,56.75
2010-08-13,20,55.73
2010-08-20,24,55.30
2010-08-27,21,56.16
2010-09-03,26,57.56
2010-09-10,25,58.52
2010-09-17,29,57.56
2010-09-24,40,58.62
2010-10-01,30,59.12
2010-10-08,30,59.41
2010-10-15,27,59.94
2010-10-22,28,61.61
2010-10-29,31,61.32
2010-11-05,24,62.58
2010-11-12,26,62.92
2010-11-19,36,64.32
2010-11-26,41,64.11
2010-12-03,39,64.50
2010-12-10,42,64.65
2010-12-17,25,65.70
2010-12-24,21,
2010-12-31,23,65.77
2011-01-07,26,62.92
2011-01-14,26,63.13
2011-01-21,32,62.77
2011-01-28,19,62.21
2011-02-04,18,62.56
2011-02-11,28,63.57
2011-02-18,37,64.55
2011-02-25,46,64.31
2011-03-04,26,65.21
2011-03-11,31,64.81
2011-03-18,32,62.70
2011-03-25,47,65.22
2011-04-01,40,67.22
2011-04-08,39,67.27
2011-04-15,31,68.01
2011-04-22,33,
2011-04-29,26,67.46
2011-05-06,32,66.90
2011-05-13,43,68.18
2011-05-20,31,68.30
2011-05-27,31,66.51
2011-06-03,38,65.53
2011-06-10,26,65.39
2011-06-17,31,65.62
2011-06-24,32,64.93
2011-07-01,34,68.09
2011-07-08,28,68.68
2011-07-15,27,67.53
2011-07-22,31,69.73
2011-07-29,29,68.01
2011-08-05,18,66.77
2011-08-12,29,67.14
2011-08-19,26,67.10
2011-08-26,31,68.50
2011-09-02,22,69.74
2011-09-09,18,69.37
2011-09-16,24,71.23
2011-09-23,19,67.42
2011-09-30,43,67.56
2011-10-07,36,65.90
2011-10-14,30,67.85
2011-10-21,29,68.19
2011-10-28,27,68.93
2011-11-04,21,67.78
2011-11-11,27,68.12
2011-11-18,37,67.39
2011-11-25,24,64.74
2011-12-02,42,66.38
2011-12-09,31,67.57
2011-12-16,31,67.44
2011-12-23,23,69.94
2011-12-30,14,69.97
2012-01-06,17,68.93
2012-01-13,30,66.99
2012-01-20,20,68.09
2012-01-27,27,67.44
2012-02-03,27,68.08
2012-02-10,23,67.94
2012-02-17,27,69.05
2012-02-24,29,69.00
2012-03-02,38,69.18
2012-03-09,32,69.51
2012-03-16,40,70.16
2012-03-23,32,71.49
2012-03-30,15,74.01
2012-04-06,28,
2012-04-13,48,71.94
2012-04-20,28,74.13
2012-04-27,36,76.63
2012-05-04,47,77.00
2012-05-11,37,77.47
2012-05-18,35,74.05
2012-05-25,39,75.23
2012-06-01,28,73.09
2012-06-08,31,75.24
2012-06-15,24,76.09
2012-06-22,40,74.94
2012-06-29,39,78.19
2012-07-06,25,78.15
2012-07-13,28,77.28
2012-07-20,27,77.03
2012-07-27,42,80.01
2012-08-03,29,80.83
2012-08-10,17,78.79
2012-08-17,35,39.53
2012-08-24,39,38.47
2012-08-31,29,37.40
2012-09-07,28,37.90
2012-09-14,44,38.12
2012-09-21,43,38.03
2012-09-28,34,37.93
2012-10-05,30,38.58
2012-10-12,48,38.23
2012-10-19,66,37.40
2012-10-26,31,37.04
2012-11-02,39,37.08
2012-11-09,34,36.29
2012-11-16,36,36.56
2012-11-23,28,37.93
2012-11-30,33,37.92
2012-12-07,36,37.71
2012-12-14,34,37.66
2012-12-21,27,36.89
2012-12-28,12,35.97
2013-01-04,17,37.66
2013-01-11,25,36.91
2013-01-18,28,37.70
2013-01-25,25,37.05
2013-02-01,22,37.54
2013-02-08,28,38.77
2013-02-15,20,37.42
2013-02-22,31,38.52
2013-03-01,23,38.70
2013-03-08,14,39.22
2013-03-15,25,38.83
2013-03-22,29,40.04
2013-03-29,20,
2013-04-05,29,40.08
2013-04-12,24,41.08
2013-04-19,29,42.66
2013-04-26,29,42.10
2013-05-03,31,42.24
2013-05-10,30,42.15
2013-05-17,25,42.97
2013-05-24,18,42.24
2013-05-31,18,39.99
2013-06-07,12,41.41
2013-06-14,11,40.34
2013-06-21,19,39.76
2013-06-28,19,40.11
2013-07-05,23,40.52
2013-07-12,23,41.03
2013-07-19,16,41.09
2013-07-26,21,40.64
2013-08-02,18,40.22
2013-08-09,11,40.16
2013-08-16,21,39.05
2013-08-23,28,38.52
2013-08-30,18,38.18
2013-09-06,19,38.35
2013-09-13,24,38.69
2013-09-20,17,39.40
2013-09-27,29,38.40
2013-10-04,33,37.20
2013-10-11,23,37.77
2013-10-18,25,38.78
2013-10-25,27,39.03
2013-11-01,26,39.61
2013-11-08,25,40.05
2013-11-15,23,40.22
2013-11-22,39,40.43
2013-11-29,28,40.19
2013-12-06,21,40.46
2013-12-13,30,39.23
2013-12-20,26,40.04
2013-12-27,20,40.66
2014-01-03,15,40.46
2014-01-10,16,40.13
2014-01-17,15,39.28
2014-01-24,17,38.84
2014-01-31,27,37.82
2014-02-07,29,37.95
2014-02-14,30,38.93
2014-02-21,27,37.18
2014-02-28,29,38.20
2014-03-07,26,38.55
2014-03-14,18,38.17
2014-03-21,27,38.44
2014-03-28,27,38.95
2014-04-04,27,38.22
2014-04-11,26,38.63
2014-04-18,25,
2014-04-25,28,41.01
2014-05-02, ,
