Date,"The Travelers Companies, Inc.",Price
2004-01-09,95,
2004-01-16,96,
2004-01-23,99,
2004-01-30,98,
2004-02-06,99,42.78
2004-02-13,97,43.22
2004-02-20,100,43.06
2004-02-27,97,42.74
2004-03-05,99,42.24
2004-03-12,93,40.63
2004-03-19,92,40.17
2004-03-26,85,39.74
2004-04-02,96,42.13
2004-04-09,93,
2004-04-16,91,42.70
2004-04-23,91,42.60
2004-04-30,93,40.67
2004-05-07,92,40.23
2004-05-14,88,40.23
2004-05-21,88,39.76
2004-05-28,87,39.68
2004-06-04,83,40.46
2004-06-11,91,
2004-06-18,90,41.27
2004-06-25,92,41.59
2004-07-02,88,39.61
2004-07-09,88,38.72
2004-07-16,94,38.30
2004-07-23,94,35.66
2004-07-30,90,37.07
2004-08-06,91,33.86
2004-08-13,92,32.94
2004-08-20,91,34.73
2004-08-27,91,34.75
2004-09-03,85,34.32
2004-09-10,80,33.69
2004-09-17,84,35.18
2004-09-24,85,34.32
2004-10-01,81,33.51
2004-10-08,81,33.85
2004-10-15,77,31.94
2004-10-22,76,31.13
2004-10-29,80,33.96
2004-11-05,77,36.31
2004-11-12,70,36.54
2004-11-19,79,35.71
2004-11-26,61,36.42
2004-12-03,76,37.23
2004-12-10,75,36.85
2004-12-17,72,37.19
2004-12-24,64,
2004-12-31,68,37.07
2005-01-07,79,36.98
2005-01-14,81,37.49
2005-01-21,79,36.20
2005-01-28,84,36.90
2005-02-04,81,38.67
2005-02-11,81,39.40
2005-02-18,80,38.14
2005-02-25,81,38.82
2005-03-04,77,38.24
2005-03-11,79,37.89
2005-03-18,77,36.96
2005-03-25,78,
2005-04-01,76,35.36
2005-04-08,72,35.28
2005-04-15,75,34.10
2005-04-22,76,34.45
2005-04-29,76,35.80
2005-05-06,78,37.92
2005-05-13,74,37.27
2005-05-20,76,37.40
2005-05-27,76,38.15
2005-06-03,72,38.38
2005-06-10,77,39.15
2005-06-17,75,38.89
2005-06-24,77,38.16
2005-07-01,72,39.60
2005-07-08,71,40.03
2005-07-15,83,41.46
2005-07-22,80,41.09
2005-07-29,79,44.02
2005-08-05,78,44.01
2005-08-12,79,44.40
2005-08-19,77,44.34
2005-08-26,74,44.74
2005-09-02,70,42.44
2005-09-09,66,41.86
2005-09-16,72,43.50
2005-09-23,73,42.75
2005-09-30,71,44.87
2005-10-07,72,42.47
2005-10-14,72,42.33
2005-10-21,71,42.30
2005-10-28,70,44.46
2005-11-04,69,45.72
2005-11-11,67,46.02
2005-11-18,68,46.45
2005-11-25,52,46.31
2005-12-02,68,46.50
2005-12-09,66,45.39
2005-12-16,62,44.78
