Date,buy T,Price
2004-01-09,36,
2004-01-16,41,
2004-01-23,33,
2004-01-30,41,
2004-02-06,28,26.02
2004-02-13,33,25.05
2004-02-20,36,23.88
2004-02-27,45,24.01
2004-03-05,31,25.02
2004-03-12,31,24.36
2004-03-19,31,24.62
2004-03-26,22,23.92
2004-04-02,22,24.87
2004-04-09,40,
2004-04-16,32,24.17
2004-04-23,32,25.42
2004-04-30,41,24.90
2004-05-07,38,24.74
2004-05-14,44,24.50
2004-05-21,21,24.33
2004-05-28,40,23.70
2004-06-04,18,23.93
2004-06-11,47,
2004-06-18,31,24.60
2004-06-25,44,23.80
2004-07-02,43,24.11
2004-07-09,46,23.59
2004-07-16,45,23.10
2004-07-23,50,24.22
2004-07-30,45,25.34
2004-08-06,40,24.85
2004-08-13,39,25.06
2004-08-20,35,25.57
2004-08-27,54,25.84
2004-09-03,25,26.20
2004-09-10,32,26.57
2004-09-17,39,26.48
2004-09-24,39,26.05
2004-10-01,38,26.32
2004-10-08,33,26.83
2004-10-15,34,26.68
2004-10-22,44,25.24
2004-10-29,36,25.26
2004-11-05,35,26.25
2004-11-12,29,26.67
2004-11-19,40,25.89
2004-11-26,55,25.48
2004-12-03,41,25.81
2004-12-10,42,25.31
2004-12-17,39,25.70
2004-12-24,25,
2004-12-31,41,25.77
2005-01-07,21,25.08
2005-01-14,25,24.41
2005-01-21,38,24.58
2005-01-28,38,23.62
2005-02-04,26,24.60
2005-02-11,36,24.26
2005-02-18,27,24.18
2005-02-25,35,24.21
2005-03-04,28,24.49
2005-03-11,26,24.00
2005-03-18,27,23.35
2005-03-25,30,
2005-04-01,31,23.66
2005-04-08,21,23.75
2005-04-15,29,23.00
2005-04-22,28,23.20
2005-04-29,45,23.80
2005-05-06,40,23.62
2005-05-13,31,23.08
2005-05-20,41,23.63
2005-05-27,50,23.67
2005-06-03,40,23.34
2005-06-10,37,23.63
2005-06-17,34,24.02
2005-06-24,37,23.50
2005-07-01,31,23.93
2005-07-08,32,23.57
2005-07-15,35,24.12
2005-07-22,28,23.72
2005-07-29,41,24.45
2005-08-05,43,24.61
2005-08-12,34,24.46
2005-08-19,45,24.14
2005-08-26,35,23.71
2005-09-02,32,23.87
2005-09-09,40,24.05
2005-09-16,36,24.23
2005-09-23,42,23.77
2005-09-30,30,23.97
2005-10-07,45,22.75
2005-10-14,41,22.20
2005-10-21,26,23.00
2005-10-28,29,23.89
2005-11-04,33,23.66
2005-11-11,29,23.95
2005-11-18,25,24.38
2005-11-25,38,24.77
2005-12-02,43,25.07
2005-12-09,53,24.90
2005-12-16,35,24.96
2005-12-23,42,24.63
2005-12-30,35,24.49
2006-01-06,28,24.93
2006-01-13,34,24.99
2006-01-20,35,24.71
2006-01-27,29,25.89
2006-02-03,27,26.79
2006-02-10,28,27.48
2006-02-17,35,28.28
2006-02-24,33,27.57
2006-03-03,29,27.99
2006-03-10,30,27.23
2006-03-17,29,27.00
2006-03-24,37,27.37
2006-03-31,32,27.04
2006-04-07,28,26.16
2006-04-14,31,
2006-04-21,29,25.35
2006-04-28,28,26.21
2006-05-05,29,25.97
2006-05-12,33,25.62
2006-05-19,33,25.28
2006-05-26,35,26.23
2006-06-02,24,26.73
2006-06-09,37,26.62
2006-06-16,34,27.79
2006-06-23,28,27.37
2006-06-30,34,27.89
2006-07-07,39,27.74
2006-07-14,32,26.58
2006-07-21,34,27.34
2006-07-28,34,30.06
2006-08-04,30,30.97
2006-08-11,32,30.22
2006-08-18,30,30.51
2006-08-25,25,30.63
2006-09-01,36,31.61
2006-09-08,34,31.35
2006-09-15,30,31.86
2006-09-22,28,32.90
2006-09-29,37,32.56
2006-10-06,26,31.78
2006-10-13,40,33.60
2006-10-20,34,34.44
2006-10-27,31,34.22
2006-11-03,30,33.72
2006-11-10,25,33.05
2006-11-17,31,33.20
2006-11-24,29,32.67
2006-12-01,36,34.00
2006-12-08,34,34.97
2006-12-15,39,35.66
2006-12-22,32,34.98
2006-12-29,24,35.75
2007-01-05,33,33.96
2007-01-12,28,34.73
2007-01-19,35,35.07
2007-01-26,30,36.40
2007-02-02,33,38.12
2007-02-09,38,36.90
2007-02-16,41,37.48
2007-02-23,56,37.00
2007-03-02,48,36.44
2007-03-09,49,36.55
2007-03-16,55,36.98
2007-03-23,52,38.88
2007-03-30,64,39.43
2007-04-06,76,
2007-04-13,84,38.84
2007-04-20,75,39.87
2007-04-27,83,38.64
2007-05-04,79,39.48
2007-05-11,72,39.59
2007-05-18,88,41.10
2007-05-25,77,40.76
2007-06-01,75,40.53
2007-06-08,85,40.26
2007-06-15,70,40.28
2007-06-22,56,38.85
2007-06-29,71,41.50
2007-07-06,69,40.66
2007-07-13,66,40.40
2007-07-20,69,39.06
2007-07-27,54,39.24
2007-08-03,61,39.45
2007-08-10,55,38.87
2007-08-17,56,39.05
2007-08-24,51,40.36
2007-08-31,52,39.87
2007-09-07,53,38.73
2007-09-14,48,40.44
2007-09-21,44,42.53
2007-09-28,40,42.31
2007-10-05,45,42.14
2007-10-12,42,42.29
2007-10-19,43,41.37
2007-10-26,47,41.46
2007-11-02,46,40.42
2007-11-09,46,39.20
2007-11-16,42,39.55
2007-11-23,50,37.63
2007-11-30,49,38.21
2007-12-07,52,38.47
2007-12-14,56,41.14
2007-12-21,47,41.48
2007-12-28,43,42.44
2008-01-04,37,40.89
2008-01-11,36,38.20
2008-01-18,44,36.11
2008-01-25,40,35.26
2008-02-01,42,38.28
2008-02-08,39,36.37
2008-02-15,40,37.88
2008-02-22,40,34.98
2008-02-29,39,34.83
2008-03-07,38,35.01
2008-03-14,44,35.03
2008-03-21,48,
2008-03-28,38,37.66
2008-04-04,40,38.48
2008-04-11,42,37.30
2008-04-18,43,37.51
2008-04-25,43,38.58
2008-05-02,48,40.13
2008-05-09,41,38.59
2008-05-16,42,40.07
2008-05-23,43,38.53
2008-05-30,42,39.90
2008-06-06,47,38.21
2008-06-13,52,36.68
2008-06-20,51,34.43
2008-06-27,44,32.76
2008-07-04,49,
2008-07-11,60,32.58
2008-07-18,49,32.12
2008-07-25,50,31.40
2008-08-01,53,30.44
2008-08-08,59,30.97
2008-08-15,56,31.66
2008-08-22,58,31.17
2008-08-29,56,31.99
2008-09-05,52,31.50
2008-09-12,48,31.54
2008-09-19,51,30.43
2008-09-26,53,30.00
2008-10-03,57,28.12
2008-10-10,52,22.42
2008-10-17,56,25.29
2008-10-24,51,24.68
2008-10-31,54,26.77
2008-11-07,54,27.00
2008-11-14,54,27.65
2008-11-21,52,25.19
2008-11-28,59,28.56
2008-12-05,51,28.15
2008-12-12,62,28.18
2008-12-19,60,28.12
2008-12-26,62,27.94
2009-01-02,52,29.42
2009-01-09,43,26.68
2009-01-16,45,25.23
2009-01-23,45,26.12
2009-01-30,46,24.62
2009-02-06,44,26.08
2009-02-13,47,24.19
2009-02-20,48,23.58
2009-02-27,55,23.77
2009-03-06,54,22.58
2009-03-13,50,24.27
2009-03-20,46,25.33
2009-03-27,47,26.00
2009-04-03,44,26.83
2009-04-10,46,
2009-04-17,48,25.95
2009-04-24,49,25.16
2009-05-01,42,26.01
2009-05-08,47,25.25
2009-05-15,48,24.88
2009-05-22,47,23.68
2009-05-29,51,24.79
2009-06-05,45,24.56
2009-06-12,49,25.01
2009-06-19,51,24.04
2009-06-26,47,24.82
2009-07-03,55,
2009-07-10,52,23.44
2009-07-17,56,23.98
2009-07-24,55,25.45
2009-07-31,52,26.23
2009-08-07,62,25.62
2009-08-14,56,25.45
2009-08-21,54,26.00
2009-08-28,56,26.21
2009-09-04,50,25.51
2009-09-11,51,26.66
2009-09-18,53,27.05
2009-09-25,54,26.96
2009-10-02,50,26.52
2009-10-09,51,25.66
2009-10-16,49,25.70
2009-10-23,49,25.73
2009-10-30,52,25.67
2009-11-06,50,25.93
2009-11-13,52,26.25
2009-11-20,57,26.02
2009-11-27,67,26.99
2009-12-04,71,27.60
2009-12-11,60,28.01
2009-12-18,65,27.32
2009-12-25,60,
2010-01-01,61,
2010-01-08,55,27.10
2010-01-15,55,25.79
2010-01-22,51,25.39
2010-01-29,46,25.36
2010-02-05,54,25.24
2010-02-12,55,25.07
2010-02-19,50,25.10
2010-02-26,55,24.81
2010-03-05,47,24.99
2010-03-12,52,25.62
2010-03-19,49,26.24
2010-03-26,44,26.24
2010-04-02,52,
2010-04-09,49,26.44
2010-04-16,47,25.93
2010-04-23,51,26.25
2010-04-30,52,26.06
2010-05-07,52,25.10
2010-05-14,57,25.40
2010-05-21,50,24.85
2010-05-28,50,24.30
2010-06-04,54,24.17
2010-06-11,55,25.29
2010-06-18,59,25.43
2010-06-25,55,24.79
2010-07-02,59,24.29
2010-07-09,59,24.83
2010-07-16,63,24.69
2010-07-23,60,25.54
2010-07-30,55,25.94
2010-08-06,55,26.54
2010-08-13,55,26.72
2010-08-20,58,26.45
2010-08-27,56,26.94
2010-09-03,56,27.44
2010-09-10,52,27.83
2010-09-17,56,28.17
2010-09-24,56,28.58
2010-10-01,55,28.81
2010-10-08,56,28.22
2010-10-15,57,28.33
2010-10-22,58,28.29
2010-10-29,56,28.52
2010-11-05,57,29.27
2010-11-12,61,28.46
2010-11-19,66,28.32
2010-11-26,70,27.93
2010-12-03,69,28.49
2010-12-10,70,28.89
2010-12-17,74,29.21
2010-12-24,74,
2010-12-31,70,29.38
2011-01-07,62,28.85
2011-01-14,57,28.43
2011-01-21,55,28.33
2011-01-28,55,27.49
2011-02-04,60,27.97
2011-02-11,55,28.47
2011-02-18,53,28.57
2011-02-25,58,28.13
2011-03-04,61,27.92
2011-03-11,51,28.46
2011-03-18,55,27.94
2011-03-25,84,28.85
2011-04-01,60,30.62
2011-04-08,64,30.71
2011-04-15,56,30.65
2011-04-22,55,
2011-04-29,62,31.12
2011-05-06,60,31.26
2011-05-13,60,31.41
2011-05-20,55,31.32
2011-05-27,58,31.29
2011-06-03,59,30.65
2011-06-10,60,30.34
2011-06-17,61,30.77
2011-06-24,64,30.44
2011-07-01,63,31.68
2011-07-08,61,31.14
2011-07-15,60,30.31
2011-07-22,62,30.32
2011-07-29,65,29.26
2011-08-05,68,28.93
2011-08-12,64,28.22
2011-08-19,68,27.99
2011-08-26,66,29.04
2011-09-02,60,28.05
2011-09-09,57,27.54
2011-09-16,63,28.94
2011-09-23,59,27.85
2011-09-30,59,28.52
2011-10-07,64,28.44
2011-10-14,61,29.17
2011-10-21,61,29.13
2011-10-28,60,29.74
2011-11-04,55,29.16
2011-11-11,64,29.42
2011-11-18,69,28.64
2011-11-25,86,27.41
2011-12-02,80,28.96
2011-12-09,72,29.03
2011-12-16,76,28.85
2011-12-23,73,29.87
2011-12-30,71,30.24
2012-01-06,63,29.68
2012-01-13,56,30.07
2012-01-20,61,30.51
2012-01-27,68,29.16
2012-02-03,67,29.95
2012-02-10,68,29.84
2012-02-17,65,30.01
2012-02-24,67,30.34
2012-03-02,71,30.87
2012-03-09,65,31.18
2012-03-16,65,31.59
2012-03-23,60,31.52
2012-03-30,63,31.23
2012-04-06,62,
2012-04-13,61,30.54
2012-04-20,62,30.86
2012-04-27,64,32.67
2012-05-04,70,32.86
2012-05-11,62,33.59
2012-05-18,63,33.66
2012-05-25,63,33.69
2012-06-01,70,33.90
2012-06-08,68,34.55
2012-06-15,69,35.71
2012-06-22,69,35.17
2012-06-29,69,35.66
2012-07-06,71,35.44
2012-07-13,70,35.35
2012-07-20,70,35.29
2012-07-27,71,37.14
2012-08-03,75,37.58
2012-08-10,75,37.49
2012-08-17,76,37.17
2012-08-24,74,36.95
2012-08-31,69,36.64
2012-09-07,78,37.30
2012-09-14,72,37.26
2012-09-21,73,38.08
2012-09-28,75,37.70
2012-10-05,72,37.86
2012-10-12,68,35.63
2012-10-19,70,35.32
2012-10-26,76,34.63
2012-11-02,66,34.93
2012-11-09,69,33.54
2012-11-16,76,33.14
2012-11-23,94,34.36
2012-11-30,85,34.13
2012-12-07,81,33.74
2012-12-14,82,34.01
2012-12-21,86,33.67
2012-12-28,79,33.32
2013-01-04,71,35.23
2013-01-11,61,34.27
2013-01-18,64,33.44
2013-01-25,64,34.02
2013-02-01,61,35.51
2013-02-08,65,35.27
2013-02-15,66,35.36
2013-02-22,75,35.68
2013-03-01,71,36.01
2013-03-08,72,36.68
2013-03-15,71,36.43
2013-03-22,72,36.43
2013-03-29,73,
2013-04-05,69,38.02
2013-04-12,76,38.59
2013-04-19,78,38.28
2013-04-26,76,37.04
2013-05-03,82,37.34
2013-05-10,77,37.36
2013-05-17,70,37.44
2013-05-24,79,36.75
2013-05-31,72,34.99
2013-06-07,69,35.45
2013-06-14,74,35.91
2013-06-21,71,34.47
2013-06-28,75,35.40
2013-07-05,77,35.83
2013-07-12,72,35.81
2013-07-19,78,35.81
2013-07-26,76,35.60
2013-08-02,79,35.77
2013-08-09,75,34.80
2013-08-16,79,34.18
2013-08-23,75,34.29
2013-08-30,72,33.83
2013-09-06,74,33.41
2013-09-13,72,34.32
2013-09-20,75,34.31
2013-09-27,71,33.98
2013-10-04,69,33.75
2013-10-11,74,34.20
2013-10-18,72,34.61
2013-10-25,70,35.19
2013-11-01,74,36.24
2013-11-08,67,35.17
2013-11-15,77,35.43
2013-11-22,81,35.42
2013-11-29,100,35.21
2013-12-06,86,34.53
2013-12-13,86,33.85
2013-12-20,88,34.30
2013-12-27,89,35.18
2014-01-03,75,34.80
2014-01-10,73,33.62
2014-01-17,68,33.70
2014-01-24,67,33.42
2014-01-31,66,33.32
2014-02-07,69,32.30
2014-02-14,67,33.15
2014-02-21,66,32.80
2014-02-28,70,31.93
2014-03-07,67,32.54
2014-03-14,65,32.49
2014-03-21,65,34.30
2014-03-28,65,35.07
2014-04-04,68,35.55
2014-04-11,72,35.20
2014-04-18,71,
2014-04-25,70,34.49
2014-05-02, ,
