Date,UTX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,94.32
2004-02-13,0,94.63
2004-02-20,0,96.62
2004-02-27,0,92.11
2004-03-05,0,89.90
2004-03-12,0,87.35
2004-03-19,0,85.40
2004-03-26,0,86.30
2004-04-02,0,87.74
2004-04-09,0,
2004-04-16,0,88.72
2004-04-23,72,88.93
2004-04-30,0,86.26
2004-05-07,0,85.18
2004-05-14,0,83.25
2004-05-21,0,81.56
2004-05-28,0,84.61
2004-06-04,0,85.75
2004-06-11,0,
2004-06-18,0,89.95
2004-06-25,0,89.25
2004-07-02,73,89.49
2004-07-09,73,89.76
2004-07-16,73,90.79
2004-07-23,73,92.09
2004-07-30,74,93.50
2004-08-06,0,90.05
2004-08-13,0,90.92
2004-08-20,0,94.02
2004-08-27,0,93.41
2004-09-03,0,94.29
2004-09-10,0,94.42
2004-09-17,57,95.65
2004-09-24,0,92.14
2004-10-01,0,94.83
2004-10-08,0,92.43
2004-10-15,0,91.67
2004-10-22,0,91.00
2004-10-29,0,92.82
2004-11-05,0,97.25
2004-11-12,0,97.75
2004-11-19,0,97.26
2004-11-26,53,97.13
2004-12-03,0,98.43
2004-12-10,0,101.03
2004-12-17,0,103.90
2004-12-24,0,
2004-12-31,0,103.35
2005-01-07,0,100.02
2005-01-14,0,100.94
2005-01-21,0,100.08
2005-01-28,51,102.00
2005-02-04,55,101.72
2005-02-11,59,101.40
2005-02-18,63,100.91
2005-02-25,67,101.02
2005-03-04,46,100.74
2005-03-11,50,101.36
2005-03-18,54,103.75
2005-03-25,58,
2005-04-01,63,100.94
2005-04-08,52,100.81
2005-04-15,52,97.55
2005-04-22,52,101.56
2005-04-29,42,101.72
2005-05-06,48,102.03
2005-05-13,74,101.10
2005-05-20,52,105.15
2005-05-27,52,107.88
2005-06-03,45,106.25
2005-06-10,45,104.93
2005-06-17,63,53.14
2005-06-24,69,52.12
2005-07-01,70,51.38
2005-07-08,71,51.54
2005-07-15,72,51.71
2005-07-22,47,51.14
2005-07-29,47,50.70
2005-08-05,47,49.37
2005-08-12,42,51.78
2005-08-19,42,51.74
2005-08-26,61,50.29
2005-09-02,39,50.60
2005-09-09,45,51.44
2005-09-16,51,51.38
2005-09-23,37,51.70
2005-09-30,38,51.84
2005-10-07,39,50.15
2005-10-14,41,51.63
2005-10-21,42,50.91
2005-10-28,44,51.38
2005-11-04,45,51.63
2005-11-11,45,53.45
2005-11-18,45,53.54
2005-11-25,45,54.31
2005-12-02,45,54.99
2005-12-09,36,55.42
2005-12-16,46,58.03
2005-12-23,44,57.28
2005-12-30,50,55.91
2006-01-06,41,56.16
2006-01-13,30,55.66
2006-01-20,30,55.01
2006-01-27,57,58.75
2006-02-03,63,57.18
2006-02-10,35,57.13
2006-02-17,54,58.00
2006-02-24,44,58.89
2006-03-03,51,57.86
2006-03-10,30,57.82
2006-03-17,30,58.80
2006-03-24,35,59.28
2006-03-31,36,57.97
2006-04-07,47,57.62
2006-04-14,56,
2006-04-21,65,64.22
2006-04-28,55,62.81
2006-05-05,65,64.91
2006-05-12,48,64.90
2006-05-19,75,62.70
2006-05-26,46,62.60
2006-06-02,48,63.03
2006-06-09,50,60.05
2006-06-16,52,61.75
2006-06-23,30,62.28
2006-06-30,46,63.42
2006-07-07,45,63.10
2006-07-14,58,58.81
2006-07-21,44,59.96
2006-07-28,55,62.15
2006-08-04,65,62.57
2006-08-11,56,60.15
2006-08-18,51,61.84
2006-08-25,46,60.67
2006-09-01,35,63.26
2006-09-08,37,63.34
2006-09-15,36,64.61
2006-09-22,38,62.30
2006-09-29,40,63.35
2006-10-06,44,65.41
2006-10-13,44,66.50
2006-10-20,54,65.02
2006-10-27,57,64.94
2006-11-03,45,63.97
2006-11-10,34,65.06
2006-11-17,38,66.09
2006-11-24,39,65.99
2006-12-01,38,63.86
2006-12-08,38,64.72
2006-12-15,74,62.45
2006-12-22,43,62.56
2006-12-29,38,62.52
2007-01-05,63,62.68
2007-01-12,50,64.42
2007-01-19,44,65.18
2007-01-26,47,66.04
2007-02-02,44,68.00
2007-02-09,52,67.58
2007-02-16,51,68.68
2007-02-23,43,67.55
2007-03-02,58,64.35
2007-03-09,35,64.50
2007-03-16,42,64.60
2007-03-23,65,66.73
2007-03-30,26,65.00
2007-04-06,35,
2007-04-13,56,65.05
2007-04-20,61,67.48
2007-04-27,54,67.69
2007-05-04,38,68.00
2007-05-11,35,68.39
2007-05-18,56,69.19
2007-05-25,63,68.62
2007-06-01,43,70.78
2007-06-08,42,70.23
2007-06-15,47,72.01
2007-06-22,28,71.38
2007-06-29,44,70.93
2007-07-06,34,72.60
2007-07-13,48,75.00
2007-07-20,100,76.03
2007-07-27,61,73.29
2007-08-03,45,73.93
2007-08-10,50,73.08
2007-08-17,55,73.82
2007-08-24,31,74.33
2007-08-31,41,74.63
2007-09-07,35,73.79
2007-09-14,31,76.14
2007-09-21,52,79.43
2007-09-28,28,80.48
2007-10-05,44,80.84
2007-10-12,51,80.32
2007-10-19,50,76.00
2007-10-26,47,75.44
2007-11-02,36,75.65
2007-11-09,50,73.51
2007-11-16,50,74.30
2007-11-23,34,73.46
2007-11-30,39,74.77
2007-12-07,54,78.07
2007-12-14,38,76.69
2007-12-21,41,77.83
2007-12-28,36,76.87
2008-01-04,32,75.02
2008-01-11,31,71.68
2008-01-18,52,68.05
2008-01-25,71,72.75
2008-02-01,45,74.12
2008-02-08,32,71.35
2008-02-15,39,71.53
2008-02-22,54,72.23
2008-02-29,50,70.51
2008-03-07,55,67.49
2008-03-14,40,67.71
2008-03-21,57,
2008-03-28,55,68.55
2008-04-04,44,71.73
2008-04-11,48,69.53
2008-04-18,63,72.51
2008-04-25,35,72.68
2008-05-02,34,75.10
2008-05-09,48,73.13
2008-05-16,56,73.96
2008-05-23,43,70.01
2008-05-30,30,71.04
2008-06-06,47,67.01
2008-06-13,46,68.56
2008-06-20,25,68.80
2008-06-27,46,61.15
2008-07-04,43,
2008-07-11,42,60.69
2008-07-18,50,64.09
2008-07-25,41,65.23
2008-08-01,46,63.56
2008-08-08,51,66.86
2008-08-15,34,66.80
2008-08-22,41,65.98
2008-08-29,38,65.59
2008-09-05,30,64.08
2008-09-12,41,64.46
2008-09-19,37,64.30
2008-09-26,41,60.86
2008-10-03,55,54.86
2008-10-10,78,47.63
2008-10-17,72,50.71
2008-10-24,63,47.31
2008-10-31,58,54.96
2008-11-07,45,51.81
2008-11-14,46,50.23
2008-11-21,36,46.67
2008-11-28,25,48.53
2008-12-05,39,49.01
2008-12-12,42,48.82
2008-12-19,52,51.37
2008-12-26,34,51.13
2009-01-02,42,54.95
2009-01-09,40,52.70
2009-01-16,42,51.10
2009-01-23,40,47.41
2009-01-30,37,47.99
2009-02-06,43,49.03
2009-02-13,45,47.09
2009-02-20,34,43.99
2009-02-27,50,40.83
2009-03-06,48,38.54
2009-03-13,53,40.57
2009-03-20,50,40.53
2009-03-27,49,44.48
2009-04-03,42,45.63
2009-04-10,45,
2009-04-17,53,47.32
2009-04-24,48,49.37
2009-05-01,55,49.52
2009-05-08,37,53.55
2009-05-15,35,51.28
2009-05-22,32,51.04
2009-05-29,34,52.61
2009-06-05,48,56.39
2009-06-12,33,55.84
2009-06-19,36,54.20
2009-06-26,39,51.55
2009-07-03,34,
2009-07-10,32,49.64
2009-07-17,36,53.80
2009-07-24,41,52.23
2009-07-31,40,54.47
2009-08-07,39,55.59
2009-08-14,40,57.21
2009-08-21,43,58.71
2009-08-28,45,59.64
2009-09-04,48,60.52
2009-09-11,45,61.99
2009-09-18,37,62.82
2009-09-25,34,61.54
2009-10-02,33,59.63
2009-10-09,30,62.17
2009-10-16,41,64.89
2009-10-23,40,65.81
2009-10-30,29,61.45
2009-11-06,29,65.07
2009-11-13,40,67.99
2009-11-20,31,67.97
2009-11-27,31,67.20
2009-12-04,36,68.32
2009-12-11,27,69.40
2009-12-18,28,69.46
2009-12-25,25,
2010-01-01,32,
2010-01-08,36,70.63
2010-01-15,39,71.99
2010-01-22,34,69.08
2010-01-29,36,67.48
2010-02-05,35,66.50
2010-02-12,27,65.69
2010-02-19,30,68.52
2010-02-26,33,68.65
2010-03-05,34,71.25
2010-03-12,31,71.53
2010-03-19,27,73.24
2010-03-26,29,73.62
2010-04-02,28,
2010-04-09,27,73.99
2010-04-16,34,73.69
2010-04-23,39,76.47
2010-04-30,33,74.95
2010-05-07,41,69.46
2010-05-14,41,71.58
2010-05-21,41,66.44
2010-05-28,36,67.38
2010-06-04,32,65.14
2010-06-11,31,66.23
2010-06-18,33,69.18
2010-06-25,38,67.86
2010-07-02,24,64.29
2010-07-09,28,67.51
2010-07-16,30,66.03
2010-07-23,32,70.90
2010-07-30,30,71.10
2010-08-06,41,72.73
2010-08-13,30,70.70
2010-08-20,22,68.12
2010-08-27,25,66.57
2010-09-03,25,68.26
2010-09-10,19,68.89
2010-09-17,24,69.53
2010-09-24,40,71.50
2010-10-01,34,71.13
2010-10-08,28,72.91
2010-10-15,32,74.10
2010-10-22,29,74.94
2010-10-29,24,74.77
2010-11-05,32,76.75
2010-11-12,24,74.88
2010-11-19,19,75.31
2010-11-26,22,75.28
2010-12-03,32,78.74
2010-12-10,29,78.40
2010-12-17,27,78.80
2010-12-24,31,
2010-12-31,29,78.72
2011-01-07,40,79.08
2011-01-14,28,79.08
2011-01-21,30,80.20
2011-01-28,29,81.43
2011-02-04,30,82.52
2011-02-11,29,85.20
2011-02-18,33,85.01
2011-02-25,29,83.37
2011-03-04,30,82.86
2011-03-11,33,81.28
2011-03-18,25,80.16
2011-03-25,31,83.52
2011-04-01,27,85.32
2011-04-08,28,84.81
2011-04-15,35,83.45
2011-04-22,41,
2011-04-29,37,89.58
2011-05-06,35,89.21
2011-05-13,27,88.98
2011-05-20,29,87.50
2011-05-27,31,86.33
2011-06-03,23,83.24
2011-06-10,18,82.70
2011-06-17,26,84.57
2011-06-24,31,84.33
2011-07-01,35,90.13
2011-07-08,29,90.35
2011-07-15,33,88.32
2011-07-22,30,87.70
2011-07-29,29,82.84
2011-08-05,41,74.14
2011-08-12,46,72.45
2011-08-19,35,67.45
2011-08-26,35,71.56
2011-09-02,27,71.04
2011-09-09,24,70.53
2011-09-16,29,75.50
2011-09-23,62,68.92
2011-09-30,35,70.36
2011-10-07,24,71.46
2011-10-14,30,74.64
2011-10-21,35,75.56
2011-10-28,30,79.51
2011-11-04,25,77.80
2011-11-11,26,79.83
2011-11-18,27,76.11
2011-11-25,22,71.04
2011-12-02,26,76.54
2011-12-09,28,76.31
2011-12-16,28,72.39
2011-12-23,21,74.18
2011-12-30,28,73.09
2012-01-06,30,73.90
2012-01-13,35,76.08
2012-01-20,31,76.69
2012-01-27,28,77.62
2012-02-03,30,81.05
2012-02-10,32,83.50
2012-02-17,38,83.78
2012-02-24,25,83.97
2012-03-02,27,84.54
2012-03-09,30,83.55
2012-03-16,38,85.48
2012-03-23,26,81.80
2012-03-30,28,82.94
2012-04-06,25,
2012-04-13,29,79.80
2012-04-20,28,81.00
2012-04-27,32,82.00
2012-05-04,29,79.48
2012-05-11,23,77.18
2012-05-18,21,72.38
2012-05-25,27,73.02
2012-06-01,28,72.02
2012-06-08,27,75.50
2012-06-15,29,74.49
2012-06-22,27,75.20
2012-06-29,24,75.53
2012-07-06,28,74.09
2012-07-13,29,73.59
2012-07-20,30,74.23
2012-07-27,39,74.28
2012-08-03,30,76.81
2012-08-10,31,77.89
2012-08-17,29,80.37
2012-08-24,33,80.08
2012-08-31,26,79.85
2012-09-07,26,79.41
2012-09-14,30,82.45
2012-09-21,32,80.75
2012-09-28,26,78.29
2012-10-05,28,78.51
2012-10-12,21,75.96
2012-10-19,24,77.99
2012-10-26,30,78.20
2012-11-02,27,78.07
2012-11-09,33,75.84
2012-11-16,31,75.25
2012-11-23,31,78.61
2012-11-30,34,80.11
2012-12-07,31,80.99
2012-12-14,36,79.98
2012-12-21,35,82.54
2012-12-28,20,80.81
2013-01-04,29,84.98
2013-01-11,35,85.18
2013-01-18,31,86.95
2013-01-25,36,89.79
2013-02-01,29,89.84
2013-02-08,34,90.09
2013-02-15,30,90.78
2013-02-22,31,90.49
2013-03-01,39,90.13
2013-03-08,39,92.07
2013-03-15,31,93.28
2013-03-22,33,93.59
2013-03-29,24,
2013-04-05,34,92.64
2013-04-12,24,95.69
2013-04-19,32,93.22
2013-04-26,34,91.15
2013-05-03,29,93.11
2013-05-10,31,95.25
2013-05-17,33,97.35
2013-05-24,33,95.04
2013-05-31,29,94.90
2013-06-07,28,94.50
2013-06-14,27,94.02
2013-06-21,34,92.18
2013-06-28,30,92.94
2013-07-05,30,96.53
2013-07-12,40,99.83
2013-07-19,34,102.48
2013-07-26,48,104.97
2013-08-02,54,107.77
2013-08-09,39,105.62
2013-08-16,38,103.08
2013-08-23,32,102.80
2013-08-30,30,100.10
2013-09-06,35,103.23
2013-09-13,38,108.39
2013-09-20,40,109.58
2013-09-27,36,109.36
2013-10-04,38,104.27
2013-10-11,33,107.01
2013-10-18,39,107.74
2013-10-25,38,107.52
2013-11-01,34,107.51
2013-11-08,39,108.55
2013-11-15,39,108.59
2013-11-22,34,110.20
2013-11-29,37,110.86
2013-12-06,35,111.12
2013-12-13,33,107.35
2013-12-20,27,110.66
2013-12-27,37,112.80
2014-01-03,48,112.90
2014-01-10,30,113.83
2014-01-17,41,114.21
2014-01-24,43,111.80
2014-01-31,40,114.02
2014-02-07,44,110.73
2014-02-14,36,113.87
2014-02-21,34,115.38
2014-02-28,40,117.02
2014-03-07,37,118.31
2014-03-14,35,112.60
2014-03-21,36,114.57
2014-03-28,34,114.81
2014-04-04,41,118.18
2014-04-11,32,113.93
2014-04-18,35,
2014-04-25,49,117.21
2014-05-02, ,
