Date,AXP,Price
2004-01-09,60,
2004-01-16,59,
2004-01-23,59,
2004-01-30,100,
2004-02-06,66,53.06
2004-02-13,67,53.65
2004-02-20,60,53.16
2004-02-27,70,53.42
2004-03-05,84,52.77
2004-03-12,50,52.12
2004-03-19,50,51.08
2004-03-26,56,50.03
2004-04-02,62,52.43
2004-04-09,57,
2004-04-16,94,50.58
2004-04-23,61,50.27
2004-04-30,44,48.95
2004-05-07,0,48.49
2004-05-14,0,48.86
2004-05-21,0,49.63
2004-05-28,0,50.70
2004-06-04,0,50.98
2004-06-11,77,
2004-06-18,50,51.96
2004-06-25,56,51.35
2004-07-02,57,51.24
2004-07-09,49,50.01
2004-07-16,49,48.73
2004-07-23,49,48.11
2004-07-30,49,50.25
2004-08-06,62,49.34
2004-08-13,60,49.35
2004-08-20,68,50.00
2004-08-27,65,50.00
2004-09-03,48,50.26
2004-09-10,48,51.33
2004-09-17,56,51.40
2004-09-24,62,51.21
2004-10-01,48,51.65
2004-10-08,48,52.25
2004-10-15,50,52.50
2004-10-22,53,51.73
2004-10-29,50,53.07
2004-11-05,50,55.12
2004-11-12,83,55.63
2004-11-19,44,55.70
2004-11-26,44,56.11
2004-12-03,44,56.25
2004-12-10,44,55.18
2004-12-17,41,55.91
2004-12-24,52,
2004-12-31,54,56.37
2005-01-07,57,53.76
2005-01-14,72,52.72
2005-01-21,44,51.93
2005-01-28,49,52.80
2005-02-04,60,55.82
2005-02-11,47,55.19
2005-02-18,30,54.13
2005-02-25,75,54.58
2005-03-04,48,54.95
2005-03-11,52,53.54
2005-03-18,43,52.40
2005-03-25,35,
2005-04-01,58,50.90
2005-04-08,48,51.54
2005-04-15,48,50.72
2005-04-22,51,49.81
2005-04-29,50,52.70
2005-05-06,49,53.00
2005-05-13,62,51.75
2005-05-20,51,53.06
2005-05-27,51,53.25
2005-06-03,36,54.18
2005-06-10,38,54.71
2005-06-17,37,54.83
2005-06-24,37,53.61
2005-07-01,42,53.54
2005-07-08,42,53.93
2005-07-15,42,53.76
2005-07-22,48,54.57
2005-07-29,42,55.00
2005-08-05,54,55.81
2005-08-12,36,56.67
2005-08-19,36,56.10
2005-08-26,50,55.01
2005-09-02,41,55.36
2005-09-09,51,58.19
2005-09-16,27,59.46
2005-09-23,42,56.90
2005-09-30,38,57.44
2005-10-07,57,49.82
2005-10-14,66,47.95
2005-10-21,39,47.15
2005-10-28,34,49.54
2005-11-04,53,49.40
2005-11-11,31,50.45
2005-11-18,40,49.91
2005-11-25,27,52.62
2005-12-02,56,51.61
2005-12-09,43,51.15
2005-12-16,39,51.93
2005-12-23,48,52.31
2005-12-30,27,51.46
2006-01-06,27,52.68
2006-01-13,47,53.44
2006-01-20,37,51.40
2006-01-27,45,53.30
2006-02-03,33,52.33
2006-02-10,30,53.00
2006-02-17,32,54.45
2006-02-24,42,54.87
2006-03-03,28,53.75
2006-03-10,36,54.23
2006-03-17,18,54.65
2006-03-24,27,53.18
2006-03-31,22,52.55
2006-04-07,22,51.70
2006-04-14,27,
2006-04-21,36,52.25
2006-04-28,20,53.81
2006-05-05,33,53.75
2006-05-12,50,52.89
2006-05-19,25,52.23
2006-05-26,57,54.41
2006-06-02,29,54.72
2006-06-09,36,53.46
2006-06-16,26,52.92
2006-06-23,20,52.59
2006-06-30,25,53.22
2006-07-07,20,51.98
2006-07-14,20,51.27
2006-07-21,33,50.62
2006-07-28,44,52.19
2006-08-04,32,52.21
2006-08-11,23,51.80
2006-08-18,32,53.26
2006-08-25,30,52.92
2006-09-01,26,52.55
2006-09-08,33,52.62
2006-09-15,36,53.75
2006-09-22,42,54.11
2006-09-29,31,56.08
2006-10-06,29,56.59
2006-10-13,27,58.02
2006-10-20,36,58.04
2006-10-27,39,57.27
2006-11-03,24,57.06
2006-11-10,34,58.86
2006-11-17,41,59.84
2006-11-24,29,59.90
2006-12-01,25,58.55
2006-12-08,25,59.83
2006-12-15,34,61.64
2006-12-22,30,60.85
2006-12-29,21,60.67
2007-01-05,40,59.13
2007-01-12,21,59.01
2007-01-19,33,58.09
2007-01-26,38,57.85
2007-02-02,36,58.16
2007-02-09,30,57.53
2007-02-16,28,59.02
2007-02-23,38,58.02
2007-03-02,38,55.44
2007-03-09,39,56.90
2007-03-16,30,55.55
2007-03-23,30,57.43
2007-03-30,17,56.40
2007-04-06,36,
2007-04-13,34,57.36
2007-04-20,39,61.00
2007-04-27,24,62.14
2007-05-04,32,63.39
2007-05-11,26,62.97
2007-05-18,23,63.96
2007-05-25,36,63.63
2007-06-01,24,65.07
2007-06-08,27,63.04
2007-06-15,41,63.77
2007-06-22,31,61.79
2007-06-29,32,61.18
2007-07-06,22,61.51
2007-07-13,27,62.83
2007-07-20,36,64.51
2007-07-27,40,58.55
2007-08-03,35,57.49
2007-08-10,31,60.78
2007-08-17,34,58.89
2007-08-24,30,60.89
2007-08-31,37,58.62
2007-09-07,38,57.75
2007-09-14,20,58.94
2007-09-21,39,59.28
2007-09-28,24,59.37
2007-10-05,25,61.10
2007-10-12,34,63.23
2007-10-19,39,57.11
2007-10-26,54,60.67
2007-11-02,43,58.42
2007-11-09,40,56.49
2007-11-16,48,58.67
2007-11-23,37,55.63
2007-11-30,35,58.98
2007-12-07,35,56.96
2007-12-14,34,52.29
2007-12-21,35,51.95
2007-12-28,34,50.84
2008-01-04,50,49.14
2008-01-11,62,44.00
2008-01-18,62,43.61
2008-01-25,46,45.44
2008-02-01,62,49.60
2008-02-08,37,44.98
2008-02-15,37,45.11
2008-02-22,35,45.06
2008-02-29,41,42.30
2008-03-07,53,41.53
2008-03-14,42,41.01
2008-03-21,50,
2008-03-28,46,43.15
2008-04-04,51,46.11
2008-04-11,42,43.39
2008-04-18,41,45.53
2008-04-25,70,47.77
2008-05-02,51,50.40
2008-05-09,40,48.96
2008-05-16,52,48.68
2008-05-23,48,45.45
2008-05-30,44,46.35
2008-06-06,61,44.65
2008-06-13,62,44.66
2008-06-20,46,41.18
2008-06-27,46,38.04
2008-07-04,54,
2008-07-11,37,39.21
2008-07-18,60,42.19
2008-07-25,90,36.62
2008-08-01,55,37.19
2008-08-08,56,37.81
2008-08-15,48,39.07
2008-08-22,48,38.79
2008-08-29,38,39.68
2008-09-05,37,39.40
2008-09-12,44,38.95
2008-09-19,65,40.40
2008-09-26,56,39.50
2008-10-03,64,30.87
2008-10-10,71,23.15
2008-10-17,70,23.33
2008-10-24,86,24.05
2008-10-31,64,27.50
2008-11-07,50,25.31
2008-11-14,81,19.99
2008-11-21,73,18.69
2008-11-28,51,23.31
2008-12-05,40,21.78
2008-12-12,54,20.34
2008-12-19,42,19.43
2008-12-26,41,17.91
2009-01-02,37,19.33
2009-01-09,47,19.23
2009-01-16,44,17.01
2009-01-23,40,16.00
2009-01-30,77,16.73
2009-02-06,48,17.93
2009-02-13,36,15.74
2009-02-20,54,12.97
2009-02-27,70,12.06
2009-03-06,63,10.26
2009-03-13,75,13.09
2009-03-20,64,12.26
2009-03-27,55,14.45
2009-04-03,48,15.33
2009-04-10,51,
