Date,JNJ,Price
2004-01-09,44,
2004-01-16,46,
2004-01-23,47,
2004-01-30,43,
2004-02-06,28,54.15
2004-02-13,29,54.23
2004-02-20,37,53.30
2004-02-27,34,53.91
2004-03-05,25,53.13
2004-03-12,25,50.71
2004-03-19,25,50.05
2004-03-26,30,50.13
2004-04-02,35,51.18
2004-04-09,51,
2004-04-16,51,54.13
2004-04-23,51,53.68
2004-04-30,34,54.03
2004-05-07,24,55.30
2004-05-14,62,54.52
2004-05-21,48,54.94
2004-05-28,43,55.71
2004-06-04,41,56.38
2004-06-11,41,
2004-06-18,33,55.25
2004-06-25,53,54.50
2004-07-02,56,55.35
2004-07-09,60,54.99
2004-07-16,64,56.80
2004-07-23,66,55.74
2004-07-30,35,55.27
2004-08-06,37,54.60
2004-08-13,38,55.54
2004-08-20,40,57.04
2004-08-27,41,57.71
2004-09-03,36,57.85
2004-09-10,38,57.57
2004-09-17,36,58.52
2004-09-24,64,56.55
2004-10-01,41,57.00
2004-10-08,45,55.32
2004-10-15,35,56.58
2004-10-22,28,57.29
2004-10-29,53,58.38
2004-11-05,50,59.18
2004-11-12,47,61.00
2004-11-19,45,60.54
2004-11-26,43,60.45
2004-12-03,39,61.91
2004-12-10,53,60.25
2004-12-17,73,63.58
2004-12-24,23,
2004-12-31,30,63.42
2005-01-07,37,62.61
2005-01-14,28,62.70
2005-01-21,48,61.85
2005-01-28,45,64.62
2005-02-04,54,66.24
2005-02-11,42,66.60
2005-02-18,37,65.43
2005-02-25,41,66.22
2005-03-04,34,67.74
2005-03-11,49,67.60
2005-03-18,42,67.25
2005-03-25,35,
2005-04-01,54,66.85
2005-04-08,84,68.64
2005-04-15,46,69.40
2005-04-22,43,68.49
2005-04-29,63,68.63
2005-05-06,57,68.21
2005-05-13,32,67.10
2005-05-20,46,67.20
2005-05-27,56,67.43
2005-06-03,56,66.44
2005-06-10,67,66.48
2005-06-17,53,66.56
2005-06-24,52,65.58
2005-07-01,54,64.95
