Date,The Procter & Gamble Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,102.36
2004-02-13,0,102.05
2004-02-20,90,102.50
2004-02-27,0,102.51
2004-03-05,0,101.76
2004-03-12,0,104.12
2004-03-19,0,104.03
2004-03-26,0,103.95
2004-04-02,0,106.11
2004-04-09,0,
2004-04-16,0,105.97
2004-04-23,0,104.99
2004-04-30,0,105.79
2004-05-07,0,106.72
2004-05-14,0,106.41
2004-05-21,0,106.91
2004-05-28,0,107.82
2004-06-04,0,107.87
2004-06-11,0,
2004-06-18,0,110.19
2004-06-25,0,54.75
2004-07-02,0,54.33
2004-07-09,0,54.72
2004-07-16,0,55.10
2004-07-23,0,52.49
2004-07-30,0,52.15
2004-08-06,0,52.99
2004-08-13,0,54.46
2004-08-20,0,54.85
2004-08-27,0,55.98
2004-09-03,0,56.55
2004-09-10,0,56.18
2004-09-17,92,56.26
2004-09-24,0,54.08
2004-10-01,0,54.66
2004-10-08,0,53.45
2004-10-15,0,53.69
2004-10-22,0,53.05
2004-10-29,0,51.18
2004-11-05,0,53.52
2004-11-12,0,54.60
2004-11-19,0,54.32
2004-11-26,0,53.64
2004-12-03,0,55.39
2004-12-10,0,56.44
2004-12-17,0,55.44
2004-12-24,0,
2004-12-31,0,55.08
2005-01-07,0,55.92
2005-01-14,0,55.88
2005-01-21,0,55.65
2005-01-28,0,54.15
2005-02-04,63,52.62
2005-02-11,66,52.15
2005-02-18,61,53.50
2005-02-25,61,54.19
2005-03-04,61,53.85
2005-03-11,61,52.51
2005-03-18,0,53.40
2005-03-25,0,
2005-04-01,0,52.61
2005-04-08,0,54.50
2005-04-15,0,54.80
2005-04-22,0,53.89
2005-04-29,0,54.15
2005-05-06,0,54.75
2005-05-13,0,54.75
2005-05-20,0,56.48
2005-05-27,0,55.76
2005-06-03,0,55.27
2005-06-10,0,54.75
2005-06-17,48,54.42
2005-06-24,0,52.82
2005-07-01,0,52.90
2005-07-08,0,52.96
2005-07-15,0,54.50
2005-07-22,0,54.99
2005-07-29,49,55.63
2005-08-05,0,54.10
2005-08-12,0,53.55
2005-08-19,0,54.54
2005-08-26,0,54.96
2005-09-02,0,55.99
2005-09-09,0,56.90
2005-09-16,0,55.95
2005-09-23,0,56.74
2005-09-30,0,59.46
2005-10-07,0,56.04
2005-10-14,0,56.11
2005-10-21,0,54.81
2005-10-28,0,55.92
2005-11-04,57,55.92
2005-11-11,42,56.37
2005-11-18,42,57.45
2005-11-25,42,57.28
2005-12-02,42,57.36
2005-12-09,42,57.33
2005-12-16,0,58.11
2005-12-23,0,58.88
2005-12-30,0,57.88
2006-01-06,0,58.64
2006-01-13,0,58.90
2006-01-20,0,57.84
2006-01-27,0,59.74
2006-02-03,0,59.68
2006-02-10,40,59.70
2006-02-17,36,61.00
2006-02-24,36,61.50
2006-03-03,36,59.67
2006-03-10,35,62.25
2006-03-17,35,59.10
2006-03-24,35,58.74
2006-03-31,35,57.63
2006-04-07,36,57.28
2006-04-14,36,
2006-04-21,36,56.34
2006-04-28,32,58.21
2006-05-05,33,55.73
2006-05-12,37,55.01
2006-05-19,31,54.15
2006-05-26,31,55.13
2006-06-02,32,53.95
2006-06-09,32,54.45
2006-06-16,32,55.02
2006-06-23,32,55.73
2006-06-30,33,55.60
2006-07-07,34,56.50
2006-07-14,35,55.66
2006-07-21,35,56.07
2006-07-28,33,56.81
2006-08-04,33,59.45
2006-08-11,33,60.26
2006-08-18,33,60.39
2006-08-25,33,60.87
2006-09-01,32,61.91
2006-09-08,32,61.14
2006-09-15,27,60.90
2006-09-22,27,61.81
2006-09-29,30,61.98
2006-10-06,32,63.09
2006-10-13,34,62.13
2006-10-20,37,62.68
2006-10-27,34,63.56
2006-11-03,32,63.40
2006-11-10,32,63.70
2006-11-17,25,63.86
2006-11-24,30,63.53
2006-12-01,36,62.69
2006-12-08,41,63.89
2006-12-15,32,64.11
2006-12-22,25,63.80
2006-12-29,25,64.27
2007-01-05,25,63.50
2007-01-12,25,65.00
2007-01-19,25,66.09
2007-01-26,38,64.86
2007-02-02,31,65.34
2007-02-09,33,64.43
2007-02-16,22,65.07
2007-02-23,31,64.82
2007-03-02,30,63.16
2007-03-09,28,62.16
2007-03-16,28,61.61
2007-03-23,29,63.80
2007-03-30,34,63.16
2007-04-06,24,
2007-04-13,24,63.38
2007-04-20,23,63.80
2007-04-27,23,62.98
2007-05-04,23,62.41
2007-05-11,31,61.65
2007-05-18,46,63.48
2007-05-25,19,62.96
2007-06-01,19,63.48
2007-06-08,19,63.07
2007-06-15,19,62.57
2007-06-22,21,61.03
2007-06-29,23,61.19
2007-07-06,23,61.48
2007-07-13,23,62.66
2007-07-20,25,62.15
2007-07-27,34,62.82
2007-08-03,25,62.88
2007-08-10,25,65.39
2007-08-17,25,65.35
2007-08-24,29,65.93
2007-08-31,29,65.31
2007-09-07,27,65.47
2007-09-14,29,67.81
2007-09-21,24,69.39
2007-09-28,25,70.34
2007-10-05,34,70.83
2007-10-12,20,71.70
2007-10-19,31,70.80
2007-10-26,32,71.75
2007-11-02,40,69.55
2007-11-09,31,70.42
2007-11-16,33,73.19
2007-11-23,30,72.86
2007-11-30,21,74.00
2007-12-07,27,74.12
2007-12-14,21,73.90
2007-12-21,23,74.08
2007-12-28,22,74.25
2008-01-04,23,72.02
2008-01-11,23,70.18
2008-01-18,25,67.15
2008-01-25,52,65.31
2008-02-01,23,66.05
2008-02-08,22,65.02
2008-02-15,34,66.30
2008-02-22,23,66.21
2008-02-29,28,66.18
2008-03-07,26,65.80
2008-03-14,21,66.74
2008-03-21,36,
2008-03-28,15,69.44
2008-04-04,22,70.60
2008-04-11,26,70.00
2008-04-18,23,67.17
2008-04-25,22,66.55
2008-05-02,31,66.80
2008-05-09,25,65.21
2008-05-16,26,66.75
2008-05-23,23,65.27
2008-05-30,26,66.05
2008-06-06,13,65.37
2008-06-13,25,66.45
2008-06-20,14,63.16
2008-06-27,15,60.49
2008-07-04,24,
2008-07-11,15,63.45
2008-07-18,30,63.67
2008-07-25,24,64.46
2008-08-01,24,64.95
2008-08-08,25,69.63
2008-08-15,25,71.60
2008-08-22,20,71.61
2008-08-29,20,69.77
2008-09-05,26,70.78
2008-09-12,28,73.15
2008-09-19,35,70.36
2008-09-26,41,68.84
2008-10-03,21,71.02
2008-10-10,29,59.56
2008-10-17,31,61.74
2008-10-24,40,58.87
2008-10-31,28,64.54
2008-11-07,27,64.49
2008-11-14,26,63.11
2008-11-21,33,63.09
2008-11-28,19,64.35
2008-12-05,24,62.63
2008-12-12,26,58.94
2008-12-19,22,60.18
2008-12-26,17,60.53
2009-01-02,24,62.80
2009-01-09,12,59.86
2009-01-16,16,57.73
2009-01-23,18,56.00
2009-01-30,23,54.50
2009-02-06,22,54.00
2009-02-13,39,51.09
2009-02-20,17,50.25
2009-02-27,23,48.17
2009-03-06,32,45.71
2009-03-13,24,46.95
2009-03-20,31,45.59
2009-03-27,32,48.57
2009-04-03,21,49.63
2009-04-10,20,
2009-04-17,23,51.66
2009-04-24,18,49.51
2009-05-01,19,49.50
2009-05-08,17,51.57
2009-05-15,18,50.67
2009-05-22,29,53.03
2009-05-29,25,51.94
2009-06-05,23,53.18
2009-06-12,24,52.55
2009-06-19,21,50.64
2009-06-26,17,51.75
2009-07-03,19,
2009-07-10,30,52.22
2009-07-17,15,55.92
2009-07-24,13,55.84
2009-07-31,18,55.51
2009-08-07,23,52.03
2009-08-14,23,52.37
2009-08-21,24,53.58
2009-08-28,28,53.19
2009-09-04,27,52.86
2009-09-11,15,55.64
2009-09-18,25,57.32
2009-09-25,28,58.01
2009-10-02,22,56.75
2009-10-09,24,57.56
2009-10-16,31,57.44
2009-10-23,29,57.64
2009-10-30,24,58.00
2009-11-06,29,61.04
2009-11-13,26,61.61
2009-11-20,22,61.80
2009-11-27,27,62.48
2009-12-04,30,62.60
2009-12-11,26,62.34
2009-12-18,30,61.55
2009-12-25,18,
2010-01-01,18,
2010-01-08,21,60.44
2010-01-15,26,60.82
2010-01-22,35,60.31
2010-01-29,27,61.55
2010-02-05,29,61.30
2010-02-12,32,61.76
2010-02-19,24,63.45
2010-02-26,24,63.28
2010-03-05,24,63.69
2010-03-12,31,63.32
2010-03-19,22,63.84
2010-03-26,29,63.69
2010-04-02,35,
2010-04-09,33,62.73
2010-04-16,25,62.85
2010-04-23,28,63.54
2010-04-30,31,62.16
2010-05-07,40,60.31
2010-05-14,22,62.54
2010-05-21,30,61.85
2010-05-28,26,61.09
2010-06-04,20,60.80
2010-06-11,18,61.01
2010-06-18,23,61.30
2010-06-25,20,59.79
2010-07-02,19,59.38
2010-07-09,18,61.75
2010-07-16,27,61.99
2010-07-23,17,61.91
2010-07-30,28,61.16
2010-08-06,22,60.02
2010-08-13,17,59.82
2010-08-20,19,59.98
2010-08-27,21,59.80
2010-09-03,25,60.29
2010-09-10,25,60.40
2010-09-17,22,60.97
2010-09-24,23,61.64
2010-10-01,28,60.16
2010-10-08,26,61.86
2010-10-15,36,62.76
2010-10-22,31,63.40
2010-10-29,27,63.57
2010-11-05,36,65.00
2010-11-12,24,64.33
2010-11-19,39,64.05
2010-11-26,26,62.13
2010-12-03,21,62.33
2010-12-10,27,63.20
2010-12-17,25,64.81
2010-12-24,16,
2010-12-31,8,64.33
2011-01-07,26,64.50
2011-01-14,23,65.53
2011-01-21,35,65.91
2011-01-28,18,64.20
2011-02-04,20,63.61
2011-02-11,25,64.73
2011-02-18,25,64.30
2011-02-25,28,62.84
2011-03-04,19,62.03
2011-03-11,22,61.49
2011-03-18,19,60.60
2011-03-25,27,60.88
2011-04-01,23,62.08
2011-04-08,30,61.90
2011-04-15,20,64.18
2011-04-22,21,
2011-04-29,16,64.90
2011-05-06,23,65.27
2011-05-13,23,66.86
2011-05-20,22,67.36
2011-05-27,17,66.20
2011-06-03,18,65.43
2011-06-10,19,64.70
2011-06-17,19,64.69
2011-06-24,16,62.59
2011-07-01,19,64.27
2011-07-08,20,64.93
2011-07-15,20,64.83
2011-07-22,21,64.25
2011-07-29,23,61.49
2011-08-05,23,60.59
2011-08-12,24,61.14
2011-08-19,27,60.96
2011-08-26,28,62.57
2011-09-02,22,62.55
2011-09-09,17,61.84
2011-09-16,26,64.33
2011-09-23,25,61.25
2011-09-30,32,63.18
2011-10-07,30,63.91
2011-10-14,24,64.89
2011-10-21,33,66.26
2011-10-28,26,64.73
2011-11-04,20,63.03
2011-11-11,31,63.89
2011-11-18,25,63.24
2011-11-25,26,61.00
2011-12-02,27,64.66
2011-12-09,14,64.97
2011-12-16,20,65.14
2011-12-23,13,66.67
2011-12-30,9,66.71
2012-01-06,18,66.36
2012-01-13,24,65.81
2012-01-20,22,66.23
2012-01-27,18,64.30
2012-02-03,17,62.77
2012-02-10,26,63.88
2012-02-17,25,64.91
2012-02-24,21,66.71
2012-03-02,25,66.67
2012-03-09,20,66.93
2012-03-16,24,67.25
2012-03-23,16,67.43
2012-03-30,19,67.21
2012-04-06,19,
2012-04-13,25,65.81
2012-04-20,34,67.51
2012-04-27,45,64.44
2012-05-04,100,64.28
2012-05-11,95,63.68
2012-05-18,81,63.52
2012-05-25,75,62.49
2012-06-01,53,61.55
2012-06-08,45,62.75
2012-06-15,40,62.88
2012-06-22,41,59.83
2012-06-29,39,61.25
2012-07-06,30,61.28
2012-07-13,27,65.09
2012-07-20,34,64.73
2012-07-27,33,65.09
2012-08-03,33,65.50
2012-08-10,36,66.77
2012-08-17,26,67.00
2012-08-24,24,67.02
2012-08-31,27,67.19
2012-09-07,29,68.52
2012-09-14,25,69.16
2012-09-21,33,69.42
2012-09-28,28,69.36
2012-10-05,30,69.63
2012-10-12,23,67.94
2012-10-19,22,68.57
2012-10-26,28,69.44
2012-11-02,24,69.19
2012-11-09,22,67.01
2012-11-16,27,66.82
2012-11-23,21,69.59
2012-11-30,28,69.83
2012-12-07,28,70.29
2012-12-14,23,69.93
2012-12-21,17,68.72
2012-12-28,21,67.15
2013-01-04,24,69.09
2013-01-11,31,69.22
2013-01-18,27,69.94
2013-01-25,21,73.25
2013-02-01,24,75.92
2013-02-08,24,75.75
2013-02-15,19,76.54
2013-02-22,23,76.99
2013-03-01,31,76.49
2013-03-08,25,77.18
2013-03-15,25,76.34
2013-03-22,22,77.27
2013-03-29,24,
2013-04-05,23,78.23
2013-04-12,23,80.08
2013-04-19,20,81.43
2013-04-26,26,77.10
2013-05-03,23,78.19
2013-05-10,20,78.76
2013-05-17,19,80.02
2013-05-24,19,81.88
2013-05-31,21,76.76
2013-06-07,21,77.75
2013-06-14,21,78.03
2013-06-21,24,77.43
2013-06-28,25,76.99
2013-07-05,21,78.34
2013-07-12,24,81.55
2013-07-19,28,81.37
2013-07-26,23,80.39
2013-08-02,25,81.29
2013-08-09,20,81.64
2013-08-16,24,79.90
2013-08-23,24,80.01
2013-08-30,21,77.89
2013-09-06,22,77.15
2013-09-13,26,79.05
2013-09-20,24,79.39
2013-09-27,24,77.21
2013-10-04,22,76.02
2013-10-11,24,78.48
2013-10-18,25,79.41
2013-10-25,27,80.00
2013-11-01,33,81.15
2013-11-08,30,82.51
2013-11-15,25,84.84
2013-11-22,30,84.95
2013-11-29,25,84.22
2013-12-06,28,84.52
2013-12-13,21,82.37
2013-12-20,19,81.84
2013-12-27,15,82.01
2014-01-03,16,80.45
2014-01-10,22,80.30
2014-01-17,25,79.88
2014-01-24,27,79.18
2014-01-31,24,76.62
2014-02-07,31,77.31
2014-02-14,25,79.40
2014-02-21,26,77.97
2014-02-28,23,78.66
2014-03-07,24,78.38
2014-03-14,24,78.98
2014-03-21,21,77.88
2014-03-28,35,79.76
2014-04-04,19,79.77
2014-04-11,26,80.76
2014-04-18,19,
2014-04-25,27,81.41
2014-05-02, ,
