Date,VZ,Price
2004-01-09,2,
2004-01-16,2,
2004-01-23,2,
2004-01-30,3,
2004-02-06,2,37.15
2004-02-13,2,37.65
2004-02-20,3,37.18
2004-02-27,2,38.33
2004-03-05,2,38.98
2004-03-12,2,37.91
2004-03-19,3,37.47
2004-03-26,4,36.02
2004-04-02,3,37.24
2004-04-09,2,
2004-04-16,4,36.75
2004-04-23,2,37.54
2004-04-30,2,37.74
2004-05-07,3,36.78
2004-05-14,2,36.36
2004-05-21,2,35.77
2004-05-28,2,34.58
2004-06-04,3,34.96
2004-06-11,2,
2004-06-18,2,36.17
2004-06-25,3,35.77
2004-07-02,3,36.07
2004-07-09,3,35.44
2004-07-16,3,34.60
2004-07-23,3,35.32
2004-07-30,4,38.54
2004-08-06,5,38.35
2004-08-13,6,39.07
2004-08-20,4,39.60
2004-08-27,4,38.96
2004-09-03,4,40.06
2004-09-10,2,40.34
2004-09-17,3,40.57
2004-09-24,3,40.31
2004-10-01,3,40.04
2004-10-08,4,40.73
2004-10-15,3,40.87
2004-10-22,3,38.97
2004-10-29,3,39.10
2004-11-05,2,41.01
2004-11-12,3,42.22
2004-11-19,2,41.10
2004-11-26,2,41.03
2004-12-03,2,42.02
2004-12-10,2,40.80
2004-12-17,3,40.90
2004-12-24,2,
2004-12-31,2,40.51
2005-01-07,2,39.41
2005-01-14,2,36.84
2005-01-21,3,36.50
2005-01-28,2,35.68
2005-02-04,2,36.85
2005-02-11,2,36.31
2005-02-18,3,35.31
2005-02-25,2,36.20
2005-03-04,2,36.42
2005-03-11,2,36.07
2005-03-18,2,35.15
2005-03-25,2,
2005-04-01,3,35.19
2005-04-08,2,35.07
2005-04-15,3,34.15
2005-04-22,3,34.06
2005-04-29,2,35.80
2005-05-06,3,34.56
2005-05-13,3,34.09
2005-05-20,3,35.20
2005-05-27,3,35.46
2005-06-03,3,35.17
2005-06-10,3,34.85
2005-06-17,3,35.03
2005-06-24,3,34.47
2005-07-01,2,34.57
2005-07-08,2,34.40
2005-07-15,3,34.69
2005-07-22,3,34.17
2005-07-29,4,34.23
2005-08-05,3,33.32
2005-08-12,3,33.05
2005-08-19,3,33.07
2005-08-26,3,32.60
2005-09-02,2,32.48
2005-09-09,3,32.73
2005-09-16,3,32.81
2005-09-23,3,32.16
2005-09-30,2,32.69
2005-10-07,2,30.59
2005-10-14,3,29.90
2005-10-21,3,29.52
2005-10-28,3,31.70
2005-11-04,3,30.90
2005-11-11,3,31.40
2005-11-18,4,31.70
2005-11-25,3,31.98
2005-12-02,3,31.87
2005-12-09,3,31.08
2005-12-16,3,30.49
2005-12-23,3,30.48
2005-12-30,3,30.12
2006-01-06,3,31.35
2006-01-13,3,32.18
2006-01-20,3,30.94
2006-01-27,3,32.14
2006-02-03,3,31.61
2006-02-10,3,33.18
2006-02-17,3,34.78
2006-02-24,3,33.81
2006-03-03,3,33.58
2006-03-10,3,34.19
2006-03-17,4,34.41
2006-03-24,3,34.97
2006-03-31,4,34.06
2006-04-07,3,33.79
2006-04-14,3,
2006-04-21,3,32.52
2006-04-28,3,33.03
2006-05-05,3,33.02
2006-05-12,3,31.79
2006-05-19,3,30.90
2006-05-26,2,31.49
2006-06-02,3,31.94
2006-06-09,3,31.50
2006-06-16,3,32.54
2006-06-23,4,32.83
2006-06-30,4,33.49
2006-07-07,4,32.71
2006-07-14,3,31.62
2006-07-21,4,31.87
2006-07-28,4,33.73
2006-08-04,4,33.77
2006-08-11,4,34.07
2006-08-18,4,34.42
2006-08-25,3,34.70
2006-09-01,4,35.57
2006-09-08,4,35.40
2006-09-15,4,35.81
2006-09-22,4,37.10
2006-09-29,4,37.13
2006-10-06,5,36.80
2006-10-13,5,37.05
2006-10-20,6,37.80
2006-10-27,7,38.84
2006-11-03,6,36.70
2006-11-10,7,35.59
2006-11-17,6,36.04
2006-11-24,6,34.75
2006-12-01,10,34.64
2006-12-08,7,35.31
2006-12-15,8,36.48
2006-12-22,7,36.55
2006-12-29,7,37.24
2007-01-05,9,37.38
2007-01-12,9,37.33
2007-01-19,9,37.25
2007-01-26,8,37.83
2007-02-02,9,38.17
2007-02-09,10,37.70
2007-02-16,10,38.50
2007-02-23,11,38.41
2007-03-02,12,36.48
2007-03-09,12,36.45
2007-03-16,12,36.32
2007-03-23,14,38.12
2007-03-30,14,37.92
2007-04-06,13,
2007-04-13,15,37.39
2007-04-20,15,37.91
2007-04-27,16,37.89
2007-05-04,17,40.66
2007-05-11,16,41.35
2007-05-18,18,42.59
2007-05-25,19,42.50
2007-06-01,21,43.01
2007-06-08,21,43.07
2007-06-15,22,42.99
2007-06-22,24,41.63
2007-06-29,24,41.17
2007-07-06,25,41.55
2007-07-13,24,41.76
2007-07-20,26,42.28
2007-07-27,26,42.00
2007-08-03,26,42.75
2007-08-10,27,41.33
2007-08-17,30,40.80
2007-08-24,31,42.64
2007-08-31,33,41.88
2007-09-07,32,41.34
2007-09-14,35,42.52
2007-09-21,35,44.38
2007-09-28,37,44.28
2007-10-05,37,45.22
2007-10-12,38,45.53
2007-10-19,38,44.27
2007-10-26,41,45.60
2007-11-02,45,44.38
2007-11-09,47,42.77
2007-11-16,51,43.69
2007-11-23,62,42.64
2007-11-30,56,43.21
2007-12-07,57,45.30
2007-12-14,56,44.37
2007-12-21,62,44.32
2007-12-28,59,44.62
2008-01-04,60,42.60
2008-01-11,59,42.50
2008-01-18,59,39.09
2008-01-25,62,37.76
2008-02-01,67,38.75
2008-02-08,64,36.42
2008-02-15,66,37.83
2008-02-22,68,36.20
2008-02-29,71,36.32
2008-03-07,67,35.08
2008-03-14,70,33.82
2008-03-21,70,
2008-03-28,67,35.85
2008-04-04,67,37.34
2008-04-11,68,35.59
2008-04-18,70,36.03
2008-04-25,77,37.04
2008-05-02,68,39.59
2008-05-09,70,37.91
2008-05-16,66,38.77
2008-05-23,70,37.08
2008-05-30,75,38.47
2008-06-06,74,38.23
2008-06-13,75,37.33
2008-06-20,78,35.38
2008-06-27,77,34.28
2008-07-04,76,
2008-07-11,80,34.92
2008-07-18,76,35.45
2008-07-25,76,34.45
2008-08-01,82,34.00
2008-08-08,81,34.59
2008-08-15,83,34.96
2008-08-22,82,35.29
2008-08-29,83,35.12
2008-09-05,87,34.08
2008-09-12,84,34.49
2008-09-19,82,33.30
2008-09-26,85,32.18
2008-10-03,85,31.24
2008-10-10,86,26.77
2008-10-17,90,27.19
2008-10-24,89,25.08
2008-10-31,92,29.67
2008-11-07,88,30.05
2008-11-14,86,30.00
2008-11-21,90,28.47
2008-11-28,90,32.65
2008-12-05,87,33.19
2008-12-12,89,32.80
2008-12-19,88,33.19
2008-12-26,100,33.19
2009-01-02,94,34.64
2009-01-09,86,32.16
2009-01-16,89,29.96
2009-01-23,91,30.44
2009-01-30,90,29.87
2009-02-06,89,31.72
2009-02-13,88,29.56
2009-02-20,90,28.81
2009-02-27,91,28.53
2009-03-06,91,27.28
