Date,T,Price
2004-01-09,63,
2004-01-16,62,
2004-01-23,62,
2004-01-30,62,
2004-02-06,61,26.02
2004-02-13,61,25.05
2004-02-20,62,23.88
2004-02-27,62,24.01
2004-03-05,62,25.02
2004-03-12,61,24.36
2004-03-19,63,24.62
2004-03-26,61,23.92
2004-04-02,63,24.87
2004-04-09,62,
2004-04-16,63,24.17
2004-04-23,65,25.42
2004-04-30,63,24.90
2004-05-07,64,24.74
2004-05-14,61,24.50
2004-05-21,61,24.33
2004-05-28,63,23.70
2004-06-04,62,23.93
2004-06-11,63,
2004-06-18,62,24.60
2004-06-25,63,23.80
2004-07-02,64,24.11
2004-07-09,66,23.59
2004-07-16,67,23.10
2004-07-23,65,24.22
2004-07-30,64,25.34
2004-08-06,66,24.85
2004-08-13,64,25.06
2004-08-20,66,25.57
2004-08-27,66,25.84
2004-09-03,64,26.20
2004-09-10,64,26.57
2004-09-17,64,26.48
2004-09-24,63,26.05
2004-10-01,65,26.32
2004-10-08,62,26.83
2004-10-15,65,26.68
2004-10-22,62,25.24
2004-10-29,63,25.26
2004-11-05,63,26.25
2004-11-12,62,26.67
2004-11-19,63,25.89
2004-11-26,63,25.48
2004-12-03,66,25.81
2004-12-10,66,25.31
2004-12-17,65,25.70
2004-12-24,62,
2004-12-31,60,25.77
2005-01-07,62,25.08
2005-01-14,61,24.41
2005-01-21,64,24.58
2005-01-28,64,23.62
2005-02-04,64,24.60
2005-02-11,66,24.26
2005-02-18,66,24.18
2005-02-25,64,24.21
2005-03-04,63,24.49
2005-03-11,64,24.00
2005-03-18,63,23.35
2005-03-25,66,
2005-04-01,65,23.66
2005-04-08,64,23.75
2005-04-15,63,23.00
2005-04-22,63,23.20
2005-04-29,67,23.80
2005-05-06,66,23.62
2005-05-13,65,23.08
2005-05-20,64,23.63
2005-05-27,67,23.67
2005-06-03,66,23.34
2005-06-10,66,23.63
2005-06-17,66,24.02
2005-06-24,67,23.50
2005-07-01,67,23.93
2005-07-08,69,23.57
2005-07-15,71,24.12
2005-07-22,67,23.72
2005-07-29,66,24.45
2005-08-05,67,24.61
2005-08-12,66,24.46
2005-08-19,67,24.14
