Date,PG,Price
2004-01-09,54,
2004-01-16,48,
2004-01-23,46,
2004-01-30,48,
2004-02-06,49,102.36
2004-02-13,48,102.05
2004-02-20,47,102.50
2004-02-27,48,102.51
2004-03-05,49,101.76
2004-03-12,38,104.12
2004-03-19,45,104.03
2004-03-26,50,103.95
2004-04-02,45,106.11
2004-04-09,46,
2004-04-16,49,105.97
2004-04-23,46,104.99
2004-04-30,47,105.79
2004-05-07,49,106.72
2004-05-14,42,106.41
2004-05-21,50,106.91
2004-05-28,46,107.82
2004-06-04,43,107.87
2004-06-11,41,
2004-06-18,48,110.19
2004-06-25,49,54.75
2004-07-02,44,54.33
2004-07-09,51,54.72
2004-07-16,47,55.10
2004-07-23,44,52.49
2004-07-30,45,52.15
2004-08-06,44,52.99
2004-08-13,39,54.46
2004-08-20,47,54.85
2004-08-27,47,55.98
2004-09-03,44,56.55
2004-09-10,48,56.18
2004-09-17,48,56.26
2004-09-24,41,54.08
2004-10-01,48,54.66
2004-10-08,45,53.45
2004-10-15,51,53.69
2004-10-22,45,53.05
2004-10-29,52,51.18
2004-11-05,47,53.52
2004-11-12,49,54.60
2004-11-19,47,54.32
2004-11-26,46,53.64
2004-12-03,45,55.39
2004-12-10,46,56.44
2004-12-17,43,55.44
2004-12-24,43,
2004-12-31,42,55.08
2005-01-07,48,55.92
2005-01-14,45,55.88
2005-01-21,49,55.65
2005-01-28,47,54.15
2005-02-04,47,52.62
2005-02-11,46,52.15
2005-02-18,52,53.50
2005-02-25,52,54.19
2005-03-04,47,53.85
2005-03-11,51,52.51
2005-03-18,48,53.40
2005-03-25,47,
2005-04-01,45,52.61
2005-04-08,45,54.50
2005-04-15,44,54.80
2005-04-22,51,53.89
2005-04-29,45,54.15
2005-05-06,47,54.75
2005-05-13,48,54.75
2005-05-20,44,56.48
2005-05-27,52,55.76
2005-06-03,46,55.27
2005-06-10,56,54.75
2005-06-17,50,54.42
2005-06-24,56,52.82
2005-07-01,52,52.90
2005-07-08,46,52.96
2005-07-15,51,54.50
2005-07-22,50,54.99
2005-07-29,47,55.63
2005-08-05,49,54.10
2005-08-12,48,53.55
2005-08-19,46,54.54
2005-08-26,49,54.96
2005-09-02,49,55.99
2005-09-09,44,56.90
2005-09-16,47,55.95
2005-09-23,49,56.74
2005-09-30,47,59.46
2005-10-07,48,56.04
2005-10-14,55,56.11
2005-10-21,54,54.81
2005-10-28,52,55.92
2005-11-04,50,55.92
2005-11-11,49,56.37
2005-11-18,52,57.45
2005-11-25,46,57.28
2005-12-02,48,57.36
2005-12-09,48,57.33
2005-12-16,47,58.11
2005-12-23,45,58.88
2005-12-30,43,57.88
2006-01-06,45,58.64
2006-01-13,50,58.90
2006-01-20,49,57.84
2006-01-27,49,59.74
2006-02-03,53,59.68
2006-02-10,49,59.70
2006-02-17,57,61.00
2006-02-24,50,61.50
2006-03-03,53,59.67
