Date,Intel Corporation,Price
2004-01-09,78,
2004-01-16,79,
2004-01-23,91,
2004-01-30,51,
2004-02-06,55,30.88
2004-02-13,62,30.14
2004-02-20,65,30.00
2004-02-27,70,29.20
2004-03-05,83,28.95
2004-03-12,88,27.69
2004-03-19,92,26.49
2004-03-26,58,27.38
2004-04-02,58,28.12
2004-04-09,67,
2004-04-16,71,26.45
2004-04-23,75,27.53
2004-04-30,80,25.73
2004-05-07,84,26.47
2004-05-14,64,27.04
2004-05-21,92,27.55
2004-05-28,100,28.55
2004-06-04,85,28.14
2004-06-11,64,
2004-06-18,55,27.64
2004-06-25,61,27.78
2004-07-02,80,26.33
2004-07-09,67,26.57
2004-07-16,62,22.73
2004-07-23,70,22.67
2004-07-30,52,24.38
2004-08-06,76,22.77
2004-08-13,84,21.56
2004-08-20,92,21.62
2004-08-27,70,22.02
2004-09-03,73,20.05
2004-09-10,56,20.57
2004-09-17,73,20.59
2004-09-24,91,20.13
2004-10-01,63,20.85
2004-10-08,56,20.55
2004-10-15,86,20.61
2004-10-22,84,21.30
2004-10-29,67,22.26
2004-11-05,58,23.36
2004-11-12,56,23.69
2004-11-19,90,24.16
2004-11-26,76,23.21
2004-12-03,72,23.91
2004-12-10,69,22.56
2004-12-17,48,22.77
2004-12-24,52,
2004-12-31,87,23.39
2005-01-07,72,22.80
2005-01-14,84,23.02
2005-01-21,95,22.42
2005-01-28,63,22.24
2005-02-04,62,23.00
2005-02-11,51,24.17
2005-02-18,52,24.02
2005-02-25,81,24.09
2005-03-04,69,24.68
2005-03-11,62,24.20
2005-03-18,78,23.41
2005-03-25,78,
2005-04-01,54,23.01
2005-04-08,79,23.29
2005-04-15,55,22.12
2005-04-22,77,23.24
2005-04-29,67,23.52
2005-05-06,63,24.49
2005-05-13,79,25.12
2005-05-20,62,26.35
2005-05-27,77,27.39
2005-06-03,57,27.33
2005-06-10,53,26.98
2005-06-17,51,27.12
2005-06-24,58,26.10
2005-07-01,46,26.21
2005-07-08,55,27.28
2005-07-15,61,28.30
2005-07-22,46,26.75
2005-07-29,85,27.14
2005-08-05,67,26.77
2005-08-12,65,26.31
2005-08-19,80,25.65
2005-08-26,67,25.41
2005-09-02,53,25.28
2005-09-09,72,25.25
2005-09-16,71,24.81
2005-09-23,69,24.38
2005-09-30,69,24.65
2005-10-07,44,23.82
2005-10-14,46,23.23
