Date,JPM,Price
2004-01-09,23,
2004-01-16,47,
2004-01-23,27,
2004-01-30,31,
2004-02-06,25,39.73
2004-02-13,22,40.16
2004-02-20,34,40.57
2004-02-27,32,41.02
2004-03-05,28,43.01
2004-03-12,30,41.52
2004-03-19,24,41.33
2004-03-26,27,41.25
2004-04-02,29,41.53
2004-04-09,26,
2004-04-16,25,39.26
2004-04-23,23,38.30
2004-04-30,31,37.60
2004-05-07,19,36.48
2004-05-14,21,35.66
2004-05-21,21,36.08
2004-05-28,21,36.84
2004-06-04,19,37.28
2004-06-11,28,
2004-06-18,30,37.23
2004-06-25,19,37.99
2004-07-02,30,38.08
2004-07-09,38,36.83
2004-07-16,16,35.87
2004-07-23,22,36.53
2004-07-30,28,37.33
2004-08-06,32,36.09
2004-08-13,15,36.87
2004-08-20,29,38.65
2004-08-27,19,39.72
2004-09-03,21,39.85
2004-09-10,22,39.80
2004-09-17,28,39.65
2004-09-24,30,39.75
2004-10-01,21,40.34
2004-10-08,20,39.65
2004-10-15,15,38.74
2004-10-22,19,37.47
2004-10-29,26,38.60
2004-11-05,19,39.35
2004-11-12,20,39.17
2004-11-19,14,37.42
2004-11-26,25,37.69
2004-12-03,30,38.06
2004-12-10,24,37.63
2004-12-17,29,38.52
2004-12-24,20,
2004-12-31,24,39.01
2005-01-07,31,38.40
2005-01-14,22,37.81
2005-01-21,25,36.85
2005-01-28,21,37.00
2005-02-04,20,37.69
2005-02-11,22,37.48
2005-02-18,26,36.51
2005-02-25,32,36.97
2005-03-04,24,37.51
2005-03-11,20,36.11
2005-03-18,24,36.01
2005-03-25,25,
2005-04-01,23,34.25
2005-04-08,22,34.50
2005-04-15,32,33.93
2005-04-22,33,34.87
2005-04-29,18,35.49
2005-05-06,28,35.61
2005-05-13,30,34.46
2005-05-20,16,36.06
2005-05-27,22,35.80
2005-06-03,29,35.55
2005-06-10,25,35.43
2005-06-17,27,36.08
2005-06-24,29,35.57
2005-07-01,25,35.06
2005-07-08,29,34.81
2005-07-15,27,35.86
2005-07-22,30,35.60
2005-07-29,25,35.14
2005-08-05,29,35.25
2005-08-12,27,34.31
2005-08-19,17,34.54
2005-08-26,14,33.65
2005-09-02,23,34.11
2005-09-09,25,34.82
2005-09-16,25,34.99
2005-09-23,31,34.07
2005-09-30,32,33.93
2005-10-07,30,33.90
2005-10-14,24,34.08
2005-10-21,34,35.13
2005-10-28,26,36.44
2005-11-04,32,37.31
2005-11-11,29,38.26
2005-11-18,28,38.03
2005-11-25,26,38.86
2005-12-02,32,38.99
2005-12-09,42,39.12
2005-12-16,32,39.79
2005-12-23,36,40.20
2005-12-30,34,39.69
2006-01-06,36,40.02
2006-01-13,43,39.92
2006-01-20,41,38.05
2006-01-27,41,39.75
2006-02-03,32,39.53
2006-02-10,39,39.92
2006-02-17,43,40.78
2006-02-24,35,41.66
2006-03-03,34,41.59
2006-03-10,35,41.13
2006-03-17,41,41.40
2006-03-24,41,42.10
2006-03-31,40,41.64
2006-04-07,33,41.70
2006-04-14,43,
2006-04-21,40,42.50
2006-04-28,42,45.38
2006-05-05,39,46.65
2006-05-12,44,44.32
2006-05-19,39,42.75
2006-05-26,42,43.23
2006-06-02,35,43.81
2006-06-09,35,42.10
2006-06-16,26,40.16
2006-06-23,26,40.87
2006-06-30,24,42.00
2006-07-07,34,42.41
2006-07-14,34,40.89
2006-07-21,39,43.15
2006-07-28,35,45.48
2006-08-04,40,45.12
2006-08-11,28,43.93
2006-08-18,33,45.71
2006-08-25,29,45.52
2006-09-01,27,45.73
2006-09-08,34,45.26
2006-09-15,35,46.95
2006-09-22,37,46.82
2006-09-29,37,46.96
2006-10-06,37,46.86
2006-10-13,42,48.16
2006-10-20,42,47.12
2006-10-27,34,47.29
2006-11-03,33,46.89
2006-11-10,34,47.61
2006-11-17,32,47.66
2006-11-24,34,47.27
2006-12-01,36,46.01
2006-12-08,35,46.76
2006-12-15,30,48.30
2006-12-22,32,47.89
2006-12-29,29,48.30
2007-01-05,29,47.79
2007-01-12,36,47.99
2007-01-19,38,48.76
2007-01-26,39,49.70
2007-02-02,35,50.93
2007-02-09,35,50.42
2007-02-16,39,51.25
2007-02-23,36,51.03
2007-03-02,40,48.19
2007-03-09,36,48.82
2007-03-16,41,47.03
2007-03-23,34,48.52
2007-03-30,38,48.38
2007-04-06,33,
2007-04-13,40,49.09
2007-04-20,45,52.54
2007-04-27,35,52.55
2007-05-04,39,52.63
2007-05-11,30,52.15
2007-05-18,38,52.54
2007-05-25,32,51.64
2007-06-01,38,51.90
2007-06-08,36,50.41
2007-06-15,41,50.56
2007-06-22,39,48.72
2007-06-29,35,48.45
2007-07-06,31,48.97
2007-07-13,37,50.05
2007-07-20,43,47.56
2007-07-27,34,44.23
2007-08-03,35,43.65
2007-08-10,32,44.25
2007-08-17,37,47.01
2007-08-24,31,45.95
2007-08-31,33,44.52
2007-09-07,33,43.52
2007-09-14,33,45.54
2007-09-21,35,47.13
2007-09-28,33,45.82
2007-10-05,40,47.58
2007-10-12,37,46.82
2007-10-19,39,45.02
2007-10-26,31,47.32
2007-11-02,38,43.15
2007-11-09,42,42.31
2007-11-16,38,43.09
2007-11-23,36,41.95
2007-11-30,37,45.62
2007-12-07,45,46.08
2007-12-14,33,45.20
2007-12-21,32,44.11
2007-12-28,31,43.26
2008-01-04,37,40.93
2008-01-11,38,40.86
2008-01-18,53,39.59
2008-01-25,47,43.64
2008-02-01,44,48.25
2008-02-08,37,43.82
2008-02-15,36,43.25
2008-02-22,32,43.93
2008-02-29,35,40.65
2008-03-07,40,37.56
2008-03-14,38,36.54
2008-03-21,100,
2008-03-28,48,42.71
2008-04-04,51,45.57
2008-04-11,40,42.53
2008-04-18,48,45.76
2008-04-25,43,47.79
2008-05-02,38,48.66
2008-05-09,34,46.57
2008-05-16,40,46.53
2008-05-23,38,42.32
2008-05-30,36,43.00
2008-06-06,45,40.09
2008-06-13,47,39.58
2008-06-20,43,37.86
2008-06-27,47,35.05
2008-07-04,43,
2008-07-11,44,33.16
2008-07-18,63,40.02
2008-07-25,43,39.52
2008-08-01,44,40.76
2008-08-08,38,41.07
2008-08-15,41,38.07
2008-08-22,37,37.67
2008-08-29,34,38.49
2008-09-05,37,39.60
2008-09-12,38,41.17
2008-09-19,69,47.05
2008-09-26,84,48.24
2008-10-03,80,45.90
2008-10-10,80,41.64
2008-10-17,76,39.33
2008-10-24,52,35.43
2008-10-31,52,41.25
2008-11-07,44,37.75
2008-11-14,53,34.47
2008-11-21,61,22.72
2008-11-28,51,31.66
2008-12-05,51,33.35
2008-12-12,47,30.94
2008-12-19,46,30.32
2008-12-26,31,29.80
2009-01-02,31,31.35
2009-01-09,46,25.97
2009-01-16,62,22.82
2009-01-23,63,24.28
2009-01-30,53,25.51
2009-02-06,50,27.63
2009-02-13,47,24.69
2009-02-20,50,19.90
2009-02-27,68,22.85
2009-03-06,61,15.93
2009-03-13,64,23.75
2009-03-20,58,23.15
2009-03-27,63,27.40
2009-04-03,56,29.28
2009-04-10,55,
2009-04-17,88,33.26
2009-04-24,60,33.38
2009-05-01,50,32.49
2009-05-08,57,38.94
2009-05-15,49,34.91
2009-05-22,45,34.41
2009-05-29,42,36.90
2009-06-05,50,34.55
2009-06-12,51,35.13
2009-06-19,46,35.00
2009-06-26,40,34.45
2009-07-03,34,
2009-07-10,38,32.34
2009-07-17,62,36.89
2009-07-24,43,37.92
2009-07-31,44,38.65
2009-08-07,44,42.36
2009-08-14,38,42.45
2009-08-21,39,43.66
2009-08-28,40,42.92
2009-09-04,37,42.34
2009-09-11,34,42.50
2009-09-18,45,44.95
2009-09-25,39,43.65
2009-10-02,43,41.86
2009-10-09,38,45.85
2009-10-16,57,46.06
2009-10-23,37,45.23
2009-10-30,38,41.77
2009-11-06,34,43.48
2009-11-13,33,42.90
2009-11-20,33,42.46
2009-11-27,32,41.33
2009-12-04,38,41.74
2009-12-11,36,40.96
2009-12-18,34,40.95
2009-12-25,30,
2010-01-01,25,
2010-01-08,37,44.68
2010-01-15,54,43.68
2010-01-22,51,39.16
2010-01-29,38,38.94
2010-02-05,37,38.30
2010-02-12,36,38.95
2010-02-19,37,40.03
2010-02-26,37,41.97
2010-03-05,36,42.81
2010-03-12,37,43.15
2010-03-19,37,43.45
2010-03-26,36,45.02
2010-04-02,33,
2010-04-09,37,45.98
