Date,3M Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,90,
2004-01-30,95,
2004-02-06,100,79.81
2004-02-13,0,79.68
2004-02-20,0,79.70
2004-02-27,0,78.02
2004-03-05,0,78.66
2004-03-12,0,76.22
2004-03-19,0,79.76
2004-03-26,0,79.98
2004-04-02,73,81.78
2004-04-09,82,
2004-04-16,91,83.73
2004-04-23,100,87.90
2004-04-30,79,86.48
2004-05-07,83,84.43
2004-05-14,87,83.81
2004-05-21,91,82.92
2004-05-28,85,84.56
2004-06-04,85,84.86
2004-06-11,85,
2004-06-18,85,87.09
2004-06-25,85,88.66
2004-07-02,79,87.50
2004-07-09,78,87.65
2004-07-16,78,87.84
2004-07-23,78,82.62
2004-07-30,80,82.36
2004-08-06,86,79.87
2004-08-13,92,77.66
2004-08-20,97,80.27
2004-08-27,87,81.48
2004-09-03,60,83.94
2004-09-10,60,84.69
2004-09-17,60,82.32
2004-09-24,60,78.68
2004-10-01,69,79.69
2004-10-08,79,79.26
2004-10-15,76,77.98
2004-10-22,76,75.88
2004-10-29,68,77.57
2004-11-05,71,81.40
2004-11-12,74,82.68
2004-11-19,78,80.95
2004-11-26,81,80.16
2004-12-03,73,81.08
2004-12-10,73,78.80
2004-12-17,73,80.62
2004-12-24,67,
2004-12-31,67,82.07
2005-01-07,67,82.30
2005-01-14,67,83.97
2005-01-21,50,81.27
2005-01-28,50,83.25
2005-02-04,99,84.08
2005-02-11,67,84.04
2005-02-18,59,85.55
2005-02-25,65,84.60
2005-03-04,70,86.46
2005-03-11,66,85.63
2005-03-18,57,86.16
2005-03-25,67,
2005-04-01,59,85.12
2005-04-08,51,84.55
2005-04-15,51,80.86
2005-04-22,51,77.06
2005-04-29,51,76.47
2005-05-06,52,77.33
2005-05-13,80,75.61
2005-05-20,59,77.06
2005-05-27,66,76.98
2005-06-03,54,76.00
2005-06-10,54,75.79
2005-06-17,59,76.92
2005-06-24,64,75.48
2005-07-01,70,73.00
2005-07-08,51,75.00
2005-07-15,51,75.45
2005-07-22,60,74.71
2005-07-29,51,75.00
2005-08-05,51,72.99
2005-08-12,54,71.94
2005-08-19,45,72.07
2005-08-26,52,70.99
2005-09-02,60,71.50
2005-09-09,56,73.52
2005-09-16,56,73.35
2005-09-23,61,72.55
2005-09-30,54,73.36
2005-10-07,70,71.73
2005-10-14,66,70.72
2005-10-21,52,74.89
2005-10-28,68,76.24
2005-11-04,38,75.13
2005-11-11,50,77.55
2005-11-18,61,78.16
2005-11-25,41,78.32
2005-12-02,49,79.40
2005-12-09,43,77.86
2005-12-16,43,77.09
2005-12-23,43,78.60
2005-12-30,45,77.50
2006-01-06,37,78.63
2006-01-13,61,77.50
2006-01-20,36,75.24
2006-01-27,65,72.65
2006-02-03,42,71.10
2006-02-10,31,72.61
2006-02-17,59,73.77
2006-02-24,60,73.91
2006-03-03,43,72.88
2006-03-10,45,72.32
2006-03-17,51,74.79
2006-03-24,44,76.80
2006-03-31,33,75.69
2006-04-07,36,81.03
2006-04-14,60,
2006-04-21,43,85.06
2006-04-28,56,85.43
2006-05-05,46,87.30
2006-05-12,32,86.57
2006-05-19,32,84.31
2006-05-26,50,83.87
2006-06-02,36,84.78
2006-06-09,48,80.57
2006-06-16,39,80.51
2006-06-23,48,79.92
2006-06-30,41,80.77
2006-07-07,34,74.10
2006-07-14,65,71.22
2006-07-21,42,70.72
2006-07-28,45,70.52
2006-08-04,41,69.45
2006-08-11,58,68.53
2006-08-18,35,71.21
2006-08-25,39,69.92
2006-09-01,46,71.72
2006-09-08,43,71.51
2006-09-15,39,74.14
2006-09-22,44,73.07
2006-09-29,43,74.42
2006-10-06,71,75.95
2006-10-13,58,75.40
2006-10-20,56,78.47
2006-10-27,52,78.95
2006-11-03,54,78.58
2006-11-10,35,79.19
2006-11-17,55,81.40
2006-11-24,61,81.15
2006-12-01,34,79.98
2006-12-08,30,78.56
2006-12-15,58,78.31
2006-12-22,34,78.35
2006-12-29,32,77.93
2007-01-05,25,77.42
2007-01-12,43,79.36
2007-01-19,34,79.25
2007-01-26,25,78.69
2007-02-02,52,73.87
2007-02-09,45,74.54
2007-02-16,66,76.84
2007-02-23,36,76.21
2007-03-02,39,73.01
2007-03-09,52,74.73
2007-03-16,40,75.28
2007-03-23,35,77.97
2007-03-30,40,76.43
2007-04-06,27,
2007-04-13,46,76.72
2007-04-20,41,77.75
2007-04-27,47,81.55
2007-05-04,31,84.21
2007-05-11,43,85.55
2007-05-18,47,86.90
2007-05-25,46,87.35
2007-06-01,43,88.43
2007-06-08,47,85.94
2007-06-15,34,87.67
2007-06-22,53,86.43
2007-06-29,34,86.79
2007-07-06,37,88.11
2007-07-13,58,90.22
2007-07-20,40,90.21
2007-07-27,43,90.05
2007-08-03,36,87.56
2007-08-10,49,85.97
2007-08-17,38,87.83
2007-08-24,53,89.15
2007-08-31,46,90.99
2007-09-07,23,88.92
2007-09-14,42,89.02
2007-09-21,53,91.68
2007-09-28,54,93.58
2007-10-05,41,95.85
2007-10-12,49,94.17
2007-10-19,35,86.62
2007-10-26,31,86.13
2007-11-02,33,84.89
2007-11-09,57,79.51
2007-11-16,51,81.57
2007-11-23,31,82.75
2007-11-30,44,83.26
2007-12-07,41,86.19
2007-12-14,35,85.93
2007-12-21,43,86.05
2007-12-28,43,85.09
2008-01-04,37,81.76
2008-01-11,44,77.58
2008-01-18,41,74.91
2008-01-25,43,75.51
2008-02-01,35,81.21
2008-02-08,46,78.56
2008-02-15,46,79.95
2008-02-22,34,79.67
2008-02-29,42,78.40
2008-03-07,34,76.51
2008-03-14,36,77.53
2008-03-21,32,
2008-03-28,38,77.95
2008-04-04,36,80.52
2008-04-11,42,78.47
2008-04-18,46,82.90
2008-04-25,34,77.82
2008-05-02,37,78.55
2008-05-09,55,76.32
2008-05-16,34,78.66
2008-05-23,35,75.81
2008-05-30,14,77.56
2008-06-06,31,74.86
2008-06-13,39,76.12
2008-06-20,26,73.02
2008-06-27,31,69.51
2008-07-04,36,
2008-07-11,26,68.72
2008-07-18,39,68.94
2008-07-25,34,70.95
2008-08-01,27,70.15
2008-08-08,30,73.48
2008-08-15,24,73.49
2008-08-22,34,72.28
2008-08-29,32,71.60
2008-09-05,31,69.19
2008-09-12,44,70.15
2008-09-19,44,72.68
2008-09-26,43,69.45
2008-10-03,34,64.60
2008-10-10,30,54.26
2008-10-17,37,56.49
2008-10-24,40,59.61
2008-10-31,36,64.30
2008-11-07,40,64.83
2008-11-14,40,63.06
2008-11-21,42,61.30
2008-11-28,17,66.93
2008-12-05,33,59.85
2008-12-12,37,56.04
2008-12-19,30,56.62
2008-12-26,25,55.74
2009-01-02,22,59.19
2009-01-09,25,57.74
2009-01-16,29,56.42
2009-01-23,37,52.90
2009-01-30,26,53.79
2009-02-06,32,52.39
2009-02-13,31,49.42
2009-02-20,26,47.25
2009-02-27,31,45.46
2009-03-06,26,41.83
2009-03-13,32,48.00
2009-03-20,32,45.93
2009-03-27,25,50.33
2009-04-03,26,52.11
2009-04-10,31,
2009-04-17,35,53.81
2009-04-24,28,57.00
2009-05-01,40,57.88
2009-05-08,37,60.09
2009-05-15,21,57.92
2009-05-22,22,56.07
2009-05-29,29,57.10
2009-06-05,21,60.94
2009-06-12,26,61.00
2009-06-19,29,59.37
2009-06-26,18,59.26
2009-07-03,22,
2009-07-10,32,59.79
2009-07-17,30,62.92
2009-07-24,41,69.42
2009-07-31,39,70.52
2009-08-07,21,72.90
2009-08-14,31,71.32
2009-08-21,28,72.64
2009-08-28,36,71.92
2009-09-04,26,71.35
2009-09-11,31,74.00
2009-09-18,35,74.62
2009-09-25,30,73.80
2009-10-02,39,71.93
2009-10-09,27,74.73
2009-10-16,29,76.02
2009-10-23,46,77.82
2009-10-30,34,73.57
2009-11-06,45,75.41
2009-11-13,38,77.32
2009-11-20,26,76.64
2009-11-27,28,76.75
2009-12-04,28,78.24
2009-12-11,27,81.75
2009-12-18,30,80.97
2009-12-25,12,
2010-01-01,9,
2010-01-08,24,84.32
2010-01-15,21,83.37
2010-01-22,24,81.48
2010-01-29,26,80.49
2010-02-05,24,78.54
2010-02-12,29,79.18
2010-02-19,31,81.52
2010-02-26,22,80.15
2010-03-05,24,82.44
2010-03-12,21,81.38
2010-03-19,32,81.96
2010-03-26,25,81.00
2010-04-02,22,
2010-04-09,28,83.49
2010-04-16,29,83.76
2010-04-23,35,86.58
2010-04-30,26,88.67
2010-05-07,26,82.63
2010-05-14,23,84.68
2010-05-21,30,80.70
2010-05-28,20,79.31
2010-06-04,28,76.10
2010-06-11,26,78.30
2010-06-18,28,81.18
2010-06-25,22,78.90
2010-07-02,23,77.67
2010-07-09,20,82.16
2010-07-16,26,80.95
2010-07-23,23,86.17
2010-07-30,21,85.54
2010-08-06,20,87.29
2010-08-13,23,84.01
2010-08-20,31,80.66
2010-08-27,25,81.00
2010-09-03,27,83.48
2010-09-10,28,83.94
2010-09-17,35,86.07
2010-09-24,34,86.96
2010-10-01,29,87.62
2010-10-08,34,89.16
2010-10-15,21,89.14
2010-10-22,21,90.44
2010-10-29,28,84.22
2010-11-05,19,86.34
2010-11-12,27,86.24
2010-11-19,19,85.01
2010-11-26,21,84.40
2010-12-03,31,86.94
2010-12-10,22,84.32
2010-12-17,25,86.37
2010-12-24,26,
2010-12-31,21,86.30
2011-01-07,22,86.23
2011-01-14,29,88.10
2011-01-21,23,89.29
2011-01-28,25,87.44
2011-02-04,20,88.29
2011-02-11,25,91.80
2011-02-18,25,92.96
2011-02-25,24,90.25
2011-03-04,25,92.19
2011-03-11,26,91.61
2011-03-18,21,88.98
2011-03-25,26,92.27
2011-04-01,24,93.13
2011-04-08,22,93.22
2011-04-15,19,92.82
2011-04-22,22,
2011-04-29,29,97.21
2011-05-06,23,95.60
2011-05-13,24,96.01
2011-05-20,26,93.56
2011-05-27,19,93.47
2011-06-03,23,90.70
2011-06-10,19,90.73
2011-06-17,19,91.78
2011-06-24,20,90.89
2011-07-01,22,96.67
2011-07-08,23,97.62
2011-07-15,20,95.47
2011-07-22,22,95.38
2011-07-29,26,87.14
2011-08-05,17,82.75
2011-08-12,20,82.54
2011-08-19,18,76.87
2011-08-26,27,80.01
2011-09-02,24,79.35
2011-09-09,20,76.65
2011-09-16,20,80.53
2011-09-23,29,73.99
2011-09-30,24,71.79
2011-10-07,23,73.82
2011-10-14,26,78.89
2011-10-21,23,80.48
2011-10-28,28,81.00
2011-11-04,21,79.30
2011-11-11,28,82.29
2011-11-18,24,80.54
2011-11-25,22,76.13
2011-12-02,30,79.76
2011-12-09,24,82.20
2011-12-16,24,78.87
2011-12-23,16,82.20
2011-12-30,13,81.73
2012-01-06,15,83.37
2012-01-13,19,83.60
2012-01-20,18,85.65
2012-01-27,17,87.46
2012-02-03,18,87.73
2012-02-10,21,87.14
2012-02-17,23,87.56
2012-02-24,29,88.20
2012-03-02,28,87.52
2012-03-09,23,86.80
2012-03-16,24,89.56
2012-03-23,24,88.46
2012-03-30,31,89.21
2012-04-06,20,
2012-04-13,25,85.69
2012-04-20,27,87.48
2012-04-27,21,89.36
2012-05-04,23,88.67
2012-05-11,29,86.73
2012-05-18,22,83.51
2012-05-25,20,84.78
2012-06-01,22,82.85
2012-06-08,19,86.00
2012-06-15,29,87.44
2012-06-22,23,86.83
2012-06-29,23,89.60
2012-07-06,17,88.99
2012-07-13,25,87.59
2012-07-20,19,89.99
2012-07-27,23,91.71
2012-08-03,25,91.70
2012-08-10,21,92.29
2012-08-17,22,94.24
2012-08-24,21,92.83
2012-08-31,26,92.60
2012-09-07,26,92.82
2012-09-14,24,93.98
2012-09-21,29,93.21
2012-09-28,28,92.42
2012-10-05,30,94.96
2012-10-12,26,92.75
2012-10-19,28,92.94
2012-10-26,20,88.03
2012-11-02,22,88.97
2012-11-09,21,88.81
2012-11-16,22,88.50
2012-11-23,16,90.28
2012-11-30,26,90.95
2012-12-07,26,91.51
2012-12-14,25,92.28
2012-12-21,22,93.10
2012-12-28,17,91.78
2013-01-04,19,95.37
2013-01-11,21,96.28
2013-01-18,23,98.74
2013-01-25,22,100.59
2013-02-01,26,101.56
2013-02-08,25,102.66
2013-02-15,25,103.23
2013-02-22,23,103.54
2013-03-01,20,103.77
2013-03-08,23,105.71
2013-03-15,26,106.40
2013-03-22,23,106.42
2013-03-29,23,
2013-04-05,22,105.78
2013-04-12,33,107.68
2013-04-19,27,105.71
2013-04-26,23,103.79
2013-05-03,21,107.83
2013-05-10,21,110.48
2013-05-17,20,111.39
2013-05-24,17,110.27
2013-05-31,18,110.27
2013-06-07,21,111.11
2013-06-14,19,111.03
2013-06-21,24,109.59
2013-06-28,20,109.35
2013-07-05,19,111.54
2013-07-12,23,115.14
2013-07-19,20,116.19
2013-07-26,25,116.91
2013-08-02,22,118.26
2013-08-09,20,118.31
2013-08-16,22,115.90
2013-08-23,26,114.40
2013-08-30,18,113.58
2013-09-06,21,115.04
2013-09-13,21,118.60
2013-09-20,25,120.01
2013-09-27,20,120.22
2013-10-04,25,119.40
2013-10-11,18,120.72
2013-10-18,24,122.84
2013-10-25,22,124.42
2013-11-01,19,125.90
2013-11-08,23,127.99
2013-11-15,19,129.85
2013-11-22,20,131.02
2013-11-29,22,133.51
2013-12-06,21,128.61
2013-12-13,21,126.43
2013-12-20,20,136.72
2013-12-27,8,139.35
2014-01-03,13,138.45
2014-01-10,17,136.18
2014-01-17,17,137.31
2014-01-24,19,130.22
2014-01-31,21,128.19
2014-02-07,23,130.33
2014-02-14,19,132.12
2014-02-21,18,131.57
2014-02-28,21,134.73
2014-03-07,20,134.11
2014-03-14,20,129.83
2014-03-21,21,133.12
2014-03-28,17,134.20
2014-04-04,21,135.86
2014-04-11,22,132.39
2014-04-18,19,
2014-04-25,23,136.56
2014-05-02, ,
