Date,MMM,Price
2004-01-09,39,
2004-01-16,52,
2004-01-23,43,
2004-01-30,43,
2004-02-06,43,79.81
2004-02-13,48,79.68
2004-02-20,42,79.70
2004-02-27,43,78.02
2004-03-05,42,78.66
2004-03-12,42,76.22
2004-03-19,39,79.76
2004-03-26,49,79.98
2004-04-02,40,81.78
2004-04-09,40,
2004-04-16,48,83.73
2004-04-23,44,87.90
2004-04-30,37,86.48
2004-05-07,47,84.43
2004-05-14,42,83.81
2004-05-21,39,82.92
2004-05-28,44,84.56
2004-06-04,47,84.86
2004-06-11,41,
2004-06-18,43,87.09
2004-06-25,48,88.66
2004-07-02,44,87.50
2004-07-09,39,87.65
2004-07-16,44,87.84
2004-07-23,47,82.62
2004-07-30,45,82.36
2004-08-06,42,79.87
2004-08-13,42,77.66
2004-08-20,45,80.27
2004-08-27,53,81.48
2004-09-03,48,83.94
2004-09-10,43,84.69
2004-09-17,34,82.32
2004-09-24,47,78.68
2004-10-01,40,79.69
2004-10-08,41,79.26
2004-10-15,37,77.98
2004-10-22,36,75.88
2004-10-29,38,77.57
2004-11-05,43,81.40
2004-11-12,41,82.68
2004-11-19,40,80.95
2004-11-26,38,80.16
2004-12-03,40,81.08
2004-12-10,44,78.80
2004-12-17,35,80.62
2004-12-24,44,
2004-12-31,38,82.07
2005-01-07,42,82.30
2005-01-14,41,83.97
2005-01-21,43,81.27
2005-01-28,49,83.25
2005-02-04,37,84.08
2005-02-11,46,84.04
2005-02-18,41,85.55
2005-02-25,42,84.60
2005-03-04,38,86.46
2005-03-11,43,85.63
2005-03-18,39,86.16
2005-03-25,40,
2005-04-01,42,85.12
2005-04-08,43,84.55
2005-04-15,37,80.86
2005-04-22,47,77.06
2005-04-29,45,76.47
2005-05-06,41,77.33
2005-05-13,42,75.61
2005-05-20,45,77.06
2005-05-27,47,76.98
2005-06-03,44,76.00
2005-06-10,44,75.79
2005-06-17,44,76.92
2005-06-24,42,75.48
2005-07-01,44,73.00
2005-07-08,49,75.00
2005-07-15,39,75.45
2005-07-22,42,74.71
2005-07-29,40,75.00
2005-08-05,45,72.99
2005-08-12,38,71.94
2005-08-19,37,72.07
2005-08-26,41,70.99
2005-09-02,44,71.50
2005-09-09,45,73.52
2005-09-16,49,73.35
2005-09-23,46,72.55
2005-09-30,43,73.36
2005-10-07,49,71.73
2005-10-14,41,70.72
2005-10-21,42,74.89
2005-10-28,45,76.24
2005-11-04,44,75.13
2005-11-11,42,77.55
2005-11-18,40,78.16
2005-11-25,41,78.32
2005-12-02,38,79.40
2005-12-09,41,77.86
2005-12-16,41,77.09
2005-12-23,40,78.60
2005-12-30,35,77.50
2006-01-06,36,78.63
2006-01-13,36,77.50
2006-01-20,36,75.24
2006-01-27,41,72.65
2006-02-03,40,71.10
2006-02-10,46,72.61
2006-02-17,40,73.77
2006-02-24,46,73.91
2006-03-03,38,72.88
2006-03-10,42,72.32
2006-03-17,39,74.79
2006-03-24,41,76.80
2006-03-31,38,75.69
2006-04-07,41,81.03
2006-04-14,46,
2006-04-21,47,85.06
2006-04-28,46,85.43
2006-05-05,44,87.30
2006-05-12,42,86.57
2006-05-19,44,84.31
2006-05-26,43,83.87
2006-06-02,47,84.78
2006-06-09,41,80.57
2006-06-16,55,80.51
2006-06-23,40,79.92
2006-06-30,40,80.77
2006-07-07,40,74.10
2006-07-14,42,71.22
2006-07-21,38,70.72
2006-07-28,38,70.52
2006-08-04,40,69.45
2006-08-11,42,68.53
2006-08-18,43,71.21
2006-08-25,43,69.92
2006-09-01,44,71.72
2006-09-08,38,71.51
2006-09-15,43,74.14
2006-09-22,39,73.07
2006-09-29,40,74.42
2006-10-06,44,75.95
2006-10-13,43,75.40
2006-10-20,42,78.47
2006-10-27,39,78.95
2006-11-03,41,78.58
2006-11-10,40,79.19
2006-11-17,41,81.40
2006-11-24,41,81.15
2006-12-01,41,79.98
2006-12-08,40,78.56
2006-12-15,40,78.31
2006-12-22,42,78.35
2006-12-29,36,77.93
2007-01-05,38,77.42
2007-01-12,42,79.36
2007-01-19,39,79.25
2007-01-26,40,78.69
2007-02-02,42,73.87
2007-02-09,39,74.54
2007-02-16,38,76.84
2007-02-23,39,76.21
2007-03-02,38,73.01
2007-03-09,40,74.73
2007-03-16,41,75.28
2007-03-23,38,77.97
2007-03-30,39,76.43
2007-04-06,43,
2007-04-13,39,76.72
2007-04-20,51,77.75
2007-04-27,46,81.55
2007-05-04,45,84.21
2007-05-11,41,85.55
2007-05-18,42,86.90
2007-05-25,44,87.35
2007-06-01,43,88.43
2007-06-08,40,85.94
2007-06-15,40,87.67
2007-06-22,40,86.43
2007-06-29,42,86.79
2007-07-06,39,88.11
2007-07-13,42,90.22
2007-07-20,42,90.21
2007-07-27,43,90.05
2007-08-03,41,87.56
2007-08-10,43,85.97
2007-08-17,39,87.83
2007-08-24,38,89.15
2007-08-31,39,90.99
2007-09-07,35,88.92
2007-09-14,37,89.02
2007-09-21,38,91.68
2007-09-28,39,93.58
2007-10-05,38,95.85
2007-10-12,40,94.17
2007-10-19,40,86.62
2007-10-26,39,86.13
2007-11-02,43,84.89
2007-11-09,40,79.51
2007-11-16,38,81.57
2007-11-23,40,82.75
2007-11-30,40,83.26
2007-12-07,42,86.19
2007-12-14,41,85.93
2007-12-21,36,86.05
2007-12-28,39,85.09
2008-01-04,37,81.76
2008-01-11,39,77.58
2008-01-18,42,74.91
2008-01-25,40,75.51
2008-02-01,39,81.21
2008-02-08,37,78.56
2008-02-15,43,79.95
2008-02-22,41,79.67
2008-02-29,39,78.40
2008-03-07,38,76.51
2008-03-14,36,77.53
2008-03-21,42,
2008-03-28,42,77.95
2008-04-04,44,80.52
2008-04-11,46,78.47
2008-04-18,44,82.90
2008-04-25,42,77.82
2008-05-02,40,78.55
2008-05-09,42,76.32
2008-05-16,40,78.66
2008-05-23,36,75.81
2008-05-30,40,77.56
2008-06-06,40,74.86
2008-06-13,42,76.12
2008-06-20,39,73.02
2008-06-27,40,69.51
2008-07-04,43,
2008-07-11,41,68.72
2008-07-18,40,68.94
2008-07-25,43,70.95
2008-08-01,41,70.15
2008-08-08,41,73.48
2008-08-15,40,73.49
2008-08-22,40,72.28
2008-08-29,43,71.60
2008-09-05,34,69.19
2008-09-12,43,70.15
2008-09-19,43,72.68
2008-09-26,40,69.45
2008-10-03,39,64.60
2008-10-10,44,54.26
2008-10-17,40,56.49
2008-10-24,42,59.61
2008-10-31,38,64.30
2008-11-07,37,64.83
2008-11-14,41,63.06
2008-11-21,43,61.30
2008-11-28,40,66.93
2008-12-05,45,59.85
2008-12-12,50,56.04
2008-12-19,42,56.62
2008-12-26,45,55.74
2009-01-02,43,59.19
2009-01-09,41,57.74
2009-01-16,42,56.42
2009-01-23,43,52.90
2009-01-30,41,53.79
2009-02-06,40,52.39
2009-02-13,41,49.42
2009-02-20,40,47.25
2009-02-27,42,45.46
2009-03-06,43,41.83
2009-03-13,40,48.00
2009-03-20,41,45.93
2009-03-27,42,50.33
2009-04-03,44,52.11
2009-04-10,41,
2009-04-17,40,53.81
2009-04-24,43,57.00
2009-05-01,41,57.88
2009-05-08,40,60.09
2009-05-15,41,57.92
2009-05-22,41,56.07
2009-05-29,41,57.10
2009-06-05,41,60.94
2009-06-12,41,61.00
2009-06-19,38,59.37
2009-06-26,39,59.26
2009-07-03,37,
2009-07-10,39,59.79
2009-07-17,43,62.92
2009-07-24,41,69.42
2009-07-31,41,70.52
2009-08-07,43,72.90
2009-08-14,42,71.32
2009-08-21,44,72.64
2009-08-28,44,71.92
2009-09-04,44,71.35
2009-09-11,46,74.00
2009-09-18,44,74.62
2009-09-25,46,73.80
2009-10-02,49,71.93
2009-10-09,52,74.73
2009-10-16,46,76.02
2009-10-23,46,77.82
2009-10-30,45,73.57
2009-11-06,44,75.41
2009-11-13,42,77.32
2009-11-20,44,76.64
2009-11-27,44,76.75
2009-12-04,42,78.24
2009-12-11,40,81.75
2009-12-18,39,80.97
2009-12-25,38,
2010-01-01,40,
2010-01-08,38,84.32
2010-01-15,41,83.37
2010-01-22,42,81.48
2010-01-29,41,80.49
2010-02-05,40,78.54
2010-02-12,39,79.18
2010-02-19,39,81.52
2010-02-26,41,80.15
2010-03-05,40,82.44
2010-03-12,40,81.38
2010-03-19,38,81.96
2010-03-26,41,81.00
2010-04-02,42,
2010-04-09,42,83.49
2010-04-16,42,83.76
2010-04-23,43,86.58
2010-04-30,45,88.67
2010-05-07,43,82.63
2010-05-14,43,84.68
2010-05-21,44,80.70
2010-05-28,42,79.31
2010-06-04,42,76.10
2010-06-11,40,78.30
2010-06-18,38,81.18
2010-06-25,40,78.90
2010-07-02,42,77.67
2010-07-09,42,82.16
2010-07-16,43,80.95
2010-07-23,41,86.17
2010-07-30,43,85.54
2010-08-06,44,87.29
2010-08-13,43,84.01
2010-08-20,48,80.66
2010-08-27,46,81.00
2010-09-03,45,83.48
2010-09-10,41,83.94
2010-09-17,41,86.07
2010-09-24,45,86.96
2010-10-01,44,87.62
2010-10-08,49,89.16
2010-10-15,46,89.14
2010-10-22,44,90.44
2010-10-29,39,84.22
2010-11-05,41,86.34
2010-11-12,43,86.24
2010-11-19,38,85.01
2010-11-26,41,84.40
2010-12-03,39,86.94
2010-12-10,41,84.32
2010-12-17,43,86.37
2010-12-24,42,
2010-12-31,40,86.30
2011-01-07,43,86.23
2011-01-14,48,88.10
2011-01-21,51,89.29
2011-01-28,52,87.44
2011-02-04,50,88.29
2011-02-11,55,91.80
2011-02-18,52,92.96
2011-02-25,49,90.25
2011-03-04,51,92.19
2011-03-11,48,91.61
2011-03-18,48,88.98
2011-03-25,51,92.27
2011-04-01,51,93.13
2011-04-08,53,93.22
2011-04-15,54,92.82
2011-04-22,54,
2011-04-29,59,97.21
2011-05-06,56,95.60
2011-05-13,60,96.01
2011-05-20,56,93.56
2011-05-27,55,93.47
2011-06-03,57,90.70
2011-06-10,61,90.73
2011-06-17,60,91.78
2011-06-24,63,90.89
2011-07-01,66,96.67
2011-07-08,64,97.62
2011-07-15,65,95.47
2011-07-22,63,95.38
2011-07-29,66,87.14
2011-08-05,70,82.75
2011-08-12,79,82.54
2011-08-19,78,76.87
2011-08-26,76,80.01
2011-09-02,76,79.35
2011-09-09,75,76.65
2011-09-16,75,80.53
2011-09-23,81,73.99
2011-09-30,86,71.79
2011-10-07,77,73.82
2011-10-14,75,78.89
2011-10-21,74,80.48
2011-10-28,78,81.00
2011-11-04,75,79.30
2011-11-11,80,82.29
2011-11-18,80,80.54
2011-11-25,89,76.13
2011-12-02,88,79.76
2011-12-09,87,82.20
2011-12-16,88,78.87
2011-12-23,96,82.20
2011-12-30,100,81.73
2012-01-06,95,83.37
2012-01-13,83,83.60
2012-01-20,73,85.65
2012-01-27,47,87.46
2012-02-03,47,87.73
2012-02-10,50,87.14
2012-02-17,48,87.56
2012-02-24,51,88.20
2012-03-02,51,87.52
2012-03-09,49,86.80
2012-03-16,52,89.56
2012-03-23,52,88.46
2012-03-30,52,89.21
2012-04-06,50,
2012-04-13,52,85.69
2012-04-20,50,87.48
2012-04-27,53,89.36
2012-05-04,54,88.67
2012-05-11,56,86.73
2012-05-18,55,83.51
2012-05-25,52,84.78
2012-06-01,56,82.85
2012-06-08,52,86.00
2012-06-15,51,87.44
2012-06-22,54,86.83
2012-06-29,51,89.60
2012-07-06,47,88.99
2012-07-13,47,87.59
2012-07-20,47,89.99
2012-07-27,50,91.71
2012-08-03,48,91.70
2012-08-10,51,92.29
2012-08-17,49,94.24
