Date,American Express Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,87,
2004-01-30,0,
2004-02-06,0,53.06
2004-02-13,0,53.65
2004-02-20,0,53.16
2004-02-27,0,53.42
2004-03-05,0,52.77
2004-03-12,0,52.12
2004-03-19,0,51.08
2004-03-26,0,50.03
2004-04-02,0,52.43
2004-04-09,0,
2004-04-16,0,50.58
2004-04-23,0,50.27
2004-04-30,100,48.95
2004-05-07,0,48.49
2004-05-14,0,48.86
2004-05-21,0,49.63
2004-05-28,0,50.70
2004-06-04,0,50.98
2004-06-11,0,
2004-06-18,0,51.96
2004-06-25,83,51.35
2004-07-02,0,51.24
2004-07-09,0,50.01
2004-07-16,0,48.73
2004-07-23,0,48.11
2004-07-30,0,50.25
2004-08-06,0,49.34
2004-08-13,0,49.35
2004-08-20,0,50.00
2004-08-27,0,50.00
2004-09-03,0,50.26
2004-09-10,84,51.33
2004-09-17,78,51.40
2004-09-24,78,51.21
2004-10-01,78,51.65
2004-10-08,78,52.25
2004-10-15,78,52.50
2004-10-22,72,51.73
2004-10-29,72,53.07
2004-11-05,75,55.12
2004-11-12,59,55.63
2004-11-19,59,55.70
2004-11-26,59,56.11
2004-12-03,59,56.25
2004-12-10,0,55.18
2004-12-17,0,55.91
2004-12-24,0,
2004-12-31,0,56.37
2005-01-07,0,53.76
2005-01-14,55,52.72
2005-01-21,83,51.93
2005-01-28,75,52.80
2005-02-04,100,55.82
2005-02-11,71,55.19
2005-02-18,80,54.13
2005-02-25,88,54.58
2005-03-04,61,54.95
2005-03-11,61,53.54
2005-03-18,55,52.40
2005-03-25,55,
2005-04-01,50,50.90
2005-04-08,50,51.54
2005-04-15,50,50.72
2005-04-22,50,49.81
2005-04-29,49,52.70
2005-05-06,54,53.00
2005-05-13,58,51.75
2005-05-20,62,53.06
2005-05-27,48,53.25
2005-06-03,48,54.18
2005-06-10,48,54.71
2005-06-17,77,54.83
2005-06-24,60,53.61
2005-07-01,60,53.54
2005-07-08,60,53.93
2005-07-15,74,53.76
2005-07-22,64,54.57
2005-07-29,0,55.00
2005-08-05,0,55.81
2005-08-12,0,56.67
2005-08-19,0,56.10
2005-08-26,0,55.01
2005-09-02,55,55.36
2005-09-09,54,58.19
2005-09-16,43,59.46
2005-09-23,43,56.90
2005-09-30,58,57.44
2005-10-07,42,49.82
2005-10-14,70,47.95
2005-10-21,44,47.15
2005-10-28,60,49.54
2005-11-04,54,49.40
2005-11-11,54,50.45
2005-11-18,54,49.91
2005-11-25,52,52.62
2005-12-02,75,51.61
2005-12-09,57,51.15
2005-12-16,46,51.93
2005-12-23,50,52.31
2005-12-30,52,51.46
2006-01-06,53,52.68
2006-01-13,54,53.44
2006-01-20,41,51.40
2006-01-27,48,53.30
2006-02-03,55,52.33
2006-02-10,37,53.00
2006-02-17,53,54.45
2006-02-24,37,54.87
2006-03-03,53,53.75
2006-03-10,42,54.23
2006-03-17,42,54.65
2006-03-24,44,53.18
2006-03-31,54,52.55
2006-04-07,41,51.70
2006-04-14,51,
2006-04-21,43,52.25
2006-04-28,38,53.81
2006-05-05,42,53.75
2006-05-12,41,52.89
2006-05-19,34,52.23
2006-05-26,44,54.41
2006-06-02,42,54.72
2006-06-09,45,53.46
2006-06-16,48,52.92
2006-06-23,41,52.59
2006-06-30,44,53.22
2006-07-07,38,51.98
2006-07-14,38,51.27
2006-07-21,35,50.62
2006-07-28,45,52.19
2006-08-04,31,52.21
2006-08-11,34,51.80
2006-08-18,34,53.26
2006-08-25,33,52.92
2006-09-01,34,52.55
2006-09-08,37,52.62
2006-09-15,28,53.75
2006-09-22,30,54.11
2006-09-29,46,56.08
2006-10-06,38,56.59
2006-10-13,40,58.02
2006-10-20,42,58.04
2006-10-27,31,57.27
2006-11-03,57,57.06
2006-11-10,30,58.86
2006-11-17,52,59.84
2006-11-24,27,59.90
2006-12-01,27,58.55
2006-12-08,41,59.83
2006-12-15,34,61.64
2006-12-22,37,60.85
2006-12-29,41,60.67
2007-01-05,28,59.13
2007-01-12,28,59.01
2007-01-19,43,58.09
2007-01-26,52,57.85
2007-02-02,35,58.16
2007-02-09,29,57.53
2007-02-16,29,59.02
2007-02-23,36,58.02
2007-03-02,29,55.44
2007-03-09,24,56.90
2007-03-16,28,55.55
2007-03-23,29,57.43
2007-03-30,25,56.40
2007-04-06,31,
2007-04-13,36,57.36
2007-04-20,25,61.00
2007-04-27,33,62.14
2007-05-04,52,63.39
2007-05-11,50,62.97
2007-05-18,31,63.96
2007-05-25,42,63.63
2007-06-01,41,65.07
2007-06-08,23,63.04
2007-06-15,30,63.77
2007-06-22,30,61.79
2007-06-29,30,61.18
2007-07-06,23,61.51
2007-07-13,35,62.83
2007-07-20,41,64.51
2007-07-27,52,58.55
2007-08-03,38,57.49
2007-08-10,27,60.78
2007-08-17,35,58.89
2007-08-24,31,60.89
2007-08-31,25,58.62
2007-09-07,34,57.75
2007-09-14,31,58.94
2007-09-21,34,59.28
2007-09-28,35,59.37
2007-10-05,47,61.10
2007-10-12,29,63.23
2007-10-19,34,57.11
2007-10-26,49,60.67
2007-11-02,32,58.42
2007-11-09,36,56.49
2007-11-16,27,58.67
2007-11-23,27,55.63
2007-11-30,27,58.98
2007-12-07,35,56.96
2007-12-14,33,52.29
2007-12-21,39,51.95
2007-12-28,34,50.84
2008-01-04,43,49.14
2008-01-11,36,44.00
2008-01-18,28,43.61
2008-01-25,29,45.44
2008-02-01,45,49.60
2008-02-08,34,44.98
2008-02-15,29,45.11
2008-02-22,30,45.06
2008-02-29,40,42.30
2008-03-07,43,41.53
2008-03-14,37,41.01
2008-03-21,34,
2008-03-28,38,43.15
2008-04-04,40,46.11
2008-04-11,39,43.39
2008-04-18,47,45.53
2008-04-25,36,47.77
2008-05-02,42,50.40
2008-05-09,35,48.96
2008-05-16,39,48.68
2008-05-23,27,45.45
2008-05-30,24,46.35
2008-06-06,23,44.65
2008-06-13,33,44.66
2008-06-20,32,41.18
2008-06-27,31,38.04
2008-07-04,37,
2008-07-11,36,39.21
2008-07-18,35,42.19
2008-07-25,31,36.62
2008-08-01,37,37.19
2008-08-08,31,37.81
2008-08-15,31,39.07
2008-08-22,28,38.79
2008-08-29,34,39.68
2008-09-05,40,39.40
2008-09-12,27,38.95
2008-09-19,32,40.40
2008-09-26,38,39.50
2008-10-03,27,30.87
2008-10-10,36,23.15
2008-10-17,23,23.33
2008-10-24,35,24.05
2008-10-31,32,27.50
2008-11-07,28,25.31
2008-11-14,33,19.99
2008-11-21,34,18.69
2008-11-28,21,23.31
2008-12-05,39,21.78
2008-12-12,26,20.34
2008-12-19,32,19.43
2008-12-26,41,17.91
2009-01-02,30,19.33
2009-01-09,32,19.23
2009-01-16,37,17.01
2009-01-23,33,16.00
2009-01-30,48,16.73
2009-02-06,15,17.93
2009-02-13,35,15.74
2009-02-20,26,12.97
2009-02-27,49,12.06
2009-03-06,19,10.26
2009-03-13,25,13.09
2009-03-20,24,12.26
2009-03-27,38,14.45
2009-04-03,21,15.33
2009-04-10,35,
2009-04-17,23,21.81
2009-04-24,24,25.30
2009-05-01,29,24.29
2009-05-08,22,28.40
2009-05-15,23,24.23
2009-05-22,24,23.40
2009-05-29,25,24.85
2009-06-05,26,24.95
2009-06-12,26,25.16
2009-06-19,19,24.64
2009-06-26,26,23.76
2009-07-03,24,
2009-07-10,27,23.22
2009-07-17,27,28.03
2009-07-24,36,29.51
2009-07-31,34,28.33
2009-08-07,34,32.69
2009-08-14,19,31.72
2009-08-21,32,32.85
2009-08-28,21,34.24
2009-09-04,26,32.84
2009-09-11,32,34.17
2009-09-18,20,34.77
2009-09-25,24,33.07
2009-10-02,20,32.49
2009-10-09,34,34.94
2009-10-16,23,34.95
2009-10-23,25,34.58
2009-10-30,29,34.84
2009-11-06,25,37.21
2009-11-13,39,40.35
2009-11-20,29,40.93
2009-11-27,29,40.84
2009-12-04,29,39.30
2009-12-11,35,40.73
2009-12-18,20,40.51
2009-12-25,18,
2010-01-01,21,
2010-01-08,26,41.95
2010-01-15,26,42.39
2010-01-22,33,38.59
2010-01-29,34,37.66
2010-02-05,30,37.85
2010-02-12,22,38.42
2010-02-19,22,39.06
2010-02-26,32,38.19
2010-03-05,32,40.20
2010-03-12,33,40.76
2010-03-19,25,40.33
2010-03-26,23,41.12
2010-04-02,25,
2010-04-09,28,43.88
2010-04-16,32,45.10
2010-04-23,30,48.05
2010-04-30,30,46.12
2010-05-07,27,40.60
2010-05-14,27,40.64
2010-05-21,29,39.82
2010-05-28,20,39.87
2010-06-04,25,38.41
2010-06-11,25,40.13
2010-06-18,35,42.03
2010-06-25,16,42.67
2010-07-02,22,39.42
2010-07-09,23,42.58
2010-07-16,30,41.38
2010-07-23,28,44.79
2010-07-30,28,44.64
2010-08-06,24,43.50
2010-08-13,29,41.73
2010-08-20,29,40.76
2010-08-27,20,40.91
2010-09-03,25,41.80
2010-09-10,19,40.19
2010-09-17,31,41.37
2010-09-24,32,43.13
2010-10-01,27,41.78
2010-10-08,32,37.99
2010-10-15,27,39.09
2010-10-22,28,39.03
2010-10-29,34,41.46
2010-11-05,27,44.07
2010-11-12,30,42.70
2010-11-19,32,42.75
2010-11-26,25,42.27
2010-12-03,31,44.88
2010-12-10,34,46.26
2010-12-17,26,44.01
2010-12-24,32,
2010-12-31,19,42.92
2011-01-07,24,44.36
2011-01-14,31,46.25
2011-01-21,22,46.00
2011-01-28,24,43.86
2011-02-04,28,43.82
2011-02-11,25,46.75
2011-02-18,25,45.53
2011-02-25,28,43.53
2011-03-04,21,43.72
2011-03-11,21,44.28
2011-03-18,23,44.17
2011-03-25,29,45.59
2011-04-01,23,45.36
2011-04-08,24,46.28
2011-04-15,28,46.25
2011-04-22,24,
2011-04-29,24,49.08
2011-05-06,21,50.20
2011-05-13,27,49.49
2011-05-20,23,51.19
2011-05-27,23,51.13
2011-06-03,17,49.28
2011-06-10,24,47.74
2011-06-17,22,48.50
2011-06-24,27,48.34
2011-07-01,27,52.34
2011-07-08,13,53.07
2011-07-15,29,51.81
2011-07-22,23,52.24
2011-07-29,31,50.04
2011-08-05,25,47.21
2011-08-12,31,44.89
2011-08-19,25,44.47
2011-08-26,24,48.48
2011-09-02,27,48.51
2011-09-09,27,47.28
2011-09-16,22,50.12
2011-09-23,29,46.45
2011-09-30,23,44.90
2011-10-07,23,43.43
2011-10-14,22,46.10
2011-10-21,22,48.46
2011-10-28,26,52.10
2011-11-04,24,51.18
2011-11-11,24,50.37
2011-11-18,28,46.88
2011-11-25,28,45.00
2011-12-02,26,48.23
2011-12-09,25,48.80
2011-12-16,30,46.88
2011-12-23,25,47.95
2011-12-30,22,47.17
2012-01-06,20,48.27
2012-01-13,25,49.76
2012-01-20,23,50.04
2012-01-27,22,49.85
2012-02-03,17,52.25
2012-02-10,21,51.81
2012-02-17,24,52.86
2012-02-24,31,53.33
2012-03-02,25,52.99
2012-03-09,23,53.20
2012-03-16,20,56.55
2012-03-23,27,57.25
2012-03-30,18,57.86
2012-04-06,24,
2012-04-13,24,57.28
2012-04-20,31,57.45
2012-04-27,22,60.17
2012-05-04,29,60.10
2012-05-11,28,59.64
2012-05-18,30,55.40
2012-05-25,25,55.81
2012-06-01,27,53.43
2012-06-08,23,55.86
2012-06-15,31,56.28
2012-06-22,28,56.79
2012-06-29,25,58.21
2012-07-06,19,58.63
2012-07-13,22,57.93
2012-07-20,30,55.81
2012-07-27,17,58.53
2012-08-03,27,57.61
2012-08-10,21,55.85
2012-08-17,31,57.59
2012-08-24,25,57.49
2012-08-31,24,58.30
2012-09-07,26,57.73
2012-09-14,25,59.27
2012-09-21,27,57.86
2012-09-28,24,56.86
2012-10-05,29,58.56
2012-10-12,23,57.89
2012-10-19,23,56.86
2012-10-26,31,55.75
2012-11-02,24,56.71
2012-11-09,25,55.83
2012-11-16,26,54.30
2012-11-23,26,56.51
2012-11-30,25,55.90
2012-12-07,28,56.61
2012-12-14,22,56.65
2012-12-21,25,57.65
2012-12-28,19,56.67
2013-01-04,28,59.61
2013-01-11,30,61.24
2013-01-18,24,59.78
2013-01-25,22,59.50
2013-02-01,24,59.91
2013-02-08,20,61.80
2013-02-15,20,61.69
2013-02-22,24,62.57
2013-03-01,28,62.37
2013-03-08,23,64.70
2013-03-15,27,66.09
2013-03-22,24,66.22
2013-03-29,22,
2013-04-05,18,65.30
2013-04-12,25,65.68
2013-04-19,22,67.24
2013-04-26,18,67.75
2013-05-03,23,70.23
2013-05-10,27,70.08
2013-05-17,27,73.32
2013-05-24,24,75.27
2013-05-31,24,75.71
2013-06-07,23,78.04
2013-06-14,20,72.97
2013-06-21,25,73.31
2013-06-28,25,74.76
2013-07-05,27,76.31
2013-07-12,27,78.33
2013-07-19,27,74.06
2013-07-26,18,75.34
2013-08-02,28,75.69
2013-08-09,24,75.50
2013-08-16,24,75.17
2013-08-23,22,73.65
2013-08-30,21,71.91
2013-09-06,29,73.35
2013-09-13,25,75.30
2013-09-20,23,77.32
2013-09-27,25,75.89
2013-10-04,27,74.31
2013-10-11,22,75.40
2013-10-18,19,80.52
2013-10-25,22,82.61
2013-11-01,26,82.16
2013-11-08,23,81.78
2013-11-15,21,82.80
2013-11-22,27,83.85
2013-11-29,25,85.80
2013-12-06,27,85.93
2013-12-13,29,83.68
2013-12-20,20,87.57
2013-12-27,17,89.19
2014-01-03,26,89.74
2014-01-10,19,88.55
2014-01-17,23,90.97
2014-01-24,21,86.95
2014-01-31,20,85.02
2014-02-07,23,87.00
2014-02-14,20,89.00
2014-02-21,19,88.75
2014-02-28,21,91.28
2014-03-07,18,93.86
2014-03-14,27,90.17
2014-03-21,22,91.52
2014-03-28,25,90.46
2014-04-04,22,89.17
2014-04-11,20,84.54
2014-04-18,20,
2014-04-25,22,87.03
2014-05-02, ,
