Date,CVX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,42,
2004-02-06,42,85.42
2004-02-13,42,86.52
2004-02-20,44,86.61
2004-02-27,45,88.35
2004-03-05,0,90.22
2004-03-12,0,88.45
2004-03-19,0,88.20
2004-03-26,0,85.34
2004-04-02,0,88.03
2004-04-09,0,
2004-04-16,0,91.73
2004-04-23,0,91.69
2004-04-30,62,91.50
2004-05-07,38,91.65
2004-05-14,45,92.69
2004-05-21,49,89.61
2004-05-28,50,90.40
2004-06-04,51,90.20
2004-06-11,53,
2004-06-18,63,93.42
2004-06-25,76,93.39
2004-07-02,50,93.25
2004-07-09,39,93.95
2004-07-16,39,95.40
2004-07-23,39,93.70
2004-07-30,39,95.65
2004-08-06,39,93.82
2004-08-13,38,95.60
2004-08-20,49,94.18
2004-08-27,40,95.25
2004-09-03,35,99.77
2004-09-10,56,100.05
2004-09-17,67,51.94
2004-09-24,45,52.83
2004-10-01,32,53.92
2004-10-08,49,55.29
2004-10-15,43,53.40
2004-10-22,34,53.34
2004-10-29,65,53.06
2004-11-05,66,54.53
2004-11-12,50,54.57
2004-11-19,45,53.90
2004-11-26,45,54.84
2004-12-03,45,52.59
2004-12-10,49,52.60
2004-12-17,54,51.72
2004-12-24,35,
2004-12-31,35,52.51
2005-01-07,35,51.15
2005-01-14,41,52.30
2005-01-21,58,51.98
2005-01-28,35,53.72
2005-02-04,58,56.74
2005-02-11,50,58.16
2005-02-18,67,59.73
2005-02-25,53,61.94
2005-03-04,32,61.71
2005-03-11,61,58.30
2005-03-18,28,60.38
2005-03-25,31,
2005-04-01,40,59.31
2005-04-08,49,56.69
2005-04-15,43,52.21
2005-04-22,78,53.87
2005-04-29,47,52.00
2005-05-06,57,52.74
2005-05-13,38,51.28
2005-05-20,53,51.72
2005-05-27,58,54.58
2005-06-03,66,55.06
2005-06-10,68,56.30
2005-06-17,51,58.97
2005-06-24,75,56.69
2005-07-01,68,56.97
2005-07-08,30,57.36
2005-07-15,57,56.67
2005-07-22,42,57.79
2005-07-29,62,58.01
2005-08-05,50,60.34
2005-08-12,54,62.28
2005-08-19,56,59.92
2005-08-26,36,59.38
2005-09-02,48,62.30
2005-09-09,48,63.81
2005-09-16,52,63.38
2005-09-23,52,63.27
2005-09-30,42,64.73
2005-10-07,55,61.00
2005-10-14,50,59.48
2005-10-21,57,56.30
2005-10-28,46,57.38
2005-11-04,47,58.01
2005-11-11,37,56.63
2005-11-18,55,58.11
2005-11-25,48,58.54
2005-12-02,44,59.18
2005-12-09,44,58.82
2005-12-16,52,57.51
2005-12-23,60,57.13
2005-12-30,63,56.77
2006-01-06,75,59.25
2006-01-13,84,60.36
2006-01-20,63,61.12
2006-01-27,70,60.38
2006-02-03,65,57.50
2006-02-10,42,56.61
2006-02-17,48,57.17
2006-02-24,56,57.65
2006-03-03,57,56.97
2006-03-10,60,54.08
2006-03-17,44,57.18
2006-03-24,53,57.57
2006-03-31,71,57.97
2006-04-07,48,58.65
2006-04-14,60,
2006-04-21,63,61.48
2006-04-28,62,61.02
2006-05-05,81,62.35
2006-05-12,61,61.38
2006-05-19,41,58.47
2006-05-26,55,59.83
2006-06-02,41,60.75
2006-06-09,58,57.53
2006-06-16,52,58.71
2006-06-23,42,58.71
2006-06-30,48,62.06
2006-07-07,41,63.68
2006-07-14,63,66.38
2006-07-21,62,64.45
2006-07-28,80,66.05
2006-08-04,73,65.66
2006-08-11,83,67.85
2006-08-18,90,67.26
2006-08-25,51,66.77
2006-09-01,52,64.83
2006-09-08,100,64.22
2006-09-15,45,61.79
2006-09-22,59,61.94
2006-09-29,52,64.86
2006-10-06,64,63.66
2006-10-13,55,64.20
2006-10-20,39,65.28
2006-10-27,70,67.68
2006-11-03,76,68.91
2006-11-10,59,69.54
2006-11-17,55,69.10
2006-11-24,60,68.84
2006-12-01,56,73.11
2006-12-08,55,72.83
2006-12-15,72,75.38
2006-12-22,68,72.73
2006-12-29,50,73.53
2007-01-05,56,70.55
2007-01-12,72,70.35
2007-01-19,53,72.32
2007-01-26,66,71.50
2007-02-02,69,74.04
2007-02-09,46,73.32
2007-02-16,67,70.81
2007-02-23,65,71.07
2007-03-02,69,66.79
2007-03-09,64,68.47
2007-03-16,57,68.08
2007-03-23,66,73.70
2007-03-30,74,73.96
2007-04-06,49,
2007-04-13,54,77.01
2007-04-20,64,78.45
2007-04-27,60,78.08
2007-05-04,67,79.30
2007-05-11,58,80.04
2007-05-18,75,82.85
2007-05-25,73,81.13
2007-06-01,60,82.23
2007-06-08,69,80.69
2007-06-15,61,83.17
2007-06-22,58,81.55
2007-06-29,54,84.24
2007-07-06,54,87.68
2007-07-13,90,93.33
2007-07-20,62,92.12
2007-07-27,80,85.20
2007-08-03,64,81.02
2007-08-10,62,83.42
2007-08-17,54,84.36
2007-08-24,51,87.22
2007-08-31,64,87.76
2007-09-07,56,87.65
2007-09-14,52,90.65
2007-09-21,69,94.84
2007-09-28,59,93.58
2007-10-05,73,92.32
2007-10-12,68,91.41
2007-10-19,70,89.27
2007-10-26,62,91.65
2007-11-02,84,88.48
2007-11-09,72,87.26
2007-11-16,77,85.98
2007-11-23,42,86.67
2007-11-30,62,87.77
2007-12-07,60,90.96
2007-12-14,63,92.02
2007-12-21,60,94.04
2007-12-28,64,94.86
2008-01-04,73,93.35
2008-01-11,56,90.67
2008-01-18,75,83.46
2008-01-25,65,81.82
2008-02-01,64,82.49
2008-02-08,71,79.26
2008-02-15,66,83.60
2008-02-22,56,85.42
2008-02-29,58,86.66
2008-03-07,60,85.26
2008-03-14,56,85.34
2008-03-21,67,
2008-03-28,58,84.50
2008-04-04,52,88.05
2008-04-11,61,88.80
2008-04-18,74,93.18
2008-04-25,74,92.69
2008-05-02,85,95.32
2008-05-09,80,97.39
2008-05-16,74,100.38
2008-05-23,85,100.73
2008-05-30,71,99.15
2008-06-06,80,99.50
2008-06-13,64,99.40
2008-06-20,65,96.62
2008-06-27,53,97.80
2008-07-04,62,
2008-07-11,57,92.25
2008-07-18,72,86.05
2008-07-25,73,82.56
2008-08-01,88,84.31
2008-08-08,57,84.40
2008-08-15,65,84.25
2008-08-22,67,88.10
2008-08-29,59,86.32
2008-09-05,51,80.22
2008-09-12,57,84.24
2008-09-19,81,87.80
2008-09-26,69,86.95
2008-10-03,63,79.38
2008-10-10,88,57.83
2008-10-17,82,62.35
2008-10-24,87,63.91
2008-10-31,71,74.60
2008-11-07,60,73.46
2008-11-14,73,72.68
2008-11-21,71,70.49
2008-11-28,63,79.01
2008-12-05,64,74.42
2008-12-12,65,79.00
2008-12-19,57,70.85
2008-12-26,55,70.35
2009-01-02,59,76.52
2009-01-09,62,72.82
2009-01-16,61,71.74
2009-01-23,53,70.82
2009-01-30,67,70.52
2009-02-06,49,74.90
2009-02-13,55,69.73
2009-02-20,55,65.07
2009-02-27,68,60.71
2009-03-06,59,58.27
2009-03-13,78,62.91
2009-03-20,64,64.71
2009-03-27,75,68.90
2009-04-03,66,70.48
2009-04-10,72,
2009-04-17,59,66.01
2009-04-24,58,66.60
2009-05-01,70,66.87
2009-05-08,79,70.38
2009-05-15,62,65.88
2009-05-22,51,64.44
2009-05-29,58,66.67
2009-06-05,76,69.37
2009-06-12,69,72.67
2009-06-19,65,68.06
2009-06-26,48,65.95
2009-07-03,46,
2009-07-10,55,61.40
2009-07-17,62,65.12
2009-07-24,56,68.43
2009-07-31,59,69.47
2009-08-07,69,69.50
2009-08-14,60,68.63
2009-08-21,51,69.73
2009-08-28,56,70.68
2009-09-04,56,68.96
2009-09-11,49,70.75
2009-09-18,62,72.64
2009-09-25,60,70.66
2009-10-02,57,68.14
2009-10-09,52,72.76
2009-10-16,63,76.81
2009-10-23,64,76.68
2009-10-30,66,76.54
2009-11-06,50,77.53
2009-11-13,54,77.94
2009-11-20,57,76.77
2009-11-27,41,78.17
2009-12-04,49,78.07
2009-12-11,57,77.76
2009-12-18,48,76.90
2009-12-25,49,
2010-01-01,54,
2010-01-08,49,79.47
2010-01-15,49,79.23
2010-01-22,50,74.59
2010-01-29,47,72.12
2010-02-05,46,71.18
2010-02-12,54,71.01
2010-02-19,46,74.05
2010-02-26,53,72.30
2010-03-05,48,74.30
2010-03-12,52,73.72
2010-03-19,50,74.98
2010-03-26,59,74.43
2010-04-02,48,
2010-04-09,50,79.50
2010-04-16,56,80.75
2010-04-23,48,82.67
2010-04-30,54,81.44
2010-05-07,59,77.10
2010-05-14,56,77.83
2010-05-21,59,74.48
2010-05-28,51,73.87
2010-06-04,50,71.28
2010-06-11,55,74.06
2010-06-18,54,75.52
2010-06-25,47,70.06
2010-07-02,43,67.31
2010-07-09,48,71.84
2010-07-16,38,71.50
2010-07-23,47,73.52
2010-07-30,52,76.21
2010-08-06,55,78.73
2010-08-13,54,77.40
2010-08-20,52,75.05
2010-08-27,45,74.93
2010-09-03,49,78.00
2010-09-10,42,78.82
2010-09-17,47,78.46
2010-09-24,39,80.12
2010-10-01,56,81.95
2010-10-08,57,83.94
2010-10-15,54,83.61
2010-10-22,47,84.55
2010-10-29,50,82.60
2010-11-05,55,84.98
2010-11-12,55,85.44
2010-11-19,49,83.94
2010-11-26,51,82.05
2010-12-03,50,84.89
2010-12-10,51,87.03
2010-12-17,59,88.49
2010-12-24,45,
2010-12-31,56,91.25
2011-01-07,57,91.19
2011-01-14,53,92.83
2011-01-21,55,93.78
2011-01-28,61,93.37
2011-02-04,60,97.11
2011-02-11,61,96.45
2011-02-18,61,98.72
2011-02-25,75,102.10
2011-03-04,74,103.75
2011-03-11,67,99.93
2011-03-18,61,102.80
2011-03-25,73,106.78
2011-04-01,63,108.32
2011-04-08,61,109.66
2011-04-15,60,106.24
2011-04-22,56,
2011-04-29,63,109.44
2011-05-06,62,102.88
2011-05-13,59,102.39
2011-05-20,47,102.57
2011-05-27,52,103.21
2011-06-03,52,101.00
2011-06-10,49,99.67
2011-06-17,48,99.17
2011-06-24,55,97.90
2011-07-01,50,104.09
2011-07-08,48,105.89
2011-07-15,49,106.19
2011-07-22,54,108.97
2011-07-29,64,104.02
2011-08-05,70,97.61
2011-08-12,76,95.86
2011-08-19,57,93.29
2011-08-26,62,96.85
2011-09-02,60,96.41
2011-09-09,56,95.19
2011-09-16,55,99.63
2011-09-23,50,90.01
2011-09-30,52,92.59
2011-10-07,55,94.40
2011-10-14,50,100.47
2011-10-21,60,105.53
2011-10-28,64,109.64
2011-11-04,63,106.43
2011-11-11,68,107.05
2011-11-18,59,97.88
2011-11-25,51,92.29
2011-12-02,59,101.69
2011-12-09,58,104.25
2011-12-16,58,100.86
2011-12-23,56,107.50
2011-12-30,51,106.40
2012-01-06,51,108.31
2012-01-13,58,106.09
2012-01-20,55,106.89
2012-01-27,56,103.96
2012-02-03,60,105.50
2012-02-10,52,105.28
2012-02-17,51,106.66
2012-02-24,64,109.08
2012-03-02,51,109.61
2012-03-09,59,109.57
2012-03-16,65,110.28
2012-03-23,54,106.36
2012-03-30,60,107.21
2012-04-06,52,
2012-04-13,54,100.78
2012-04-20,51,102.52
2012-04-27,55,106.20
2012-05-04,52,103.72
2012-05-11,50,102.69
2012-05-18,49,98.46
2012-05-25,53,98.86
2012-06-01,51,96.41
2012-06-08,46,100.84
2012-06-15,46,104.33
2012-06-22,52,100.44
2012-06-29,49,105.50
2012-07-06,48,105.07
2012-07-13,50,106.01
2012-07-20,48,109.19
2012-07-27,53,109.26
2012-08-03,46,111.12
2012-08-10,56,113.55
2012-08-17,46,112.66
2012-08-24,54,112.01
2012-08-31,50,112.16
2012-09-07,46,114.00
2012-09-14,55,117.25
2012-09-21,53,117.80
2012-09-28,53,116.56
2012-10-05,50,117.50
2012-10-12,54,112.07
2012-10-19,48,113.38
2012-10-26,58,111.18
2012-11-02,49,108.37
2012-11-09,48,105.84
2012-11-16,59,102.40
2012-11-23,44,105.47
2012-11-30,55,105.69
2012-12-07,50,106.99
2012-12-14,49,107.82
2012-12-21,47,109.71
2012-12-28,43,106.45
2013-01-04,47,110.50
2013-01-11,48,111.73
2013-01-18,48,115.24
2013-01-25,48,116.20
2013-02-01,56,116.50
2013-02-08,47,115.64
2013-02-15,45,114.96
2013-02-22,50,115.96
2013-03-01,51,116.90
2013-03-08,61,118.57
2013-03-15,57,119.68
2013-03-22,53,121.18
2013-03-29,54,
2013-04-05,50,117.52
2013-04-12,50,119.94
2013-04-19,56,115.90
2013-04-26,47,120.04
2013-05-03,56,123.49
2013-05-10,56,123.23
2013-05-17,50,123.42
2013-05-24,52,125.45
2013-05-31,46,122.75
2013-06-07,40,121.70
2013-06-14,45,120.28
2013-06-21,48,118.93
2013-06-28,47,118.34
2013-07-05,42,120.51
2013-07-12,51,124.06
2013-07-19,47,126.91
2013-07-26,48,127.56
2013-08-02,52,124.95
2013-08-09,47,122.50
2013-08-16,46,119.88
2013-08-23,44,119.53
2013-08-30,49,120.43
2013-09-06,40,121.21
2013-09-13,47,124.14
2013-09-20,50,124.92
2013-09-27,45,122.64
2013-10-04,45,118.13
2013-10-11,49,117.67
2013-10-18,49,119.65
2013-10-25,47,120.59
2013-11-01,51,118.01
2013-11-08,46,121.19
2013-11-15,44,120.06
2013-11-22,54,124.03
2013-11-29,40,122.44
2013-12-06,44,122.29
2013-12-13,45,119.90
2013-12-20,46,122.78
2013-12-27,46,125.23
2014-01-03,44,124.35
2014-01-10,50,121.01
2014-01-17,51,119.29
2014-01-24,50,116.29
2014-01-31,61,111.63
2014-02-07,63,112.05
2014-02-14,57,113.48
2014-02-21,58,112.68
2014-02-28,55,115.33
2014-03-07,60,115.08
2014-03-14,56,114.10
2014-03-21,49,115.63
2014-03-28,53,118.50
2014-04-04,51,118.80
2014-04-11,58,117.03
2014-04-18,56,
2014-04-25,57,123.99
2014-05-02, ,
