Date,The Boeing Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.35
2004-02-13,0,44.45
2004-02-20,0,44.34
2004-02-27,0,43.37
2004-03-05,0,42.72
2004-03-12,0,40.30
2004-03-19,0,39.43
2004-03-26,0,39.35
2004-04-02,0,41.84
2004-04-09,0,
2004-04-16,0,41.50
2004-04-23,0,42.45
2004-04-30,0,42.69
2004-05-07,0,43.40
2004-05-14,0,43.44
2004-05-21,0,43.40
2004-05-28,0,45.80
2004-06-04,0,46.90
2004-06-11,0,
2004-06-18,0,49.80
2004-06-25,0,51.30
2004-07-02,0,49.52
2004-07-09,0,50.04
2004-07-16,0,49.13
2004-07-23,0,47.06
2004-07-30,0,50.75
2004-08-06,0,48.33
2004-08-13,0,49.72
2004-08-20,0,50.46
2004-08-27,0,51.99
2004-09-03,0,53.10
2004-09-10,0,54.15
2004-09-17,0,55.15
2004-09-24,0,53.14
2004-10-01,0,52.48
2004-10-08,0,50.10
2004-10-15,0,50.19
2004-10-22,0,49.51
2004-10-29,0,49.90
2004-11-05,0,51.15
2004-11-12,0,53.93
2004-11-19,0,53.77
2004-11-26,0,54.02
2004-12-03,0,55.26
2004-12-10,0,52.42
2004-12-17,0,53.10
2004-12-24,0,
2004-12-31,0,51.77
2005-01-07,0,50.31
2005-01-14,0,50.91
2005-01-21,0,50.07
2005-01-28,0,49.92
2005-02-04,0,52.58
2005-02-11,0,54.14
2005-02-18,0,52.78
2005-02-25,0,54.99
2005-03-04,0,58.38
2005-03-11,0,57.49
2005-03-18,0,57.16
2005-03-25,0,
2005-04-01,0,58.78
2005-04-08,0,58.60
2005-04-15,0,57.00
2005-04-22,0,57.88
2005-04-29,0,59.52
2005-05-06,0,61.01
2005-05-13,0,59.50
2005-05-20,0,61.90
2005-05-27,0,63.02
2005-06-03,0,64.66
2005-06-10,0,64.65
2005-06-17,0,64.62
2005-06-24,0,60.59
2005-07-01,0,64.68
2005-07-08,0,65.07
2005-07-15,0,64.75
2005-07-22,0,66.20
2005-07-29,0,66.01
2005-08-05,0,66.19
2005-08-12,0,66.54
2005-08-19,0,67.15
2005-08-26,0,66.31
2005-09-02,0,64.34
2005-09-09,0,65.40
2005-09-16,0,64.80
2005-09-23,100,63.20
2005-09-30,0,67.95
2005-10-07,0,67.30
2005-10-14,0,67.50
2005-10-21,0,66.02
2005-10-28,0,65.64
2005-11-04,0,65.28
2005-11-11,0,65.35
2005-11-18,99,66.95
2005-11-25,0,69.06
2005-12-02,0,69.44
2005-12-09,0,69.65
2005-12-16,0,70.75
2005-12-23,0,71.49
2005-12-30,0,70.24
2006-01-06,0,69.35
2006-01-13,0,69.48
2006-01-20,0,66.50
2006-01-27,0,68.56
2006-02-03,80,70.87
2006-02-10,0,72.53
2006-02-17,0,72.96
2006-02-24,0,74.31
2006-03-03,0,73.39
2006-03-10,0,74.79
2006-03-17,0,77.85
2006-03-24,0,78.73
2006-03-31,0,77.93
2006-04-07,74,79.57
2006-04-14,0,
2006-04-21,0,86.46
2006-04-28,0,83.45
2006-05-05,0,88.47
2006-05-12,0,87.01
2006-05-19,0,84.61
2006-05-26,0,83.50
2006-06-02,0,83.80
2006-06-09,0,80.50
2006-06-16,0,85.54
2006-06-23,0,83.39
2006-06-30,0,81.91
2006-07-07,0,79.99
2006-07-14,0,77.25
2006-07-21,0,79.08
2006-07-28,0,78.91
2006-08-04,0,79.49
2006-08-11,0,75.96
2006-08-18,0,77.62
2006-08-25,0,73.93
2006-09-01,0,75.43
2006-09-08,0,72.80
2006-09-15,65,75.01
2006-09-22,0,77.25
2006-09-29,0,78.85
2006-10-06,0,83.68
2006-10-13,0,82.39
2006-10-20,0,81.74
2006-10-27,0,79.74
2006-11-03,0,79.97
2006-11-10,0,85.62
2006-11-17,0,89.52
2006-11-24,0,89.77
2006-12-01,0,89.55
2006-12-08,0,90.13
2006-12-15,0,90.70
2006-12-22,0,88.76
2006-12-29,0,88.84
2007-01-05,0,89.15
2007-01-12,53,88.13
2007-01-19,52,88.63
2007-01-26,52,85.43
2007-02-02,55,90.05
2007-02-09,58,90.00
2007-02-16,61,90.94
2007-02-23,54,90.28
2007-03-02,54,87.03
2007-03-09,54,89.51
2007-03-16,54,90.00
2007-03-23,50,90.98
2007-03-30,50,88.91
2007-04-06,50,
2007-04-13,50,91.03
2007-04-20,67,93.29
2007-04-27,49,94.02
2007-05-04,49,93.61
2007-05-11,49,93.40
2007-05-18,49,96.63
2007-05-25,49,98.25
2007-06-01,49,99.83
2007-06-08,49,98.19
2007-06-15,52,98.15
2007-06-22,54,95.92
2007-06-29,57,96.16
2007-07-06,59,98.88
2007-07-13,50,101.88
2007-07-20,50,103.86
2007-07-27,45,103.71
2007-08-03,45,104.24
2007-08-10,0,98.44
2007-08-17,0,95.93
2007-08-24,0,98.47
2007-08-31,0,96.70
2007-09-07,0,94.84
2007-09-14,68,99.35
2007-09-21,56,102.59
2007-09-28,55,104.99
2007-10-05,41,102.25
2007-10-12,41,96.69
2007-10-19,41,93.90
2007-10-26,37,96.02
2007-11-02,50,97.76
2007-11-09,51,94.21
2007-11-16,53,89.99
2007-11-23,39,89.54
2007-11-30,39,92.54
2007-12-07,42,93.16
2007-12-14,35,88.42
2007-12-21,37,89.07
2007-12-28,39,88.25
2008-01-04,40,85.82
2008-01-11,42,80.52
2008-01-18,44,78.40
2008-01-25,50,77.03
2008-02-01,43,82.76
2008-02-08,45,79.33
2008-02-15,37,85.18
2008-02-22,33,83.04
2008-02-29,55,82.79
2008-03-07,51,76.60
2008-03-14,32,76.23
2008-03-21,34,
2008-03-28,46,73.47
2008-04-04,41,75.65
2008-04-11,73,76.86
2008-04-18,38,78.66
2008-04-25,32,84.84
2008-05-02,39,85.69
2008-05-09,43,84.06
2008-05-16,47,85.17
2008-05-23,0,81.48
2008-05-30,0,82.77
2008-06-06,0,73.16
2008-06-13,0,75.12
2008-06-20,0,75.83
2008-06-27,36,66.92
2008-07-04,33,
2008-07-11,39,63.28
2008-07-18,46,68.14
2008-07-25,43,63.83
2008-08-01,39,62.01
2008-08-08,38,67.86
2008-08-15,38,64.45
2008-08-22,38,65.55
2008-08-29,58,65.56
2008-09-05,36,62.89
2008-09-12,32,63.30
2008-09-19,32,59.76
2008-09-26,29,58.32
2008-10-03,32,53.83
2008-10-10,50,41.80
2008-10-17,50,44.55
2008-10-24,27,45.24
2008-10-31,27,52.42
2008-11-07,48,46.58
2008-11-14,35,41.04
2008-11-21,35,39.58
2008-11-28,36,42.63
2008-12-05,37,39.53
2008-12-12,35,39.20
2008-12-19,30,41.24
2008-12-26,34,40.53
2009-01-02,39,45.25
2009-01-09,44,44.45
2009-01-16,28,42.46
2009-01-23,35,41.98
2009-01-30,37,42.31
2009-02-06,29,42.92
2009-02-13,32,40.48
2009-02-20,32,36.31
2009-02-27,37,31.44
2009-03-06,38,30.10
2009-03-13,31,33.40
2009-03-20,24,32.55
2009-03-27,26,37.53
2009-04-03,32,37.69
2009-04-10,53,
2009-04-17,32,38.32
2009-04-24,33,38.72
2009-05-01,27,41.21
2009-05-08,48,45.83
2009-05-15,26,43.00
2009-05-22,25,42.94
2009-05-29,32,44.85
2009-06-05,37,52.65
2009-06-12,44,51.44
2009-06-19,41,48.44
2009-06-26,41,41.88
2009-07-03,35,
2009-07-10,40,39.65
2009-07-17,24,41.36
2009-07-24,57,42.37
2009-07-31,38,42.91
2009-08-07,38,46.69
2009-08-14,33,44.87
2009-08-21,30,45.87
2009-08-28,25,51.04
2009-09-04,33,49.15
2009-09-11,26,51.35
2009-09-18,51,53.02
2009-09-25,30,51.52
2009-10-02,25,51.40
2009-10-09,32,52.69
2009-10-16,31,53.19
2009-10-23,29,49.89
2009-10-30,43,47.80
2009-11-06,30,49.68
2009-11-13,32,50.68
2009-11-20,34,51.70
2009-11-27,35,52.45
2009-12-04,25,54.68
2009-12-11,44,55.60
2009-12-18,50,53.44
2009-12-25,28,
2010-01-01,28,
2010-01-08,47,61.60
2010-01-15,41,60.82
2010-01-22,41,57.77
2010-01-29,40,60.60
2010-02-05,31,58.40
2010-02-12,24,59.65
2010-02-19,45,63.59
2010-02-26,30,63.16
2010-03-05,36,67.93
2010-03-12,36,69.83
2010-03-19,37,70.72
2010-03-26,38,72.59
2010-04-02,40,
2010-04-09,40,72.42
2010-04-16,34,70.79
2010-04-23,32,75.13
2010-04-30,40,72.43
2010-05-07,29,66.72
2010-05-14,30,69.82
2010-05-21,34,64.56
2010-05-28,43,64.18
2010-06-04,36,61.15
2010-06-11,30,65.38
2010-06-18,25,67.96
2010-06-25,28,68.77
2010-07-02,32,61.94
2010-07-09,20,64.66
2010-07-16,21,61.90
2010-07-23,37,67.93
2010-07-30,30,68.14
2010-08-06,19,68.70
2010-08-13,19,64.84
2010-08-20,27,64.60
2010-08-27,24,63.16
2010-09-03,33,64.64
2010-09-10,30,63.84
2010-09-17,44,62.95
2010-09-24,21,64.60
2010-10-01,25,66.83
2010-10-08,27,69.23
2010-10-15,38,70.11
2010-10-22,42,71.26
2010-10-29,29,70.64
2010-11-05,24,71.27
2010-11-12,38,63.09
2010-11-19,28,63.59
2010-11-26,17,64.80
2010-12-03,15,66.54
2010-12-10,25,64.16
2010-12-17,27,65.03
2010-12-24,17,
2010-12-31,19,65.26
2011-01-07,27,69.38
2011-01-14,14,70.07
2011-01-21,34,71.68
2011-01-28,31,69.23
2011-02-04,36,71.38
2011-02-11,26,72.14
2011-02-18,33,73.04
2011-02-25,24,72.30
2011-03-04,28,71.80
2011-03-11,39,71.64
2011-03-18,22,69.10
2011-03-25,30,73.34
2011-04-01,27,74.01
2011-04-08,30,73.47
2011-04-15,48,72.60
2011-04-22,26,
2011-04-29,24,79.78
2011-05-06,31,79.31
2011-05-13,33,79.03
2011-05-20,33,77.52
2011-05-27,30,76.99
2011-06-03,27,74.84
2011-06-10,24,72.69
2011-06-17,27,74.16
2011-06-24,35,71.26
2011-07-01,26,74.27
2011-07-08,23,75.07
2011-07-15,22,71.28
2011-07-22,32,72.67
2011-07-29,19,70.47
2011-08-05,27,62.75
2011-08-12,16,61.75
2011-08-19,28,57.54
2011-08-26,28,62.80
2011-09-02,25,64.03
2011-09-09,32,61.79
2011-09-16,47,65.38
2011-09-23,37,59.51
2011-09-30,34,60.51
2011-10-07,39,61.81
2011-10-14,29,63.89
2011-10-21,32,64.59
2011-10-28,37,68.17
2011-11-04,25,65.80
2011-11-11,30,66.92
2011-11-18,35,67.46
2011-11-25,21,62.78
2011-12-02,32,71.30
2011-12-09,33,71.93
2011-12-16,27,71.01
2011-12-23,25,73.97
2011-12-30,23,73.35
2012-01-06,32,73.98
2012-01-13,35,74.60
2012-01-20,29,75.52
2012-01-27,26,74.55
2012-02-03,47,76.34
2012-02-10,30,74.95
2012-02-17,35,75.35
2012-02-24,34,76.06
2012-03-02,35,74.90
2012-03-09,32,73.29
2012-03-16,40,75.20
2012-03-23,25,73.97
2012-03-30,24,74.37
2012-04-06,27,
2012-04-13,23,72.92
2012-04-20,44,73.55
2012-04-27,30,77.27
2012-05-04,26,75.84
2012-05-11,46,73.56
2012-05-18,30,69.15
2012-05-25,32,70.00
2012-06-01,30,67.24
2012-06-08,35,69.94
2012-06-15,23,71.99
2012-06-22,33,71.96
2012-06-29,23,74.30
2012-07-06,31,73.69
2012-07-13,24,73.51
2012-07-20,23,73.89
2012-07-27,40,75.51
2012-08-03,24,72.81
2012-08-10,28,74.21
2012-08-17,22,73.91
2012-08-24,25,71.09
2012-08-31,33,71.40
2012-09-07,28,72.89
2012-09-14,40,71.28
2012-09-21,31,69.97
2012-09-28,32,69.60
2012-10-05,36,70.89
2012-10-12,34,71.85
2012-10-19,37,74.01
2012-10-26,28,71.11
2012-11-02,33,70.05
2012-11-09,28,73.25
2012-11-16,25,70.77
2012-11-23,35,73.74
2012-11-30,31,74.28
2012-12-07,27,74.64
2012-12-14,30,74.02
2012-12-21,29,76.17
2012-12-28,23,74.69
2013-01-04,23,77.69
2013-01-11,22,75.16
2013-01-18,24,75.04
2013-01-25,34,75.03
2013-02-01,32,74.87
2013-02-08,37,76.56
2013-02-15,25,75.03
2013-02-22,20,76.66
2013-03-01,30,77.28
2013-03-08,27,81.23
2013-03-15,34,86.43
2013-03-22,18,84.82
2013-03-29,38,
2013-04-05,22,86.17
2013-04-12,37,88.89
2013-04-19,29,87.96
2013-04-26,35,92.85
2013-05-03,29,93.74
2013-05-10,20,94.24
2013-05-17,21,98.92
2013-05-24,15,100.00
2013-05-31,33,99.02
2013-06-07,14,102.49
2013-06-14,18,101.83
2013-06-21,31,99.98
2013-06-28,23,102.44
2013-07-05,19,104.20
2013-07-12,31,101.87
2013-07-19,31,106.96
2013-07-26,20,105.60
2013-08-02,31,107.90
2013-08-09,18,105.33
2013-08-16,25,103.47
2013-08-23,17,105.48
2013-08-30,30,103.92
2013-09-06,26,106.07
2013-09-13,23,111.33
2013-09-20,34,116.63
2013-09-27,33,118.74
2013-10-04,29,117.20
2013-10-11,25,117.98
2013-10-18,30,122.52
2013-10-25,19,131.19
2013-11-01,20,133.03
2013-11-08,27,133.49
2013-11-15,30,136.08
2013-11-22,32,135.97
2013-11-29,24,134.25
2013-12-06,22,135.18
2013-12-13,22,133.83
2013-12-20,21,136.67
2013-12-27,12,136.90
2014-01-03,16,137.62
2014-01-10,29,141.90
2014-01-17,23,140.46
2014-01-24,26,136.65
2014-01-31,23,125.26
2014-02-07,28,127.02
2014-02-14,18,130.16
2014-02-21,22,128.28
2014-02-28,29,128.92
2014-03-07,20,128.54
2014-03-14,30,123.11
2014-03-21,25,122.58
2014-03-28,28,124.46
2014-04-04,19,127.38
2014-04-11,28,122.07
2014-04-18,25,
2014-04-25,19,128.66
2014-05-02, ,
