"Date","BLL","Price"
2004-02-06,69,64.57
2004-02-13,69,64.1
2004-02-20,48,64.07
2004-05-07,85,61.33
2004-05-14,53,65.36
2004-05-21,53,65.03
2004-05-28,53,68.31
2004-06-04,48,68.51
2004-06-18,43,70.65
2004-06-25,51,71.55
2004-07-02,58,70.76
2004-07-09,64,71.06
2004-07-16,59,73.39
2004-07-23,44,70.02
2004-07-30,47,72.18
2004-08-06,50,71.67
2004-08-13,53,72.18
2004-08-20,41,74.57
2004-08-27,41,37.11
2004-09-03,41,37.61
2004-09-10,41,36.34
2004-09-17,42,36.43
2004-09-24,38,35.95
2004-10-01,44,37.54
2004-10-08,49,37.61
2004-10-15,55,37.67
2004-10-22,48,37.7
2004-10-29,50,39.85
2004-11-05,52,42.01
2004-11-12,53,43.1
2004-11-19,49,42.85
2004-11-26,49,43.85
2004-12-03,49,43.66
2004-12-10,49,43.55
2004-12-17,49,43.48
2004-12-31,41,43.98
2005-01-07,41,42.36
2005-01-14,42,42.75
2005-01-21,42,42.79
2005-01-28,63,41.59
2005-02-04,31,43.95
2005-02-11,35,44.08
2005-02-18,44,44.8
2005-02-25,52,44.55
2005-03-04,44,45.69
2005-03-11,42,45.43
2005-03-18,48,45.62
2005-04-01,39,41.66
2005-04-08,48,40.84
2005-04-15,64,38.7
2005-04-22,68,40.27
2005-04-29,49,39.5
2005-05-06,36,39.18
2005-05-13,64,36.91
2005-05-20,60,37.09
2005-05-27,47,37.96
2005-06-03,49,37.55
2005-06-10,62,37.48
2005-06-17,71,38.37
2005-06-24,35,36.03
2005-07-01,44,35.56
2005-07-08,47,39.08
2005-07-15,29,38.46
2005-07-22,46,39.14
2005-07-29,37,37.95
2005-08-05,43,37.9
2005-08-12,45,39.03
2005-08-19,31,38.42
2005-08-26,35,37.75
2005-09-02,48,37.85
2005-09-09,40,37.7
2005-09-16,40,37.39
2005-09-23,43,35.95
2005-09-30,48,36.74
2005-10-07,61,37.1
2005-10-14,58,36.01
2005-10-21,45,35.75
2005-10-28,61,39.6
2005-11-04,57,39.15
2005-11-11,41,39.1
2005-11-18,70,39.36
2005-11-25,49,40.9
2005-12-02,33,41.69
2005-12-09,38,40.43
2005-12-16,59,40.14
2005-12-23,29,40.69
2005-12-30,45,39.72
2006-01-06,49,42.11
2006-01-13,53,41.02
2006-01-20,41,40.43
2006-01-27,61,40.25
2006-02-03,57,39.56
2006-02-10,49,40.23
2006-02-17,52,41.65
2006-02-24,52,43.87
2006-03-03,52,43.3
2006-03-10,60,43.32
2006-03-17,45,44.33
2006-03-24,50,44.4
2006-03-31,43,43.83
2006-04-07,51,42.43
2006-04-21,62,43.25
2006-04-28,50,39.98
2006-05-05,54,39.17
2006-05-12,46,37.87
2006-05-19,29,36.21
2006-05-26,35,37.15
2006-06-02,44,37.2
2006-06-09,49,35.75
2006-06-16,44,35.68
2006-06-23,49,36.08
2006-06-30,52,37.04
2006-07-07,31,36.19
2006-07-14,41,35.71
2006-07-21,46,36.94
2006-07-28,53,38.34
2006-08-04,42,38.86
2006-08-11,26,38.23
2006-08-18,57,39.54
2006-08-25,42,39.77
2006-09-01,44,40.38
2006-09-08,64,40
2006-09-15,49,41.03
2006-09-22,43,40.4
2006-09-29,69,40.45
2006-10-06,35,41.41
2006-10-13,62,42.58
2006-10-20,45,41.55
2006-10-27,61,41.26
2006-11-03,52,41.51
2006-11-10,53,42.08
2006-11-17,57,42
2006-11-24,54,42.35
2006-12-01,44,42.82
2006-12-08,54,43.58
2006-12-15,47,43.51
2006-12-22,39,42.95
2006-12-29,42,43.6
2007-01-05,38,43.91
2007-01-12,55,45.33
2007-01-19,45,46
2007-01-26,54,46.27
2007-02-02,52,46.72
2007-02-09,42,45.67
2007-02-16,65,46.6
2007-02-23,56,47.2
2007-03-02,69,45.54
2007-03-09,51,45.9
2007-03-16,49,45.22
2007-03-23,62,46
2007-03-30,80,45.85
2007-04-13,47,48.84
2007-04-20,69,49.93
2007-04-27,76,50.83
2007-05-04,48,51.84
2007-05-11,70,53.04
2007-05-18,74,54.98
2007-05-25,75,54.27
2007-06-01,64,55.64
2007-06-08,64,53.56
2007-06-15,100,54.7
2007-06-22,58,54.02
2007-06-29,68,53.17
2007-07-06,66,54.29
2007-07-13,78,54.4
2007-07-20,61,53.14
2007-07-27,77,50.92
2007-08-03,75,50.59
2007-08-10,79,51.93
2007-08-17,73,50.54
2007-08-24,77,52.8
2007-08-31,64,52.38
2007-09-07,70,52.02
2007-09-14,51,51.93
2007-09-21,67,54.72
2007-09-28,83,53.75
2007-10-05,73,55.71
2007-10-12,75,52.19
2007-10-19,81,52.84
2007-10-26,66,49.69
2007-11-02,80,48.76
2007-11-09,64,46.15
2007-11-16,62,45.73
2007-11-23,73,45.47
2007-11-30,64,46.25
2007-12-07,81,45.87
2007-12-14,94,45.87
2007-12-21,87,46.08
2007-12-28,55,45.26
2008-01-04,60,43.62
2008-01-11,71,43.87
2008-01-18,79,42.03
2008-01-25,88,41.56
2008-02-01,78,46.39
2008-02-08,73,44.37
2008-02-15,55,45.13
2008-02-22,83,45.78
2008-02-29,68,44.1
2008-03-07,71,43.71
2008-03-14,71,43.25
2008-03-28,79,45.14
2008-04-04,59,48.35
2008-04-11,81,46.04
2008-04-18,91,51.75
2008-04-25,75,54.17
2008-05-02,71,53.93
2008-05-09,81,53.79
2008-05-16,76,55.62
2008-05-23,67,52.99
2008-05-30,86,54.3
2008-06-06,78,52.08
2008-06-13,76,52.59
2008-06-20,67,51.72
2008-06-27,97,47.68
2008-07-11,85,45.93
2008-07-18,97,50.53
2008-07-25,80,45.18
2008-08-01,82,44.66
2008-08-08,74,44.93
2008-08-15,84,45.43
2008-08-22,74,45.48
2008-08-29,63,45.92
2008-09-05,89,44.01
2008-09-12,81,45.15
2008-09-19,92,42.31
2008-09-26,95,42.75
2008-10-03,78,35.82
2008-10-10,90,31.17
2008-10-17,83,32.26
2008-10-24,71,29.7
2008-10-31,75,34.2
2008-11-07,88,34.63
2008-11-14,75,32.77
2008-11-21,78,30.18
2008-11-28,69,36.45
2008-12-05,83,34.94
2008-12-12,93,40.06
2008-12-19,83,41.31
2008-12-26,67,40.43
2009-01-02,73,42.79
2009-01-09,63,40.99
2009-01-16,72,39.24
2009-01-23,86,38.57
2009-01-30,77,38.34
2009-02-06,71,41.23
2009-02-13,73,41.75
2009-02-20,64,40.04
2009-02-27,71,40.29
2009-03-06,71,37.24
2009-03-13,74,39.81
2009-03-20,72,41.39
2009-03-27,75,43.37
2009-04-03,68,44.18
2009-04-17,70,43.15
2009-04-24,56,40.32
2009-05-01,65,38
2009-05-08,59,38.81
2009-05-15,71,39.21
2009-05-22,63,38.89
2009-05-29,71,39.8
2009-06-05,62,43.64
2009-06-12,69,43
2009-06-19,57,41.91
2009-06-26,61,42.89
2009-07-10,68,45.56
2009-07-17,59,46.96
2009-07-24,64,49.52
2009-07-31,60,48.36
2009-08-07,73,47.25
2009-08-14,72,50.58
2009-08-21,68,50.08
2009-08-28,69,48.76
2009-09-04,70,48.4
2009-09-11,68,49
2009-09-18,61,50.93
2009-09-25,66,48.94
2009-10-02,66,48.86
2009-10-09,59,51.56
2009-10-16,71,51.32
2009-10-23,50,50.16
2009-10-30,57,49.33
2009-11-06,60,49.5
2009-11-13,65,50.12
2009-11-20,51,50.39
2009-11-27,63,49.85
2009-12-04,62,49.2
2009-12-11,61,51.49
2009-12-18,51,51.26
2010-01-08,56,52.07
2010-01-15,49,51.41
2010-01-22,41,50.85
2010-01-29,50,50.79
2010-02-05,53,50.55
2010-02-12,58,51.39
2010-02-19,56,52.63
2010-02-26,47,54.04
2010-03-05,60,54.9
2010-03-12,57,54.45
2010-03-19,60,54.2
2010-03-26,63,54
2010-04-09,66,54.37
2010-04-16,58,54.32
2010-04-23,63,55.37
2010-04-30,59,53.21
2010-05-07,61,49.49
2010-05-14,56,50.91
2010-05-21,55,50.03
2010-05-28,60,49.25
2010-06-04,61,51.15
2010-06-11,68,52.35
2010-06-18,69,55.14
2010-06-25,59,53.85
2010-07-02,60,51.79
2010-07-09,49,54.31
2010-07-16,60,53.95
2010-07-23,58,57.2
2010-07-30,49,58.24
2010-08-06,54,58.46
2010-08-13,58,57.17
2010-08-20,55,57.14
2010-08-27,45,56.49
2010-09-03,59,59.08
2010-09-10,53,59.4
2010-09-17,60,59.97
2010-09-24,58,60.21
2010-10-01,53,59.39
2010-10-08,63,60.12
2010-10-15,61,62.18
2010-10-22,55,61.38
2010-10-29,50,64.36
2010-11-05,52,66.06
2010-11-12,53,64.88
2010-11-19,51,65.45
2010-11-26,59,64.87
2010-12-03,58,68.85
2010-12-10,50,67.98
2010-12-17,61,68.5
2010-12-31,54,68.05
2011-01-07,52,70.08
2011-01-14,55,69.81
2011-01-21,58,69.54
2011-01-28,60,70.92
2011-02-04,66,73.72
2011-02-11,59,74.05
2011-02-18,54,37
2011-02-25,45,36.1
2011-03-04,49,35.83
2011-03-11,56,34.99
2011-03-18,58,34.29
2011-03-25,53,35.51
2011-04-01,47,35.77
2011-04-08,50,36.01
2011-04-15,58,36.79
2011-04-29,51,37.31
2011-05-06,50,38.03
2011-05-13,57,38.46
2011-05-20,68,39.04
2011-05-27,64,39.08
2011-06-03,51,38.06
2011-06-10,53,38.1
2011-06-17,56,37.82
2011-06-24,56,37.49
2011-07-01,57,39.14
2011-07-08,62,40.36
2011-07-15,54,39.44
2011-07-22,54,39.31
2011-07-29,52,38.8
2011-08-05,63,35.44
2011-08-12,56,35.93
2011-08-19,58,34
2011-08-26,62,35.01
2011-09-02,57,35.02
2011-09-09,50,34.03
2011-09-16,57,34.31
2011-09-23,58,30.95
2011-09-30,56,31.02
2011-10-07,55,32.45
2011-10-14,58,33.96
2011-10-21,59,34.82
2011-10-28,69,35.66
2011-11-04,50,34.87
2011-11-11,63,35.41
2011-11-18,57,33.91
2011-11-25,53,33.18
2011-12-02,53,34.92
2011-12-09,59,34.92
2011-12-16,60,34.63
2011-12-23,65,35.8
2011-12-30,58,35.71
2012-01-06,54,37.12
2012-01-13,56,37.64
2012-01-20,58,37.91
2012-01-27,57,39.44
2012-02-03,56,39.8
2012-02-10,59,39.81
2012-02-17,59,40.11
2012-02-24,63,39.78
2012-03-02,56,39.81
2012-03-09,48,39.72
2012-03-16,65,41.39
2012-03-23,55,41.09
2012-03-30,65,42.88
2012-04-13,58,42.77
2012-04-20,51,43.52
2012-04-27,57,41.78
2012-05-04,54,40.76
2012-05-11,55,40.96
2012-05-18,57,38.66
2012-05-25,51,39.88
2012-06-01,53,39.33
2012-06-08,58,41.15
2012-06-15,50,42.75
2012-06-22,53,41.64
2012-06-29,54,41.05
2012-07-06,55,40.58
2012-07-13,56,41.23
2012-07-20,63,41.77
2012-07-27,52,41.89
2012-08-03,54,41.1
2012-08-10,50,42.01
2012-08-17,54,43.06
2012-08-24,54,42.13
2012-08-31,55,42.17
2012-09-07,53,42.78
2012-09-14,60,43.28
2012-09-21,56,42.51
2012-09-28,56,42.31
2012-10-05,43,42.79
2012-10-12,49,41.31
2012-10-19,52,42.66
2012-10-26,51,42.81
2012-11-02,53,43.38
2012-11-09,49,43.85
2012-11-16,44,43.34
2012-11-23,47,45.07
2012-11-30,55,44.69
2012-12-07,54,44.15
2012-12-14,50,44.25
2012-12-21,54,44.8
2012-12-28,45,44.29
2013-01-04,52,46.5
2013-01-11,49,45.4
2013-01-18,46,46.65
2013-01-25,56,46.61
2013-02-01,49,45.59
2013-02-08,49,45.36
2013-02-15,52,45.54
2013-02-22,47,44.34
2013-03-01,55,44.22
2013-03-08,50,44.85
2013-03-15,78,46.01
2013-03-22,65,45.87
2013-04-05,71,46.99
2013-04-12,59,47.89
2013-04-19,64,46.43
2013-04-26,70,44.03
2013-05-03,62,45.34
2013-05-10,65,45.97
2013-05-17,68,45.75
2013-05-24,61,44.39
2013-05-31,55,43.16
2013-06-07,61,43.58
2013-06-14,61,43.34
2013-06-21,49,42.55
2013-06-28,52,41.54
2013-07-05,54,42.54
2013-07-12,62,45.38
2013-07-19,56,45.17
2013-07-26,61,44.95
2013-08-02,52,45.85
2013-08-09,54,44.67
2013-08-16,54,45.01
2013-08-23,55,45.7
2013-08-30,58,44.42
2013-09-06,54,44.4
2013-09-13,57,44.46
2013-09-20,56,45.79
2013-09-27,58,45
2013-10-04,57,45.19
2013-10-11,62,45.48
2013-10-18,57,46.17
2013-10-25,58,48.6
2013-11-01,57,48.88
2013-11-08,60,49.5
2013-11-15,58,50.17
2013-11-22,59,50.01
2013-11-29,54,49.98
2013-12-06,57,50.05
2013-12-13,57,49.91
2013-12-20,53,50.93
2013-12-27,53,51.58
2014-01-03,49,51.65
2014-01-10,55,51.93
2014-01-17,49,50.53
2014-01-24,50,48.6
2014-01-31,55,51.19
2014-02-07,54,52.8
2014-02-14,49,54.63
2014-02-21,53,54.92
2014-02-28,50,55.56
2014-03-07,57,56.09
2014-03-14,50,54.03
2014-03-21,56,54.04
2014-03-28,51,53.97
2014-04-04,57,55.18
2014-04-11,53,53.94
2014-04-25,58,55.95
