"Date","NUE","Price"
2004-02-06,24,58.44
2004-02-13,24,61.08
2004-02-20,24,61.26
2004-02-27,23,62.9
2004-03-05,21,61.9
2004-03-12,24,57.98
2004-03-19,22,62.26
2004-03-26,26,62
2004-04-02,23,62
2004-04-16,23,65.05
2004-04-23,21,66.03
2004-04-30,22,59.4
2004-05-07,22,57.74
2004-05-14,20,57.88
2004-05-21,22,62.35
2004-05-28,22,65.85
2004-06-04,23,64.08
2004-06-18,23,72.47
2004-06-25,24,75.85
2004-07-02,22,73.85
2004-07-09,24,73.48
2004-07-16,22,79.5
2004-07-23,20,77.61
2004-07-30,21,83.65
2004-08-06,22,77.74
2004-08-13,20,79.45
2004-08-20,21,84.21
2004-08-27,22,79.6
2004-09-03,25,81.2
2004-09-10,21,89.15
2004-09-17,19,89.67
2004-09-24,20,86.28
2004-10-01,21,93.02
2004-10-08,21,94.43
2004-10-15,22,88.6
2004-10-22,21,40.17
2004-10-29,23,42.23
2004-11-05,23,47.35
2004-11-12,25,51.37
2004-11-19,22,49.47
2004-11-26,24,54.05
2004-12-03,23,51.84
2004-12-10,23,49.99
2004-12-17,25,52.82
2004-12-31,31,52.34
2005-01-07,27,49.33
2005-01-14,24,52.3
2005-01-21,24,51.61
2005-01-28,25,54.9
2005-02-04,24,56.55
2005-02-11,27,56.91
2005-02-18,26,60.25
2005-02-25,25,63.39
2005-03-04,29,63.83
2005-03-11,28,62.55
2005-03-18,25,61.65
2005-04-01,29,58.4
2005-04-08,29,55.27
2005-04-15,27,48.79
2005-04-22,28,53.15
2005-04-29,30,51.1
2005-05-06,29,53.52
2005-05-13,27,47.96
2005-05-20,30,51.61
2005-05-27,28,53.78
2005-06-03,28,53.81
2005-06-10,27,51.43
2005-06-17,31,54.36
2005-06-24,30,46.5
2005-07-01,29,46.42
2005-07-08,26,49.16
2005-07-15,25,49.73
2005-07-22,25,55.32
2005-07-29,25,55.45
2005-08-05,23,56.05
2005-08-12,24,58.14
2005-08-19,24,55.02
2005-08-26,27,53.67
2005-09-02,26,57.99
2005-09-09,25,60.27
2005-09-16,23,59.7
2005-09-23,23,59.55
2005-09-30,22,58.99
2005-10-07,23,56.02
2005-10-14,23,54.39
2005-10-21,25,56.85
2005-10-28,26,59.92
2005-11-04,26,62.21
2005-11-11,24,64.85
2005-11-18,23,63.34
2005-11-25,23,65.85
2005-12-02,24,68.05
2005-12-09,26,66.95
2005-12-16,27,66.24
2005-12-23,29,68
2005-12-30,33,66.72
2006-01-06,30,71.95
2006-01-13,27,69.47
2006-01-20,25,70.04
2006-01-27,25,85.5
2006-02-03,26,82.63
2006-02-10,25,80.43
2006-02-17,24,82.45
2006-02-24,25,86.7
2006-03-03,25,87.75
2006-03-10,23,95.08
2006-03-17,23,98.64
2006-03-24,24,102.32
2006-03-31,25,104.79
2006-04-07,24,108.34
2006-04-21,25,113.5
2006-04-28,25,108.82
2006-05-05,25,117.05
2006-05-12,25,111.5
2006-05-19,24,104.95
2006-05-26,24,112.36
2006-06-02,26,53.9
2006-06-09,25,49.26
2006-06-16,25,50.55
2006-06-23,25,51.37
2006-06-30,25,54.25
2006-07-07,24,54.19
2006-07-14,22,50.38
2006-07-21,22,48.45
2006-07-28,22,52.55
2006-08-04,22,51.22
2006-08-11,21,48.77
2006-08-18,21,51.58
2006-08-25,25,49.55
2006-09-01,24,49.68
2006-09-08,22,49.67
2006-09-15,20,46.76
2006-09-22,20,46.97
2006-09-29,19,49.49
2006-10-06,20,51.12
2006-10-13,20,54.78
2006-10-20,21,54.05
2006-10-27,22,58.36
2006-11-03,22,57.5
2006-11-10,21,58.71
2006-11-17,22,57.11
2006-11-24,21,58.83
2006-12-01,20,58.64
2006-12-08,20,65.55
2006-12-15,21,59.28
2006-12-22,23,55.17
2006-12-29,25,54.66
2007-01-05,25,54.73
2007-01-12,22,56.3
2007-01-19,20,57.19
2007-01-26,20,61.48
2007-02-02,20,64.83
2007-02-09,21,61.65
2007-02-16,20,64.72
2007-02-23,21,64.41
2007-03-02,21,58.74
2007-03-09,21,64.26
2007-03-16,20,61.66
2007-03-23,20,65.16
2007-03-30,19,65.13
2007-04-13,19,66.79
2007-04-20,18,67.69
2007-04-27,19,64.94
2007-05-04,20,65.38
2007-05-11,19,65.85
2007-05-18,20,66.64
2007-05-25,19,65.73
2007-06-01,20,69.25
2007-06-08,20,66.61
2007-06-15,20,63.02
2007-06-22,20,61.56
2007-06-29,20,58.65
2007-07-06,19,61
2007-07-13,18,63.77
2007-07-20,18,60.56
2007-07-27,17,51.81
2007-08-03,17,51.38
2007-08-10,16,52.34
2007-08-17,16,49.61
2007-08-24,18,55.11
2007-08-31,18,52.9
2007-09-07,17,53.87
2007-09-14,16,57.07
2007-09-21,16,59.5
2007-09-28,16,59.47
2007-10-05,16,58.04
2007-10-12,16,56.21
2007-10-19,16,59.13
2007-10-26,16,63.42
2007-11-02,19,57.91
2007-11-09,18,54.79
2007-11-16,17,52.46
2007-11-23,20,53.23
2007-11-30,19,59.21
2007-12-07,20,61.98
2007-12-14,18,59.93
2007-12-21,100,60.43
2007-12-28,53,60.85
2008-01-04,36,54.82
2008-01-11,30,53.91
2008-01-18,29,51.22
2008-01-25,26,54.97
2008-02-01,23,59.58
2008-02-08,25,60
2008-02-15,20,62.01
2008-02-22,23,65.85
2008-02-29,22,64.57
2008-03-07,21,66.64
2008-03-14,20,71.2
2008-03-28,23,69.06
2008-04-04,20,70.54
2008-04-11,20,68.64
2008-04-18,20,73.92
2008-04-25,21,75.73
2008-05-02,20,74.3
2008-05-09,18,78.41
2008-05-16,19,82.07
2008-05-23,19,72.26
2008-05-30,19,74.8
2008-06-06,19,78.2
2008-06-13,18,77.06
2008-06-20,19,75.56
2008-06-27,18,74.88
2008-07-11,17,65.37
2008-07-18,16,58.55
2008-07-25,17,56.09
2008-08-01,17,53.78
2008-08-08,17,51.6
2008-08-15,17,50.41
2008-08-22,18,51.6
2008-08-29,17,52.5
2008-09-05,17,48.45
2008-09-12,16,49.39
2008-09-19,15,51.16
2008-09-26,15,44.36
2008-10-03,16,34.75
2008-10-10,16,30.75
2008-10-17,16,33.56
2008-10-24,16,35.01
2008-10-31,16,40.51
2008-11-07,17,34.79
2008-11-14,17,32.73
2008-11-21,17,28.28
2008-11-28,17,35.68
2008-12-05,16,36.45
2008-12-12,19,44.04
2008-12-19,19,42.55
2008-12-26,21,45.33
2009-01-02,23,48.3
2009-01-09,19,43.72
2009-01-16,18,42.1
2009-01-23,18,39.44
2009-01-30,17,40.79
2009-02-06,17,45.89
2009-02-13,16,43.83
2009-02-20,17,39.98
2009-02-27,16,33.65
2009-03-06,17,32.34
2009-03-13,16,37.38
2009-03-20,16,37.47
2009-03-27,15,40.54
2009-04-03,15,43.7
2009-04-17,16,44.16
2009-04-24,16,40.54
2009-05-01,15,41.43
2009-05-08,15,43.59
2009-05-15,20,38.9
2009-05-22,18,40.09
2009-05-29,17,43.91
2009-06-05,16,47.53
2009-06-12,16,47.5
2009-06-19,16,46.68
2009-06-26,17,45.15
2009-07-10,15,41.2
2009-07-17,15,44.6
2009-07-24,16,44.83
2009-07-31,17,44.47
2009-08-07,16,49.13
2009-08-14,16,46.79
2009-08-21,16,47.15
2009-08-28,17,45.86
2009-09-04,16,44.17
2009-09-11,15,46.37
2009-09-18,15,49.7
2009-09-25,15,46.85
2009-10-02,14,44.36
2009-10-09,15,45.06
2009-10-16,14,45.23
2009-10-23,14,44.17
2009-10-30,15,39.85
2009-11-06,15,39.34
2009-11-13,14,40.83
2009-11-20,14,41.13
2009-11-27,15,41.81
2009-12-04,14,43.14
2009-12-11,14,42.25
2009-12-18,14,43.83
2010-01-08,18,49.93
2010-01-15,15,47.43
2010-01-22,15,44.19
2010-01-29,14,40.8
2010-02-05,15,40.46
2010-02-12,15,41.13
2010-02-19,14,44.35
2010-02-26,14,41.4
2010-03-05,15,44.56
2010-03-12,14,45.28
2010-03-19,14,44.39
2010-03-26,14,45.67
2010-04-09,15,47.4
2010-04-16,14,45.64
2010-04-23,14,46.06
2010-04-30,13,45.32
2010-05-07,14,44.9
2010-05-14,14,45.89
2010-05-21,14,42.95
2010-05-28,14,43.05
2010-06-04,14,40.93
2010-06-11,14,42.63
2010-06-18,14,41.49
2010-06-25,13,41.16
2010-07-02,14,37.32
2010-07-09,14,39.61
2010-07-16,15,38.09
2010-07-23,14,39.84
2010-07-30,14,39.14
2010-08-06,15,39.99
2010-08-13,14,38.09
2010-08-20,14,38.37
2010-08-27,15,37.25
2010-09-03,15,38.68
2010-09-10,15,40.09
2010-09-17,13,38.74
2010-09-24,13,37.64
2010-10-01,13,38.87
2010-10-08,14,39.92
2010-10-15,15,39.25
2010-10-22,15,37.88
2010-10-29,14,38.22
2010-11-05,14,40.4
2010-11-12,14,40.06
2010-11-19,14,37.96
2010-11-26,14,37.54
2010-12-03,14,39.91
2010-12-10,15,41.88
2010-12-17,14,44.58
2010-12-31,17,43.82
2011-01-07,16,43.99
2011-01-14,14,44.2
2011-01-21,14,44.55
2011-01-28,14,45.1
2011-02-04,14,47.97
2011-02-11,14,47.81
2011-02-18,13,48.74
2011-02-25,13,46.92
2011-03-04,13,47.94
2011-03-11,13,47.09
2011-03-18,14,45.37
2011-03-25,13,46.56
2011-04-01,13,46.2
2011-04-08,12,46.42
2011-04-15,12,45.23
2011-04-29,13,46.96
2011-05-06,12,44.21
2011-05-13,12,42.96
2011-05-20,11,41.8
2011-05-27,12,42.09
2011-06-03,13,40.4
2011-06-10,12,39.98
2011-06-17,13,39.45
2011-06-24,12,39.56
2011-07-01,12,41.57
2011-07-08,12,40.93
2011-07-15,11,39.49
2011-07-22,12,41.1
2011-07-29,12,38.89
2011-08-05,11,34.95
2011-08-12,11,34.18
2011-08-19,11,31.51
2011-08-26,11,34.36
2011-09-02,12,34.07
2011-09-09,12,33.14
2011-09-16,15,35.04
2011-09-23,13,31.57
2011-09-30,12,31.64
2011-10-07,11,32.87
2011-10-14,12,35.88
2011-10-21,11,36.8
2011-10-28,12,39.31
2011-11-04,13,39.01
2011-11-11,12,39.7
2011-11-18,12,38.16
2011-11-25,12,35.57
2011-12-02,12,40.32
2011-12-09,12,40.61
2011-12-16,13,38.99
2011-12-23,13,40.45
2011-12-30,15,39.57
2012-01-06,14,41.17
2012-01-13,12,41.86
2012-01-20,12,42.87
2012-01-27,12,44.5
2012-02-03,12,45.41
2012-02-10,12,44.47
2012-02-17,12,43.91
2012-02-24,12,43.86
2012-03-02,12,43.57
2012-03-09,12,42.25
2012-03-16,11,44.23
2012-03-23,11,43.15
2012-03-30,11,42.95
2012-04-13,11,41.57
2012-04-20,12,39.67
2012-04-27,12,39.33
2012-05-04,13,37.83
2012-05-11,12,36.89
2012-05-18,11,34.39
2012-05-25,11,36.11
2012-06-01,11,35.77
2012-06-08,11,37.22
2012-06-15,12,37.61
2012-06-22,11,36.92
2012-06-29,11,37.9
2012-07-06,11,38.35
2012-07-13,10,38.42
2012-07-20,11,37.96
2012-07-27,10,38.48
2012-08-03,11,39.44
2012-08-10,11,40.76
2012-08-17,10,39.97
2012-08-24,11,38.7
2012-08-31,12,37.65
2012-09-07,11,39.4
2012-09-14,12,40.75
2012-09-21,12,39.49
2012-09-28,10,38.26
2012-10-05,11,38.58
2012-10-12,11,38.58
2012-10-19,11,40.53
2012-10-26,10,40.22
2012-11-02,11,40.64
2012-11-09,11,40.54
2012-11-16,10,39.43
2012-11-23,11,41.14
2012-11-30,10,41.18
2012-12-07,10,40.72
2012-12-14,11,42.28
2012-12-21,11,43.52
2012-12-28,12,42.44
2013-01-04,13,45.28
2013-01-11,11,45.43
2013-01-18,10,47.52
2013-01-25,10,47.68
2013-02-01,11,46.98
2013-02-08,10,46.74
2013-02-15,10,48.12
2013-02-22,10,45.18
2013-03-01,10,44.37
2013-03-08,11,47.65
2013-03-15,11,46.6
2013-03-22,11,46.15
2013-04-05,10,43.76
2013-04-12,11,44.31
2013-04-19,11,42.38
2013-04-26,11,42.79
2013-05-03,10,44.92
2013-05-10,10,45.35
2013-05-17,10,45.77
2013-05-24,11,45.22
2013-05-31,11,44.51
2013-06-07,10,44.49
2013-06-14,10,44.7
2013-06-21,10,44
2013-06-28,10,43.32
2013-07-05,10,43.85
2013-07-12,9,44.88
2013-07-19,9,45.64
2013-07-26,10,46.91
2013-08-02,9,47.19
2013-08-09,9,49.22
2013-08-16,9,46.92
2013-08-23,10,46.32
2013-08-30,11,45.49
2013-09-06,11,46.61
2013-09-13,10,48.3
2013-09-20,10,50.37
2013-09-27,10,48.8
2013-10-04,10,48.78
2013-10-11,10,48.93
2013-10-18,10,51.09
2013-10-25,11,51.4
2013-11-01,11,52.75
2013-11-08,11,54.62
2013-11-15,11,53.61
2013-11-22,13,51.97
2013-11-29,11,51.06
2013-12-06,11,52.21
2013-12-13,11,51.59
2013-12-20,11,51.99
2013-12-27,13,54
2014-01-03,14,52.78
2014-01-10,12,52.95
2014-01-17,13,51.38
2014-01-24,12,48.76
2014-01-31,12,48.35
2014-02-07,11,48.45
2014-02-14,12,51.33
2014-02-21,11,50.42
2014-02-28,12,50.24
2014-03-07,12,50.15
2014-03-14,12,48.5
2014-03-21,11,51.23
2014-03-28,11,50.06
2014-04-04,11,51.1
2014-04-11,11,50.69
2014-04-25,11,51.11
