"Date","EMN","Price"
2004-03-19,72,39.52
2004-03-26,58,41.84
2004-04-02,58,43.66
2004-04-16,58,42.96
2004-04-23,58,43.85
2004-04-30,61,42.57
2004-05-07,64,43.26
2004-05-14,57,44.63
2004-05-21,57,45.26
2004-05-28,57,46.34
2004-06-04,58,45.7
2004-07-23,64,43.59
2004-07-30,54,44.68
2004-08-06,54,42.52
2004-08-13,63,42.92
2004-08-20,71,45
2004-08-27,80,46.28
2004-09-03,59,46.57
2004-09-10,59,46.4
2004-09-17,59,46.83
2004-09-24,59,46.38
2004-10-01,45,47.68
2004-10-08,46,47.74
2004-10-15,60,45.71
2004-10-22,66,45.37
2004-10-29,66,47.47
2004-11-05,54,49.37
2004-11-12,54,51.04
2004-11-19,54,51.4
2004-11-26,61,53.88
2004-12-03,63,54.02
2004-12-10,65,54.21
2004-12-17,68,56.27
2004-12-31,45,57.73
2005-01-07,45,52.26
2005-01-14,46,51.4
2005-01-21,46,53.23
2005-01-28,51,53
2005-02-04,56,54.21
2005-02-11,50,55.52
2005-02-18,41,56.63
2005-02-25,74,58.31
2005-03-04,52,59.14
2005-03-11,49,61.01
2005-03-18,64,60.96
2005-04-01,64,59.13
2005-04-08,58,57.78
2005-04-15,35,51.66
2005-04-22,42,51.25
2005-04-29,59,54
2005-05-06,47,58.91
2005-05-13,50,56.55
2005-05-20,34,58.75
2005-05-27,35,58.58
2005-06-03,38,59
2005-06-10,66,56.96
2005-06-17,47,58.36
2005-06-24,53,54.55
2005-07-01,52,54.99
2005-07-08,63,55.9
2005-07-15,60,56.49
2005-07-22,52,58.3
2005-07-29,52,55.39
2005-08-05,72,53.49
2005-08-12,41,52.33
2005-08-19,44,50.27
2005-08-26,38,48.44
2005-09-02,38,48.27
2005-09-09,57,49.42
2005-09-16,41,47.15
2005-09-23,79,47.18
2005-09-30,46,46.97
2005-10-07,29,47.07
2005-10-14,47,46.59
2005-10-21,45,47.65
2005-10-28,36,51.75
2005-11-04,48,53.69
2005-11-11,49,55.56
2005-11-18,52,55.23
2005-11-25,59,55.62
2005-12-02,47,55.9
2005-12-09,43,52.43
2005-12-16,62,50.88
2005-12-23,35,52.63
2005-12-30,44,51.59
2006-01-06,56,53.27
2006-01-13,38,51.63
2006-01-20,44,49.96
2006-01-27,100,48.45
2006-02-03,27,47.7
2006-02-10,40,48.94
2006-02-17,51,50.88
2006-02-24,55,50.44
2006-03-03,60,50.65
2006-03-10,49,51.06
2006-03-17,64,51.7
2006-03-24,51,51.05
2006-03-31,60,51.18
2006-04-07,76,50.19
2006-04-21,56,54.3
2006-04-28,55,54.35
2006-05-05,37,56.8
2006-05-12,60,56.67
2006-05-19,67,55.1
2006-05-26,81,56.74
2006-06-02,95,57.55
2006-06-09,67,52.76
2006-06-16,54,52.39
2006-06-23,56,52.54
2006-06-30,53,54
2006-07-07,42,53.11
2006-07-14,47,51.5
2006-07-21,66,51.35
2006-07-28,65,50
2006-08-04,48,50.84
2006-08-11,46,50.37
2006-08-18,33,51.02
2006-08-25,33,51.02
2006-09-01,46,52.92
2006-09-08,52,52.1
2006-09-15,49,53.53
2006-09-22,71,52.99
2006-09-29,36,54.02
2006-10-06,48,55.6
2006-10-13,61,56.7
2006-10-20,40,57.15
2006-10-27,64,59.83
2006-11-03,75,59.48
2006-11-10,67,59.73
2006-11-17,67,60.17
2006-11-24,52,60.25
2006-12-01,49,57.89
2006-12-08,58,59.63
2006-12-15,36,58.7
2006-12-22,39,59
2006-12-29,46,59.31
2007-01-05,44,59.54
2007-01-12,37,61.55
2007-01-19,47,62.64
2007-01-26,52,59.25
