Date,Bed Bath & Beyond,Price
2004-01-09,45,
2004-01-16,45,
2004-01-23,43,
2004-01-30,37,
2004-02-06,42,42.08
2004-02-13,41,41.37
2004-02-20,41,40.62
2004-02-27,40,40.93
2004-03-05,44,41.54
2004-03-12,38,39.82
2004-03-19,45,38.26
2004-03-26,49,39.39
2004-04-02,47,39.61
2004-04-09,52,
2004-04-16,46,38.53
2004-04-23,45,38.32
2004-04-30,49,37.11
2004-05-07,57,35.68
2004-05-14,47,36.30
2004-05-21,51,36.34
2004-05-28,48,37.26
2004-06-04,55,36.28
2004-06-11,53,
2004-06-18,54,36.45
2004-06-25,53,39.75
2004-07-02,54,38.35
2004-07-09,61,36.68
2004-07-16,73,35.15
2004-07-23,73,34.89
2004-07-30,67,35.39
2004-08-06,72,33.89
2004-08-13,67,34.56
2004-08-20,65,35.84
2004-08-27,59,37.47
2004-09-03,53,38.00
2004-09-10,51,37.64
2004-09-17,47,39.25
2004-09-24,46,37.47
2004-10-01,46,38.51
2004-10-08,45,38.83
2004-10-15,44,38.59
2004-10-22,43,39.04
2004-10-29,42,40.79
2004-11-05,47,41.40
2004-11-12,52,43.49
2004-11-19,53,42.39
2004-11-26,64,41.31
2004-12-03,72,39.89
2004-12-10,80,39.99
2004-12-17,76,39.04
2004-12-24,82,
2004-12-31,73,39.83
2005-01-07,51,39.80
2005-01-14,49,41.17
2005-01-21,47,40.15
2005-01-28,44,39.64
2005-02-04,42,40.46
2005-02-11,41,39.45
2005-02-18,45,37.89
2005-02-25,44,37.40
2005-03-04,44,38.23
2005-03-11,46,37.53
2005-03-18,48,36.19
2005-03-25,51,
2005-04-01,47,36.40
2005-04-08,46,39.83
2005-04-15,45,37.96
2005-04-22,47,37.07
2005-04-29,54,37.21
2005-05-06,59,36.83
2005-05-13,48,37.38
2005-05-20,52,39.53
2005-05-27,51,40.42
2005-06-03,54,41.14
2005-06-10,52,41.22
2005-06-17,55,43.42
2005-06-24,53,41.24
2005-07-01,56,41.41
2005-07-08,58,43.50
2005-07-15,71,45.00
2005-07-22,71,46.00
2005-07-29,67,45.90
2005-08-05,71,43.87
2005-08-12,67,44.33
2005-08-19,69,42.06
2005-08-26,64,41.27
2005-09-02,55,39.82
2005-09-09,53,40.55
2005-09-16,51,40.05
2005-09-23,48,40.10
2005-09-30,48,40.18
2005-10-07,48,38.62
2005-10-14,49,37.80
2005-10-21,46,38.97
2005-10-28,48,39.52
2005-11-04,50,41.94
2005-11-11,58,41.75
2005-11-18,57,42.31
2005-11-25,68,43.18
2005-12-02,76,43.23
2005-12-09,85,41.99
2005-12-16,91,41.97
2005-12-23,95,36.54
2005-12-30,72,36.15
2006-01-06,58,35.73
2006-01-13,52,37.29
2006-01-20,46,35.97
2006-01-27,46,37.56
2006-02-03,47,36.65
2006-02-10,45,35.82
2006-02-17,44,35.55
2006-02-24,49,35.72
2006-03-03,50,36.01
2006-03-10,49,36.78
2006-03-17,52,36.81
2006-03-24,54,38.59
2006-03-31,49,38.40
2006-04-07,52,40.37
2006-04-14,50,
2006-04-21,56,38.03
2006-04-28,55,38.35
2006-05-05,57,38.33
2006-05-12,55,37.26
2006-05-19,53,36.10
2006-05-26,53,35.22
