Date,UNP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,64.88
2004-02-13,0,64.84
2004-02-20,14,64.16
2004-02-27,14,63.64
2004-03-05,15,61.83
2004-03-12,15,62.30
2004-03-19,15,61.16
2004-03-26,13,60.85
2004-04-02,13,59.81
2004-04-09,13,
2004-04-16,11,57.52
2004-04-23,11,59.84
2004-04-30,11,58.93
2004-05-07,10,56.99
2004-05-14,10,57.37
2004-05-21,15,56.26
2004-05-28,10,58.32
2004-06-04,11,59.26
2004-06-11,12,
2004-06-18,13,57.61
2004-06-25,10,58.82
2004-07-02,12,58.54
2004-07-09,10,57.89
2004-07-16,10,57.88
2004-07-23,10,56.28
2004-07-30,15,56.34
2004-08-06,12,55.16
2004-08-13,12,55.24
2004-08-20,14,56.25
2004-08-27,16,56.77
2004-09-03,13,57.24
2004-09-10,15,58.91
2004-09-17,14,59.26
2004-09-24,14,59.20
2004-10-01,14,59.49
2004-10-08,10,61.81
2004-10-15,10,60.49
2004-10-22,10,61.00
2004-10-29,11,62.97
2004-11-05,13,64.95
2004-11-12,13,64.69
2004-11-19,9,63.11
2004-11-26,11,63.41
2004-12-03,12,63.81
2004-12-10,17,61.46
2004-12-17,10,62.43
2004-12-24,18,
2004-12-31,18,67.25
2005-01-07,12,64.80
2005-01-14,13,61.84
2005-01-21,13,60.41
2005-01-28,13,58.90
2005-02-04,18,59.17
2005-02-11,12,60.47
2005-02-18,11,63.76
2005-02-25,10,63.98
2005-03-04,16,64.61
2005-03-11,13,66.18
2005-03-18,15,66.39
2005-03-25,27,
2005-04-01,34,68.66
2005-04-08,46,68.00
2005-04-15,13,62.97
2005-04-22,13,64.48
2005-04-29,15,63.93
2005-05-06,16,64.00
2005-05-13,15,61.22
2005-05-20,14,66.70
2005-05-27,7,66.52
2005-06-03,14,66.63
2005-06-10,13,65.25
2005-06-17,16,66.82
2005-06-24,19,64.17
2005-07-01,17,65.02
2005-07-08,10,65.35
2005-07-15,13,65.10
2005-07-22,22,68.46
2005-07-29,15,70.31
2005-08-05,22,69.72
2005-08-12,21,69.19
2005-08-19,8,68.86
2005-08-26,22,69.21
2005-09-02,18,68.48
2005-09-09,15,67.85
2005-09-16,15,67.85
2005-09-23,18,69.83
2005-09-30,18,71.70
2005-10-07,25,70.60
2005-10-14,18,69.22
2005-10-21,23,67.11
2005-10-28,26,68.25
2005-11-04,22,69.95
2005-11-11,18,70.75
2005-11-18,22,75.00
2005-11-25,21,76.85
2005-12-02,22,77.19
2005-12-09,24,75.82
2005-12-16,16,77.83
2005-12-23,21,80.35
2005-12-30,18,80.51
2006-01-06,19,78.58
2006-01-13,23,78.73
2006-01-20,17,83.82
2006-01-27,17,87.16
2006-02-03,20,85.67
2006-02-10,22,86.31
2006-02-17,17,88.74
2006-02-24,16,88.46
2006-03-03,13,89.82
2006-03-10,23,85.76
2006-03-17,18,91.07
2006-03-24,22,92.18
2006-03-31,18,93.35
2006-04-07,25,93.63
2006-04-14,18,
2006-04-21,26,95.95
2006-04-28,38,91.21
2006-05-05,22,93.25
2006-05-12,23,94.37
2006-05-19,19,91.70
2006-05-26,16,92.66
2006-06-02,16,94.05
2006-06-09,23,86.46
2006-06-16,29,89.76
2006-06-23,21,88.80
2006-06-30,22,92.96
2006-07-07,20,90.12
2006-07-14,18,86.16
2006-07-21,14,83.04
2006-07-28,18,85.22
2006-08-04,14,83.85
2006-08-11,22,79.21
2006-08-18,14,83.74
2006-08-25,13,80.94
2006-09-01,16,80.54
2006-09-08,13,80.10
2006-09-15,21,83.80
2006-09-22,18,83.42
2006-09-29,18,88.00
2006-10-06,21,88.86
2006-10-13,19,91.08
2006-10-20,22,90.83
2006-10-27,20,90.86
2006-11-03,24,90.19
2006-11-10,21,91.14
2006-11-17,32,91.35
2006-11-24,32,91.45
2006-12-01,28,90.48
2006-12-08,23,92.80
2006-12-15,22,93.93
2006-12-22,24,90.61
2006-12-29,16,92.02
2007-01-05,20,90.66
2007-01-12,24,91.96
2007-01-19,23,96.33
2007-01-26,22,95.43
2007-02-02,25,102.40
2007-02-09,24,99.64
2007-02-16,25,101.73
2007-02-23,17,103.88
2007-03-02,25,97.82
2007-03-09,31,98.74
2007-03-16,25,99.95
2007-03-23,28,104.20
2007-03-30,36,101.55
2007-04-06,32,
2007-04-13,27,109.78
2007-04-20,47,117.21
2007-04-27,25,115.84
2007-05-04,21,116.64
2007-05-11,19,116.90
2007-05-18,26,119.85
2007-05-25,24,117.96
2007-06-01,20,122.03
2007-06-08,26,116.65
2007-06-15,28,120.26
2007-06-22,28,116.09
2007-06-29,28,115.15
2007-07-06,23,116.81
2007-07-13,20,120.80
2007-07-20,22,125.87
2007-07-27,21,119.12
2007-08-03,22,114.25
2007-08-10,30,116.65
2007-08-17,29,105.93
2007-08-24,23,111.07
2007-08-31,27,111.57
2007-09-07,37,108.11
2007-09-14,24,111.83
2007-09-21,35,112.87
2007-09-28,35,113.06
2007-10-05,29,117.35
2007-10-12,26,119.52
2007-10-19,31,122.62
2007-10-26,25,127.90
2007-11-02,28,126.00
2007-11-09,28,124.65
2007-11-16,33,126.48
2007-11-23,30,124.68
2007-11-30,24,126.14
2007-12-07,30,134.84
2007-12-14,39,130.56
2007-12-21,25,126.02
2007-12-28,21,127.73
2008-01-04,26,120.04
2008-01-11,26,114.11
2008-01-18,26,110.45
2008-01-25,26,119.81
2008-02-01,23,127.97
2008-02-08,21,125.35
2008-02-15,34,124.80
2008-02-22,30,124.13
2008-02-29,29,124.76
2008-03-07,24,119.66
2008-03-14,35,122.75
2008-03-21,28,
2008-03-28,22,125.02
2008-04-04,27,133.66
2008-04-11,30,130.21
2008-04-18,31,138.08
2008-04-25,29,140.59
2008-05-02,24,146.88
2008-05-09,40,146.28
2008-05-16,38,153.00
2008-05-23,32,152.16
2008-05-30,27,82.31
2008-06-06,39,77.95
2008-06-13,30,75.57
2008-06-20,37,76.88
2008-06-27,39,73.83
2008-07-04,33,
2008-07-11,26,71.92
2008-07-18,24,72.54
2008-07-25,25,77.49
2008-08-01,28,79.44
2008-08-08,34,83.18
2008-08-15,37,76.87
2008-08-22,36,79.55
2008-08-29,27,83.90
2008-09-05,29,75.46
2008-09-12,32,77.80
2008-09-19,32,76.73
2008-09-26,27,73.27
2008-10-03,31,61.81
2008-10-10,35,58.00
2008-10-17,38,55.49
2008-10-24,40,58.28
2008-10-31,35,66.77
2008-11-07,30,60.99
2008-11-14,32,57.27
2008-11-21,30,47.50
2008-11-28,42,50.04
2008-12-05,39,47.49
2008-12-12,38,42.81
2008-12-19,34,46.27
2008-12-26,26,46.97
2009-01-02,28,50.13
2009-01-09,36,48.12
2009-01-16,31,40.42
2009-01-23,35,42.50
2009-01-30,40,43.79
2009-02-06,45,49.27
2009-02-13,54,43.51
2009-02-20,40,40.03
2009-02-27,33,37.52
2009-03-06,47,34.98
2009-03-13,45,37.18
2009-03-20,41,38.69
2009-03-27,37,43.00
2009-04-03,36,46.09
2009-04-10,32,
2009-04-17,40,48.29
2009-04-24,38,49.13
2009-05-01,34,49.98
2009-05-08,50,51.44
2009-05-15,45,46.58
2009-05-22,42,46.16
2009-05-29,41,49.27
2009-06-05,40,53.80
2009-06-12,39,54.36
2009-06-19,47,52.00
2009-06-26,50,53.30
2009-07-03,31,
2009-07-10,37,50.37
2009-07-17,36,56.83
2009-07-24,55,57.99
2009-07-31,49,57.52
2009-08-07,50,61.37
2009-08-14,49,60.82
2009-08-21,53,61.95
2009-08-28,40,60.63
2009-09-04,42,62.04
2009-09-11,47,62.55
2009-09-18,64,62.40
2009-09-25,35,59.50
2009-10-02,35,57.38
2009-10-09,46,59.79
2009-10-16,39,63.53
2009-10-23,43,57.73
2009-10-30,37,55.14
2009-11-06,38,62.36
2009-11-13,38,63.55
2009-11-20,48,65.05
2009-11-27,43,63.19
2009-12-04,41,65.22
2009-12-11,51,64.18
2009-12-18,50,63.38
2009-12-25,39,
2010-01-01,35,
2010-01-08,41,68.04
2010-01-15,39,65.57
2010-01-22,48,63.85
2010-01-29,43,60.50
2010-02-05,40,62.10
2010-02-12,88,63.41
2010-02-19,54,66.57
2010-02-26,54,67.37
2010-03-05,58,69.13
2010-03-12,40,73.00
2010-03-19,40,73.24
2010-03-26,37,72.66
2010-04-02,37,
2010-04-09,43,75.75
2010-04-16,44,75.95
2010-04-23,42,77.10
2010-04-30,54,75.66
2010-05-07,54,71.07
2010-05-14,49,74.18
2010-05-21,46,69.75
2010-05-28,46,71.43
2010-06-04,44,69.33
2010-06-11,59,73.55
2010-06-18,53,76.37
2010-06-25,48,72.72
2010-07-02,49,68.37
2010-07-09,60,71.71
2010-07-16,83,68.81
2010-07-23,87,73.90
2010-07-30,50,74.67
2010-08-06,67,77.04
2010-08-13,47,73.45
2010-08-20,48,74.26
2010-08-27,48,73.69
2010-09-03,44,78.80
2010-09-10,49,78.73
2010-09-17,48,79.96
2010-09-24,64,82.10
2010-10-01,42,81.03
2010-10-08,40,84.86
2010-10-15,45,85.21
2010-10-22,42,86.31
2010-10-29,39,87.68
2010-11-05,36,91.22
2010-11-12,47,90.29
2010-11-19,62,91.82
2010-11-26,55,90.10
2010-12-03,49,94.55
2010-12-10,40,92.64
2010-12-17,63,91.18
2010-12-24,46,
2010-12-31,27,92.66
2011-01-07,38,95.18
2011-01-14,41,98.66
2011-01-21,48,94.51
2011-01-28,60,93.54
2011-02-04,94,94.25
2011-02-11,63,99.02
2011-02-18,54,97.14
2011-02-25,77,94.03
2011-03-04,53,95.36
2011-03-11,38,94.77
2011-03-18,48,95.02
2011-03-25,49,97.59
2011-04-01,49,98.27
2011-04-08,50,95.66
2011-04-15,65,98.27
2011-04-22,56,
2011-04-29,59,103.47
2011-05-06,45,102.34
2011-05-13,44,100.46
2011-05-20,50,101.99
2011-05-27,53,103.53
2011-06-03,54,101.14
2011-06-10,54,99.60
2011-06-17,69,100.01
2011-06-24,71,100.04
2011-07-01,85,106.76
2011-07-08,100,104.30
2011-07-15,59,100.74
2011-07-22,97,103.80
2011-07-29,55,102.48
2011-08-05,64,92.47
2011-08-12,61,92.72
2011-08-19,65,85.69
2011-08-26,70,89.55
2011-09-02,54,88.27
2011-09-09,64,85.09
2011-09-16,56,91.64
2011-09-23,48,83.11
2011-09-30,52,81.67
2011-10-07,49,88.80
2011-10-14,51,91.97
2011-10-21,65,96.96
2011-10-28,56,102.02
2011-11-04,55,101.24
2011-11-11,51,102.88
2011-11-18,51,102.04
2011-11-25,52,95.16
2011-12-02,50,102.69
2011-12-09,54,101.75
2011-12-16,69,99.88
2011-12-23,64,105.53
2011-12-30,39,105.94
2012-01-06,62,107.53
2012-01-13,76,109.73
2012-01-20,68,112.84
2012-01-27,51,114.90
2012-02-03,68,116.11
2012-02-10,60,111.63
2012-02-17,56,110.99
2012-02-24,43,112.62
2012-03-02,63,110.89
2012-03-09,66,107.64
2012-03-16,56,113.15
2012-03-23,61,108.89
2012-03-30,63,107.48
2012-04-06,49,
2012-04-13,66,108.04
2012-04-20,60,107.26
2012-04-27,60,113.89
2012-05-04,53,113.60
2012-05-11,53,112.18
2012-05-18,56,107.17
2012-05-25,60,111.88
2012-06-01,68,108.11
2012-06-08,62,110.64
2012-06-15,67,114.87
2012-06-22,88,116.48
2012-06-29,98,119.31
2012-07-06,79,116.75
2012-07-13,63,118.15
2012-07-20,51,119.60
2012-07-27,59,122.48
2012-08-03,54,124.54
2012-08-10,53,122.01
2012-08-17,64,125.01
2012-08-24,76,123.99
2012-08-31,85,121.44
2012-09-07,79,122.25
2012-09-14,60,128.43
2012-09-21,57,119.37
2012-09-28,52,118.70
2012-10-05,51,122.16
2012-10-12,50,121.05
2012-10-19,61,123.77
2012-10-26,53,123.61
2012-11-02,49,123.98
2012-11-09,73,120.25
2012-11-16,51,117.56
2012-11-23,58,121.98
2012-11-30,52,122.78
2012-12-07,65,123.95
2012-12-14,66,124.28
2012-12-21,52,125.68
2012-12-28,40,123.54
2013-01-04,48,130.89
2013-01-11,58,130.97
2013-01-18,62,132.49
2013-01-25,83,134.77
2013-02-01,67,133.96
2013-02-08,58,133.15
2013-02-15,64,136.83
2013-02-22,61,136.02
2013-03-01,57,136.57
2013-03-08,60,138.70
2013-03-15,53,141.69
2013-03-22,53,139.14
2013-03-29,49,
2013-04-05,60,138.54
2013-04-12,68,141.27
2013-04-19,64,145.85
2013-04-26,59,147.52
2013-05-03,59,149.43
2013-05-10,60,154.30
2013-05-17,51,159.91
2013-05-24,52,156.81
2013-05-31,62,154.62
2013-06-07,59,158.13
2013-06-14,75,157.02
2013-06-21,77,152.69
2013-06-28,95,154.28
2013-07-05,85,157.48
2013-07-12,73,160.75
2013-07-19,67,163.36
2013-07-26,62,159.40
2013-08-02,58,163.37
2013-08-09,61,159.79
2013-08-16,71,157.93
2013-08-23,70,158.06
2013-08-30,84,153.54
2013-09-06,88,154.92
2013-09-13,61,154.75
2013-09-20,62,159.55
2013-09-27,55,156.59
2013-10-04,59,153.90
2013-10-11,60,157.37
2013-10-18,62,152.10
2013-10-25,58,152.36
2013-11-01,63,152.77
2013-11-08,55,155.04
2013-11-15,54,159.49
2013-11-22,54,162.02
2013-11-29,61,162.04
2013-12-06,76,164.34
2013-12-13,74,160.75
2013-12-20,53,163.60
2013-12-27,42,166.05
2014-01-03,51,166.85
2014-01-10,64,170.38
2014-01-17,64,167.84
2014-01-24,87,171.64
2014-01-31,72,174.24
2014-02-07,60,176.90
2014-02-14,86,180.14
2014-02-21,68,179.12
2014-02-28,55,180.38
2014-03-07,50,187.57
2014-03-14,61,185.14
2014-03-21,62,187.33
2014-03-28,66,184.75
2014-04-04,63,188.05
2014-04-11,71,181.07
2014-04-18,63,
2014-04-25,62,187.78
2014-05-02,67,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
