Date,BorgWarner,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,93.93
2004-02-13,0,93.49
2004-02-20,0,92.03
2004-02-27,0,90.20
2004-03-05,0,90.74
2004-03-12,0,86.83
2004-03-19,0,84.41
2004-03-26,0,83.19
2004-04-02,0,85.10
2004-04-09,0,
2004-04-16,0,84.96
2004-04-23,0,89.15
2004-04-30,0,81.94
2004-05-07,0,79.70
2004-05-14,0,79.10
2004-05-21,0,39.16
2004-05-28,0,41.44
2004-06-04,0,42.42
2004-06-11,0,
2004-06-18,65,44.44
2004-06-25,0,44.39
2004-07-02,0,41.74
2004-07-09,0,42.21
2004-07-16,0,43.29
2004-07-23,0,43.51
2004-07-30,0,47.19
2004-08-06,0,44.70
2004-08-13,0,44.45
2004-08-20,0,45.14
2004-08-27,0,45.74
2004-09-03,0,44.78
2004-09-10,0,44.24
2004-09-17,0,43.26
2004-09-24,0,42.88
2004-10-01,0,45.25
2004-10-08,0,43.22
2004-10-15,0,41.02
2004-10-22,60,40.61
2004-10-29,80,46.38
2004-11-05,100,49.58
2004-11-12,52,51.16
2004-11-19,52,49.51
2004-11-26,52,51.36
2004-12-03,52,50.86
2004-12-10,0,49.44
2004-12-17,0,51.35
2004-12-24,0,
2004-12-31,0,54.17
2005-01-07,0,51.41
2005-01-14,0,53.83
2005-01-21,0,52.05
2005-01-28,0,52.82
2005-02-04,0,52.60
2005-02-11,0,53.07
2005-02-18,0,52.85
2005-02-25,49,52.75
2005-03-04,0,52.36
2005-03-11,0,52.59
2005-03-18,0,50.48
2005-03-25,0,
2005-04-01,0,48.29
2005-04-08,0,49.42
2005-04-15,0,45.43
2005-04-22,0,46.64
2005-04-29,0,45.72
2005-05-06,0,50.22
2005-05-13,0,48.75
2005-05-20,0,52.35
2005-05-27,40,53.50
2005-06-03,40,52.70
2005-06-10,40,54.03
2005-06-17,40,54.18
2005-06-24,40,51.14
2005-07-01,39,53.97
2005-07-08,39,57.38
2005-07-15,39,57.52
2005-07-22,39,59.35
2005-07-29,39,58.17
2005-08-05,55,56.58
2005-08-12,62,58.22
2005-08-19,48,59.40
2005-08-26,48,59.58
2005-09-02,51,58.23
2005-09-09,54,57.60
2005-09-16,0,56.42
2005-09-23,0,56.18
2005-09-30,0,56.46
2005-10-07,0,56.30
2005-10-14,0,56.59
2005-10-21,0,55.00
2005-10-28,0,57.02
2005-11-04,0,58.70
2005-11-11,0,59.33
2005-11-18,0,59.75
2005-11-25,45,61.61
2005-12-02,40,59.58
2005-12-09,40,60.18
2005-12-16,40,60.10
2005-12-23,38,59.95
2005-12-30,38,60.63
2006-01-06,38,58.21
2006-01-13,55,56.58
2006-01-20,28,55.60
2006-01-27,39,55.04
2006-02-03,42,54.77
2006-02-10,46,54.35
2006-02-17,27,57.04
2006-02-24,43,56.15
2006-03-03,29,54.98
2006-03-10,31,56.24
2006-03-17,32,58.71
2006-03-24,33,60.29
2006-03-31,38,60.04
2006-04-07,44,59.98
2006-04-14,26,
2006-04-21,26,60.46
2006-04-28,36,60.73
2006-05-05,26,64.45
2006-05-12,31,63.31
2006-05-19,35,66.20
2006-05-26,28,66.96
2006-06-02,34,64.99
2006-06-09,26,63.06
2006-06-16,26,62.70
2006-06-23,32,63.85
2006-06-30,38,65.10
2006-07-07,29,63.96
2006-07-14,36,60.39
2006-07-21,28,58.42
2006-07-28,28,60.23
2006-08-04,25,59.65
2006-08-11,32,58.69
2006-08-18,38,58.65
2006-08-25,33,55.63
2006-09-01,32,56.96
2006-09-08,32,54.72
2006-09-15,29,56.30
2006-09-22,42,53.76
2006-09-29,22,57.17
2006-10-06,31,59.44
2006-10-13,41,59.81
2006-10-20,38,59.55
2006-10-27,38,58.25
2006-11-03,23,56.42
2006-11-10,36,58.26
2006-11-17,26,60.13
2006-11-24,35,58.69
2006-12-01,19,57.90
2006-12-08,29,57.76
2006-12-15,22,57.76
2006-12-22,22,57.88
2006-12-29,22,59.02
2007-01-05,22,58.60
2007-01-12,26,64.21
2007-01-19,23,65.42
2007-01-26,25,67.36
2007-02-02,35,69.26
2007-02-09,24,74.94
2007-02-16,18,76.62
2007-02-23,29,78.08
2007-03-02,32,72.97
2007-03-09,35,74.66
2007-03-16,26,73.13
2007-03-23,27,76.52
2007-03-30,20,75.42
2007-04-06,25,
2007-04-13,29,74.07
2007-04-20,22,75.06
2007-04-27,41,79.15
2007-05-04,27,80.06
2007-05-11,27,79.96
2007-05-18,23,82.77
2007-05-25,26,82.27
2007-06-01,20,83.65
2007-06-08,26,82.68
2007-06-15,29,83.37
2007-06-22,39,84.75
2007-06-29,32,86.04
2007-07-06,19,88.66
2007-07-13,30,92.46
2007-07-20,22,91.19
2007-07-27,26,84.70
2007-08-03,18,87.74
2007-08-10,19,90.74
2007-08-17,22,77.50
2007-08-24,32,82.84
2007-08-31,26,84.50
2007-09-07,20,82.33
2007-09-14,22,84.85
2007-09-21,23,85.56
2007-09-28,29,91.53
2007-10-05,26,96.84
2007-10-12,28,94.22
2007-10-19,34,94.74
2007-10-26,38,97.96
2007-11-02,34,103.67
2007-11-09,33,98.32
2007-11-16,47,99.15
2007-11-23,37,94.49
2007-11-30,23,96.61
2007-12-07,34,99.00
2007-12-14,33,97.20
2007-12-21,30,49.77
2007-12-28,18,49.27
2008-01-04,20,43.54
2008-01-11,27,42.25
2008-01-18,34,44.75
2008-01-25,31,48.75
2008-02-01,39,50.93
2008-02-08,32,45.34
2008-02-15,37,46.08
2008-02-22,24,46.60
2008-02-29,43,43.11
2008-03-07,34,41.30
2008-03-14,40,41.67
2008-03-21,15,
2008-03-28,39,41.84
2008-04-04,39,45.20
2008-04-11,42,43.44
2008-04-18,35,47.49
2008-04-25,37,48.37
2008-05-02,29,51.48
2008-05-09,39,52.25
2008-05-16,30,55.28
2008-05-23,22,52.21
2008-05-30,23,51.71
2008-06-06,27,48.37
2008-06-13,24,49.47
2008-06-20,23,48.59
2008-06-27,33,44.50
2008-07-04,26,
2008-07-11,33,38.65
2008-07-18,34,41.63
2008-07-25,34,41.35
2008-08-01,31,40.18
2008-08-08,36,43.31
2008-08-15,30,42.51
2008-08-22,34,41.61
2008-08-29,29,41.35
2008-09-05,22,39.00
2008-09-12,29,41.26
2008-09-19,32,38.20
2008-09-26,28,32.46
2008-10-03,21,27.84
2008-10-10,26,23.65
2008-10-17,20,21.94
2008-10-24,31,21.80
2008-10-31,33,22.47
2008-11-07,30,20.79
2008-11-14,28,17.42
2008-11-21,21,18.74
2008-11-28,22,23.66
2008-12-05,27,22.53
2008-12-12,29,21.14
2008-12-19,22,21.79
2008-12-26,18,21.07
2009-01-02,13,22.96
2009-01-09,18,22.87
2009-01-16,31,18.89
2009-01-23,25,17.62
2009-01-30,31,16.88
2009-02-06,33,21.05
2009-02-13,35,21.37
2009-02-20,31,17.77
2009-02-27,24,17.25
2009-03-06,24,15.18
2009-03-13,30,18.30
2009-03-20,28,18.61
2009-03-27,29,21.76
2009-04-03,32,24.63
2009-04-10,31,
2009-04-17,21,26.25
2009-04-24,21,28.33
2009-05-01,26,28.70
2009-05-08,24,31.09
2009-05-15,15,27.65
2009-05-22,24,29.24
2009-05-29,27,32.25
2009-06-05,19,35.00
2009-06-12,24,34.08
2009-06-19,24,32.57
2009-06-26,22,32.55
2009-07-03,22,
2009-07-10,20,30.14
2009-07-17,20,33.01
2009-07-24,20,35.85
2009-07-31,21,33.19
2009-08-07,26,32.40
2009-08-14,19,30.26
2009-08-21,18,30.37
2009-08-28,21,29.23
2009-09-04,23,31.60
2009-09-11,21,33.50
2009-09-18,16,30.86
2009-09-25,17,29.96
2009-10-02,19,27.85
2009-10-09,22,30.41
2009-10-16,22,31.55
2009-10-23,26,33.07
2009-10-30,25,30.32
2009-11-06,22,31.84
2009-11-13,24,32.03
2009-11-20,26,30.91
2009-11-27,19,30.42
2009-12-04,17,31.00
2009-12-11,17,31.25
2009-12-18,15,33.05
2009-12-25,17,
2010-01-01,15,
2010-01-08,19,36.51
2010-01-15,21,37.35
2010-01-22,23,36.47
2010-01-29,23,35.09
2010-02-05,22,34.71
2010-02-12,22,36.64
2010-02-19,19,37.35
2010-02-26,23,37.46
2010-03-05,18,37.65
2010-03-12,24,37.08
2010-03-19,24,36.54
2010-03-26,23,37.03
2010-04-02,24,
2010-04-09,22,38.19
2010-04-16,30,38.35
2010-04-23,22,41.16
2010-04-30,26,43.34
2010-05-07,37,37.09
2010-05-14,29,39.20
2010-05-21,19,36.23
2010-05-28,33,37.26
2010-06-04,23,37.60
2010-06-11,18,37.82
2010-06-18,25,41.31
2010-06-25,29,39.30
2010-07-02,30,37.47
2010-07-09,22,39.93
2010-07-16,25,40.43
2010-07-23,27,42.97
2010-07-30,23,43.86
2010-08-06,29,47.01
2010-08-13,24,45.31
2010-08-20,18,45.51
2010-08-27,29,44.09
2010-09-03,25,48.42
2010-09-10,34,46.38
2010-09-17,29,47.65
2010-09-24,25,49.68
2010-10-01,21,52.18
2010-10-08,23,52.82
2010-10-15,29,54.19
2010-10-22,23,54.06
2010-10-29,25,56.11
2010-11-05,30,59.26
2010-11-12,26,57.63
2010-11-19,26,59.88
2010-11-26,21,60.62
2010-12-03,22,66.43
2010-12-10,22,66.90
2010-12-17,27,71.05
2010-12-24,23,
2010-12-31,21,72.36
2011-01-07,27,69.97
2011-01-14,27,70.41
2011-01-21,28,68.00
2011-01-28,22,67.63
2011-02-04,28,67.03
2011-02-11,35,77.33
2011-02-18,33,80.23
2011-02-25,28,76.95
2011-03-04,32,77.75
2011-03-11,28,74.66
2011-03-18,36,74.45
2011-03-25,32,77.28
2011-04-01,28,81.03
2011-04-08,27,75.37
2011-04-15,35,71.98
2011-04-22,24,
2011-04-29,27,77.24
2011-05-06,26,76.27
2011-05-13,31,73.82
2011-05-20,39,70.63
2011-05-27,27,71.89
2011-06-03,23,68.91
2011-06-10,21,67.93
2011-06-17,22,71.52
2011-06-24,27,78.16
2011-07-01,22,80.74
2011-07-08,23,80.19
2011-07-15,26,76.48
2011-07-22,28,76.16
2011-07-29,32,79.62
2011-08-05,30,68.47
2011-08-12,32,69.70
2011-08-19,22,63.44
2011-08-26,32,68.44
2011-09-02,26,68.07
2011-09-09,34,65.82
2011-09-16,22,69.42
2011-09-23,28,59.89
2011-09-30,28,60.53
2011-10-07,24,64.39
2011-10-14,30,70.86
2011-10-21,28,72.24
2011-10-28,27,76.33
2011-11-04,29,75.75
2011-11-11,33,67.96
2011-11-18,24,63.86
2011-11-25,25,61.20
2011-12-02,29,67.11
2011-12-09,19,69.15
2011-12-16,17,62.35
2011-12-23,23,65.58
2011-12-30,20,63.74
2012-01-06,22,65.12
2012-01-13,27,73.70
2012-01-20,25,74.88
2012-01-27,27,74.72
2012-02-03,24,79.51
2012-02-10,30,77.05
2012-02-17,27,81.21
2012-02-24,26,82.43
2012-03-02,26,85.42
2012-03-09,20,83.85
2012-03-16,24,85.74
2012-03-23,29,83.84
2012-03-30,27,84.34
2012-04-06,26,
2012-04-13,30,81.80
2012-04-20,32,80.59
2012-04-27,25,79.72
2012-05-04,26,77.98
2012-05-11,23,77.58
2012-05-18,33,73.30
2012-05-25,26,74.33
2012-06-01,26,66.59
2012-06-08,21,68.13
2012-06-15,25,65.19
2012-06-22,21,65.50
2012-06-29,22,65.59
2012-07-06,35,65.26
2012-07-13,26,64.70
2012-07-20,24,63.99
2012-07-27,23,67.32
2012-08-03,26,65.93
2012-08-10,25,71.32
2012-08-17,27,71.25
2012-08-24,31,68.43
2012-08-31,31,68.78
2012-09-07,26,72.38
2012-09-14,27,78.08
2012-09-21,29,72.29
2012-09-28,24,69.11
2012-10-05,30,73.70
2012-10-12,24,66.57
2012-10-19,18,65.79
2012-10-26,25,63.71
2012-11-02,26,66.35
2012-11-09,29,63.23
2012-11-16,24,61.75
2012-11-23,23,65.30
2012-11-30,25,66.30
2012-12-07,23,67.25
2012-12-14,22,66.47
2012-12-21,18,68.64
2012-12-28,17,70.05
2013-01-04,23,73.79
2013-01-11,23,71.70
2013-01-18,26,75.63
2013-01-25,27,77.29
2013-02-01,20,74.51
2013-02-08,27,74.94
2013-02-15,25,76.11
2013-02-22,25,74.45
2013-03-01,25,75.07
2013-03-08,27,79.50
2013-03-15,25,79.76
2013-03-22,28,76.42
2013-03-29,30,
2013-04-05,21,73.22
2013-04-12,27,74.81
2013-04-19,27,72.69
2013-04-26,26,77.93
2013-05-03,26,79.34
2013-05-10,25,82.22
2013-05-17,26,85.35
2013-05-24,23,81.96
2013-05-31,28,81.07
2013-06-07,29,82.62
2013-06-14,29,84.54
2013-06-21,27,83.26
2013-06-28,24,86.15
2013-07-05,24,86.29
2013-07-12,26,89.30
2013-07-19,26,91.17
2013-07-26,24,92.53
2013-08-02,23,97.46
2013-08-09,23,95.77
2013-08-16,22,96.17
2013-08-23,31,98.42
2013-08-30,25,96.58
2013-09-06,23,97.77
2013-09-13,25,99.09
2013-09-20,21,100.86
2013-09-27,29,101.51
2013-10-04,27,103.49
2013-10-11,23,102.90
2013-10-18,24,105.66
2013-10-25,26,106.27
2013-11-01,27,102.64
2013-11-08,26,101.25
2013-11-15,24,104.32
2013-11-22,21,106.16
2013-11-29,25,107.17
2013-12-06,25,107.07
2013-12-13,29,107.57
2013-12-20,29,55.02
2013-12-27,16,55.83
2014-01-03,18,54.89
2014-01-10,25,56.75
2014-01-17,26,55.81
2014-01-24,33,53.71
2014-01-31,31,53.70
2014-02-07,33,53.91
2014-02-14,23,57.96
2014-02-21,28,61.16
2014-02-28,29,61.45
2014-03-07,27,61.31
2014-03-14,32,61.13
2014-03-21,33,61.74
2014-03-28,29,60.02
2014-04-04,27,62.10
2014-04-11,29,59.27
2014-04-18,25,
2014-04-25,22,61.64
2014-05-02,17,
