Date,Wells Fargo,Price
2004-01-09,20,
2004-01-16,20,
2004-01-23,21,
2004-01-30,21,
2004-02-06,19,57.96
2004-02-13,20,57.37
2004-02-20,19,56.89
2004-02-27,20,57.35
2004-03-05,19,58.39
2004-03-12,24,57.92
2004-03-19,20,57.57
2004-03-26,18,56.95
2004-04-02,20,56.61
2004-04-09,22,
2004-04-16,22,56.07
2004-04-23,20,56.40
2004-04-30,21,56.46
2004-05-07,21,55.09
2004-05-14,20,56.99
2004-05-21,19,58.05
2004-05-28,21,58.80
2004-06-04,21,58.59
2004-06-11,19,
2004-06-18,21,58.60
2004-06-25,22,57.53
2004-07-02,22,57.23
2004-07-09,22,57.02
2004-07-16,23,57.91
2004-07-23,22,56.64
2004-07-30,23,57.41
2004-08-06,25,56.36
2004-08-13,22,57.54
2004-08-20,22,58.05
2004-08-27,21,58.66
2004-09-03,23,59.27
2004-09-10,21,59.13
2004-09-17,22,59.34
2004-09-24,21,58.64
2004-10-01,22,60.19
2004-10-08,21,60.48
2004-10-15,20,60.05
2004-10-22,21,57.88
2004-10-29,20,59.72
2004-11-05,20,61.50
2004-11-12,20,62.57
2004-11-19,20,61.55
2004-11-26,16,62.50
2004-12-03,22,62.40
2004-12-10,20,63.02
2004-12-17,21,62.00
2004-12-24,19,
2004-12-31,22,62.15
2005-01-07,22,62.17
2005-01-14,23,60.69
2005-01-21,21,60.12
2005-01-28,20,60.52
2005-02-04,23,60.98
2005-02-11,22,60.30
2005-02-18,22,59.81
2005-02-25,21,59.90
2005-03-04,24,60.50
2005-03-11,22,59.80
2005-03-18,22,59.38
2005-03-25,23,
2005-04-01,22,59.43
2005-04-08,22,59.56
2005-04-15,23,59.13
2005-04-22,21,58.67
2005-04-29,23,59.94
2005-05-06,24,59.76
2005-05-13,22,59.25
2005-05-20,22,61.33
2005-05-27,23,60.79
2005-06-03,22,61.35
2005-06-10,23,61.31
2005-06-17,25,61.59
2005-06-24,25,60.72
2005-07-01,26,61.27
2005-07-08,23,61.27
2005-07-15,26,62.87
2005-07-22,25,61.75
2005-07-29,24,61.34
2005-08-05,28,60.37
2005-08-12,27,60.17
2005-08-19,28,60.63
2005-08-26,25,58.79
2005-09-02,26,59.29
2005-09-09,25,59.82
2005-09-16,25,59.97
2005-09-23,25,58.97
2005-09-30,24,58.57
2005-10-07,26,58.57
2005-10-14,28,58.98
2005-10-21,24,59.16
2005-10-28,24,60.66
2005-11-04,25,59.72
2005-11-11,23,62.15
2005-11-18,24,62.51
2005-11-25,18,64.34
2005-12-02,25,62.80
2005-12-09,24,62.61
2005-12-16,25,63.75
2005-12-23,26,64.03
2005-12-30,27,62.83
2006-01-06,27,63.36
2006-01-13,27,63.25
2006-01-20,25,61.50
2006-01-27,25,62.70
2006-02-03,28,61.04
