Date,buy GT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,65,9.97
2004-02-13,0,8.71
2004-02-20,0,8.15
2004-02-27,0,8.42
2004-03-05,0,8.48
2004-03-12,0,7.90
2004-03-19,0,7.61
2004-03-26,0,7.54
2004-04-02,57,9.01
2004-04-09,79,
2004-04-16,56,8.90
2004-04-23,56,9.23
2004-04-30,56,8.71
2004-05-07,50,8.47
2004-05-14,50,8.02
2004-05-21,50,8.24
2004-05-28,50,8.70
2004-06-04,55,8.66
2004-06-11,60,
2004-06-18,64,9.89
2004-06-25,65,9.85
2004-07-02,66,9.33
2004-07-09,56,9.59
2004-07-16,56,9.65
2004-07-23,56,10.14
2004-07-30,78,10.95
2004-08-06,78,10.40
2004-08-13,70,10.49
2004-08-20,65,10.91
2004-08-27,47,10.83
2004-09-03,47,11.67
2004-09-10,47,11.54
2004-09-17,64,10.97
2004-09-24,82,10.63
2004-10-01,65,10.86
2004-10-08,65,10.12
2004-10-15,52,9.61
2004-10-22,60,9.62
2004-10-29,68,10.08
2004-11-05,80,11.80
2004-11-12,92,11.66
2004-11-19,56,12.21
2004-11-26,67,12.50
2004-12-03,71,13.08
2004-12-10,55,12.72
2004-12-17,64,14.24
2004-12-24,52,
2004-12-31,100,14.66
2005-01-07,55,14.70
2005-01-14,74,15.32
2005-01-21,44,14.52
2005-01-28,44,15.37
2005-02-04,44,14.42
2005-02-11,44,14.00
2005-02-18,56,13.79
2005-02-25,67,14.71
2005-03-04,36,14.53
2005-03-11,41,14.76
2005-03-18,34,13.65
2005-03-25,43,
2005-04-01,52,13.06
2005-04-08,50,12.80
2005-04-15,46,11.47
2005-04-22,40,11.77
2005-04-29,44,11.87
2005-05-06,48,13.29
2005-05-13,35,13.50
2005-05-20,45,14.19
2005-05-27,40,14.59
2005-06-03,46,14.30
2005-06-10,38,14.25
2005-06-17,52,14.86
2005-06-24,47,14.24
2005-07-01,37,15.12
2005-07-08,34,15.30
2005-07-15,53,15.90
2005-07-22,46,16.12
2005-07-29,49,17.41
2005-08-05,57,18.49
2005-08-12,64,17.54
2005-08-19,48,17.08
2005-08-26,51,16.55
2005-09-02,40,16.57
2005-09-09,40,16.74
2005-09-16,40,16.24
2005-09-23,46,15.50
2005-09-30,38,15.59
2005-10-07,39,14.14
2005-10-14,58,13.94
2005-10-21,48,13.60
2005-10-28,59,15.24
2005-11-04,43,15.74
2005-11-11,37,15.59
2005-11-18,46,16.13
2005-11-25,40,16.97
2005-12-02,40,17.09
2005-12-09,43,17.11
2005-12-16,26,17.50
2005-12-23,28,17.90
2005-12-30,54,17.38
2006-01-06,46,18.47
2006-01-13,46,18.25
2006-01-20,42,17.63
2006-01-27,51,18.87
2006-02-03,25,15.21
2006-02-10,29,14.91
2006-02-17,27,14.87
2006-02-24,38,14.55
2006-03-03,31,13.42
2006-03-10,36,13.18
2006-03-17,28,13.73
2006-03-24,30,14.02
2006-03-31,34,14.48
2006-04-07,49,13.89
2006-04-14,46,
2006-04-21,31,13.90
2006-04-28,49,14.00
2006-05-05,42,15.20
2006-05-12,32,14.50
2006-05-19,31,13.53
2006-05-26,34,13.04
2006-06-02,39,12.58
2006-06-09,42,11.81
2006-06-16,30,11.67
2006-06-23,28,10.99
2006-06-30,36,11.10
2006-07-07,35,10.60
2006-07-14,23,9.99
2006-07-21,37,9.94
2006-07-28,28,10.57
2006-08-04,35,11.79
2006-08-11,41,11.30
2006-08-18,29,11.69
2006-08-25,50,12.16
2006-09-01,27,13.77
2006-09-08,21,14.57
2006-09-15,26,14.22
2006-09-22,42,14.35
2006-09-29,31,14.50
2006-10-06,40,14.46
2006-10-13,37,14.56
2006-10-20,37,14.70
2006-10-27,30,14.96
2006-11-03,33,15.28
2006-11-10,29,18.02
2006-11-17,36,18.00
2006-11-24,42,17.89
2006-12-01,31,16.80
2006-12-08,34,17.72
2006-12-15,41,19.20
2006-12-22,28,19.72
2006-12-29,27,20.99
2007-01-05,27,23.28
2007-01-12,25,24.51
2007-01-19,27,24.22
2007-01-26,50,24.70
2007-02-02,25,24.89
2007-02-09,26,25.11
2007-02-16,37,25.18
2007-02-23,53,26.12
2007-03-02,32,27.19
2007-03-09,40,28.51
2007-03-16,29,28.26
2007-03-23,30,30.29
2007-03-30,34,31.19
2007-04-06,42,
2007-04-13,48,33.18
2007-04-20,37,32.51
2007-04-27,42,34.41
2007-05-04,38,33.68
2007-05-11,32,32.96
2007-05-18,45,34.98
2007-05-25,37,34.44
2007-06-01,24,36.13
2007-06-08,43,35.13
2007-06-15,35,35.32
2007-06-22,28,34.67
2007-06-29,32,34.76
2007-07-06,32,36.57
2007-07-13,49,36.03
2007-07-20,45,34.95
2007-07-27,32,27.00
2007-08-03,44,26.43
2007-08-10,43,27.25
2007-08-17,46,27.69
2007-08-24,28,28.84
2007-08-31,34,27.66
2007-09-07,31,25.92
2007-09-14,38,25.52
2007-09-21,40,29.15
2007-09-28,33,30.41
2007-10-05,43,30.01
2007-10-12,34,30.76
2007-10-19,31,28.51
2007-10-26,40,27.48
2007-11-02,95,30.48
2007-11-09,62,27.11
2007-11-16,64,27.23
2007-11-23,85,26.58
2007-11-30,62,28.75
2007-12-07,50,28.44
2007-12-14,57,26.46
2007-12-21,58,28.75
2007-12-28,45,28.51
2008-01-04,58,24.58
2008-01-11,53,24.28
2008-01-18,49,24.25
2008-01-25,47,25.07
2008-02-01,51,26.07
2008-02-08,43,23.69
2008-02-15,37,26.86
2008-02-22,56,26.93
2008-02-29,58,27.10
2008-03-07,55,25.61
2008-03-14,35,25.61
2008-03-21,46,
2008-03-28,51,24.80
2008-04-04,41,26.58
2008-04-11,48,25.50
2008-04-18,40,27.40
2008-04-25,41,28.91
2008-05-02,39,27.18
2008-05-09,33,27.88
2008-05-16,58,28.98
2008-05-23,48,25.29
2008-05-30,60,25.41
2008-06-06,50,23.11
2008-06-13,60,23.14
2008-06-20,60,20.34
2008-06-27,44,18.25
2008-07-04,40,
2008-07-11,45,16.98
2008-07-18,40,18.53
2008-07-25,57,19.49
2008-08-01,50,19.20
2008-08-08,54,21.33
2008-08-15,49,21.41
2008-08-22,50,20.36
2008-08-29,41,19.61
2008-09-05,45,20.59
2008-09-12,46,18.35
2008-09-19,49,17.18
2008-09-26,46,16.57
2008-10-03,36,12.55
2008-10-10,32,12.20
2008-10-17,45,11.70
2008-10-24,38,8.89
2008-10-31,30,8.92
2008-11-07,41,7.14
2008-11-14,32,5.42
2008-11-21,51,5.01
2008-11-28,61,6.43
2008-12-05,48,6.07
2008-12-12,57,6.14
2008-12-19,30,6.12
2008-12-26,70,5.58
2009-01-02,53,6.51
2009-01-09,43,7.63
2009-01-16,37,6.71
2009-01-23,45,6.49
2009-01-30,34,6.17
2009-02-06,49,7.17
2009-02-13,46,6.92
2009-02-20,38,5.97
2009-02-27,47,4.44
2009-03-06,51,3.51
2009-03-13,45,5.24
2009-03-20,39,5.84
2009-03-27,43,6.85
2009-04-03,48,7.40
2009-04-10,52,
2009-04-17,51,10.21
2009-04-24,36,10.87
2009-05-01,45,11.41
2009-05-08,48,13.30
2009-05-15,41,11.24
2009-05-22,50,11.45
2009-05-29,30,11.45
2009-06-05,46,12.94
2009-06-12,47,12.41
2009-06-19,42,12.23
2009-06-26,39,11.22
2009-07-03,38,
2009-07-10,43,10.98
2009-07-17,51,12.92
2009-07-24,43,14.47
2009-07-31,47,17.02
2009-08-07,48,18.11
2009-08-14,50,17.80
2009-08-21,47,17.97
2009-08-28,37,16.20
2009-09-04,35,16.35
2009-09-11,35,17.27
2009-09-18,53,17.08
2009-09-25,46,16.02
2009-10-02,39,15.35
2009-10-09,40,17.23
2009-10-16,37,17.46
2009-10-23,35,17.75
2009-10-30,38,12.88
2009-11-06,34,13.13
2009-11-13,35,14.34
2009-11-20,44,14.11
2009-11-27,46,13.69
2009-12-04,43,14.56
2009-12-11,37,14.89
2009-12-18,39,14.34
2009-12-25,40,
2010-01-01,50,
2010-01-08,41,15.94
2010-01-15,37,15.02
2010-01-22,35,13.24
2010-01-29,37,13.34
2010-02-05,44,12.64
2010-02-12,38,13.28
2010-02-19,37,13.46
2010-02-26,36,12.99
2010-03-05,36,13.70
2010-03-12,38,13.82
2010-03-19,39,13.01
2010-03-26,43,13.03
2010-04-02,40,
2010-04-09,44,12.87
2010-04-16,42,14.27
2010-04-23,39,14.58
2010-04-30,34,13.43
2010-05-07,40,12.11
2010-05-14,33,13.05
2010-05-21,38,11.33
2010-05-28,38,11.90
2010-06-04,35,11.49
2010-06-11,33,11.59
2010-06-18,47,11.99
2010-06-25,32,11.40
2010-07-02,30,10.01
2010-07-09,36,10.89
2010-07-16,38,10.94
2010-07-23,39,12.22
2010-07-30,42,10.67
2010-08-06,49,11.15
2010-08-13,42,9.98
2010-08-20,52,9.85
2010-08-27,49,9.69
2010-09-03,39,10.30
2010-09-10,34,10.35
2010-09-17,39,11.16
2010-09-24,38,10.82
2010-10-01,38,10.85
2010-10-08,33,11.57
2010-10-15,34,11.97
2010-10-22,34,11.74
2010-10-29,34,10.22
2010-11-05,33,10.47
2010-11-12,33,10.10
2010-11-19,40,10.33
2010-11-26,59,10.03
2010-12-03,51,9.93
2010-12-10,51,11.35
2010-12-17,48,11.64
2010-12-24,53,
2010-12-31,57,11.85
2011-01-07,49,12.90
2011-01-14,36,12.13
2011-01-21,38,11.58
2011-01-28,39,11.66
2011-02-04,40,12.76
2011-02-11,46,14.30
2011-02-18,38,14.89
2011-02-25,38,13.90
2011-03-04,41,13.68
2011-03-11,32,14.98
2011-03-18,35,14.82
2011-03-25,31,15.45
2011-04-01,38,15.22
2011-04-08,31,15.00
2011-04-15,45,15.15
2011-04-22,42,
2011-04-29,38,18.15
2011-05-06,37,17.56
2011-05-13,32,17.77
2011-05-20,36,17.57
2011-05-27,39,17.51
2011-06-03,41,16.51
2011-06-10,34,14.99
2011-06-17,43,14.80
2011-06-24,40,15.88
2011-07-01,25,17.29
2011-07-08,34,17.23
2011-07-15,38,17.84
2011-07-22,38,17.89
2011-07-29,33,16.17
2011-08-05,37,13.55
2011-08-12,38,13.48
2011-08-19,40,10.88
2011-08-26,38,11.81
2011-09-02,36,11.50
2011-09-09,28,10.78
2011-09-16,33,11.09
2011-09-23,36,9.86
2011-09-30,34,10.09
2011-10-07,34,10.30
2011-10-14,30,12.27
2011-10-21,29,12.97
2011-10-28,37,14.84
2011-11-04,32,14.30
2011-11-11,38,13.93
2011-11-18,38,12.76
2011-11-25,36,11.93
2011-12-02,35,14.12
2011-12-09,34,14.55
2011-12-16,30,13.58
2011-12-23,36,14.31
2011-12-30,46,14.17
2012-01-06,40,15.15
2012-01-13,36,13.50
2012-01-20,33,13.65
2012-01-27,39,13.50
2012-02-03,32,13.86
2012-02-10,30,13.88
2012-02-17,34,13.42
2012-02-24,37,13.11
2012-03-02,35,13.12
2012-03-09,35,12.38
2012-03-16,26,12.16
2012-03-23,36,11.91
2012-03-30,35,11.22
2012-04-06,38,
2012-04-13,33,10.59
2012-04-20,40,11.24
2012-04-27,33,11.32
2012-05-04,42,10.84
2012-05-11,35,10.55
2012-05-18,43,10.04
2012-05-25,41,10.59
2012-06-01,38,9.87
2012-06-08,39,10.49
2012-06-15,41,11.02
2012-06-22,32,11.46
2012-06-29,43,11.81
2012-07-06,38,11.09
2012-07-13,41,10.24
2012-07-20,33,9.81
2012-07-27,39,10.57
2012-08-03,41,11.16
2012-08-10,42,11.74
2012-08-17,41,12.04
2012-08-24,46,11.88
2012-08-31,38,12.20
2012-09-07,43,13.16
2012-09-14,39,13.51
2012-09-21,38,12.73
2012-09-28,32,12.19
2012-10-05,30,12.74
2012-10-12,30,12.28
2012-10-19,28,12.39
2012-10-26,31,11.02
2012-11-02,27,11.60
2012-11-09,37,11.53
2012-11-16,36,11.16
2012-11-23,41,11.83
2012-11-30,35,12.60
2012-12-07,36,12.78
2012-12-14,39,12.95
2012-12-21,36,13.08
2012-12-28,47,13.29
2013-01-04,44,14.35
2013-01-11,37,13.78
2013-01-18,33,13.81
2013-01-25,38,13.87
2013-02-01,39,13.78
2013-02-08,31,13.59
2013-02-15,34,14.10
2013-02-22,32,13.45
2013-03-01,40,12.96
2013-03-08,36,13.08
2013-03-15,36,13.73
2013-03-22,33,12.80
2013-03-29,35,
2013-04-05,35,12.16
2013-04-12,32,12.51
2013-04-19,34,12.14
2013-04-26,41,12.51
2013-05-03,36,12.37
2013-05-10,33,12.85
2013-05-17,40,14.74
2013-05-24,40,14.55
2013-05-31,42,15.14
2013-06-07,36,14.82
2013-06-14,37,15.31
2013-06-21,41,14.94
2013-06-28,38,15.30
2013-07-05,40,15.86
2013-07-12,32,16.60
2013-07-19,40,17.23
2013-07-26,47,16.78
2013-08-02,41,19.02
2013-08-09,37,19.05
2013-08-16,37,18.72
2013-08-23,36,18.84
2013-08-30,34,20.12
2013-09-06,38,20.79
2013-09-13,32,21.82
2013-09-20,34,22.21
2013-09-27,39,22.46
2013-10-04,36,23.01
2013-10-11,37,22.64
2013-10-18,38,22.63
2013-10-25,35,22.21
2013-11-01,38,20.86
2013-11-08,37,21.06
2013-11-15,37,21.65
2013-11-22,30,21.75
2013-11-29,43,22.26
2013-12-06,46,22.56
2013-12-13,39,22.62
2013-12-20,42,22.93
2013-12-27,42,23.54
2014-01-03,37,23.37
2014-01-10,38,25.99
2014-01-17,35,24.53
2014-01-24,33,23.04
2014-01-31,36,23.66
2014-02-07,28,23.53
2014-02-14,30,26.76
2014-02-21,29,26.54
2014-02-28,29,26.87
2014-03-07,36,27.66
2014-03-14,36,27.29
2014-03-21,34,26.92
2014-03-28,31,25.94
2014-04-04,34,25.56
2014-04-11,28,25.21
2014-04-18,33,
2014-04-25,36,27.44
2014-05-02,38,
