Date,buy MAC,Price
2004-01-09,41,
2004-01-16,40,
2004-01-23,40,
2004-01-30,31,
2004-02-06,35,48.86
2004-02-13,32,50.10
2004-02-20,40,48.78
2004-02-27,28,49.40
2004-03-05,43,51.74
2004-03-12,43,52.00
2004-03-19,44,52.33
2004-03-26,40,51.85
2004-04-02,34,53.44
2004-04-09,40,
2004-04-16,34,44.47
2004-04-23,35,43.06
2004-04-30,38,41.87
2004-05-07,33,40.70
2004-05-14,38,41.30
2004-05-21,19,42.40
2004-05-28,30,45.25
2004-06-04,39,45.30
2004-06-11,33,
2004-06-18,36,47.30
2004-06-25,30,47.70
2004-07-02,45,49.25
2004-07-09,43,48.68
2004-07-16,41,48.79
2004-07-23,30,46.60
2004-07-30,41,47.90
2004-08-06,38,48.55
2004-08-13,32,48.01
2004-08-20,41,50.98
2004-08-27,33,54.11
2004-09-03,29,54.24
2004-09-10,31,53.90
2004-09-17,36,54.06
2004-09-24,40,52.23
2004-10-01,38,54.10
2004-10-08,34,54.89
2004-10-15,46,56.75
2004-10-22,28,57.57
2004-10-29,31,59.75
2004-11-05,35,57.75
2004-11-12,31,60.58
2004-11-19,39,59.40
2004-11-26,52,60.74
2004-12-03,42,61.95
2004-12-10,39,62.15
2004-12-17,35,64.66
2004-12-24,37,
2004-12-31,46,62.80
2005-01-07,29,58.00
2005-01-14,46,58.33
2005-01-21,52,59.50
2005-01-28,41,56.80
2005-02-04,31,59.61
2005-02-11,48,60.00
2005-02-18,44,59.74
2005-02-25,45,57.73
2005-03-04,38,58.94
2005-03-11,40,56.10
2005-03-18,32,56.40
2005-03-25,44,
2005-04-01,37,54.20
2005-04-08,25,54.30
2005-04-15,36,56.22
2005-04-22,34,57.85
2005-04-29,38,60.30
2005-05-06,38,59.12
2005-05-13,39,59.80
2005-05-20,38,63.35
2005-05-27,38,61.50
2005-06-03,33,62.05
2005-06-10,41,64.39
2005-06-17,29,65.35
2005-06-24,33,67.04
2005-07-01,42,67.40
2005-07-08,38,68.08
2005-07-15,36,67.00
2005-07-22,37,67.54
2005-07-29,39,70.22
2005-08-05,46,65.75
2005-08-12,35,64.90
2005-08-19,51,64.03
2005-08-26,39,63.62
2005-09-02,33,65.06
2005-09-09,30,65.76
2005-09-16,37,65.00
2005-09-23,38,62.61
2005-09-30,34,64.94
2005-10-07,26,62.59
2005-10-14,37,62.65
2005-10-21,29,62.92
2005-10-28,32,64.00
2005-11-04,39,62.15
2005-11-11,36,65.43
2005-11-18,42,66.76
2005-11-25,43,68.58
2005-12-02,34,68.37
2005-12-09,37,67.63
2005-12-16,38,67.77
2005-12-23,38,68.50
2005-12-30,40,67.14
2006-01-06,34,70.83
2006-01-13,36,70.10
2006-01-20,39,69.65
2006-01-27,39,71.76
2006-02-03,31,70.71
2006-02-10,33,69.95
2006-02-17,27,71.20
2006-02-24,42,72.30
2006-03-03,35,71.10
2006-03-10,36,72.40
2006-03-17,36,74.34
2006-03-24,29,72.44
2006-03-31,35,73.95
2006-04-07,25,71.45
2006-04-14,30,
2006-04-21,33,73.66
2006-04-28,30,73.22
2006-05-05,21,74.05
2006-05-12,29,70.80
2006-05-19,30,69.44
2006-05-26,41,69.53
2006-06-02,34,71.25
2006-06-09,30,71.19
2006-06-16,30,70.05
2006-06-23,34,68.11
2006-06-30,35,70.20
2006-07-07,33,71.07
2006-07-14,32,71.00
2006-07-21,36,70.02
2006-07-28,34,72.50
2006-08-04,40,71.78
2006-08-11,48,70.40
2006-08-18,47,72.17
2006-08-25,41,72.50
2006-09-01,44,73.68
2006-09-08,41,73.70
2006-09-15,39,76.44
2006-09-22,38,75.85
2006-09-29,35,76.36
2006-10-06,41,77.90
2006-10-13,41,78.65
2006-10-20,47,78.14
2006-10-27,41,79.80
2006-11-03,44,77.66
2006-11-10,36,78.21
2006-11-17,39,80.80
2006-11-24,34,86.72
2006-12-01,42,85.74
2006-12-08,42,85.13
2006-12-15,40,83.38
2006-12-22,53,82.57
2006-12-29,45,86.57
2007-01-05,52,85.76
2007-01-12,51,90.55
2007-01-19,42,92.48
2007-01-26,45,93.46
2007-02-02,47,96.60
2007-02-09,52,100.10
2007-02-16,52,98.25
2007-02-23,42,96.24
2007-03-02,41,91.96
