Date,Gilead Sciences,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,56.56
2004-02-13,0,58.30
2004-02-20,0,55.66
2004-02-27,0,54.27
2004-03-05,0,57.33
2004-03-12,0,57.50
2004-03-19,0,55.30
2004-03-26,0,53.79
2004-04-02,0,57.37
2004-04-09,0,
2004-04-16,0,57.32
2004-04-23,0,60.12
2004-04-30,0,60.94
2004-05-07,0,55.55
2004-05-14,0,55.73
2004-05-21,0,63.33
2004-05-28,0,65.33
2004-06-04,0,64.54
2004-06-11,0,
2004-06-18,0,64.40
2004-06-25,0,64.95
2004-07-02,0,67.42
2004-07-09,0,65.33
2004-07-16,0,62.44
2004-07-23,0,58.19
2004-07-30,0,64.64
2004-08-06,0,61.63
2004-08-13,0,62.99
2004-08-20,0,66.21
2004-08-27,0,69.39
2004-09-03,0,70.32
2004-09-10,0,35.49
2004-09-17,0,36.89
2004-09-24,0,36.50
2004-10-01,0,37.69
2004-10-08,0,37.80
2004-10-15,0,37.49
2004-10-22,0,33.25
2004-10-29,0,34.63
2004-11-05,0,37.42
2004-11-12,0,36.94
2004-11-19,0,34.35
2004-11-26,0,34.51
2004-12-03,0,35.48
2004-12-10,0,36.38
2004-12-17,0,34.85
2004-12-24,0,
2004-12-31,0,34.99
2005-01-07,0,33.55
2005-01-14,0,32.67
2005-01-21,0,32.89
2005-01-28,0,32.51
2005-02-04,0,33.26
2005-02-11,0,32.80
2005-02-18,0,33.55
2005-02-25,0,35.56
2005-03-04,0,34.86
2005-03-11,0,34.57
2005-03-18,0,35.40
2005-03-25,0,
2005-04-01,0,35.33
2005-04-08,0,37.12
2005-04-15,0,35.33
2005-04-22,0,39.55
2005-04-29,0,37.11
2005-05-06,0,38.72
2005-05-13,0,38.80
2005-05-20,0,40.18
2005-05-27,0,41.01
2005-06-03,0,41.43
2005-06-10,0,43.32
2005-06-17,0,45.49
2005-06-24,0,41.75
2005-07-01,0,44.13
2005-07-08,0,46.63
2005-07-15,0,45.47
2005-07-22,40,44.47
2005-07-29,0,44.81
2005-08-05,0,42.63
2005-08-12,0,42.41
2005-08-19,0,42.50
2005-08-26,0,41.05
2005-09-02,0,42.59
2005-09-09,0,44.28
2005-09-16,0,46.32
2005-09-23,0,46.03
2005-09-30,40,48.76
2005-10-07,43,47.51
2005-10-14,46,47.42
2005-10-21,49,45.62
2005-10-28,32,47.12
2005-11-04,76,49.68
2005-11-11,56,54.08
2005-11-18,53,54.36
2005-11-25,32,54.23
2005-12-02,31,53.58
2005-12-09,31,51.98
2005-12-16,31,50.69
2005-12-23,35,54.56
2005-12-30,38,52.57
2006-01-06,42,57.03
2006-01-13,39,59.40
2006-01-20,39,57.56
2006-01-27,39,59.74
2006-02-03,39,60.70
2006-02-10,55,59.10
2006-02-17,39,61.46
2006-02-24,39,61.66
2006-03-03,29,60.09
2006-03-10,32,61.09
2006-03-17,34,63.31
2006-03-24,34,62.34
2006-03-31,72,62.22
2006-04-07,28,61.50
2006-04-14,58,
2006-04-21,35,64.52
2006-04-28,44,57.50
2006-05-05,64,56.25
2006-05-12,100,55.54
2006-05-19,30,54.94
2006-05-26,59,57.16
2006-06-02,37,58.40
2006-06-09,39,57.31
2006-06-16,31,57.86
2006-06-23,31,55.57
2006-06-30,31,59.16
2006-07-07,31,60.76
2006-07-14,31,59.91
2006-07-21,32,59.71
2006-07-28,29,62.48
2006-08-04,30,61.33
2006-08-11,32,62.05
2006-08-18,33,63.65
2006-08-25,30,63.20
2006-09-01,30,63.33
2006-09-08,23,63.69
2006-09-15,25,64.75
2006-09-22,27,64.78
2006-09-29,29,68.77
2006-10-06,38,65.35
2006-10-13,33,66.89
2006-10-20,20,68.99
2006-10-27,20,68.18
2006-11-03,20,67.86
2006-11-10,20,67.34
2006-11-17,20,69.43
2006-11-24,27,66.15
2006-12-01,26,65.22
2006-12-08,26,66.12
2006-12-15,26,64.49
2006-12-22,26,64.50
2006-12-29,28,64.93
2007-01-05,31,64.21
2007-01-12,35,66.16
2007-01-19,20,65.58
2007-01-26,24,62.73
2007-02-02,18,70.67
2007-02-09,32,71.16
2007-02-16,38,72.06
2007-02-23,24,73.63
2007-03-02,19,70.44
2007-03-09,22,70.26
2007-03-16,26,69.54
2007-03-23,27,74.58
2007-03-30,28,76.50
2007-04-06,29,
2007-04-13,29,78.42
2007-04-20,20,82.39
2007-04-27,32,81.86
2007-05-04,25,83.12
2007-05-11,16,82.14
2007-05-18,23,83.02
2007-05-25,23,81.74
2007-06-01,24,83.00
2007-06-08,19,79.00
2007-06-15,19,80.83
2007-06-22,19,78.48
2007-06-29,23,38.80
2007-07-06,17,39.12
2007-07-13,17,39.96
2007-07-20,24,38.75
2007-07-27,17,36.96
2007-08-03,19,36.93
2007-08-10,22,37.06
2007-08-17,28,38.00
2007-08-24,27,37.29
2007-08-31,22,36.37
2007-09-07,25,37.66
2007-09-14,34,38.02
2007-09-21,20,40.13
2007-09-28,19,40.87
2007-10-05,16,42.11
2007-10-12,20,43.30
2007-10-19,32,42.00
2007-10-26,26,46.37
2007-11-02,19,46.91
2007-11-09,22,43.57
2007-11-16,17,44.64
2007-11-23,22,43.32
2007-11-30,15,46.54
2007-12-07,29,47.07
2007-12-14,17,45.85
2007-12-21,20,46.46
2007-12-28,21,46.33
2008-01-04,21,45.90
2008-01-11,22,48.68
2008-01-18,17,46.17
2008-01-25,22,43.07
2008-02-01,27,45.93
2008-02-08,18,44.53
2008-02-15,21,44.62
2008-02-22,22,42.92
2008-02-29,23,47.32
2008-03-07,23,48.70
2008-03-14,18,47.55
2008-03-21,22,
2008-03-28,14,49.61
2008-04-04,46,52.35
2008-04-11,18,50.64
2008-04-18,22,51.76
2008-04-25,20,51.40
2008-05-02,29,53.63
2008-05-09,19,53.64
2008-05-16,27,53.09
2008-05-23,14,52.98
2008-05-30,13,55.32
2008-06-06,20,54.76
2008-06-13,19,54.14
2008-06-20,22,54.72
2008-06-27,18,52.86
2008-07-04,14,
2008-07-11,19,53.70
2008-07-18,24,49.53
2008-07-25,30,54.51
2008-08-01,15,53.69
2008-08-08,15,56.77
2008-08-15,24,56.26
2008-08-22,17,54.31
2008-08-29,14,52.68
2008-09-05,19,47.85
2008-09-12,21,48.12
2008-09-19,16,46.46
2008-09-26,20,48.64
2008-10-03,17,45.75
2008-10-10,19,37.47
2008-10-17,24,43.03
2008-10-24,28,43.32
2008-10-31,35,45.85
2008-11-07,17,45.04
2008-11-14,14,46.92
2008-11-21,17,41.46
2008-11-28,13,44.79
2008-12-05,23,47.39
2008-12-12,15,45.03
2008-12-19,19,49.65
2008-12-26,15,50.01
2009-01-02,15,52.18
2009-01-09,23,47.77
2009-01-16,20,48.28
2009-01-23,24,48.25
2009-01-30,30,50.77
2009-02-06,24,52.45
2009-02-13,21,50.25
2009-02-20,20,50.00
2009-02-27,22,44.80
2009-03-06,23,44.01
2009-03-13,33,45.43
2009-03-20,28,44.31
2009-03-27,15,44.37
2009-04-03,30,46.98
2009-04-10,20,
2009-04-17,17,44.69
2009-04-24,34,45.80
2009-05-01,72,44.81
2009-05-08,37,44.01
2009-05-15,34,43.75
2009-05-22,25,42.33
2009-05-29,24,43.10
2009-06-05,23,44.58
2009-06-12,24,44.94
2009-06-19,19,47.02
2009-06-26,29,47.52
2009-07-03,30,
2009-07-10,28,44.44
2009-07-17,33,47.83
2009-07-24,37,48.43
2009-07-31,45,48.93
2009-08-07,28,45.76
2009-08-14,39,44.95
2009-08-21,25,46.09
2009-08-28,29,45.25
2009-09-04,24,46.13
2009-09-11,42,46.10
2009-09-18,36,45.76
2009-09-25,27,46.20
2009-10-02,38,44.51
2009-10-09,31,45.30
2009-10-16,32,46.17
2009-10-23,33,43.83
2009-10-30,30,42.55
2009-11-06,48,46.26
2009-11-13,42,47.05
2009-11-20,33,46.39
2009-11-27,24,46.56
2009-12-04,22,46.59
2009-12-11,25,46.42
2009-12-18,30,42.83
2009-12-25,13,
2010-01-01,16,
2010-01-08,21,44.54
2010-01-15,28,45.52
2010-01-22,20,46.08
2010-01-29,37,48.27
2010-02-05,26,46.38
2010-02-12,17,47.01
2010-02-19,32,48.84
2010-02-26,20,47.61
2010-03-05,17,47.61
2010-03-12,18,47.42
2010-03-19,25,47.87
2010-03-26,24,45.34
2010-04-02,23,
2010-04-09,21,45.80
2010-04-16,23,45.70
2010-04-23,35,41.67
2010-04-30,24,39.71
2010-05-07,23,38.37
2010-05-14,18,37.78
2010-05-21,24,36.57
2010-05-28,20,35.92
2010-06-04,15,34.71
2010-06-11,23,34.53
2010-06-18,12,36.02
2010-06-25,18,36.35
2010-07-02,18,34.87
2010-07-09,20,34.74
2010-07-16,23,31.94
2010-07-23,33,33.43
2010-07-30,17,33.32
2010-08-06,15,35.82
2010-08-13,17,34.31
2010-08-20,20,32.64
2010-08-27,19,32.52
2010-09-03,12,34.02
2010-09-10,20,34.39
2010-09-17,10,34.56
2010-09-24,16,36.55
2010-10-01,25,35.76
2010-10-08,16,36.33
2010-10-15,12,37.73
2010-10-22,15,39.11
2010-10-29,17,39.67
2010-11-05,10,38.95
2010-11-12,11,37.80
2010-11-19,20,38.08
2010-11-26,23,37.10
2010-12-03,18,37.25
2010-12-10,15,37.61
2010-12-17,15,37.19
2010-12-24,12,
2010-12-31,9,36.24
2011-01-07,11,37.50
2011-01-14,10,38.22
2011-01-21,17,38.19
2011-01-28,21,38.21
2011-02-04,14,38.79
2011-02-11,13,38.39
2011-02-18,12,39.30
2011-02-25,16,39.01
2011-03-04,20,40.71
2011-03-11,16,40.83
2011-03-18,15,40.15
2011-03-25,16,42.08
2011-04-01,16,42.66
2011-04-08,14,41.25
2011-04-15,19,41.70
2011-04-22,18,
2011-04-29,14,38.84
2011-05-06,16,41.01
2011-05-13,12,41.20
2011-05-20,10,40.98
2011-05-27,15,41.19
2011-06-03,15,41.05
2011-06-10,12,40.23
2011-06-17,15,39.54
2011-06-24,12,39.71
2011-07-01,13,41.95
2011-07-08,10,42.44
2011-07-15,24,41.00
2011-07-22,18,43.21
2011-07-29,16,42.36
2011-08-05,13,37.76
2011-08-12,16,37.43
2011-08-19,13,37.20
2011-08-26,14,38.73
2011-09-02,14,38.82
2011-09-09,13,37.81
2011-09-16,13,40.41
2011-09-23,13,38.43
2011-09-30,12,38.80
2011-10-07,13,39.31
2011-10-14,18,40.43
2011-10-21,14,41.47
2011-10-28,21,42.79
2011-11-04,13,40.72
2011-11-11,11,41.08
2011-11-18,17,39.88
2011-11-25,27,39.28
2011-12-02,21,39.40
2011-12-09,15,39.01
2011-12-16,10,37.16
2011-12-23,11,39.29
2011-12-30,10,40.93
2012-01-06,10,42.78
2012-01-13,12,44.89
2012-01-20,9,47.44
2012-01-27,14,48.72
2012-02-03,20,54.70
2012-02-10,18,53.75
2012-02-17,26,47.00
2012-02-24,20,45.26
2012-03-02,14,46.99
2012-03-09,18,46.09
2012-03-16,11,46.73
2012-03-23,12,46.85
2012-03-30,14,48.86
2012-04-06,16,
2012-04-13,16,45.51
2012-04-20,17,51.00
2012-04-27,13,52.16
2012-05-04,13,50.27
2012-05-11,58,51.84
2012-05-18,21,49.94
2012-05-25,11,50.49
2012-06-01,14,48.67
2012-06-08,13,49.64
2012-06-15,14,50.29
2012-06-22,16,50.52
2012-06-29,12,51.28
2012-07-06,13,50.96
2012-07-13,17,51.17
2012-07-20,52,53.08
2012-07-27,19,55.50
2012-08-03,18,56.87
2012-08-10,12,56.77
2012-08-17,15,56.75
2012-08-24,13,57.29
2012-08-31,22,57.69
2012-09-07,18,59.26
2012-09-14,16,62.02
2012-09-21,18,67.76
2012-09-28,19,66.33
2012-10-05,18,69.43
2012-10-12,15,67.94
2012-10-19,16,66.59
2012-10-26,17,67.07
2012-11-02,11,67.01
2012-11-09,12,65.01
2012-11-16,24,74.40
2012-11-23,10,76.12
2012-11-30,16,75.00
2012-12-07,13,73.92
2012-12-14,18,74.24
2012-12-21,10,72.78
2012-12-28,10,72.38
2013-01-04,18,75.72
2013-01-11,17,78.08
2013-01-18,16,78.28
2013-01-25,22,79.36
2013-02-01,37,40.56
2013-02-08,22,40.90
2013-02-15,20,41.60
2013-02-22,24,42.45
2013-03-01,19,43.45
2013-03-08,24,45.43
2013-03-15,20,45.17
2013-03-22,13,45.51
2013-03-29,22,
2013-04-05,20,47.37
2013-04-12,26,51.93
2013-04-19,24,53.17
2013-04-26,22,51.38
2013-05-03,33,55.15
2013-05-10,27,52.88
2013-05-17,21,56.30
2013-05-24,22,55.81
2013-05-31,17,54.48
2013-06-07,20,52.89
2013-06-14,16,52.23
2013-06-21,16,48.83
2013-06-28,15,51.27
2013-07-05,13,53.32
2013-07-12,16,57.34
2013-07-19,19,60.10
2013-07-26,24,62.57
2013-08-02,21,61.75
2013-08-09,21,59.21
2013-08-16,16,56.91
2013-08-23,22,59.64
2013-08-30,15,60.27
2013-09-06,21,61.12
2013-09-13,18,63.53
2013-09-20,25,63.86
2013-09-27,17,63.54
2013-10-04,14,63.04
2013-10-11,19,62.69
2013-10-18,22,68.21
2013-10-25,21,69.68
2013-11-01,23,70.97
2013-11-08,26,67.37
2013-11-15,24,69.89
2013-11-22,19,74.27
2013-11-29,20,74.81
2013-12-06,27,73.99
2013-12-13,30,71.40
2013-12-20,21,74.66
2013-12-27,14,74.45
2014-01-03,19,74.32
2014-01-10,28,74.87
2014-01-17,31,78.40
2014-01-24,33,80.62
2014-01-31,29,80.65
2014-02-07,29,78.75
2014-02-14,33,81.21
2014-02-21,26,82.59
2014-02-28,32,82.79
2014-03-07,34,79.58
2014-03-14,28,75.05
2014-03-21,33,72.07
2014-03-28,40,68.55
2014-04-04,38,72.20
2014-04-11,39,66.03
2014-04-18,31,
2014-04-25,45,73.90
2014-05-02,28,
