Date,Urban Outfitters,Price
2004-01-09,20,
2004-01-16,22,
2004-01-23,25,
2004-01-30,29,
2004-02-06,24,42.50
2004-02-13,24,42.59
2004-02-20,24,41.90
2004-02-27,25,43.61
2004-03-05,23,44.10
2004-03-12,23,45.80
2004-03-19,29,43.72
2004-03-26,25,44.47
2004-04-02,27,47.30
2004-04-09,25,
2004-04-16,25,47.81
2004-04-23,26,48.17
2004-04-30,22,46.17
2004-05-07,22,46.31
2004-05-14,23,46.57
2004-05-21,22,47.31
2004-05-28,24,54.91
2004-06-04,21,55.54
2004-06-11,22,
2004-06-18,21,57.16
2004-06-25,23,60.80
2004-07-02,22,61.64
2004-07-09,24,58.01
2004-07-16,25,26.79
2004-07-23,29,27.58
2004-07-30,29,29.74
2004-08-06,33,27.57
2004-08-13,31,27.43
2004-08-20,31,29.70
2004-08-27,32,30.90
2004-09-03,25,31.60
2004-09-10,26,33.60
2004-09-17,26,34.53
2004-09-24,24,33.64
2004-10-01,24,34.61
2004-10-08,23,35.21
2004-10-15,25,35.85
2004-10-22,24,37.92
2004-10-29,23,41.00
2004-11-05,24,43.65
2004-11-12,31,47.09
2004-11-19,29,43.45
2004-11-26,28,44.61
2004-12-03,33,41.90
2004-12-10,35,42.88
2004-12-17,38,43.28
2004-12-24,32,
2004-12-31,32,44.40
2005-01-07,24,41.02
2005-01-14,23,41.80
2005-01-21,27,39.37
2005-01-28,24,40.19
2005-02-04,26,43.34
2005-02-11,29,43.38
2005-02-18,23,42.93
2005-02-25,28,41.85
2005-03-04,24,45.17
2005-03-11,26,48.03
2005-03-18,26,47.91
2005-03-25,28,
2005-04-01,26,47.00
2005-04-08,25,47.00
2005-04-15,24,43.54
2005-04-22,24,45.15
2005-04-29,25,44.42
2005-05-06,28,46.11
2005-05-13,26,50.71
2005-05-20,25,52.93
2005-05-27,27,54.16
2005-06-03,24,54.99
2005-06-10,24,54.57
2005-06-17,26,58.92
2005-06-24,28,56.75
2005-07-01,28,57.50
2005-07-08,38,58.29
2005-07-15,32,58.57
2005-07-22,30,62.60
2005-07-29,33,60.71
2005-08-05,33,56.20
2005-08-12,31,58.70
2005-08-19,37,56.73
2005-08-26,31,56.62
2005-09-02,27,54.00
2005-09-09,32,56.92
2005-09-16,27,54.79
2005-09-23,27,54.85
2005-09-30,25,29.40
2005-10-07,26,30.95
2005-10-14,27,29.52
2005-10-21,26,31.44
2005-10-28,26,27.52
2005-11-04,24,31.37
2005-11-11,28,31.43
2005-11-18,29,30.80
2005-11-25,32,32.79
2005-12-02,38,31.56
2005-12-09,39,30.28
2005-12-16,41,26.27
2005-12-23,37,26.04
2005-12-30,34,25.31
2006-01-06,26,25.35
2006-01-13,27,28.68
2006-01-20,29,26.58
2006-01-27,23,28.10
2006-02-03,26,25.94
2006-02-10,28,26.51
2006-02-17,25,27.01
2006-02-24,25,27.74
2006-03-03,26,27.10
2006-03-10,27,25.15
2006-03-17,25,23.80
2006-03-24,24,24.64
2006-03-31,25,24.54
2006-04-07,26,23.30
2006-04-14,27,
2006-04-21,27,23.24
2006-04-28,24,23.20
2006-05-05,26,22.62
2006-05-12,23,21.28
2006-05-19,24,19.96
2006-05-26,25,18.94
2006-06-02,23,18.96
2006-06-09,25,18.00
2006-06-16,24,17.54
2006-06-23,31,16.56
2006-06-30,24,17.49
2006-07-07,24,16.34
2006-07-14,26,15.30
2006-07-21,28,14.98
2006-07-28,30,14.70
2006-08-04,27,14.69
2006-08-11,29,15.71
2006-08-18,31,17.11
2006-08-25,29,15.15
2006-09-01,28,15.44
2006-09-08,27,14.65
2006-09-15,27,17.27
2006-09-22,26,18.01
2006-09-29,28,17.72
2006-10-06,27,19.24
2006-10-13,29,19.55
2006-10-20,30,18.34
2006-10-27,28,17.83
2006-11-03,26,17.19
2006-11-10,29,22.16
2006-11-17,31,22.39
2006-11-24,37,22.22
2006-12-01,38,22.24
2006-12-08,40,23.46
2006-12-15,44,24.00
2006-12-22,40,23.35
2006-12-29,40,23.03
2007-01-05,32,23.53
2007-01-12,26,25.89
2007-01-19,26,24.72
2007-01-26,29,24.37
2007-02-02,28,25.16
2007-02-09,29,24.90
2007-02-16,31,26.16
2007-02-23,30,26.14
2007-03-02,29,24.75
2007-03-09,28,25.63
2007-03-16,31,24.04
2007-03-23,26,26.33
2007-03-30,30,26.51
2007-04-06,29,
2007-04-13,29,26.20
2007-04-20,27,25.91
2007-04-27,28,26.21
2007-05-04,30,25.43
2007-05-11,28,25.12
2007-05-18,27,25.31
2007-05-25,27,25.22
2007-06-01,27,27.11
2007-06-08,27,25.36
2007-06-15,28,25.36
2007-06-22,28,23.26
2007-06-29,26,24.03
2007-07-06,28,23.78
2007-07-13,29,21.68
2007-07-20,32,21.62
2007-07-27,31,19.41
2007-08-03,31,20.20
2007-08-10,35,21.72
2007-08-17,35,22.10
2007-08-24,34,22.79
2007-08-31,36,22.90
2007-09-07,29,21.24
2007-09-14,30,22.62
2007-09-21,31,22.30
2007-09-28,32,21.80
2007-10-05,32,24.30
2007-10-12,33,23.62
2007-10-19,32,21.91
2007-10-26,31,23.13
2007-11-02,31,24.09
2007-11-09,34,25.77
2007-11-16,39,24.92
2007-11-23,43,24.75
2007-11-30,47,26.20
2007-12-07,49,28.21
2007-12-14,53,27.46
2007-12-21,50,27.10
2007-12-28,50,26.99
2008-01-04,42,27.10
2008-01-11,35,25.25
2008-01-18,35,24.25
2008-01-25,36,27.04
2008-02-01,39,29.00
2008-02-08,36,30.31
2008-02-15,38,28.58
2008-02-22,39,29.66
2008-02-29,36,28.78
2008-03-07,39,28.97
2008-03-14,39,30.22
2008-03-21,39,
2008-03-28,37,30.27
2008-04-04,37,32.54
2008-04-11,39,30.51
2008-04-18,38,31.73
2008-04-25,38,33.62
2008-05-02,39,33.63
2008-05-09,38,32.90
2008-05-16,38,30.96
2008-05-23,40,29.73
2008-05-30,36,32.19
2008-06-06,37,31.21
2008-06-13,36,33.65
2008-06-20,38,33.87
2008-06-27,41,31.83
2008-07-04,40,
2008-07-11,42,29.26
2008-07-18,43,32.00
2008-07-25,47,30.71
2008-08-01,45,33.00
2008-08-08,45,35.59
2008-08-15,46,35.64
2008-08-22,45,35.61
2008-08-29,43,35.62
2008-09-05,40,36.56
2008-09-12,41,36.49
2008-09-19,40,35.76
2008-09-26,40,34.94
2008-10-03,42,26.55
2008-10-10,41,23.56
2008-10-17,43,22.50
2008-10-24,41,19.21
2008-10-31,40,21.74
2008-11-07,41,17.50
2008-11-14,46,16.04
2008-11-21,46,14.79
2008-11-28,53,18.17
2008-12-05,57,20.55
2008-12-12,60,15.33
2008-12-19,58,15.13
2008-12-26,61,14.65
2009-01-02,54,15.81
2009-01-09,43,15.06
2009-01-16,40,16.14
2009-01-23,41,15.94
2009-01-30,40,15.58
2009-02-06,40,17.85
2009-02-13,38,16.50
2009-02-20,39,16.07
2009-02-27,38,16.64
2009-03-06,39,14.13
2009-03-13,38,17.28
2009-03-20,37,17.39
2009-03-27,38,16.59
2009-04-03,38,16.62
2009-04-10,39,
2009-04-17,37,17.52
2009-04-24,35,16.96
2009-05-01,37,19.14
2009-05-08,36,19.07
2009-05-15,36,18.76
2009-05-22,34,19.64
2009-05-29,33,20.42
2009-06-05,30,21.26
2009-06-12,32,21.58
2009-06-19,33,21.55
2009-06-26,32,21.15
2009-07-03,31,
2009-07-10,33,19.35
2009-07-17,35,21.53
2009-07-24,37,22.47
2009-07-31,36,24.04
2009-08-07,36,28.06
2009-08-14,37,27.99
2009-08-21,38,28.80
2009-08-28,37,28.68
2009-09-04,33,29.10
2009-09-11,33,29.79
2009-09-18,34,31.29
2009-09-25,32,29.74
2009-10-02,34,28.91
2009-10-09,34,31.17
2009-10-16,36,32.72
2009-10-23,34,32.80
2009-10-30,34,31.38
2009-11-06,43,32.43
2009-11-13,47,33.95
2009-11-20,48,32.18
2009-11-27,61,31.82
2009-12-04,59,33.10
2009-12-11,63,33.64
2009-12-18,64,33.21
2009-12-25,65,
2010-01-01,59,
2010-01-08,46,34.01
2010-01-15,44,32.45
2010-01-22,45,31.05
2010-01-29,46,31.57
2010-02-05,49,30.83
2010-02-12,48,30.84
2010-02-19,47,31.96
2010-02-26,43,32.20
2010-03-05,46,34.98
2010-03-12,43,36.49
2010-03-19,44,35.60
2010-03-26,43,37.98
2010-04-02,45,
2010-04-09,45,38.56
2010-04-16,42,38.41
2010-04-23,41,39.87
2010-04-30,44,37.56
2010-05-07,43,34.89
2010-05-14,43,35.88
2010-05-21,42,35.55
2010-05-28,42,36.30
2010-06-04,41,36.88
2010-06-11,43,37.12
2010-06-18,44,36.53
2010-06-25,42,36.06
2010-07-02,45,34.69
2010-07-09,44,34.12
2010-07-16,45,31.96
2010-07-23,50,34.19
2010-07-30,48,32.16
2010-08-06,52,33.11
2010-08-13,52,30.90
2010-08-20,53,32.95
2010-08-27,51,31.05
2010-09-03,48,33.10
2010-09-10,51,33.18
2010-09-17,48,34.11
2010-09-24,49,34.67
2010-10-01,48,31.47
2010-10-08,49,31.28
2010-10-15,47,31.00
2010-10-22,50,30.28
2010-10-29,47,30.79
2010-11-05,47,32.44
2010-11-12,54,32.90
2010-11-19,57,37.26
2010-11-26,73,38.46
2010-12-03,67,38.26
2010-12-10,67,37.20
2010-12-17,69,36.36
2010-12-24,67,
2010-12-31,72,35.81
2011-01-07,52,36.01
2011-01-14,50,35.94
2011-01-21,47,35.03
2011-01-28,49,33.82
2011-02-04,50,34.76
2011-02-11,49,37.61
2011-02-18,47,37.78
2011-02-25,50,37.49
2011-03-04,47,38.50
2011-03-11,48,32.12
2011-03-18,45,31.25
2011-03-25,47,30.06
2011-04-01,48,30.35
2011-04-08,50,30.91
2011-04-15,47,30.64
2011-04-22,47,
2011-04-29,45,31.47
2011-05-06,45,31.38
2011-05-13,48,32.62
2011-05-20,46,31.51
2011-05-27,53,30.46
2011-06-03,49,29.19
2011-06-10,45,29.03
2011-06-17,48,28.81
2011-06-24,51,28.43
2011-07-01,48,28.92
2011-07-08,46,32.03
2011-07-15,47,31.41
2011-07-22,50,32.56
2011-07-29,50,32.54
2011-08-05,54,29.39
2011-08-12,57,29.68
2011-08-19,60,25.95
2011-08-26,57,24.77
2011-09-02,52,25.96
2011-09-09,49,24.56
2011-09-16,48,24.83
2011-09-23,49,23.41
2011-09-30,49,22.31
2011-10-07,52,23.29
2011-10-14,52,23.84
2011-10-21,52,25.07
2011-10-28,51,28.10
2011-11-04,47,26.72
2011-11-11,55,26.82
2011-11-18,56,25.96
2011-11-25,81,25.19
2011-12-02,70,27.09
2011-12-09,71,26.34
2011-12-16,74,26.58
2011-12-23,71,27.55
2011-12-30,79,27.56
2012-01-06,56,27.67
2012-01-13,54,25.13
2012-01-20,52,25.40
2012-01-27,54,26.99
2012-02-03,55,27.69
2012-02-10,54,27.00
2012-02-17,51,28.48
2012-02-24,54,29.62
2012-03-02,56,28.11
2012-03-09,56,29.50
2012-03-16,53,27.98
2012-03-23,53,29.37
2012-03-30,54,29.11
2012-04-06,53,
2012-04-13,54,28.67
2012-04-20,53,28.94
2012-04-27,62,29.21
2012-05-04,56,28.31
2012-05-11,52,27.45
2012-05-18,54,25.62
2012-05-25,54,28.42
2012-06-01,55,26.69
2012-06-08,53,27.64
2012-06-15,56,27.51
2012-06-22,56,27.55
2012-06-29,61,27.59
2012-07-06,59,27.41
2012-07-13,60,29.18
2012-07-20,63,31.01
2012-07-27,65,30.97
2012-08-03,64,30.16
2012-08-10,66,30.66
2012-08-17,67,31.42
2012-08-24,70,36.94
2012-08-31,66,37.54
2012-09-07,62,38.73
2012-09-14,58,39.71
2012-09-21,60,38.75
2012-09-28,62,37.56
2012-10-05,60,37.73
2012-10-12,61,36.61
2012-10-19,59,37.09
2012-10-26,59,35.74
2012-11-02,55,36.56
2012-11-09,62,35.31
2012-11-16,64,35.05
2012-11-23,92,37.86
2012-11-30,87,37.70
2012-12-07,82,37.37
2012-12-14,89,38.60
2012-12-21,81,39.43
2012-12-28,99,38.22
2013-01-04,72,41.39
2013-01-11,62,42.75
2013-01-18,63,43.39
2013-01-25,65,43.62
2013-02-01,64,43.35
2013-02-08,60,42.58
2013-02-15,59,41.29
2013-02-22,60,39.54
2013-03-01,59,40.81
2013-03-08,59,41.31
2013-03-15,59,40.65
2013-03-22,58,38.75
2013-03-29,63,
2013-04-05,58,39.97
2013-04-12,59,41.38
2013-04-19,58,39.46
2013-04-26,57,41.16
2013-05-03,58,41.54
2013-05-10,56,43.83
2013-05-17,54,44.54
2013-05-24,58,41.84
2013-05-31,57,41.93
2013-06-07,54,42.58
2013-06-14,57,40.88
2013-06-21,57,39.54
2013-06-28,59,40.22
2013-07-05,59,41.04
2013-07-12,58,42.98
2013-07-19,60,42.85
2013-07-26,64,41.95
2013-08-02,67,43.83
2013-08-09,67,41.46
2013-08-16,67,39.74
2013-08-23,65,42.80
2013-08-30,61,41.93
2013-09-06,59,42.56
2013-09-13,58,38.38
2013-09-20,59,38.10
2013-09-27,59,37.07
2013-10-04,58,36.96
2013-10-11,65,35.90
2013-10-18,64,37.01
2013-10-25,60,37.88
2013-11-01,57,38.59
2013-11-08,60,39.48
2013-11-15,65,40.17
2013-11-22,70,38.44
2013-11-29,100,39.02
2013-12-06,99,35.99
2013-12-13,85,35.78
2013-12-20,80,36.48
2013-12-27,87,37.06
2014-01-03,69,37.99
2014-01-10,59,37.57
2014-01-17,57,37.02
2014-01-24,56,36.00
2014-01-31,56,35.82
2014-02-07,55,36.24
2014-02-14,56,35.85
2014-02-21,54,35.92
2014-02-28,53,37.44
2014-03-07,53,37.56
2014-03-14,57,35.55
2014-03-21,54,36.38
2014-03-28,55,36.36
2014-04-04,56,38.00
2014-04-11,54,36.01
2014-04-18,56,
2014-04-25,55,35.79
2014-05-02,56,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
