Date,Express Scripts,Price
2004-01-09,58,
2004-01-16,50,
2004-01-23,44,
2004-01-30,49,
2004-02-06,53,68.69
2004-02-13,45,70.58
2004-02-20,40,66.95
2004-02-27,43,72.99
2004-03-05,50,75.16
2004-03-12,47,73.53
2004-03-19,53,73.91
2004-03-26,41,73.23
2004-04-02,43,75.36
2004-04-09,47,
2004-04-16,49,77.22
2004-04-23,49,79.51
2004-04-30,52,77.34
2004-05-07,36,74.95
2004-05-14,45,76.71
2004-05-21,48,76.71
2004-05-28,36,78.34
2004-06-04,52,78.81
2004-06-11,57,
2004-06-18,58,77.65
2004-06-25,44,77.05
2004-07-02,38,73.00
2004-07-09,49,73.47
2004-07-16,56,75.45
2004-07-23,61,74.34
2004-07-30,60,65.60
2004-08-06,75,60.21
2004-08-13,66,60.63
2004-08-20,42,60.99
2004-08-27,52,64.22
2004-09-03,49,63.82
2004-09-10,43,63.48
2004-09-17,53,63.54
2004-09-24,43,64.30
2004-10-01,43,65.52
2004-10-08,52,64.64
2004-10-15,68,62.43
2004-10-22,57,60.77
2004-10-29,55,64.01
2004-11-05,48,72.00
2004-11-12,48,76.23
2004-11-19,51,73.65
2004-11-26,38,69.51
2004-12-03,49,74.22
2004-12-10,48,79.30
2004-12-17,46,75.25
2004-12-24,42,
2004-12-31,61,76.44
2005-01-07,59,76.84
2005-01-14,41,77.33
2005-01-21,35,73.85
2005-01-28,44,73.58
2005-02-04,63,76.39
2005-02-11,56,74.58
2005-02-18,49,76.85
2005-02-25,51,76.73
2005-03-04,49,84.82
2005-03-11,59,85.85
2005-03-18,39,82.55
2005-03-25,52,
2005-04-01,52,85.42
2005-04-08,45,85.95
2005-04-15,50,85.27
2005-04-22,49,88.20
2005-04-29,41,89.64
2005-05-06,47,91.91
2005-05-13,55,92.08
2005-05-20,48,93.68
2005-05-27,49,92.84
2005-06-03,49,93.88
2005-06-10,41,94.17
2005-06-17,39,104.50
2005-06-24,46,101.20
2005-07-01,48,49.87
2005-07-08,45,49.40
2005-07-15,55,49.30
2005-07-22,55,48.39
2005-07-29,52,52.30
2005-08-05,44,54.51
2005-08-12,53,54.75
2005-08-19,55,56.70
2005-08-26,48,57.71
2005-09-02,51,56.98
2005-09-09,53,60.37
2005-09-16,43,61.74
2005-09-23,41,59.67
2005-09-30,57,62.20
2005-10-07,53,62.29
2005-10-14,41,61.16
2005-10-21,45,63.74
2005-10-28,46,74.29
2005-11-04,51,79.31
2005-11-11,58,77.76
2005-11-18,49,79.45
2005-11-25,33,80.74
2005-12-02,52,87.83
2005-12-09,40,89.56
2005-12-16,39,88.05
2005-12-23,47,86.25
2005-12-30,52,83.80
2006-01-06,60,89.82
2006-01-13,68,88.12
2006-01-20,56,86.10
2006-01-27,51,92.42
2006-02-03,57,91.90
2006-02-10,57,91.91
2006-02-17,55,92.85
2006-02-24,48,88.12
2006-03-03,49,87.12
2006-03-10,46,87.67
2006-03-17,46,90.37
2006-03-24,58,88.74
2006-03-31,47,87.90
2006-04-07,35,85.39
2006-04-14,48,
