Date,PH,Price
2004-01-09,65,
2004-01-16,62,
2004-01-23,65,
2004-01-30,63,
2004-02-06,66,56.61
2004-02-13,66,57.70
2004-02-20,68,56.76
2004-02-27,67,56.17
2004-03-05,73,58.55
2004-03-12,63,56.09
2004-03-19,73,56.75
2004-03-26,74,55.35
2004-04-02,71,58.26
2004-04-09,64,
2004-04-16,64,58.72
2004-04-23,73,57.83
2004-04-30,68,55.29
2004-05-07,69,54.18
2004-05-14,69,54.64
2004-05-21,73,54.13
2004-05-28,73,55.56
2004-06-04,66,57.09
2004-06-11,60,
2004-06-18,64,57.60
2004-06-25,64,58.60
2004-07-02,58,56.58
2004-07-09,58,57.13
2004-07-16,58,57.31
2004-07-23,54,55.90
2004-07-30,53,57.38
2004-08-06,59,53.57
2004-08-13,52,53.62
2004-08-20,56,54.60
2004-08-27,57,55.06
2004-09-03,64,55.40
2004-09-10,65,57.59
2004-09-17,65,58.42
2004-09-24,70,57.66
2004-10-01,75,59.59
2004-10-08,69,61.90
2004-10-15,67,62.33
2004-10-22,72,67.80
2004-10-29,76,70.63
2004-11-05,71,74.77
2004-11-12,70,73.68
2004-11-19,75,73.57
2004-11-26,67,75.74
2004-12-03,71,76.07
2004-12-10,68,75.25
2004-12-17,61,75.75
2004-12-24,48,
2004-12-31,42,75.74
2005-01-07,59,71.41
2005-01-14,61,73.43
2005-01-21,66,64.20
2005-01-28,65,63.88
2005-02-04,66,66.64
2005-02-11,66,66.77
2005-02-18,70,65.52
2005-02-25,67,65.55
2005-03-04,69,69.28
2005-03-11,69,68.04
2005-03-18,69,68.12
2005-03-25,63,
2005-04-01,65,60.56
2005-04-08,67,59.69
2005-04-15,73,57.12
2005-04-22,72,60.88
2005-04-29,68,59.94
2005-05-06,65,59.75
2005-05-13,70,57.97
2005-05-20,71,60.67
2005-05-27,66,60.92
2005-06-03,63,60.49
2005-06-10,64,60.79
2005-06-17,65,61.94
2005-06-24,65,60.75
2005-07-01,60,62.49
2005-07-08,58,62.77
2005-07-15,59,63.19
2005-07-22,56,67.16
2005-07-29,56,65.72
2005-08-05,56,65.60
2005-08-12,52,65.62
2005-08-19,57,64.75
2005-08-26,56,64.00
2005-09-02,59,64.45
2005-09-09,60,68.07
2005-09-16,64,66.75
2005-09-23,70,64.35
2005-09-30,69,64.31
2005-10-07,71,62.69
2005-10-14,72,63.10
2005-10-21,71,61.11
2005-10-28,71,62.27
2005-11-04,65,63.90
2005-11-11,69,66.91
2005-11-18,70,67.63
2005-11-25,67,68.75
2005-12-02,73,69.88
2005-12-09,66,68.19
2005-12-16,62,68.70
2005-12-23,51,67.79
2005-12-30,42,65.96
2006-01-06,52,71.69
2006-01-13,61,71.92
2006-01-20,60,72.50
2006-01-27,67,76.01
2006-02-03,68,76.33
2006-02-10,68,77.34
2006-02-17,65,79.92
2006-02-24,67,79.41
2006-03-03,66,80.52
2006-03-10,67,79.00
2006-03-17,68,82.72
2006-03-24,64,80.64
2006-03-31,64,80.61
2006-04-07,68,78.40
2006-04-14,59,
2006-04-21,66,84.52
2006-04-28,71,81.05
2006-05-05,67,86.01
2006-05-12,71,82.20
2006-05-19,70,78.80
2006-05-26,66,78.49
2006-06-02,65,78.85
2006-06-09,59,74.76
2006-06-16,61,74.43
2006-06-23,59,75.11
2006-06-30,54,77.60
2006-07-07,58,76.98
2006-07-14,55,72.48
2006-07-21,55,69.75
2006-07-28,53,71.58
2006-08-04,52,74.50
2006-08-11,54,70.96
2006-08-18,53,74.74
2006-08-25,57,74.16
2006-09-01,56,75.44
2006-09-08,57,74.91
2006-09-15,61,76.00
2006-09-22,63,76.43
2006-09-29,62,77.73
2006-10-06,64,79.84
2006-10-13,67,82.49
2006-10-20,64,81.36
2006-10-27,67,82.53
2006-11-03,62,81.09
2006-11-10,66,84.09
2006-11-17,62,83.89
2006-11-24,60,84.51
2006-12-01,62,82.03
2006-12-08,59,83.86
2006-12-15,59,79.00
2006-12-22,47,76.98
2006-12-29,39,76.88
2007-01-05,46,76.38
2007-01-12,54,78.10
2007-01-19,57,81.85
2007-01-26,61,81.62
2007-02-02,62,85.26
2007-02-09,59,83.32
2007-02-16,57,85.56
2007-02-23,60,87.78
2007-03-02,59,82.52
2007-03-09,63,84.07
2007-03-16,62,82.41
2007-03-23,63,86.85
2007-03-30,62,86.31
2007-04-06,57,
2007-04-13,60,87.84
2007-04-20,65,90.06
2007-04-27,64,92.45
2007-05-04,64,94.92
2007-05-11,67,95.65
2007-05-18,67,96.82
2007-05-25,66,98.52
2007-06-01,64,102.59
2007-06-08,66,97.26
2007-06-15,65,100.06
2007-06-22,61,99.21
2007-06-29,58,97.91
2007-07-06,56,99.67
2007-07-13,59,104.70
2007-07-20,57,102.95
2007-07-27,53,98.63
2007-08-03,52,99.50
2007-08-10,53,95.57
2007-08-17,53,95.25
2007-08-24,56,105.16
2007-08-31,58,107.47
2007-09-07,61,105.30
2007-09-14,63,107.19
2007-09-21,67,113.96
2007-09-28,67,111.83
2007-10-05,66,73.54
2007-10-12,67,77.06
2007-10-19,69,74.47
2007-10-26,68,78.53
2007-11-02,69,78.99
2007-11-09,69,82.91
2007-11-16,69,78.37
2007-11-23,74,76.48
2007-11-30,73,79.43
2007-12-07,70,81.55
2007-12-14,60,76.68
2007-12-21,51,75.55
2007-12-28,40,76.16
2008-01-04,45,70.22
2008-01-11,59,64.47
2008-01-18,60,61.76
2008-01-25,62,64.03
2008-02-01,66,68.89
2008-02-08,62,64.96
2008-02-15,64,65.87
2008-02-22,65,64.91
2008-02-29,67,64.63
2008-03-07,67,62.39
2008-03-14,68,62.88
2008-03-21,61,
2008-03-28,60,67.56
2008-04-04,67,73.71
2008-04-11,68,71.72
2008-04-18,71,76.32
2008-04-25,69,79.45
2008-05-02,67,81.98
2008-05-09,68,83.59
2008-05-16,68,85.00
2008-05-23,67,80.57
2008-05-30,67,84.67
2008-06-06,66,78.17
2008-06-13,63,78.67
2008-06-20,62,75.99
2008-06-27,62,70.94
2008-07-04,61,
2008-07-11,60,68.96
2008-07-18,56,66.88
2008-07-25,57,67.19
2008-08-01,56,60.56
2008-08-08,57,63.03
2008-08-15,57,65.24
2008-08-22,59,63.02
2008-08-29,62,64.07
2008-09-05,62,60.37
2008-09-12,68,61.25
2008-09-19,67,59.32
2008-09-26,70,53.24
2008-10-03,67,47.34
2008-10-10,71,40.18
2008-10-17,69,41.54
2008-10-24,70,36.92
2008-10-31,67,38.77
2008-11-07,67,36.95
2008-11-14,69,35.95
2008-11-21,72,34.44
2008-11-28,62,41.08
2008-12-05,66,38.17
2008-12-12,64,37.03
2008-12-19,56,37.72
2008-12-26,42,39.80
2009-01-02,44,45.16
2009-01-09,59,42.27
2009-01-16,64,39.77
2009-01-23,64,39.08
2009-01-30,67,38.21
2009-02-06,69,41.87
2009-02-13,68,40.69
2009-02-20,68,37.47
2009-02-27,72,33.37
2009-03-06,73,28.63
2009-03-13,74,30.77
2009-03-20,73,31.41
2009-03-27,76,35.38
2009-04-03,76,38.55
2009-04-10,64,
2009-04-17,72,40.07
2009-04-24,75,43.90
2009-05-01,73,46.18
2009-05-08,72,47.16
2009-05-15,74,43.66
2009-05-22,71,42.53
2009-05-29,73,42.26
2009-06-05,72,47.79
2009-06-12,67,46.19
2009-06-19,67,42.50
2009-06-26,65,42.74
2009-07-03,61,
2009-07-10,62,40.68
2009-07-17,63,44.47
2009-07-24,59,47.93
2009-07-31,60,44.28
2009-08-07,61,48.75
2009-08-14,59,48.87
2009-08-21,61,49.49
2009-08-28,62,49.36
2009-09-04,66,48.32
2009-09-11,69,50.20
2009-09-18,73,55.18
2009-09-25,74,52.20
2009-10-02,73,49.50
2009-10-09,73,52.87
2009-10-16,72,53.27
2009-10-23,74,56.86
2009-10-30,74,52.96
2009-11-06,71,56.14
2009-11-13,71,55.00
2009-11-20,71,53.98
2009-11-27,69,53.57
2009-12-04,71,55.31
2009-12-11,66,54.00
2009-12-18,64,53.99
2009-12-25,47,
2010-01-01,47,
2010-01-08,58,56.22
2010-01-15,65,58.56
2010-01-22,66,57.62
2010-01-29,67,55.91
2010-02-05,71,54.97
2010-02-12,67,56.08
2010-02-19,69,59.00
2010-02-26,71,60.31
2010-03-05,75,62.93
2010-03-12,77,63.61
2010-03-19,74,65.11
2010-03-26,76,64.61
2010-04-02,69,
2010-04-09,72,68.48
2010-04-16,77,69.07
2010-04-23,77,70.99
2010-04-30,77,69.18
2010-05-07,74,62.25
2010-05-14,78,66.46
2010-05-21,75,60.57
2010-05-28,74,61.46
2010-06-04,74,58.52
2010-06-11,70,61.06
2010-06-18,66,60.86
2010-06-25,66,58.21
2010-07-02,66,55.02
2010-07-09,63,57.32
2010-07-16,66,56.26
2010-07-23,65,62.19
2010-07-30,64,62.12
2010-08-06,62,65.48
2010-08-13,63,63.52
2010-08-20,64,63.23
2010-08-27,67,60.69
2010-09-03,70,64.97
2010-09-10,74,65.05
2010-09-17,74,68.53
2010-09-24,77,69.88
2010-10-01,79,70.41
2010-10-08,81,71.18
2010-10-15,81,71.03
2010-10-22,85,76.31
2010-10-29,79,76.55
2010-11-05,78,81.68
2010-11-12,79,79.39
2010-11-19,81,81.18
2010-11-26,74,81.46
2010-12-03,77,84.22
2010-12-10,75,86.14
2010-12-17,72,84.82
2010-12-24,59,
2010-12-31,55,86.30
2011-01-07,68,86.05
2011-01-14,72,89.65
2011-01-21,76,86.00
2011-01-28,77,87.19
2011-02-04,76,91.01
2011-02-11,82,93.56
2011-02-18,83,91.88
2011-02-25,83,88.55
2011-03-04,80,87.33
2011-03-11,81,85.39
2011-03-18,82,88.71
2011-03-25,86,92.96
2011-04-01,88,95.91
2011-04-08,90,95.31
2011-04-15,88,93.59
2011-04-22,77,
2011-04-29,82,94.32
2011-05-06,84,88.90
2011-05-13,87,87.50
2011-05-20,84,86.44
2011-05-27,83,89.38
2011-06-03,82,86.29
2011-06-10,83,85.83
2011-06-17,78,85.32
2011-06-24,77,85.04
2011-07-01,76,91.58
2011-07-08,75,89.27
2011-07-15,71,87.46
2011-07-22,71,87.45
2011-07-29,73,79.02
2011-08-05,72,67.60
2011-08-12,70,69.58
2011-08-19,71,64.03
2011-08-26,77,67.70
2011-09-02,76,69.41
2011-09-09,79,66.38
2011-09-16,84,70.07
2011-09-23,82,62.32
2011-09-30,84,63.13
2011-10-07,81,66.01
2011-10-14,84,73.61
2011-10-21,88,77.85
2011-10-28,88,83.89
2011-11-04,83,84.55
2011-11-11,87,84.22
2011-11-18,85,81.09
2011-11-25,81,74.98
2011-12-02,82,82.11
2011-12-09,80,81.02
2011-12-16,76,75.02
2011-12-23,63,77.42
2011-12-30,60,76.25
2012-01-06,68,77.64
2012-01-13,76,82.44
2012-01-20,77,81.52
2012-01-27,79,81.50
2012-02-03,80,85.72
2012-02-10,80,87.51
2012-02-17,80,88.57
2012-02-24,80,89.63
2012-03-02,85,88.54
2012-03-09,88,88.22
2012-03-16,85,90.15
2012-03-23,88,85.63
2012-03-30,85,84.55
2012-04-06,77,
2012-04-13,81,82.03
2012-04-20,83,82.79
2012-04-27,86,88.99
2012-05-04,84,85.14
2012-05-11,84,86.85
2012-05-18,84,80.61
2012-05-25,86,84.36
2012-06-01,85,77.87
2012-06-08,81,81.27
2012-06-15,81,78.73
2012-06-22,80,76.68
2012-06-29,77,76.88
2012-07-06,75,75.74
2012-07-13,74,73.90
2012-07-20,71,76.96
2012-07-27,71,81.40
2012-08-03,72,79.97
2012-08-10,73,83.47
2012-08-17,73,83.83
2012-08-24,77,81.58
2012-08-31,77,79.98
2012-09-07,78,83.69
2012-09-14,85,86.38
2012-09-21,90,85.50
2012-09-28,85,83.58
2012-10-05,84,84.41
2012-10-12,84,79.40
2012-10-19,86,78.50
2012-10-26,86,77.58
2012-11-02,78,79.43
2012-11-09,83,79.09
2012-11-16,81,80.01
2012-11-23,79,81.43
2012-11-30,83,82.15
2012-12-07,80,83.81
2012-12-14,77,83.49
2012-12-21,69,85.15
2012-12-28,57,83.86
2013-01-04,62,88.82
2013-01-11,74,89.04
2013-01-18,76,93.70
2013-01-25,79,94.37
2013-02-01,82,93.85
2013-02-08,83,94.32
2013-02-15,79,96.04
2013-02-22,86,94.54
2013-03-01,88,94.45
2013-03-08,87,97.95
2013-03-15,89,96.72
2013-03-22,90,92.08
2013-03-29,81,
2013-04-05,83,89.38
2013-04-12,89,89.04
2013-04-19,90,85.55
2013-04-26,89,88.74
2013-05-03,89,91.38
2013-05-10,85,94.05
2013-05-17,89,100.01
2013-05-24,88,98.29
2013-05-31,84,99.76
2013-06-07,82,98.34
2013-06-14,100,97.41
2013-06-21,89,94.85
2013-06-28,77,95.40
2013-07-05,75,97.62
2013-07-12,77,99.16
2013-07-19,77,103.11
2013-07-26,75,102.12
2013-08-02,72,105.24
2013-08-09,73,104.14
