Date,D,Price
2004-01-09,47,
2004-01-16,49,
2004-01-23,52,
2004-01-30,47,
2004-02-06,46,63.30
2004-02-13,48,63.02
2004-02-20,49,62.80
2004-02-27,47,62.83
2004-03-05,49,65.08
2004-03-12,49,64.02
2004-03-19,48,63.87
2004-03-26,50,62.50
2004-04-02,50,64.31
2004-04-09,50,
2004-04-16,48,63.90
2004-04-23,51,63.57
2004-04-30,51,63.81
2004-05-07,52,62.98
2004-05-14,50,62.46
2004-05-21,49,61.60
2004-05-28,50,62.97
2004-06-04,57,61.49
2004-06-11,56,
2004-06-18,49,63.18
2004-06-25,50,63.91
2004-07-02,48,63.25
2004-07-09,49,62.36
2004-07-16,50,63.79
2004-07-23,48,62.68
2004-07-30,49,63.46
2004-08-06,48,63.31
2004-08-13,48,63.54
2004-08-20,47,64.70
2004-08-27,49,64.69
2004-09-03,51,64.76
2004-09-10,50,65.69
2004-09-17,50,64.96
2004-09-24,49,64.60
2004-10-01,51,65.70
2004-10-08,50,65.97
2004-10-15,50,65.19
2004-10-22,50,63.71
2004-10-29,49,64.32
2004-11-05,50,65.12
2004-11-12,51,67.54
2004-11-19,49,66.10
2004-11-26,51,66.67
2004-12-03,50,64.53
2004-12-10,50,67.50
2004-12-17,51,68.24
2004-12-24,50,
2004-12-31,50,67.74
2005-01-07,52,66.91
2005-01-14,52,69.10
2005-01-21,52,68.26
2005-01-28,52,68.53
2005-02-04,51,69.89
2005-02-11,52,70.63
2005-02-18,53,71.60
2005-02-25,53,72.74
2005-03-04,53,74.25
2005-03-11,53,73.76
2005-03-18,51,75.81
2005-03-25,53,
2005-04-01,53,75.27
2005-04-08,54,75.27
2005-04-15,52,73.58
2005-04-22,53,74.25
2005-04-29,52,75.40
2005-05-06,55,70.88
2005-05-13,54,69.22
2005-05-20,53,71.40
2005-05-27,55,70.12
2005-06-03,54,71.10
2005-06-10,56,73.05
2005-06-17,53,72.60
2005-06-24,58,73.00
2005-07-01,62,74.10
2005-07-08,59,74.80
2005-07-15,58,74.73
2005-07-22,56,73.88
2005-07-29,55,73.86
2005-08-05,54,75.73
2005-08-12,54,74.53
2005-08-19,53,75.07
2005-08-26,57,75.86
2005-09-02,56,78.19
2005-09-09,55,80.78
2005-09-16,55,82.56
2005-09-23,57,83.85
2005-09-30,54,86.14
2005-10-07,56,80.50
2005-10-14,57,78.15
2005-10-21,58,75.78
2005-10-28,56,75.34
2005-11-04,55,75.30
2005-11-11,56,75.10
2005-11-18,59,77.48
2005-11-25,58,78.24
2005-12-02,57,75.98
2005-12-09,57,79.06
2005-12-16,56,80.87
2005-12-23,57,78.78
2005-12-30,61,77.20
2006-01-06,58,78.26
2006-01-13,57,78.11
2006-01-20,58,78.64
2006-01-27,60,75.26
2006-02-03,58,75.05
2006-02-10,58,74.44
2006-02-17,57,74.75
2006-02-24,59,74.35
2006-03-03,58,73.85
2006-03-10,60,71.41
2006-03-17,57,73.25
2006-03-24,59,71.55
2006-03-31,59,69.03
2006-04-07,58,70.96
2006-04-14,60,
2006-04-21,58,74.29
2006-04-28,59,74.87
2006-05-05,59,75.90
2006-05-12,61,73.57
2006-05-19,61,73.66
2006-05-26,61,72.86
2006-06-02,60,74.20
2006-06-09,61,72.80
2006-06-16,59,74.02
2006-06-23,59,72.68
2006-06-30,58,74.79
2006-07-07,58,75.37
2006-07-14,56,75.61
2006-07-21,56,77.72
2006-07-28,57,78.60
2006-08-04,57,78.86
2006-08-11,57,79.27
2006-08-18,57,79.27
2006-08-25,58,80.88
2006-09-01,59,79.58
2006-09-08,61,77.71
2006-09-15,62,77.16
2006-09-22,61,76.30
2006-09-29,62,76.49
2006-10-06,62,76.21
2006-10-13,61,77.85
2006-10-20,63,80.16
2006-10-27,62,80.64
2006-11-03,63,80.67
2006-11-10,63,81.22
2006-11-17,66,80.88
2006-11-24,67,81.00
2006-12-01,65,80.88
2006-12-08,64,81.13
2006-12-15,63,82.90
2006-12-22,63,82.36
2006-12-29,65,83.84
2007-01-05,64,82.24
2007-01-12,63,80.00
2007-01-19,63,80.76
2007-01-26,65,82.07
2007-02-02,65,86.54
2007-02-09,65,87.46
2007-02-16,66,86.56
2007-02-23,65,85.68
2007-03-02,64,85.00
2007-03-09,63,84.59
2007-03-16,62,84.97
2007-03-23,66,88.91
2007-03-30,63,88.77
2007-04-06,64,
2007-04-13,63,89.14
2007-04-20,63,90.86
2007-04-27,66,91.55
2007-05-04,68,90.82
2007-05-11,69,90.53
2007-05-18,68,91.06
2007-05-25,69,86.57
2007-06-01,72,87.64
2007-06-08,70,82.47
2007-06-15,67,85.63
2007-06-22,66,80.55
2007-06-29,65,86.31
2007-07-06,67,86.19
2007-07-13,68,88.60
2007-07-20,65,87.19
2007-07-27,66,82.19
2007-08-03,66,84.00
2007-08-10,66,90.25
2007-08-17,67,87.37
2007-08-24,66,88.90
2007-08-31,71,85.18
2007-09-07,68,84.48
2007-09-14,69,85.72
2007-09-21,67,86.16
2007-09-28,68,84.30
2007-10-05,68,87.07
2007-10-12,65,87.55
2007-10-19,69,85.99
2007-10-26,65,88.64
2007-11-02,67,90.69
2007-11-09,66,92.14
2007-11-16,65,91.30
2007-11-23,75,45.71
2007-11-30,73,47.23
2007-12-07,72,48.77
2007-12-14,64,47.82
2007-12-21,65,48.70
2007-12-28,67,47.60
2008-01-04,67,46.44
2008-01-11,68,47.29
2008-01-18,68,44.24
2008-01-25,67,41.03
2008-02-01,68,43.57
2008-02-08,70,42.11
2008-02-15,70,42.67
2008-02-22,70,42.27
2008-02-29,66,39.94
2008-03-07,69,39.10
2008-03-14,68,39.57
2008-03-21,68,
2008-03-28,69,40.50
2008-04-04,69,43.21
2008-04-11,68,42.95
2008-04-18,68,44.19
2008-04-25,68,43.54
2008-05-02,67,45.59
2008-05-09,67,44.99
2008-05-16,66,45.97
2008-05-23,69,45.44
2008-05-30,70,46.30
2008-06-06,69,45.92
2008-06-13,67,46.13
2008-06-20,67,47.08
2008-06-27,67,46.20
2008-07-04,68,
2008-07-11,68,46.87
2008-07-18,68,44.47
2008-07-25,66,43.31
2008-08-01,66,42.59
2008-08-08,65,42.77
2008-08-15,68,42.55
2008-08-22,64,43.58
2008-08-29,68,43.53
2008-09-05,69,40.94
2008-09-12,68,43.11
2008-09-19,68,44.17
2008-09-26,69,43.40
2008-10-03,68,41.88
2008-10-10,69,33.67
2008-10-17,68,35.95
2008-10-24,69,35.14
2008-10-31,72,36.28
2008-11-07,67,35.83
2008-11-14,66,36.39
2008-11-21,64,36.93
2008-11-28,67,36.82
2008-12-05,67,35.23
2008-12-12,67,34.60
2008-12-19,65,34.98
2008-12-26,67,34.90
2009-01-02,71,36.54
2009-01-09,68,35.11
2009-01-16,68,34.60
2009-01-23,68,35.00
2009-01-30,69,35.18
2009-02-06,71,36.93
2009-02-13,69,34.54
2009-02-20,68,31.69
2009-02-27,71,30.18
2009-03-06,71,28.12
2009-03-13,69,29.53
2009-03-20,69,30.99
2009-03-27,73,31.07
2009-04-03,70,30.44
2009-04-10,69,
2009-04-17,68,29.94
2009-04-24,67,29.29
2009-05-01,67,31.09
2009-05-08,66,31.87
2009-05-15,71,30.52
2009-05-22,68,30.81
2009-05-29,68,31.79
2009-06-05,69,32.02
2009-06-12,67,33.39
2009-06-19,63,32.72
2009-06-26,64,33.39
2009-07-03,65,
2009-07-10,66,32.45
2009-07-17,67,32.87
2009-07-24,65,34.59
2009-07-31,67,33.80
2009-08-07,66,33.60
2009-08-14,65,33.56
2009-08-21,67,34.22
2009-08-28,69,33.22
2009-09-04,68,33.00
2009-09-11,69,32.79
2009-09-18,68,34.33
2009-09-25,68,34.19
2009-10-02,68,33.49
2009-10-09,67,34.70
2009-10-16,68,34.52
2009-10-23,67,35.17
2009-10-30,68,34.09
2009-11-06,67,35.97
2009-11-13,67,36.26
2009-11-20,66,36.37
2009-11-27,67,36.14
2009-12-04,66,37.75
2009-12-11,67,39.08
2009-12-18,66,39.13
2009-12-25,65,
2010-01-01,69,
2010-01-08,67,38.56
2010-01-15,68,38.85
2010-01-22,69,37.80
2010-01-29,70,37.46
2010-02-05,69,36.75
2010-02-12,67,37.14
2010-02-19,69,39.17
2010-02-26,66,37.99
2010-03-05,69,39.11
2010-03-12,67,39.69
2010-03-19,69,40.70
2010-03-26,67,40.60
2010-04-02,69,
2010-04-09,69,41.59
2010-04-16,65,41.18
2010-04-23,71,41.77
2010-04-30,70,41.80
2010-05-07,68,40.22
2010-05-14,69,40.99
2010-05-21,69,39.53
2010-05-28,68,38.96
2010-06-04,69,39.01
2010-06-11,68,40.60
2010-06-18,67,42.00
2010-06-25,70,40.17
2010-07-02,65,38.67
2010-07-09,67,40.90
2010-07-16,68,40.43
2010-07-23,67,42.41
2010-07-30,65,41.99
2010-08-06,71,43.67
2010-08-13,69,43.91
2010-08-20,72,43.93
2010-08-27,70,43.42
2010-09-03,69,43.99
2010-09-10,70,43.29
2010-09-17,71,43.42
2010-09-24,72,44.23
2010-10-01,71,44.03
2010-10-08,70,44.68
2010-10-15,72,44.54
2010-10-22,72,44.51
2010-10-29,74,43.46
2010-11-05,73,43.50
2010-11-12,72,42.86
2010-11-19,71,42.76
2010-11-26,70,41.84
2010-12-03,72,42.42
2010-12-10,70,41.62
2010-12-17,69,42.57
2010-12-24,71,
2010-12-31,73,42.72
2011-01-07,74,43.23
2011-01-14,73,42.98
2011-01-21,76,43.35
2011-01-28,73,43.39
2011-02-04,71,43.61
2011-02-11,72,44.12
2011-02-18,74,44.37
2011-02-25,72,45.00
2011-03-04,71,45.54
2011-03-11,71,45.51
2011-03-18,70,43.78
2011-03-25,72,44.54
2011-04-01,76,44.70
2011-04-08,72,44.82
2011-04-15,73,44.47
2011-04-22,72,
2011-04-29,71,46.42
2011-05-06,73,46.92
2011-05-13,73,47.99
2011-05-20,74,48.28
2011-05-27,72,47.23
2011-06-03,73,47.15
2011-06-10,70,47.53
2011-06-17,72,47.66
2011-06-24,72,47.25
2011-07-01,69,48.99
2011-07-08,69,48.63
2011-07-15,72,48.46
2011-07-22,71,49.78
2011-07-29,75,48.45
2011-08-05,72,48.59
2011-08-12,72,47.71
2011-08-19,73,47.99
2011-08-26,73,48.46
2011-09-02,72,47.98
2011-09-09,75,47.19
2011-09-16,77,49.84
2011-09-23,76,49.99
2011-09-30,78,50.77
2011-10-07,76,50.27
2011-10-14,75,50.49
2011-10-21,76,52.07
2011-10-28,79,51.37
2011-11-04,77,51.56
2011-11-11,100,52.06
2011-11-18,80,51.04
2011-11-25,79,49.51
2011-12-02,79,50.56
2011-12-09,78,50.77
2011-12-16,78,50.65
2011-12-23,74,52.95
2011-12-30,78,53.08
2012-01-06,76,51.43
2012-01-13,80,50.60
2012-01-20,81,50.57
2012-01-27,79,49.56
2012-02-03,79,50.38
2012-02-10,79,49.91
2012-02-17,79,50.57
2012-02-24,77,51.32
2012-03-02,81,50.52
2012-03-09,79,50.76
2012-03-16,80,50.32
2012-03-23,79,50.28
2012-03-30,76,51.21
2012-04-06,76,
2012-04-13,79,50.28
2012-04-20,76,51.02
2012-04-27,78,52.07
2012-05-04,78,51.99
2012-05-11,77,52.22
2012-05-18,76,52.29
2012-05-25,77,52.55
2012-06-01,75,51.63
2012-06-08,77,53.23
2012-06-15,75,53.78
2012-06-22,75,53.61
2012-06-29,69,54.00
2012-07-06,71,53.83
2012-07-13,74,54.19
2012-07-20,70,53.96
2012-07-27,71,54.97
2012-08-03,70,54.41
2012-08-10,72,53.72
2012-08-17,74,53.92
2012-08-24,71,53.49
2012-08-31,72,52.48
2012-09-07,72,53.16
2012-09-14,75,52.82
2012-09-21,74,52.70
2012-09-28,72,52.94
2012-10-05,74,53.26
2012-10-12,71,52.68
2012-10-19,69,53.51
2012-10-26,74,52.07
2012-11-02,69,51.70
2012-11-09,73,49.33
2012-11-16,71,50.15
2012-11-23,70,50.12
2012-11-30,72,51.11
2012-12-07,70,51.69
2012-12-14,71,51.19
2012-12-21,70,51.94
2012-12-28,68,51.08
2013-01-04,71,53.54
2013-01-11,73,52.43
2013-01-18,71,52.92
2013-01-25,72,53.88
2013-02-01,73,54.17
2013-02-08,73,54.31
2013-02-15,73,54.92
2013-02-22,71,56.38
2013-03-01,73,56.42
2013-03-08,73,55.87
2013-03-15,75,56.79
2013-03-22,72,56.77
2013-03-29,74,
2013-04-05,75,59.63
2013-04-12,73,60.12
2013-04-19,73,61.07
2013-04-26,73,61.01
2013-05-03,73,60.91
2013-05-10,74,59.75
2013-05-17,75,61.17
2013-05-24,75,57.62
2013-05-31,72,56.55
2013-06-07,75,55.64
2013-06-14,73,56.04
2013-06-21,73,55.01
2013-06-28,70,56.82
2013-07-05,72,56.25
2013-07-12,75,58.80
2013-07-19,73,59.68
2013-07-26,72,59.52
2013-08-02,71,59.43
2013-08-09,71,60.33
2013-08-16,72,57.44
2013-08-23,72,58.86
2013-08-30,74,58.35
2013-09-06,72,57.53
2013-09-13,73,61.28
2013-09-20,72,62.27
2013-09-27,73,62.43
2013-10-04,75,62.22
2013-10-11,75,62.95
2013-10-18,74,63.68
2013-10-25,76,64.66
2013-11-01,76,64.09
2013-11-08,75,65.41
2013-11-15,76,67.52
2013-11-22,76,66.62
2013-11-29,74,64.91
2013-12-06,73,64.42
2013-12-13,75,63.58
2013-12-20,74,64.55
2013-12-27,73,64.41
2014-01-03,74,63.51
2014-01-10,74,67.78
2014-01-17,79,66.29
2014-01-24,76,65.93
2014-01-31,77,67.91
2014-02-07,76,66.93
2014-02-14,77,71.11
2014-02-21,75,71.39
2014-02-28,76,69.40
2014-03-07,75,68.44
2014-03-14,74,69.89
2014-03-21,74,70.06
