Date,Amgen Inc,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,64.86
2004-02-13,0,64.67
2004-02-20,0,63.57
2004-02-27,0,63.53
2004-03-05,0,63.25
2004-03-12,0,60.85
2004-03-19,0,60.95
2004-03-26,0,58.09
2004-04-02,0,59.51
2004-04-09,0,
2004-04-16,0,60.14
2004-04-23,0,58.31
2004-04-30,0,56.41
2004-05-07,0,56.95
2004-05-14,0,56.74
2004-05-21,0,53.90
2004-05-28,0,54.70
2004-06-04,0,55.43
2004-06-11,0,
2004-06-18,0,53.48
2004-06-25,0,54.13
2004-07-02,0,55.20
2004-07-09,0,53.61
2004-07-16,0,55.73
2004-07-23,0,55.36
2004-07-30,0,56.88
2004-08-06,0,53.80
2004-08-13,0,54.36
2004-08-20,0,58.20
2004-08-27,0,59.68
2004-09-03,0,59.53
2004-09-10,0,57.30
2004-09-17,0,58.07
2004-09-24,0,57.14
2004-10-01,0,57.76
2004-10-08,0,55.67
2004-10-15,0,55.22
2004-10-22,0,52.70
2004-10-29,0,56.80
2004-11-05,0,60.66
2004-11-12,0,59.97
2004-11-19,0,59.88
2004-11-26,0,60.21
2004-12-03,0,62.01
2004-12-10,0,63.95
2004-12-17,0,63.10
2004-12-24,0,
2004-12-31,0,64.15
2005-01-07,0,62.97
2005-01-14,0,63.81
2005-01-21,0,62.57
2005-01-28,0,61.30
2005-02-04,0,62.75
2005-02-11,0,63.42
2005-02-18,0,62.00
2005-02-25,0,62.81
2005-03-04,0,62.04
2005-03-11,0,59.81
2005-03-18,0,58.86
2005-03-25,0,
2005-04-01,0,57.35
2005-04-08,0,58.68
2005-04-15,0,59.95
2005-04-22,0,58.89
2005-04-29,0,58.21
2005-05-06,0,58.59
2005-05-13,0,62.12
2005-05-20,0,61.87
2005-05-27,0,62.85
2005-06-03,0,61.49
2005-06-10,0,60.21
2005-06-17,0,60.62
2005-06-24,0,61.32
2005-07-01,0,60.86
2005-07-08,0,69.13
2005-07-15,0,70.63
2005-07-22,0,81.31
2005-07-29,0,79.77
2005-08-05,0,81.89
2005-08-12,0,80.42
2005-08-19,0,79.66
2005-08-26,0,78.68
2005-09-02,0,80.33
2005-09-09,0,84.51
2005-09-16,0,84.86
2005-09-23,0,83.29
2005-09-30,0,79.67
2005-10-07,0,77.02
2005-10-14,0,75.75
2005-10-21,0,73.37
2005-10-28,0,75.78
2005-11-04,0,79.19
2005-11-11,0,81.10
2005-11-18,0,83.22
2005-11-25,0,82.79
2005-12-02,0,80.78
2005-12-09,0,78.38
2005-12-16,0,78.99
2005-12-23,0,80.87
2005-12-30,0,78.86
2006-01-06,0,78.10
2006-01-13,0,77.60
2006-01-20,0,75.68
2006-01-27,0,71.31
2006-02-03,0,74.62
2006-02-10,0,71.45
2006-02-17,0,74.89
2006-02-24,0,74.75
2006-03-03,0,75.39
2006-03-10,0,73.49
2006-03-17,0,73.25
2006-03-24,0,73.18
2006-03-31,0,72.75
2006-04-07,0,71.03
2006-04-14,0,
2006-04-21,0,66.82
2006-04-28,0,67.70
2006-05-05,0,67.11
2006-05-12,0,68.11
2006-05-19,0,67.69
2006-05-26,0,68.81
2006-06-02,0,69.18
2006-06-09,0,67.64
2006-06-16,0,66.82
2006-06-23,0,64.93
2006-06-30,0,65.23
2006-07-07,0,66.39
2006-07-14,0,64.35
2006-07-21,0,66.15
2006-07-28,0,69.07
2006-08-04,0,68.79
2006-08-11,0,66.40
2006-08-18,0,67.31
2006-08-25,0,67.52
2006-09-01,0,68.39
2006-09-08,0,67.93
2006-09-15,0,69.77
2006-09-22,0,70.89
2006-09-29,0,71.53
2006-10-06,0,74.01
2006-10-13,0,73.22
2006-10-20,0,73.95
2006-10-27,0,75.52
2006-11-03,0,74.87
2006-11-10,0,73.46
2006-11-17,0,72.51
2006-11-24,0,72.50
2006-12-01,0,69.38
2006-12-08,0,69.88
2006-12-15,0,70.22
2006-12-22,0,68.71
2006-12-29,0,68.31
2007-01-05,0,71.50
2007-01-12,0,73.27
2007-01-19,0,74.25
2007-01-26,0,71.50
2007-02-02,0,69.45
2007-02-09,0,69.05
2007-02-16,0,66.73
2007-02-23,100,66.23
2007-03-02,82,61.75
2007-03-09,82,60.86
2007-03-16,82,59.30
2007-03-23,83,58.02
2007-03-30,84,55.88
2007-04-06,85,
2007-04-13,0,59.03
2007-04-20,0,61.97
2007-04-27,0,63.27
2007-05-04,0,63.74
2007-05-11,0,56.30
2007-05-18,66,54.04
2007-05-25,0,54.55
2007-06-01,0,56.94
2007-06-08,0,57.37
2007-06-15,0,59.03
2007-06-22,0,55.96
2007-06-29,0,55.29
2007-07-06,0,54.82
2007-07-13,0,56.93
2007-07-20,0,56.18
2007-07-27,0,55.62
2007-08-03,0,50.90
2007-08-10,0,50.08
2007-08-17,0,50.08
2007-08-24,0,50.27
2007-08-31,0,50.11
2007-09-07,0,50.90
2007-09-14,0,56.32
2007-09-21,0,55.42
2007-09-28,0,56.57
2007-10-05,0,56.84
2007-10-12,63,58.17
2007-10-19,0,55.95
2007-10-26,0,57.18
2007-11-02,0,56.62
2007-11-09,0,54.28
2007-11-16,0,55.49
2007-11-23,0,53.76
2007-11-30,0,55.25
2007-12-07,0,52.10
2007-12-14,0,48.40
2007-12-21,0,48.02
2007-12-28,0,47.06
2008-01-04,0,44.80
2008-01-11,0,47.62
2008-01-18,50,47.45
2008-01-25,50,48.14
2008-02-01,50,47.36
2008-02-08,72,46.56
2008-02-15,50,46.64
2008-02-22,66,46.43
2008-02-29,82,45.52
2008-03-07,53,44.18
2008-03-14,53,44.46
2008-03-21,53,
2008-03-28,53,41.45
2008-04-04,53,41.53
2008-04-11,0,43.01
2008-04-18,0,43.07
2008-04-25,0,42.25
2008-05-02,0,42.93
2008-05-09,0,42.05
2008-05-16,0,42.03
2008-05-23,0,42.38
2008-05-30,0,44.03
2008-06-06,0,44.24
2008-06-13,47,43.97
2008-06-20,0,45.17
2008-06-27,0,46.37
2008-07-04,0,
2008-07-11,0,51.02
2008-07-18,0,52.56
2008-07-25,0,53.92
2008-08-01,0,62.78
2008-08-08,53,63.80
2008-08-15,0,65.06
2008-08-22,0,64.01
2008-08-29,0,62.85
2008-09-05,0,60.41
2008-09-12,0,62.87
2008-09-19,0,59.97
2008-09-26,43,60.67
2008-10-03,47,58.89
2008-10-10,42,48.58
2008-10-17,0,50.19
2008-10-24,0,57.17
2008-10-31,0,59.89
2008-11-07,0,58.87
2008-11-14,0,58.23
2008-11-21,0,54.90
2008-11-28,0,55.54
2008-12-05,0,57.40
2008-12-12,0,58.13
2008-12-19,0,57.83
2008-12-26,0,57.36
2009-01-02,0,58.99
2009-01-09,46,57.78
2009-01-16,44,57.52
2009-01-23,44,53.19
2009-01-30,46,54.85
2009-02-06,48,58.03
2009-02-13,49,57.90
2009-02-20,51,56.69
2009-02-27,44,48.93
2009-03-06,43,46.38
2009-03-13,50,51.25
2009-03-20,47,48.62
2009-03-27,39,51.65
2009-04-03,47,46.57
2009-04-10,0,
2009-04-17,0,47.07
2009-04-24,0,49.83
2009-05-01,0,48.61
2009-05-08,0,47.20
2009-05-15,0,48.16
2009-05-22,0,49.30
2009-05-29,0,49.94
2009-06-05,0,50.89
2009-06-12,0,50.40
2009-06-19,0,52.34
2009-06-26,0,52.80
2009-07-03,0,
2009-07-10,0,57.81
2009-07-17,0,58.79
2009-07-24,0,60.92
2009-07-31,35,62.31
2009-08-07,0,60.49
2009-08-14,0,60.85
2009-08-21,0,60.64
2009-08-28,0,59.61
2009-09-04,0,58.95
2009-09-11,0,58.54
2009-09-18,0,60.80
2009-09-25,0,60.27
2009-10-02,0,58.58
2009-10-09,31,59.42
2009-10-16,35,61.32
2009-10-23,39,56.17
2009-10-30,44,53.62
2009-11-06,48,54.69
2009-11-13,0,55.41
2009-11-20,0,55.38
2009-11-27,0,56.50
2009-12-04,0,56.85
2009-12-11,0,56.31
2009-12-18,30,55.80
2009-12-25,32,
2010-01-01,33,
2010-01-08,35,56.77
2010-01-15,37,56.25
2010-01-22,39,56.60
2010-01-29,33,58.48
2010-02-05,34,57.68
2010-02-12,35,56.48
2010-02-19,27,57.38
2010-02-26,27,56.61
2010-03-05,27,57.24
2010-03-12,27,57.43
2010-03-19,27,60.00
2010-03-26,0,59.41
2010-04-02,0,
2010-04-09,0,60.90
2010-04-16,0,60.72
2010-04-23,0,58.88
2010-04-30,0,57.31
2010-05-07,0,54.46
2010-05-14,0,54.69
2010-05-21,0,52.44
2010-05-28,0,51.78
2010-06-04,28,54.34
2010-06-11,0,54.10
2010-06-18,0,55.20
2010-06-25,0,56.26
2010-07-02,0,51.70
2010-07-09,0,52.56
2010-07-16,0,52.17
2010-07-23,0,52.75
2010-07-30,0,54.53
2010-08-06,0,55.94
2010-08-13,0,55.02
2010-08-20,0,52.34
2010-08-27,0,52.08
2010-09-03,0,52.91
2010-09-10,25,54.35
2010-09-17,24,55.22
2010-09-24,26,56.32
2010-10-01,23,55.51
2010-10-08,23,56.39
2010-10-15,28,56.71
2010-10-22,28,57.55
2010-10-29,0,57.19
2010-11-05,0,55.42
2010-11-12,0,54.47
2010-11-19,0,55.00
2010-11-26,0,53.56
2010-12-03,0,53.73
2010-12-10,27,53.89
2010-12-17,29,57.42
2010-12-24,32,
2010-12-31,31,54.90
2011-01-07,31,56.98
2011-01-14,33,56.50
2011-01-21,34,56.97
2011-01-28,35,55.29
2011-02-04,27,55.20
2011-02-11,27,53.74
2011-02-18,20,52.24
2011-02-25,20,52.26
2011-03-04,20,52.32
2011-03-11,21,53.53
2011-03-18,21,52.94
2011-03-25,22,53.15
2011-04-01,22,53.08
2011-04-08,23,53.90
2011-04-15,24,55.51
2011-04-22,30,
2011-04-29,23,56.85
2011-05-06,23,57.63
2011-05-13,24,60.47
2011-05-20,24,60.86
2011-05-27,20,59.35
2011-06-03,22,58.69
2011-06-10,23,57.99
2011-06-17,24,58.01
2011-06-24,22,57.04
2011-07-01,22,58.28
2011-07-08,22,57.64
2011-07-15,22,55.05
2011-07-22,22,55.22
2011-07-29,22,54.70
2011-08-05,23,52.12
2011-08-12,23,50.00
2011-08-19,23,51.98
2011-08-26,23,54.08
2011-09-02,23,54.10
2011-09-09,23,54.04
2011-09-16,24,56.71
2011-09-23,24,55.10
2011-09-30,19,54.96
2011-10-07,19,56.27
2011-10-14,19,57.49
2011-10-21,18,58.59
2011-10-28,18,57.24
2011-11-04,19,55.17
2011-11-11,19,57.86
2011-11-18,20,55.57
2011-11-25,21,54.65
2011-12-02,21,58.10
2011-12-09,19,58.59
2011-12-16,20,60.05
2011-12-23,20,63.69
2011-12-30,21,64.21
2012-01-06,22,64.76
2012-01-13,23,67.60
2012-01-20,23,69.57
2012-01-27,24,68.34
2012-02-03,29,69.28
2012-02-10,24,67.36
2012-02-17,24,67.78
2012-02-24,16,67.73
2012-03-02,24,67.73
2012-03-09,17,68.01
2012-03-16,17,67.38
2012-03-23,17,66.66
2012-03-30,19,67.97
2012-04-06,20,
2012-04-13,16,65.59
2012-04-20,16,68.47
2012-04-27,17,71.64
2012-05-04,19,69.77
2012-05-11,20,70.78
2012-05-18,16,69.15
2012-05-25,16,69.05
2012-06-01,16,67.75
2012-06-08,19,68.87
2012-06-15,17,71.29
2012-06-22,19,72.46
2012-06-29,20,72.91
2012-07-06,22,73.85
2012-07-13,23,76.96
2012-07-20,16,77.77
2012-07-27,0,83.92
2012-08-03,0,82.21
2012-08-10,0,82.73
2012-08-17,0,83.38
2012-08-24,0,84.59
2012-08-31,0,83.92
2012-09-07,15,83.96
2012-09-14,17,81.36
2012-09-21,18,82.03
2012-09-28,19,84.29
2012-10-05,0,86.94
2012-10-12,0,84.00
2012-10-19,0,87.16
2012-10-26,0,87.63
2012-11-02,0,86.45
2012-11-09,16,85.17
2012-11-16,18,84.54
2012-11-23,19,87.60
2012-11-30,19,88.80
2012-12-07,19,88.32
2012-12-14,15,89.20
2012-12-21,15,87.16
2012-12-28,15,85.24
2013-01-04,15,88.98
2013-01-11,15,86.96
2013-01-18,20,82.08
2013-01-25,25,83.42
2013-02-01,14,86.30
2013-02-08,15,86.77
2013-02-15,15,83.61
2013-02-22,16,86.82
2013-03-01,16,92.58
2013-03-08,17,93.00
2013-03-15,17,91.81
2013-03-22,17,96.56
2013-03-29,18,
2013-04-05,18,104.04
2013-04-12,23,111.57
2013-04-19,20,111.38
2013-04-26,20,108.38
2013-05-03,15,106.48
2013-05-10,15,106.72
2013-05-17,21,105.63
2013-05-24,13,105.91
2013-05-31,14,100.53
2013-06-07,15,98.81
2013-06-14,14,97.42
2013-06-21,14,98.28
2013-06-28,14,98.66
2013-07-05,14,97.64
2013-07-12,14,104.27
2013-07-19,17,109.39
2013-07-26,19,109.60
2013-08-02,16,109.06
2013-08-09,16,109.63
2013-08-16,17,104.91
2013-08-23,19,105.60
2013-08-30,20,108.94
2013-09-06,13,111.01
2013-09-13,15,115.06
2013-09-20,17,116.85
2013-09-27,20,113.19
2013-10-04,15,112.91
2013-10-11,16,110.89
2013-10-18,14,114.92
2013-10-25,14,116.32
2013-11-01,13,118.69
2013-11-08,17,113.21
2013-11-15,21,114.98
2013-11-22,25,113.03
2013-11-29,17,114.08
2013-12-06,17,114.12
2013-12-13,17,112.16
2013-12-20,17,114.03
2013-12-27,17,115.12
2014-01-03,17,114.47
2014-01-10,17,117.99
2014-01-17,15,119.15
2014-01-24,12,119.29
2014-01-31,20,118.95
2014-02-07,22,118.90
2014-02-14,15,123.84
2014-02-21,19,123.85
2014-02-28,22,124.02
2014-03-07,19,122.26
2014-03-14,23,122.54
2014-03-21,22,122.93
2014-03-28,22,120.55
2014-04-04,20,119.11
2014-04-11,15,111.94
2014-04-18,11,
2014-04-25,16,111.41
2014-05-02,0,
