Date,Broadcom Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,39.64
2004-02-13,0,38.63
2004-02-20,0,41.18
2004-02-27,0,40.40
2004-03-05,0,41.25
2004-03-12,0,39.55
2004-03-19,0,37.95
2004-03-26,0,38.86
2004-04-02,0,41.40
2004-04-09,0,
2004-04-16,0,39.76
2004-04-23,0,42.21
2004-04-30,0,37.83
2004-05-07,100,39.12
2004-05-14,0,37.66
2004-05-21,0,40.75
2004-05-28,0,42.35
2004-06-04,0,41.64
2004-06-11,0,
2004-06-18,0,42.60
2004-06-25,0,45.41
2004-07-02,0,43.15
2004-07-09,0,39.31
2004-07-16,0,37.32
2004-07-23,0,34.18
2004-07-30,0,35.36
2004-08-06,0,31.92
2004-08-13,0,28.70
2004-08-20,0,30.20
2004-08-27,0,28.31
2004-09-03,0,25.98
2004-09-10,0,27.70
2004-09-17,0,28.86
2004-09-24,0,27.78
2004-10-01,0,28.96
2004-10-08,0,28.25
2004-10-15,0,28.20
2004-10-22,0,26.41
2004-10-29,0,27.05
2004-11-05,0,28.15
2004-11-12,0,29.33
2004-11-19,0,30.60
2004-11-26,0,31.87
2004-12-03,0,33.42
2004-12-10,0,31.38
2004-12-17,0,31.14
2004-12-24,0,
2004-12-31,0,32.28
2005-01-07,0,32.90
2005-01-14,0,31.82
2005-01-21,0,30.49
2005-01-28,0,31.52
2005-02-04,0,32.21
2005-02-11,0,32.81
2005-02-18,0,31.85
2005-02-25,0,32.88
2005-03-04,0,31.31
2005-03-11,0,31.33
2005-03-18,0,29.57
2005-03-25,0,
2005-04-01,0,29.49
2005-04-08,0,30.72
2005-04-15,0,27.48
2005-04-22,0,29.92
2005-04-29,46,29.90
2005-05-06,0,31.95
2005-05-13,0,33.86
2005-05-20,0,36.13
2005-05-27,0,35.99
2005-06-03,0,36.44
2005-06-10,0,35.03
2005-06-17,0,35.79
2005-06-24,0,36.79
2005-07-01,0,36.10
2005-07-08,0,37.66
2005-07-15,0,38.40
2005-07-22,0,43.00
2005-07-29,0,42.77
2005-08-05,0,42.54
2005-08-12,0,41.80
2005-08-19,0,41.88
2005-08-26,0,41.84
2005-09-02,0,43.04
2005-09-09,0,46.29
2005-09-16,0,45.88
2005-09-23,0,45.05
2005-09-30,0,46.92
2005-10-07,0,46.47
2005-10-14,0,43.73
2005-10-21,0,42.45
2005-10-28,0,41.42
2005-11-04,0,43.55
2005-11-11,0,45.35
2005-11-18,0,48.28
2005-11-25,0,48.07
2005-12-02,0,48.77
2005-12-09,0,48.49
2005-12-16,0,49.02
2005-12-23,0,48.45
2005-12-30,0,47.15
2006-01-06,0,52.41
2006-01-13,0,57.25
2006-01-20,0,56.38
2006-01-27,0,69.87
2006-02-03,0,67.58
2006-02-10,32,69.01
2006-02-17,0,67.90
2006-02-24,0,45.61
2006-03-03,0,48.63
2006-03-10,0,44.13
2006-03-17,0,44.99
2006-03-24,0,43.44
2006-03-31,0,43.16
2006-04-07,0,45.94
2006-04-14,0,
2006-04-21,0,43.65
2006-04-28,0,41.11
2006-05-05,0,41.15
2006-05-12,0,36.32
2006-05-19,0,37.20
2006-05-26,0,34.56
2006-06-02,0,34.32
2006-06-09,0,29.33
2006-06-16,0,32.15
2006-06-23,0,31.51
2006-06-30,0,30.33
2006-07-07,0,27.75
2006-07-14,0,28.13
2006-07-21,0,23.11
2006-07-28,39,23.95
2006-08-04,0,23.77
2006-08-11,0,25.03
2006-08-18,0,30.00
2006-08-25,0,28.54
2006-09-01,0,27.95
2006-09-08,0,26.09
2006-09-15,0,28.35
2006-09-22,0,27.85
2006-09-29,0,30.34
2006-10-06,0,29.37
2006-10-13,25,29.72
2006-10-20,32,27.51
2006-10-27,31,29.19
2006-11-03,31,30.21
2006-11-10,31,31.64
2006-11-17,39,34.99
2006-11-24,25,35.84
2006-12-01,25,32.34
2006-12-08,0,34.12
2006-12-15,0,33.59
2006-12-22,0,31.80
2006-12-29,0,32.31
2007-01-05,0,32.50
2007-01-12,0,32.42
2007-01-19,21,30.18
2007-01-26,23,31.42
2007-02-02,25,32.35
2007-02-09,27,34.22
2007-02-16,29,35.25
2007-02-23,21,36.40
2007-03-02,20,32.72
2007-03-09,30,33.66
2007-03-16,28,34.12
2007-03-23,20,32.32
2007-03-30,20,32.07
2007-04-06,25,
2007-04-13,30,32.74
2007-04-20,31,33.22
2007-04-27,35,33.40
2007-05-04,20,33.14
2007-05-11,25,33.20
2007-05-18,31,30.74
2007-05-25,20,30.52
2007-06-01,18,30.62
2007-06-08,18,30.57
2007-06-15,22,31.32
2007-06-22,25,30.52
2007-06-29,21,29.25
2007-07-06,26,30.63
2007-07-13,29,32.40
2007-07-20,31,34.44
2007-07-27,22,33.11
2007-08-03,25,32.96
2007-08-10,22,35.85
2007-08-17,22,34.41
2007-08-24,25,33.34
2007-08-31,29,34.50
2007-09-07,30,34.55
2007-09-14,37,35.50
2007-09-21,26,36.12
2007-09-28,25,36.44
2007-10-05,32,37.30
2007-10-12,28,40.03
2007-10-19,32,40.55
2007-10-26,18,33.64
2007-11-02,20,32.62
2007-11-09,28,30.97
2007-11-16,28,28.47
2007-11-23,22,27.83
2007-11-30,31,26.74
2007-12-07,24,28.58
2007-12-14,16,27.50
2007-12-21,18,26.47
2007-12-28,23,26.21
2008-01-04,27,24.80
2008-01-11,38,22.97
2008-01-18,25,23.50
2008-01-25,34,23.04
2008-02-01,39,23.43
2008-02-08,26,21.45
2008-02-15,20,20.00
2008-02-22,24,19.27
2008-02-29,28,18.91
2008-03-07,21,17.49
2008-03-14,25,17.03
2008-03-21,35,
2008-03-28,20,19.05
2008-04-04,22,21.41
2008-04-11,22,21.00
2008-04-18,14,23.07
2008-04-25,14,27.99
2008-05-02,23,26.49
2008-05-09,18,26.14
2008-05-16,27,28.76
2008-05-23,26,26.29
2008-05-30,23,28.69
2008-06-06,28,27.37
2008-06-13,22,25.79
2008-06-20,15,26.89
2008-06-27,20,27.44
2008-07-04,23,
2008-07-11,23,27.71
2008-07-18,21,28.79
2008-07-25,35,23.37
2008-08-01,14,23.99
2008-08-08,16,26.01
2008-08-15,24,27.46
2008-08-22,31,27.42
2008-08-29,22,24.06
2008-09-05,18,22.33
2008-09-12,19,22.15
2008-09-19,15,21.39
2008-09-26,19,19.08
2008-10-03,23,16.63
2008-10-10,24,14.86
2008-10-17,26,14.06
2008-10-24,14,15.64
2008-10-31,23,17.08
2008-11-07,17,16.59
2008-11-14,17,15.38
2008-11-21,20,14.09
2008-11-28,22,15.31
2008-12-05,19,14.94
2008-12-12,19,17.79
2008-12-19,20,17.59
2008-12-26,15,16.41
2009-01-02,14,17.57
2009-01-09,18,16.94
2009-01-16,28,17.13
2009-01-23,23,17.46
2009-01-30,17,15.85
2009-02-06,20,18.08
2009-02-13,12,18.10
2009-02-20,13,16.45
2009-02-27,20,16.45
2009-03-06,15,16.97
2009-03-13,19,19.11
2009-03-20,28,19.40
2009-03-27,17,20.66
2009-04-03,13,22.06
2009-04-10,22,
2009-04-17,13,22.93
2009-04-24,20,24.22
2009-05-01,18,23.06
2009-05-08,16,21.55
2009-05-15,17,20.83
2009-05-22,20,22.25
2009-05-29,17,25.48
2009-06-05,18,25.46
2009-06-12,14,26.30
2009-06-19,17,25.49
2009-06-26,17,24.62
2009-07-03,13,
2009-07-10,17,24.28
2009-07-17,16,27.47
2009-07-24,19,27.20
2009-07-31,21,28.23
2009-08-07,20,27.74
2009-08-14,17,26.67
2009-08-21,11,28.02
2009-08-28,20,28.78
2009-09-04,16,28.46
2009-09-11,14,30.19
2009-09-18,17,29.98
2009-09-25,14,29.15
2009-10-02,9,28.63
2009-10-09,22,29.54
2009-10-16,25,29.98
2009-10-23,20,28.50
2009-10-30,18,26.61
2009-11-06,25,26.88
2009-11-13,19,28.89
2009-11-20,18,28.76
2009-11-27,22,28.97
2009-12-04,21,30.77
2009-12-11,11,30.16
2009-12-18,16,31.55
2009-12-25,15,
2010-01-01,15,
2010-01-08,14,30.71
2010-01-15,16,29.51
2010-01-22,19,28.43
2010-01-29,19,26.72
2010-02-05,20,29.39
2010-02-12,20,30.95
2010-02-19,14,31.60
2010-02-26,17,31.32
2010-03-05,15,31.15
2010-03-12,24,32.63
2010-03-19,14,33.67
2010-03-26,19,33.12
2010-04-02,17,
2010-04-09,16,34.28
2010-04-16,17,35.11
2010-04-23,16,35.63
2010-04-30,13,34.50
2010-05-07,9,31.99
2010-05-14,11,32.29
2010-05-21,7,32.67
2010-05-28,11,34.50
2010-06-04,18,33.59
2010-06-11,10,33.88
2010-06-18,11,35.41
2010-06-25,12,34.42
2010-07-02,12,33.50
2010-07-09,9,36.30
2010-07-16,11,35.99
2010-07-23,14,37.76
2010-07-30,14,36.03
2010-08-06,20,36.46
2010-08-13,16,31.93
2010-08-20,9,32.97
2010-08-27,14,33.01
2010-09-03,13,33.23
2010-09-10,12,33.86
2010-09-17,15,34.16
2010-09-24,11,33.87
2010-10-01,13,34.72
2010-10-08,10,35.74
2010-10-15,11,37.73
2010-10-22,16,37.55
2010-10-29,13,40.83
2010-11-05,11,42.34
2010-11-12,20,41.34
2010-11-19,12,43.22
2010-11-26,15,44.95
2010-12-03,11,45.76
2010-12-10,13,46.05
2010-12-17,11,43.82
2010-12-24,13,
2010-12-31,14,43.55
2011-01-07,15,44.89
2011-01-14,11,47.34
2011-01-21,13,44.51
2011-01-28,10,44.32
2011-02-04,14,45.82
2011-02-11,18,43.63
2011-02-18,8,42.09
2011-02-25,14,42.11
2011-03-04,12,42.04
2011-03-11,13,40.15
2011-03-18,12,39.67
2011-03-25,10,40.95
2011-04-01,15,38.36
2011-04-08,11,39.90
2011-04-15,11,38.23
2011-04-22,16,
2011-04-29,14,35.19
2011-05-06,15,34.14
2011-05-13,17,34.45
2011-05-20,15,33.51
2011-05-27,15,36.52
2011-06-03,13,34.45
2011-06-10,11,33.10
2011-06-17,11,31.61
2011-06-24,13,32.22
2011-07-01,10,34.41
2011-07-08,13,34.62
2011-07-15,9,33.27
2011-07-22,10,35.47
2011-07-29,9,37.07
2011-08-05,11,33.87
2011-08-12,6,33.84
2011-08-19,14,31.29
2011-08-26,11,33.91
2011-09-02,10,34.57
2011-09-09,13,33.44
2011-09-16,13,35.67
2011-09-23,11,34.53
2011-09-30,10,33.29
2011-10-07,5,35.27
2011-10-14,11,37.93
2011-10-21,12,37.22
2011-10-28,14,36.64
2011-11-04,7,36.01
2011-11-11,6,35.33
2011-11-18,8,32.77
2011-11-25,10,29.58
2011-12-02,9,29.99
2011-12-09,9,30.29
2011-12-16,10,28.72
2011-12-23,12,29.77
2011-12-30,14,29.36
2012-01-06,15,30.14
2012-01-13,8,31.83
2012-01-20,9,35.00
2012-01-27,11,35.06
2012-02-03,9,37.68
2012-02-10,8,37.00
2012-02-17,9,37.66
2012-02-24,11,36.75
2012-03-02,7,36.18
2012-03-09,7,36.38
2012-03-16,12,37.81
2012-03-23,8,38.47
2012-03-30,12,39.30
2012-04-06,11,
2012-04-13,10,36.71
2012-04-20,11,34.77
2012-04-27,7,36.47
2012-05-04,9,34.63
2012-05-11,8,33.79
2012-05-18,10,31.32
2012-05-25,8,31.68
2012-06-01,8,31.74
2012-06-08,11,34.06
2012-06-15,8,34.28
2012-06-22,12,34.38
2012-06-29,8,33.76
2012-07-06,10,32.57
2012-07-13,10,31.02
2012-07-20,14,31.62
2012-07-27,8,33.72
2012-08-03,7,34.01
2012-08-10,6,35.35
2012-08-17,12,35.83
2012-08-24,10,35.35
2012-08-31,8,35.53
2012-09-07,7,36.11
2012-09-14,9,36.23
2012-09-21,11,36.24
2012-09-28,13,34.57
2012-10-05,11,34.28
2012-10-12,8,32.90
2012-10-19,10,33.33
2012-10-26,17,31.76
2012-11-02,9,31.45
2012-11-09,11,30.61
2012-11-16,10,30.47
2012-11-23,8,31.58
2012-11-30,9,32.38
2012-12-07,10,34.23
2012-12-14,9,32.06
2012-12-21,8,33.18
2012-12-28,8,32.48
2013-01-04,8,34.44
2013-01-11,13,34.82
2013-01-18,9,34.81
2013-01-25,9,34.25
2013-02-01,12,33.09
2013-02-08,9,33.24
2013-02-15,8,34.44
2013-02-22,10,34.53
2013-03-01,10,33.87
2013-03-08,8,33.50
2013-03-15,11,34.65
2013-03-22,11,34.42
2013-03-29,11,
2013-04-05,10,33.08
2013-04-12,10,33.87
2013-04-19,11,31.89
2013-04-26,7,34.54
2013-05-03,9,36.06
2013-05-10,10,36.62
2013-05-17,10,37.55
2013-05-24,10,36.59
2013-05-31,7,35.91
2013-06-07,6,35.39
2013-06-14,7,33.79
2013-06-21,8,33.24
2013-06-28,7,33.79
2013-07-05,12,33.77
2013-07-12,6,34.83
2013-07-19,8,33.69
2013-07-26,6,27.30
2013-08-02,9,26.89
2013-08-09,9,26.06
2013-08-16,5,25.91
2013-08-23,8,25.24
2013-08-30,11,25.26
2013-09-06,7,26.49
2013-09-13,8,26.10
2013-09-20,10,27.34
2013-09-27,12,25.84
2013-10-04,9,26.64
2013-10-11,10,26.51
2013-10-18,13,27.16
2013-10-25,11,26.41
2013-11-01,8,26.77
2013-11-08,9,26.50
2013-11-15,12,27.05
2013-11-22,8,26.35
2013-11-29,8,26.69
2013-12-06,10,27.53
2013-12-13,8,28.01
2013-12-20,9,28.57
2013-12-27,14,29.29
2014-01-03,10,28.97
2014-01-10,8,28.91
2014-01-17,8,29.00
2014-01-24,8,29.39
2014-01-31,8,29.76
2014-02-07,8,30.46
2014-02-14,10,31.30
2014-02-21,7,30.76
2014-02-28,9,29.71
2014-03-07,11,30.57
2014-03-14,8,29.94
2014-03-21,7,31.28
2014-03-28,10,31.03
2014-04-04,9,30.68
2014-04-11,10,29.32
2014-04-18,12,
2014-04-25,11,29.76
2014-05-02,0,
