Date,WEC,Price
2004-01-09,0,
2004-01-16,7,
2004-01-23,4,
2004-01-30,4,
2004-02-06,4,33.83
2004-02-13,4,33.32
2004-02-20,5,32.56
2004-02-27,5,32.32
2004-03-05,6,33.00
2004-03-12,6,32.41
2004-03-19,6,32.55
2004-03-26,5,31.77
2004-04-02,5,32.34
2004-04-09,5,
2004-04-16,5,30.77
2004-04-23,4,31.27
2004-04-30,3,31.40
2004-05-07,4,31.00
2004-05-14,3,29.98
2004-05-21,4,29.80
2004-05-28,3,31.81
2004-06-04,4,31.45
2004-06-11,3,
2004-06-18,5,31.80
2004-06-25,3,32.45
2004-07-02,6,32.42
2004-07-09,4,31.70
2004-07-16,4,32.48
2004-07-23,4,31.66
2004-07-30,4,32.15
2004-08-06,5,32.05
2004-08-13,3,31.95
2004-08-20,4,31.86
2004-08-27,4,32.52
2004-09-03,6,32.52
2004-09-10,4,32.27
2004-09-17,3,31.98
2004-09-24,3,31.69
2004-10-01,4,32.20
2004-10-08,3,31.82
2004-10-15,5,32.24
2004-10-22,5,31.55
2004-10-29,4,32.64
2004-11-05,3,33.95
2004-11-12,4,34.18
2004-11-19,3,33.55
2004-11-26,3,34.37
2004-12-03,3,33.39
2004-12-10,3,33.37
2004-12-17,3,34.25
2004-12-24,4,
2004-12-31,4,33.71
2005-01-07,5,33.70
2005-01-14,6,34.15
2005-01-21,5,33.78
2005-01-28,5,33.94
2005-02-04,3,35.06
2005-02-11,5,35.22
2005-02-18,4,35.23
2005-02-25,5,35.02
2005-03-04,3,35.44
2005-03-11,3,34.77
2005-03-18,4,34.65
2005-03-25,5,
2005-04-01,6,35.44
2005-04-08,7,35.40
2005-04-15,4,34.96
2005-04-22,4,35.27
2005-04-29,4,35.26
2005-05-06,6,35.20
2005-05-13,5,34.85
2005-05-20,3,35.74
2005-05-27,3,36.31
2005-06-03,5,36.85
2005-06-10,5,37.10
2005-06-17,5,37.18
2005-06-24,4,37.35
2005-07-01,4,39.12
2005-07-08,6,39.00
2005-07-15,4,39.16
2005-07-22,5,38.95
2005-07-29,5,40.15
2005-08-05,5,39.20
2005-08-12,4,38.31
2005-08-19,4,38.05
2005-08-26,7,38.63
2005-09-02,5,39.23
2005-09-09,5,39.56
2005-09-16,5,39.97
2005-09-23,4,38.98
2005-09-30,4,39.92
2005-10-07,6,38.04
2005-10-14,6,37.48
2005-10-21,6,37.66
