Date,Prudential Financial,Price
2004-01-09,34,
2004-01-16,47,
2004-01-23,53,
2004-01-30,51,
2004-02-06,52,45.55
2004-02-13,65,46.11
2004-02-20,48,46.23
2004-02-27,54,46.39
2004-03-05,47,47.42
2004-03-12,44,45.71
2004-03-19,44,45.75
2004-03-26,48,44.02
2004-04-02,52,45.76
2004-04-09,39,
2004-04-16,64,44.25
2004-04-23,29,44.62
2004-04-30,44,43.94
2004-05-07,24,41.76
2004-05-14,26,43.00
2004-05-21,50,42.38
2004-05-28,52,44.30
2004-06-04,36,44.66
2004-06-11,46,
2004-06-18,47,45.40
2004-06-25,33,45.66
2004-07-02,33,46.15
2004-07-09,36,44.81
2004-07-16,43,45.96
2004-07-23,49,45.39
2004-07-30,32,46.56
2004-08-06,100,45.08
2004-08-13,35,44.30
2004-08-20,48,45.96
2004-08-27,50,46.12
2004-09-03,37,47.25
2004-09-10,57,47.96
2004-09-17,31,48.00
2004-09-24,49,47.28
2004-10-01,34,47.75
2004-10-08,60,47.01
2004-10-15,36,44.65
2004-10-22,52,44.32
2004-10-29,38,46.47
2004-11-05,27,49.41
2004-11-12,26,48.00
2004-11-19,26,47.53
2004-11-26,24,49.38
2004-12-03,29,51.64
2004-12-10,29,51.89
2004-12-17,30,54.12
2004-12-24,33,
2004-12-31,26,54.96
2005-01-07,29,52.62
2005-01-14,40,53.88
2005-01-21,38,53.92
2005-01-28,47,53.41
2005-02-04,25,56.20
2005-02-11,37,58.05
2005-02-18,26,58.20
2005-02-25,39,57.94
2005-03-04,51,58.30
2005-03-11,41,57.97
2005-03-18,27,59.32
2005-03-25,35,
2005-04-01,41,57.11
2005-04-08,55,57.77
2005-04-15,39,56.29
2005-04-22,31,55.90
2005-04-29,36,57.15
2005-05-06,30,59.32
2005-05-13,24,59.03
2005-05-20,38,61.05
2005-05-27,39,62.77
2005-06-03,18,61.05
2005-06-10,42,63.69
2005-06-17,34,64.09
2005-06-24,31,64.79
2005-07-01,32,66.48
2005-07-08,26,67.48
2005-07-15,25,65.87
2005-07-22,30,65.42
2005-07-29,27,66.90
2005-08-05,34,64.99
