Date,PFG,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,29,
2004-01-30,21,
2004-02-06,21,35.88
2004-02-13,21,36.46
2004-02-20,26,36.72
2004-02-27,18,36.20
2004-03-05,18,36.74
2004-03-12,18,35.02
2004-03-19,18,34.97
2004-03-26,19,35.02
2004-04-02,19,35.73
2004-04-09,24,
2004-04-16,28,35.22
2004-04-23,32,35.17
2004-04-30,17,35.30
2004-05-07,19,33.00
2004-05-14,23,34.93
2004-05-21,26,34.73
2004-05-28,29,34.95
2004-06-04,19,35.58
2004-06-11,19,
2004-06-18,25,35.15
2004-06-25,24,34.56
2004-07-02,29,35.30
2004-07-09,23,35.48
2004-07-16,23,34.40
2004-07-23,24,33.75
2004-07-30,25,33.99
2004-08-06,33,32.22
2004-08-13,35,32.72
2004-08-20,37,33.68
2004-08-27,27,34.10
2004-09-03,33,35.10
2004-09-10,17,35.45
2004-09-17,21,36.10
2004-09-24,20,35.32
2004-10-01,28,36.71
2004-10-08,20,36.16
2004-10-15,20,35.07
2004-10-22,20,35.51
2004-10-29,23,37.76
2004-11-05,27,38.37
2004-11-12,31,38.74
2004-11-19,25,38.31
2004-11-26,25,38.24
2004-12-03,23,38.80
2004-12-10,15,39.00
2004-12-17,19,39.86
2004-12-24,20,
2004-12-31,20,40.94
2005-01-07,21,39.81
2005-01-14,24,40.27
2005-01-21,23,39.89
2005-01-28,22,39.74
2005-02-04,23,41.45
2005-02-11,22,39.76
2005-02-18,20,39.39
2005-02-25,16,39.49
2005-03-04,22,38.89
2005-03-11,24,38.17
2005-03-18,17,38.96
2005-03-25,16,
2005-04-01,25,38.11
2005-04-08,30,38.10
2005-04-15,24,37.11
2005-04-22,20,37.56
2005-04-29,28,39.08
2005-05-06,18,40.02
2005-05-13,24,38.95
2005-05-20,20,39.82
2005-05-27,18,39.79
2005-06-03,30,39.40
2005-06-10,24,39.89
2005-06-17,24,41.15
2005-06-24,23,41.21
2005-07-01,27,42.32
2005-07-08,24,43.49
2005-07-15,18,43.84
2005-07-22,27,43.99
2005-07-29,19,43.95
2005-08-05,36,44.61
2005-08-12,22,45.89
2005-08-19,16,45.93
2005-08-26,25,45.89
2005-09-02,27,46.52
2005-09-09,24,47.58
2005-09-16,31,46.96
2005-09-23,20,46.74
2005-09-30,14,47.37
2005-10-07,29,46.74
2005-10-14,22,47.27
2005-10-21,27,48.29
2005-10-28,19,49.56
2005-11-04,26,50.37
2005-11-11,29,51.70
2005-11-18,25,49.65
2005-11-25,29,50.30
2005-12-02,29,50.41
2005-12-09,26,49.66
2005-12-16,22,49.72
2005-12-23,25,48.28
2005-12-30,25,47.43
2006-01-06,12,47.29
2006-01-13,29,47.61
2006-01-20,22,45.97
2006-01-27,27,47.20
2006-02-03,28,46.53
2006-02-10,25,47.76
2006-02-17,26,48.01
2006-02-24,24,49.24
2006-03-03,23,48.14
2006-03-10,23,48.60
2006-03-17,17,50.15
2006-03-24,17,49.75
2006-03-31,15,48.80
2006-04-07,22,49.04
2006-04-14,19,
2006-04-21,25,50.47
2006-04-28,20,51.31
2006-05-05,22,53.55
2006-05-12,19,53.04
2006-05-19,27,52.18
2006-05-26,25,54.45
2006-06-02,20,54.93
2006-06-09,25,53.92
2006-06-16,29,53.47
2006-06-23,21,53.02
2006-06-30,23,55.65
2006-07-07,22,55.45
2006-07-14,22,53.41
2006-07-21,17,53.78
2006-07-28,22,54.08
2006-08-04,18,52.99
2006-08-11,24,53.48
2006-08-18,29,53.59
2006-08-25,20,52.92
2006-09-01,15,53.10
2006-09-08,20,53.07
2006-09-15,14,53.52
2006-09-22,20,53.71
2006-09-29,24,54.28
2006-10-06,18,54.42
2006-10-13,21,54.89
2006-10-20,21,55.53
2006-10-27,24,56.00
2006-11-03,29,56.10
2006-11-10,19,58.18
2006-11-17,17,59.25
2006-11-24,18,57.56
2006-12-01,21,57.42
2006-12-08,20,58.27
2006-12-15,18,58.31
2006-12-22,19,58.62
2006-12-29,16,58.70
2007-01-05,21,58.57
2007-01-12,23,60.37
2007-01-19,29,60.53
2007-01-26,27,60.21
2007-02-02,26,62.77
2007-02-09,21,62.66
2007-02-16,18,63.48
2007-02-23,23,62.89
2007-03-02,21,60.04
2007-03-09,24,60.43
2007-03-16,19,59.03
2007-03-23,20,60.85
2007-03-30,23,59.87
2007-04-06,23,
2007-04-13,29,60.26
2007-04-20,23,63.37
2007-04-27,24,64.09
2007-05-04,18,63.04
2007-05-11,22,61.40
2007-05-18,27,61.72
2007-05-25,26,61.01
2007-06-01,22,61.45
2007-06-08,22,59.12
2007-06-15,18,59.86
2007-06-22,20,57.33
2007-06-29,23,58.29
2007-07-06,17,60.06
2007-07-13,28,61.86
2007-07-20,20,61.03
2007-07-27,21,55.99
2007-08-03,21,52.77
2007-08-10,22,55.67
2007-08-17,18,56.99
2007-08-24,20,57.55
2007-08-31,25,55.49
2007-09-07,21,55.13
2007-09-14,19,57.79
2007-09-21,20,59.94
2007-09-28,20,63.09
2007-10-05,21,64.35
2007-10-12,23,65.56
2007-10-19,16,60.88
2007-10-26,20,65.29
2007-11-02,24,66.44
2007-11-09,27,65.34
2007-11-16,23,66.31
2007-11-23,25,66.24
2007-11-30,27,65.49
2007-12-07,31,66.60
2007-12-14,26,67.41
2007-12-21,24,69.72
2007-12-28,20,69.12
2008-01-04,26,67.09
2008-01-11,28,66.23
2008-01-18,23,59.88
2008-01-25,28,57.36
2008-02-01,26,61.21
2008-02-08,21,55.01
2008-02-15,19,56.79
2008-02-22,19,58.34
2008-02-29,19,55.23
2008-03-07,21,51.68
2008-03-14,22,49.15
2008-03-21,24,
2008-03-28,23,54.66
2008-04-04,29,57.27
2008-04-11,20,53.21
2008-04-18,23,54.98
2008-04-25,19,54.06
2008-05-02,20,57.92
2008-05-09,27,53.57
2008-05-16,21,55.78
2008-05-23,29,52.23
2008-05-30,25,53.88
2008-06-06,21,49.19
2008-06-13,22,50.65
2008-06-20,15,48.27
2008-06-27,25,42.52
2008-07-04,19,
2008-07-11,18,37.36
2008-07-18,23,39.68
2008-07-25,23,41.25
2008-08-01,21,41.98
2008-08-08,23,45.99
2008-08-15,24,48.93
2008-08-22,19,45.05
2008-08-29,24,45.79
2008-09-05,18,44.70
2008-09-12,23,47.44
2008-09-19,30,51.95
2008-09-26,23,44.15
2008-10-03,28,32.51
2008-10-10,32,18.20
2008-10-17,32,20.91
2008-10-24,27,19.61
2008-10-31,24,18.99
2008-11-07,24,25.19
2008-11-14,25,16.83
2008-11-21,29,10.00
2008-11-28,20,13.81
2008-12-05,26,19.20
2008-12-12,28,17.85
2008-12-19,19,20.31
2008-12-26,20,19.49
2009-01-02,22,23.60
2009-01-09,28,20.94
2009-01-16,24,16.19
2009-01-23,21,15.70
2009-01-30,24,16.59
2009-02-06,24,16.83
2009-02-13,32,11.64
2009-02-20,25,10.52
2009-02-27,30,7.99
2009-03-06,29,6.08
2009-03-13,33,7.77
2009-03-20,29,7.00
2009-03-27,34,10.30
2009-04-03,32,10.53
2009-04-10,27,
2009-04-17,26,14.72
2009-04-24,25,15.31
2009-05-01,28,15.43
2009-05-08,28,23.68
2009-05-15,29,18.58
2009-05-22,28,20.58
2009-05-29,25,22.20
2009-06-05,25,22.23
2009-06-12,25,20.89
2009-06-19,23,19.00
2009-06-26,22,19.11
2009-07-03,24,
2009-07-10,25,17.14
2009-07-17,24,19.78
2009-07-24,24,22.88
2009-07-31,28,23.70
2009-08-07,29,25.75
2009-08-14,25,25.54
2009-08-21,23,27.74
2009-08-28,25,28.88
2009-09-04,28,26.06
2009-09-11,26,27.83
2009-09-18,25,28.29
2009-09-25,24,25.80
2009-10-02,27,25.26
2009-10-09,31,28.29
2009-10-16,23,28.85
2009-10-23,26,28.21
2009-10-30,25,25.04
2009-11-06,22,25.71
2009-11-13,22,25.73
2009-11-20,23,25.78
2009-11-27,19,25.00
2009-12-04,22,24.09
2009-12-11,20,23.60
2009-12-18,18,23.72
2009-12-25,17,
2010-01-01,18,
2010-01-08,24,25.67
2010-01-15,19,25.26
2010-01-22,22,23.34
2010-01-29,21,23.05
2010-02-05,20,22.46
2010-02-12,21,22.04
2010-02-19,19,22.83
2010-02-26,22,23.21
2010-03-05,22,24.80
2010-03-12,21,25.61
2010-03-19,24,27.40
2010-03-26,23,29.17
2010-04-02,23,
2010-04-09,21,29.30
2010-04-16,25,29.04
2010-04-23,24,31.04
2010-04-30,27,29.22
2010-05-07,20,27.67
2010-05-14,25,28.90
2010-05-21,23,26.20
2010-05-28,23,27.19
2010-06-04,22,25.87
2010-06-11,20,25.75
2010-06-18,21,26.35
2010-06-25,25,25.40
2010-07-02,26,23.01
2010-07-09,20,24.87
2010-07-16,21,23.80
2010-07-23,21,25.59
2010-07-30,22,25.61
2010-08-06,26,24.00
2010-08-13,20,22.89
2010-08-20,24,22.39
2010-08-27,20,23.21
2010-09-03,19,25.56
2010-09-10,22,25.45
2010-09-17,19,25.35
2010-09-24,27,25.90
2010-10-01,24,25.92
2010-10-08,24,27.36
2010-10-15,21,26.48
2010-10-22,23,27.07
2010-10-29,24,26.84
2010-11-05,22,29.80
2010-11-12,21,28.34
2010-11-19,22,28.81
2010-11-26,20,27.53
2010-12-03,21,29.68
2010-12-10,22,31.45
2010-12-17,21,31.93
2010-12-24,17,
2010-12-31,17,32.56
2011-01-07,22,32.44
2011-01-14,20,33.35
2011-01-21,20,32.36
2011-01-28,20,32.55
2011-02-04,22,33.56
2011-02-11,23,32.53
2011-02-18,22,34.69
2011-02-25,21,33.94
2011-03-04,22,32.99
2011-03-11,26,32.33
2011-03-18,25,31.75
2011-03-25,25,31.86
2011-04-01,24,31.73
2011-04-08,23,31.72
2011-04-15,24,31.40
2011-04-22,24,
2011-04-29,24,33.75
2011-05-06,24,31.41
2011-05-13,27,31.02
2011-05-20,28,31.58
2011-05-27,22,30.97
2011-06-03,24,29.88
2011-06-10,25,28.29
2011-06-17,24,29.10
2011-06-24,23,29.01
2011-07-01,19,30.87
2011-07-08,23,30.15
2011-07-15,21,28.41
2011-07-22,23,28.99
2011-07-29,26,27.63
2011-08-05,25,25.33
2011-08-12,23,23.48
2011-08-19,26,21.63
2011-08-26,24,23.67
2011-09-02,26,23.25
2011-09-09,26,23.02
2011-09-16,21,25.49
2011-09-23,23,22.89
2011-09-30,25,22.67
2011-10-07,23,22.67
2011-10-14,23,25.15
2011-10-21,26,25.96
2011-10-28,23,26.98
2011-11-04,21,24.99
2011-11-11,25,24.02
2011-11-18,21,23.75
2011-11-25,19,21.43
2011-12-02,22,24.30
2011-12-09,20,24.53
2011-12-16,22,23.54
2011-12-23,17,24.95
2011-12-30,13,24.60
2012-01-06,17,24.47
2012-01-13,18,26.10
2012-01-20,22,27.07
2012-01-27,20,27.54
2012-02-03,20,27.50
2012-02-10,22,26.21
2012-02-17,20,27.40
2012-02-24,22,27.85
2012-03-02,21,27.58
2012-03-09,22,27.14
2012-03-16,22,29.17
2012-03-23,25,29.12
2012-03-30,26,29.51
2012-04-06,23,
2012-04-13,25,27.71
2012-04-20,24,28.16
2012-04-27,25,27.69
2012-05-04,22,26.09
2012-05-11,26,25.22
2012-05-18,25,23.47
2012-05-25,27,24.44
2012-06-01,24,23.30
2012-06-08,24,24.81
2012-06-15,27,25.40
2012-06-22,22,24.85
2012-06-29,23,26.23
2012-07-06,23,26.04
2012-07-13,100,26.11
2012-07-20,38,25.58
2012-07-27,30,24.98
2012-08-03,25,26.11
2012-08-10,22,26.23
2012-08-17,23,26.55
2012-08-24,23,27.27
2012-08-31,23,27.44
2012-09-07,24,28.31
2012-09-14,23,29.16
2012-09-21,23,27.92
2012-09-28,24,26.94
2012-10-05,23,27.76
2012-10-12,20,26.92
2012-10-19,23,28.16
2012-10-26,19,27.70
2012-11-02,21,28.17
2012-11-09,20,26.60
2012-11-16,22,26.32
2012-11-23,17,27.33
2012-11-30,23,27.15
2012-12-07,20,27.66
2012-12-14,18,27.51
2012-12-21,19,28.05
2012-12-28,17,28.08
2013-01-04,20,29.33
2013-01-11,16,29.20
2013-01-18,21,29.51
2013-01-25,18,30.78
2013-02-01,23,30.52
2013-02-08,23,30.90
2013-02-15,20,31.69
2013-02-22,19,31.61
2013-03-01,22,31.55
2013-03-08,25,33.42
2013-03-15,25,34.09
2013-03-22,23,33.53
2013-03-29,21,
2013-04-05,24,33.47
2013-04-12,29,35.45
2013-04-19,24,34.34
2013-04-26,26,35.74
2013-05-03,26,36.72
2013-05-10,27,37.05
2013-05-17,22,38.14
2013-05-24,26,37.22
2013-05-31,24,37.85
2013-06-07,24,38.58
2013-06-14,22,38.04
2013-06-21,24,36.80
2013-06-28,23,37.45
2013-07-05,20,37.91
2013-07-12,23,38.90
2013-07-19,25,39.68
2013-07-26,29,42.99
2013-08-02,24,44.37
2013-08-09,23,42.89
2013-08-16,24,42.48
2013-08-23,24,42.31
2013-08-30,24,40.92
2013-09-06,24,42.04
2013-09-13,24,43.09
2013-09-20,23,43.24
2013-09-27,25,43.19
2013-10-04,26,43.41
2013-10-11,23,43.94
2013-10-18,21,46.36
2013-10-25,25,46.85
2013-11-01,23,47.48
2013-11-08,21,48.44
2013-11-15,24,49.19
2013-11-22,23,50.16
2013-11-29,23,50.63
2013-12-06,25,49.46
2013-12-13,28,48.08
2013-12-20,19,48.75
2013-12-27,17,49.38
2014-01-03,18,48.96
2014-01-10,20,49.56
2014-01-17,18,47.44
2014-01-24,21,43.97
2014-01-31,24,43.57
2014-02-07,23,43.49
2014-02-14,22,44.54
2014-02-21,26,44.48
2014-02-28,27,45.35
2014-03-07,27,47.28
2014-03-14,29,45.37
2014-03-21,26,46.42
2014-03-28,27,45.81
2014-04-04,27,46.67
2014-04-11,25,43.28
2014-04-18,25,
2014-04-25,24,46.29
2014-05-02,27,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
