Date,ARG,Price
2004-01-09,32,
2004-01-16,35,
2004-01-23,31,
2004-01-30,29,
2004-02-06,29,22.60
2004-02-13,29,22.12
2004-02-20,29,21.62
2004-02-27,34,20.75
2004-03-05,23,21.53
2004-03-12,22,21.30
2004-03-19,33,20.34
2004-03-26,20,20.81
2004-04-02,26,21.90
2004-04-09,26,
2004-04-16,29,20.83
2004-04-23,28,21.90
2004-04-30,27,22.15
2004-05-07,28,21.43
2004-05-14,25,21.56
2004-05-21,26,21.50
2004-05-28,23,21.78
2004-06-04,29,22.35
2004-06-11,35,
2004-06-18,29,23.68
2004-06-25,29,23.45
2004-07-02,28,23.38
2004-07-09,28,23.66
2004-07-16,23,24.10
2004-07-23,24,22.35
2004-07-30,31,21.75
2004-08-06,31,21.14
2004-08-13,33,21.10
2004-08-20,35,21.95
2004-08-27,37,21.98
2004-09-03,34,23.23
2004-09-10,33,23.13
2004-09-17,34,22.83
2004-09-24,35,23.90
2004-10-01,32,25.10
2004-10-08,30,24.40
2004-10-15,40,23.99
2004-10-22,37,23.61
2004-10-29,38,24.60
2004-11-05,33,25.63
2004-11-12,29,26.91
2004-11-19,32,26.05
2004-11-26,33,26.34
2004-12-03,27,26.85
2004-12-10,32,25.00
2004-12-17,28,25.65
2004-12-24,30,
2004-12-31,30,26.51
2005-01-07,30,25.57
2005-01-14,27,25.62
2005-01-21,25,25.12
2005-01-28,32,23.45
2005-02-04,26,24.85
2005-02-11,31,24.97
2005-02-18,33,24.55
2005-02-25,32,24.90
2005-03-04,26,26.25
2005-03-11,28,25.61
2005-03-18,32,24.65
2005-03-25,31,
2005-04-01,32,23.69
2005-04-08,27,23.69
2005-04-15,30,22.07
2005-04-22,27,22.03
2005-04-29,34,21.92
2005-05-06,39,23.50
2005-05-13,27,22.61
2005-05-20,30,24.32
2005-05-27,28,23.84
2005-06-03,27,24.18
2005-06-10,26,24.07
2005-06-17,30,25.00
2005-06-24,31,24.06
2005-07-01,36,24.85
2005-07-08,33,25.97
2005-07-15,33,26.00
2005-07-22,34,26.40
2005-07-29,28,29.50
2005-08-05,39,28.82
2005-08-12,30,28.89
2005-08-19,28,28.40
2005-08-26,30,27.70
2005-09-02,29,28.21
2005-09-09,32,29.00
2005-09-16,26,28.84
2005-09-23,32,27.59
2005-09-30,36,29.63
2005-10-07,32,28.98
2005-10-14,37,28.17
2005-10-21,31,27.70
2005-10-28,31,27.51
2005-11-04,32,28.64
2005-11-11,37,29.30
2005-11-18,34,30.34
2005-11-25,34,30.50
2005-12-02,31,31.68
2005-12-09,34,31.74
2005-12-16,30,32.30
2005-12-23,34,33.24
2005-12-30,26,32.90
2006-01-06,28,33.49
2006-01-13,30,32.44
2006-01-20,29,32.07
2006-01-27,30,36.94
2006-02-03,30,37.09
2006-02-10,26,37.41
2006-02-17,34,36.44
2006-02-24,31,38.00
2006-03-03,30,37.41
2006-03-10,28,37.40
2006-03-17,35,39.24
2006-03-24,31,39.58
2006-03-31,30,39.09
2006-04-07,35,39.00
2006-04-14,32,
2006-04-21,35,41.08
2006-04-28,32,40.45
2006-05-05,32,37.11
2006-05-12,31,37.49
2006-05-19,36,35.89
2006-05-26,33,37.89
2006-06-02,34,39.08
2006-06-09,33,35.86
2006-06-16,36,35.22
2006-06-23,34,36.07
2006-06-30,39,37.25
2006-07-07,32,37.02
2006-07-14,32,35.85
2006-07-21,31,34.61
2006-07-28,39,36.48
2006-08-04,31,37.25
2006-08-11,35,35.56
2006-08-18,31,36.63
2006-08-25,38,35.31
2006-09-01,33,36.17
2006-09-08,32,34.11
2006-09-15,36,36.63
2006-09-22,34,35.30
2006-09-29,37,36.17
2006-10-06,32,37.21
2006-10-13,38,38.64
2006-10-20,30,37.59
2006-10-27,33,37.76
2006-11-03,38,37.46
2006-11-10,30,38.31
2006-11-17,32,39.83
2006-11-24,34,41.50
2006-12-01,36,42.64
2006-12-08,30,42.87
2006-12-15,34,41.45
2006-12-22,32,40.51
2006-12-29,28,40.52
2007-01-05,31,40.46
2007-01-12,32,40.36
2007-01-19,30,40.25
2007-01-26,34,42.05
2007-02-02,31,40.71
2007-02-09,32,41.00
2007-02-16,32,41.26
2007-02-23,39,41.75
2007-03-02,28,40.00
2007-03-09,32,42.27
2007-03-16,36,40.64
2007-03-23,33,42.72
2007-03-30,33,42.15
