Date,AIV,Price
2004-01-09,75,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,35.45
2004-02-13,0,32.90
2004-02-20,58,32.16
2004-02-27,63,32.40
2004-03-05,55,33.65
2004-03-12,55,32.30
2004-03-19,55,31.22
2004-03-26,55,30.85
2004-04-02,55,30.92
2004-04-09,69,
2004-04-16,82,29.00
2004-04-23,96,28.47
2004-04-30,81,28.17
2004-05-07,53,29.00
2004-05-14,83,27.88
2004-05-21,95,28.39
2004-05-28,58,28.88
2004-06-04,82,28.63
2004-06-11,63,
2004-06-18,52,30.24
2004-06-25,54,31.18
2004-07-02,59,32.01
2004-07-09,65,32.97
2004-07-16,70,33.01
2004-07-23,64,32.53
2004-07-30,60,31.97
2004-08-06,60,32.05
2004-08-13,60,32.23
2004-08-20,60,33.09
2004-08-27,60,34.25
2004-09-03,77,36.42
2004-09-10,94,35.15
2004-09-17,69,34.95
2004-09-24,73,34.45
2004-10-01,54,35.46
2004-10-08,64,35.32
2004-10-15,76,35.59
2004-10-22,71,35.89
2004-10-29,81,36.69
2004-11-05,44,37.06
2004-11-12,54,38.22
2004-11-19,64,36.28
2004-11-26,66,36.90
2004-12-03,66,37.31
2004-12-10,58,37.30
2004-12-17,80,37.40
2004-12-24,84,
2004-12-31,58,38.54
2005-01-07,58,35.96
2005-01-14,47,35.85
2005-01-21,73,36.49
2005-01-28,49,35.87
2005-02-04,52,36.00
2005-02-11,93,36.94
2005-02-18,52,38.17
2005-02-25,78,38.32
2005-03-04,37,38.50
2005-03-11,53,37.28
2005-03-18,89,37.14
2005-03-25,70,
2005-04-01,54,37.23
2005-04-08,53,36.90
2005-04-15,42,36.54
2005-04-22,50,37.50
2005-04-29,56,38.12
2005-05-06,47,38.45
2005-05-13,74,37.30
2005-05-20,55,38.42
2005-05-27,52,37.18
2005-06-03,52,38.22
2005-06-10,81,39.50
2005-06-17,48,40.94
2005-06-24,73,39.86
2005-07-01,98,41.04
2005-07-08,91,41.67
2005-07-15,70,42.00
2005-07-22,80,43.00
2005-07-29,45,44.00
2005-08-05,52,40.68
2005-08-12,61,39.15
2005-08-19,48,38.43
2005-08-26,81,38.75
2005-09-02,61,39.96
2005-09-09,50,40.43
2005-09-16,54,39.42
2005-09-23,58,38.46
2005-09-30,38,38.78
2005-10-07,71,36.41
2005-10-14,50,36.40
2005-10-21,82,36.10
2005-10-28,42,37.74
2005-11-04,49,37.47
2005-11-11,68,39.58
2005-11-18,35,39.00
2005-11-25,59,39.60
2005-12-02,45,39.45
2005-12-09,75,38.47
2005-12-16,65,38.72
2005-12-23,53,39.35
2005-12-30,64,37.87
2006-01-06,67,40.22
2006-01-13,74,40.77
2006-01-20,86,40.40
2006-01-27,69,42.58
2006-02-03,46,42.37
2006-02-10,88,42.98
2006-02-17,65,43.64
2006-02-24,76,43.90
2006-03-03,49,43.94
2006-03-10,52,45.00
2006-03-17,68,47.51
2006-03-24,51,47.19
2006-03-31,100,46.90
2006-04-07,54,45.11
2006-04-14,74,
2006-04-21,65,46.05
2006-04-28,78,44.69
2006-05-05,60,45.50
2006-05-12,53,44.35
2006-05-19,74,42.61
2006-05-26,77,43.90
2006-06-02,32,44.46
2006-06-09,60,45.16
2006-06-16,55,44.00
2006-06-23,43,43.01
2006-06-30,49,43.45
2006-07-07,61,45.20
2006-07-14,52,45.22
2006-07-21,46,45.82
2006-07-28,59,48.50
2006-08-04,47,51.46
2006-08-11,79,49.12
2006-08-18,35,50.14
2006-08-25,48,50.98
2006-09-01,63,51.08
2006-09-08,43,52.16
2006-09-15,71,53.56
2006-09-22,54,54.52
2006-09-29,82,54.41
2006-10-06,63,56.38
2006-10-13,53,57.52
2006-10-20,57,57.90
2006-10-27,62,57.08
2006-11-03,57,53.58
2006-11-10,51,54.25
2006-11-17,63,53.94
2006-11-24,71,57.17
2006-12-01,68,56.91
2006-12-08,70,56.80
2006-12-15,71,56.45
2006-12-22,67,54.62
2006-12-29,57,56.02
2007-01-05,81,54.66
2007-01-12,73,58.47
2007-01-19,56,60.73
2007-01-26,61,61.63
2007-02-02,47,62.63
2007-02-09,49,64.35
2007-02-16,70,61.60
2007-02-23,68,60.53
2007-03-02,58,57.11
2007-03-09,65,57.41
2007-03-16,49,55.04
2007-03-23,70,59.40
2007-03-30,63,57.69
2007-04-06,71,
2007-04-13,53,57.51
2007-04-20,63,57.13
2007-04-27,58,56.53
2007-05-04,60,55.40
2007-05-11,66,55.89
2007-05-18,84,51.96
2007-05-25,76,52.04
2007-06-01,65,54.96
2007-06-08,53,52.67
2007-06-15,70,51.50
2007-06-22,67,49.40
2007-06-29,59,50.42
2007-07-06,73,51.43
2007-07-13,57,50.80
2007-07-20,80,48.30
2007-07-27,58,42.64
2007-08-03,61,40.06
2007-08-10,59,41.37
2007-08-17,49,44.13
2007-08-24,74,45.00
2007-08-31,69,44.70
2007-09-07,72,42.96
2007-09-14,62,42.58
2007-09-21,68,45.25
2007-09-28,72,45.13
2007-10-05,81,49.13
2007-10-12,67,47.29
2007-10-19,68,43.70
2007-10-26,59,44.65
2007-11-02,62,41.31
2007-11-09,54,37.86
2007-11-16,60,37.69
2007-11-23,52,38.53
2007-11-30,67,39.77
2007-12-07,68,39.92
2007-12-14,65,35.33
2007-12-21,56,36.12
2007-12-28,66,34.62
2008-01-04,76,32.41
2008-01-11,64,33.28
2008-01-18,69,33.44
2008-01-25,62,38.80
2008-02-01,65,40.69
2008-02-08,64,36.00
2008-02-15,49,36.63
2008-02-22,62,35.99
2008-02-29,64,34.45
2008-03-07,68,33.32
2008-03-14,70,35.24
2008-03-21,68,
2008-03-28,51,35.23
2008-04-04,58,38.67
2008-04-11,64,37.14
2008-04-18,46,36.91
2008-04-25,49,37.47
2008-05-02,64,39.25
2008-05-09,61,37.97
2008-05-16,61,40.44
2008-05-23,53,37.96
2008-05-30,52,39.57
2008-06-06,57,38.17
2008-06-13,70,37.20
2008-06-20,62,35.54
2008-06-27,51,33.90
2008-07-04,66,
2008-07-11,64,33.35
2008-07-18,57,36.28
2008-07-25,65,33.92
2008-08-01,56,35.61
2008-08-08,56,39.05
2008-08-15,58,37.98
2008-08-22,56,36.19
2008-08-29,54,35.44
2008-09-05,65,35.45
2008-09-12,55,35.71
2008-09-19,63,36.27
2008-09-26,67,35.18
2008-10-03,55,30.96
2008-10-10,73,21.51
2008-10-17,57,19.90
2008-10-24,67,12.22
2008-10-31,72,14.63
2008-11-07,74,14.24
2008-11-14,60,12.09
2008-11-21,55,9.00
2008-11-28,75,11.47
2008-12-05,67,11.59
2008-12-12,80,11.52
2008-12-19,55,13.36
2008-12-26,40,11.44
2009-01-02,58,11.64
2009-01-09,47,12.08
2009-01-16,60,10.54
2009-01-23,74,9.84
2009-01-30,58,8.89
2009-02-06,61,7.25
2009-02-13,61,5.87
2009-02-20,68,5.58
2009-02-27,66,5.22
2009-03-06,77,4.94
2009-03-13,62,5.85
2009-03-20,66,5.11
2009-03-27,75,5.45
2009-04-03,64,6.41
2009-04-10,69,
2009-04-17,62,6.89
2009-04-24,62,7.35
2009-05-01,49,7.27
2009-05-08,49,9.45
2009-05-15,54,7.77
2009-05-22,53,8.91
2009-05-29,55,9.45
2009-06-05,55,10.71
2009-06-12,67,10.92
2009-06-19,46,9.09
2009-06-26,53,9.16
2009-07-03,61,
2009-07-10,52,7.49
2009-07-17,55,8.01
2009-07-24,66,8.95
2009-07-31,57,9.38
2009-08-07,61,12.09
2009-08-14,63,11.29
2009-08-21,77,11.95
2009-08-28,61,12.56
2009-09-04,43,11.63
2009-09-11,50,13.07
2009-09-18,98,14.99
2009-09-25,63,13.80
2009-10-02,51,14.09
2009-10-09,51,15.39
2009-10-16,50,15.07
2009-10-23,54,14.41
2009-10-30,43,12.35
2009-11-06,58,12.55
2009-11-13,50,13.48
2009-11-20,52,13.38
2009-11-27,55,12.85
2009-12-04,52,14.78
2009-12-11,50,14.85
2009-12-18,48,15.42
2009-12-25,48,
2010-01-01,36,
2010-01-08,43,16.86
2010-01-15,44,16.43
2010-01-22,50,15.33
2010-01-29,57,15.36
2010-02-05,46,15.69
2010-02-12,46,15.87
2010-02-19,44,16.65
2010-02-26,55,16.69
2010-03-05,51,17.60
2010-03-12,59,17.75
2010-03-19,43,17.95
2010-03-26,40,18.66
2010-04-02,45,
2010-04-09,50,19.92
2010-04-16,39,19.19
2010-04-23,53,22.11
2010-04-30,52,22.41
2010-05-07,46,21.23
2010-05-14,48,21.38
2010-05-21,51,19.99
2010-05-28,46,20.63
2010-06-04,42,19.77
2010-06-11,48,22.02
2010-06-18,48,22.25
2010-06-25,56,21.19
2010-07-02,54,18.74
2010-07-09,43,20.29
2010-07-16,45,20.11
2010-07-23,42,21.24
2010-07-30,51,21.47
2010-08-06,57,21.31
2010-08-13,59,20.26
2010-08-20,48,19.71
2010-08-27,53,20.09
2010-09-03,49,22.10
2010-09-10,50,22.12
2010-09-17,41,22.18
2010-09-24,51,21.96
2010-10-01,42,21.53
2010-10-08,41,22.57
2010-10-15,54,22.62
2010-10-22,46,23.57
2010-10-29,35,23.31
2010-11-05,42,25.44
2010-11-12,43,24.63
2010-11-19,49,23.91
2010-11-26,46,24.28
