Date,buy BEN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,57.02
2004-02-13,0,58.45
2004-02-20,0,56.06
2004-02-27,0,56.50
2004-03-05,0,59.00
2004-03-12,0,56.40
2004-03-19,0,56.44
2004-03-26,0,55.70
2004-04-02,0,57.02
2004-04-09,0,
2004-04-16,0,55.13
2004-04-23,0,54.41
2004-04-30,0,54.83
2004-05-07,0,52.75
2004-05-14,0,49.36
2004-05-21,0,49.00
2004-05-28,0,50.28
2004-06-04,0,50.25
2004-06-11,0,
2004-06-18,0,49.34
2004-06-25,31,50.43
2004-07-02,0,49.60
2004-07-09,0,47.45
2004-07-16,0,47.90
2004-07-23,0,47.80
2004-07-30,0,48.25
2004-08-06,0,47.75
2004-08-13,0,48.52
2004-08-20,0,51.71
2004-08-27,0,53.27
2004-09-03,0,53.66
2004-09-10,0,55.01
2004-09-17,0,54.88
2004-09-24,0,54.72
2004-10-01,0,56.95
2004-10-08,0,57.39
2004-10-15,0,58.03
2004-10-22,0,57.27
2004-10-29,0,60.62
2004-11-05,0,62.14
2004-11-12,0,64.50
2004-11-19,0,62.30
2004-11-26,0,63.75
2004-12-03,0,66.50
2004-12-10,24,67.85
2004-12-17,0,68.50
2004-12-24,0,
2004-12-31,0,69.65
2005-01-07,0,67.67
2005-01-14,0,67.87
2005-01-21,0,64.99
2005-01-28,0,67.10
2005-02-04,30,68.38
2005-02-11,23,70.43
2005-02-18,23,70.11
2005-02-25,23,69.87
2005-03-04,23,72.86
2005-03-11,23,71.52
2005-03-18,23,71.89
2005-03-25,22,
2005-04-01,22,68.15
2005-04-08,0,68.22
2005-04-15,0,64.56
2005-04-22,0,64.61
2005-04-29,0,68.68
2005-05-06,0,69.52
2005-05-13,24,68.14
2005-05-20,0,71.38
2005-05-27,0,72.37
2005-06-03,0,72.29
2005-06-10,0,73.05
2005-06-17,0,71.75
2005-06-24,0,74.05
2005-07-01,0,77.70
2005-07-08,0,82.86
2005-07-15,0,82.00
2005-07-22,0,82.20
2005-07-29,0,80.82
2005-08-05,0,80.42
2005-08-12,0,81.58
2005-08-19,0,81.41
2005-08-26,0,80.31
2005-09-02,0,81.45
2005-09-09,0,82.93
2005-09-16,0,80.40
2005-09-23,0,81.14
2005-09-30,0,83.96
2005-10-07,17,81.30
2005-10-14,18,80.70
2005-10-21,18,83.54
2005-10-28,0,86.62
2005-11-04,0,91.15
2005-11-11,0,95.00
2005-11-18,0,95.50
2005-11-25,0,98.03
2005-12-02,0,94.73
2005-12-09,17,97.90
2005-12-16,17,97.01
2005-12-23,0,96.47
2005-12-30,0,94.01
2006-01-06,0,95.84
2006-01-13,0,98.03
2006-01-20,0,96.97
2006-01-27,0,100.90
2006-02-03,14,96.07
2006-02-10,14,94.64
2006-02-17,15,98.55
2006-02-24,15,102.05
2006-03-03,16,103.08
2006-03-10,16,97.25
2006-03-17,16,101.45
2006-03-24,14,97.40
2006-03-31,13,94.24
2006-04-07,18,94.98
2006-04-14,0,
2006-04-21,0,96.86
2006-04-28,0,93.12
2006-05-05,0,93.57
2006-05-12,0,89.30
2006-05-19,15,88.75
2006-05-26,18,90.39
2006-06-02,13,90.69
2006-06-09,13,86.96
2006-06-16,13,85.04
2006-06-23,14,86.69
2006-06-30,14,86.81
2006-07-07,15,82.50
2006-07-14,16,83.04
2006-07-21,15,84.46
2006-07-28,15,91.00
2006-08-04,15,93.15
2006-08-11,13,92.17
2006-08-18,13,98.84
2006-08-25,13,97.13
2006-09-01,15,97.96
2006-09-08,17,99.26
2006-09-15,12,104.77
2006-09-22,20,103.62
2006-09-29,15,105.75
2006-10-06,15,107.67
2006-10-13,15,105.42
2006-10-20,15,105.72
2006-10-27,15,110.90
2006-11-03,13,108.45
2006-11-10,15,107.00
2006-11-17,17,108.50
2006-11-24,19,107.70
2006-12-01,10,106.79
2006-12-08,19,112.36
2006-12-15,10,113.24
2006-12-22,18,110.42
2006-12-29,15,110.17
2007-01-05,13,111.77
2007-01-12,9,119.92
2007-01-19,21,117.79
2007-01-26,10,118.10
2007-02-02,15,120.76
2007-02-09,13,121.90
2007-02-16,10,126.02
2007-02-23,11,123.75
2007-03-02,11,114.46
2007-03-09,13,119.72
2007-03-16,14,114.56
2007-03-23,13,122.88
2007-03-30,14,120.83
2007-04-06,12,
2007-04-13,10,126.54
2007-04-20,13,130.29
2007-04-27,10,131.34
2007-05-04,9,135.20
2007-05-11,9,136.02
2007-05-18,14,135.99
2007-05-25,10,133.95
2007-06-01,15,136.13
2007-06-08,11,128.27
2007-06-15,14,132.28
2007-06-22,16,132.60
2007-06-29,12,132.47
2007-07-06,11,135.42
2007-07-13,15,140.23
2007-07-20,14,137.94
2007-07-27,9,130.15
2007-08-03,9,120.49
2007-08-10,17,122.03
2007-08-17,14,131.50
2007-08-24,12,134.35
2007-08-31,13,131.77
2007-09-07,14,126.14
2007-09-14,10,126.12
2007-09-21,18,130.29
2007-09-28,17,127.50
2007-10-05,8,130.13
2007-10-12,14,140.32
2007-10-19,13,132.84
2007-10-26,13,131.98
2007-11-02,14,124.23
2007-11-09,17,117.23
2007-11-16,15,118.95
2007-11-23,26,119.06
2007-11-30,27,123.18
2007-12-07,26,121.04
2007-12-14,21,111.04
2007-12-21,20,115.12
2007-12-28,21,114.14
2008-01-04,16,106.75
2008-01-11,13,102.00
2008-01-18,18,90.54
2008-01-25,22,98.39
2008-02-01,14,106.65
2008-02-08,16,97.68
2008-02-15,19,96.92
2008-02-22,16,97.14
2008-02-29,19,94.37
2008-03-07,14,89.73
2008-03-14,17,90.45
2008-03-21,18,
2008-03-28,17,94.62
2008-04-04,14,101.21
2008-04-11,16,97.80
2008-04-18,20,99.96
2008-04-25,18,93.64
2008-05-02,16,101.84
2008-05-09,21,99.93
2008-05-16,13,103.17
2008-05-23,12,97.77
2008-05-30,13,101.22
2008-06-06,13,99.63
2008-06-13,10,106.78
2008-06-20,14,100.42
2008-06-27,17,95.77
2008-07-04,20,
2008-07-11,22,88.40
2008-07-18,17,92.68
2008-07-25,16,96.16
2008-08-01,19,100.38
2008-08-08,23,104.49
2008-08-15,20,105.48
2008-08-22,19,102.00
2008-08-29,15,104.50
2008-09-05,22,100.67
2008-09-12,17,95.75
2008-09-19,12,108.00
2008-09-26,23,98.80
2008-10-03,19,82.66
2008-10-10,12,65.01
2008-10-17,21,67.06
2008-10-24,17,55.48
2008-10-31,19,68.00
2008-11-07,18,64.42
2008-11-14,19,54.43
2008-11-21,16,52.10
2008-11-28,19,60.75
2008-12-05,23,61.81
2008-12-12,26,59.31
2008-12-19,24,62.74
2008-12-26,27,59.64
2009-01-02,32,66.60
2009-01-09,21,62.10
2009-01-16,19,54.80
2009-01-23,19,52.34
2009-01-30,19,48.42
2009-02-06,17,56.48
2009-02-13,16,55.32
2009-02-20,18,50.78
2009-02-27,19,45.80
2009-03-06,22,38.66
2009-03-13,15,49.04
2009-03-20,19,47.09
2009-03-27,17,54.20
2009-04-03,17,60.13
2009-04-10,22,
2009-04-17,18,60.94
2009-04-24,19,61.66
2009-05-01,14,61.06
2009-05-08,14,65.15
2009-05-15,16,60.10
2009-05-22,16,61.92
2009-05-29,16,66.85
2009-06-05,16,74.59
2009-06-12,17,75.99
2009-06-19,18,73.37
2009-06-26,19,71.85
2009-07-03,15,
2009-07-10,16,66.19
2009-07-17,16,72.57
2009-07-24,21,80.57
2009-07-31,18,88.68
2009-08-07,21,94.37
2009-08-14,19,94.55
2009-08-21,13,94.57
2009-08-28,22,93.71
2009-09-04,20,93.65
2009-09-11,20,97.80
2009-09-18,20,103.46
2009-09-25,20,99.21
2009-10-02,22,98.21
2009-10-09,24,106.44
2009-10-16,22,110.07
2009-10-23,15,112.93
2009-10-30,23,104.63
2009-11-06,18,110.23
2009-11-13,21,112.80
2009-11-20,24,111.36
2009-11-27,22,108.97
2009-12-04,22,108.87
2009-12-11,23,107.97
2009-12-18,23,103.99
2009-12-25,22,
2010-01-01,18,
2010-01-08,17,108.05
2010-01-15,15,108.31
2010-01-22,19,101.26
2010-01-29,22,99.03
2010-02-05,15,98.00
2010-02-12,17,97.86
2010-02-19,23,101.61
2010-02-26,23,101.72
2010-03-05,17,109.29
2010-03-12,16,108.34
2010-03-19,22,110.37
2010-03-26,19,110.96
2010-04-02,19,
2010-04-09,21,114.82
2010-04-16,26,118.45
2010-04-23,24,119.64
2010-04-30,17,115.64
2010-05-07,23,104.52
2010-05-14,23,106.09
2010-05-21,15,102.73
2010-05-28,22,98.09
2010-06-04,20,91.39
2010-06-11,25,93.50
2010-06-18,19,93.30
2010-06-25,18,91.00
2010-07-02,16,84.97
2010-07-09,22,92.24
2010-07-16,16,90.14
2010-07-23,24,95.52
2010-07-30,21,100.58
2010-08-06,19,102.70
2010-08-13,17,99.53
2010-08-20,18,98.92
2010-08-27,20,98.32
2010-09-03,21,102.64
2010-09-10,30,104.01
2010-09-17,48,105.76
2010-09-24,42,106.97
2010-10-01,44,107.91
2010-10-08,44,113.38
2010-10-15,45,116.41
2010-10-22,40,115.87
2010-10-29,36,114.70
2010-11-05,27,124.59
2010-11-12,36,118.33
2010-11-19,33,116.22
2010-11-26,43,114.03
2010-12-03,34,120.02
2010-12-10,42,118.06
2010-12-17,40,114.60
2010-12-24,36,
2010-12-31,31,111.21
2011-01-07,31,111.69
2011-01-14,51,121.21
2011-01-21,60,118.43
2011-01-28,67,120.84
2011-02-04,68,122.44
2011-02-11,67,128.55
2011-02-18,57,130.40
2011-02-25,64,124.94
2011-03-04,63,125.55
2011-03-11,51,121.01
2011-03-18,57,116.52
2011-03-25,60,121.18
2011-04-01,56,127.20
2011-04-08,52,124.60
2011-04-15,44,123.08
2011-04-22,34,
2011-04-29,40,129.12
2011-05-06,44,126.27
2011-05-13,49,127.27
2011-05-20,44,125.83
2011-05-27,43,126.76
2011-06-03,43,124.10
2011-06-10,39,121.90
2011-06-17,41,124.38
2011-06-24,41,123.14
2011-07-01,50,134.26
2011-07-08,44,137.08
2011-07-15,47,130.32
2011-07-22,49,133.51
2011-07-29,49,126.96
2011-08-05,47,117.66
2011-08-12,51,115.68
2011-08-19,61,110.63
2011-08-26,53,115.84
2011-09-02,49,113.71
2011-09-09,57,111.69
2011-09-16,47,119.33
2011-09-23,57,98.76
2011-09-30,55,95.64
2011-10-07,56,94.93
2011-10-14,54,101.12
2011-10-21,54,103.53
2011-10-28,53,110.92
2011-11-04,49,106.93
2011-11-11,50,107.59
2011-11-18,49,99.36
2011-11-25,58,91.63
2011-12-02,53,98.44
2011-12-09,44,99.93
2011-12-16,51,94.09
2011-12-23,90,95.92
2011-12-30,100,96.06
2012-01-06,90,98.26
2012-01-13,84,96.26
2012-01-20,95,102.40
2012-01-27,84,106.46
2012-02-03,90,116.41
2012-02-10,78,116.10
2012-02-17,80,117.04
2012-02-24,72,118.84
2012-03-02,66,118.09
2012-03-09,74,120.41
2012-03-16,66,125.46
2012-03-23,59,122.76
2012-03-30,31,124.03
2012-04-06,20,
2012-04-13,18,122.24
2012-04-20,20,122.70
2012-04-27,15,125.85
2012-05-04,18,117.57
2012-05-11,19,114.48
2012-05-18,16,107.46
2012-05-25,18,106.79
2012-06-01,17,102.05
2012-06-08,20,108.10
2012-06-15,18,109.18
2012-06-22,21,104.43
2012-06-29,19,110.99
2012-07-06,22,111.53
2012-07-13,26,113.88
2012-07-20,24,110.35
2012-07-27,26,112.21
2012-08-03,24,113.50
2012-08-10,23,116.23
2012-08-17,25,119.93
2012-08-24,22,119.10
2012-08-31,20,117.40
2012-09-07,24,121.36
2012-09-14,20,128.00
2012-09-21,23,125.12
2012-09-28,23,125.07
2012-10-05,27,129.32
2012-10-12,28,127.30
2012-10-19,27,130.53
2012-10-26,25,128.00
2012-11-02,25,131.95
2012-11-09,23,128.90
2012-11-16,24,128.12
2012-11-23,31,133.18
2012-11-30,29,132.02
2012-12-07,28,127.68
2012-12-14,25,126.99
2012-12-21,28,128.33
2012-12-28,31,124.66
2013-01-04,26,131.47
2013-01-11,20,135.66
2013-01-18,27,133.39
2013-01-25,20,134.48
2013-02-01,22,139.77
2013-02-08,20,140.20
2013-02-15,23,144.56
2013-02-22,24,143.24
2013-03-01,22,140.83
2013-03-08,20,146.84
2013-03-15,23,149.90
2013-03-22,22,148.64
2013-03-29,18,
2013-04-05,20,148.07
2013-04-12,23,155.27
2013-04-19,20,146.83
2013-04-26,22,153.61
2013-05-03,17,156.41
2013-05-10,18,161.21
2013-05-17,19,168.32
2013-05-24,18,162.94
2013-05-31,18,154.81
2013-06-07,17,150.46
2013-06-14,19,147.13
2013-06-21,19,137.02
2013-06-28,18,136.02
2013-07-05,18,136.95
2013-07-12,19,143.49
2013-07-19,22,145.83
2013-07-26,21,48.66
2013-08-02,20,49.89
2013-08-09,20,49.31
2013-08-16,22,46.68
2013-08-23,26,46.97
2013-08-30,19,46.16
2013-09-06,21,47.11
2013-09-13,19,48.55
2013-09-20,17,51.69
2013-09-27,19,50.82
2013-10-04,18,51.67
2013-10-11,18,51.27
2013-10-18,20,53.85
2013-10-25,24,54.50
2013-11-01,22,53.98
2013-11-08,19,52.27
2013-11-15,21,54.15
2013-11-22,21,55.65
2013-11-29,20,55.39
2013-12-06,18,54.58
2013-12-13,20,54.02
2013-12-20,22,56.25
2013-12-27,21,57.23
2014-01-03,21,57.08
2014-01-10,21,57.80
2014-01-17,21,58.51
2014-01-24,16,53.60
2014-01-31,18,52.01
2014-02-07,17,52.15
2014-02-14,20,52.81
2014-02-21,19,52.48
2014-02-28,20,53.25
2014-03-07,20,53.81
2014-03-14,19,51.12
2014-03-21,17,52.34
2014-03-28,16,53.67
2014-04-04,17,53.41
2014-04-11,17,51.80
2014-04-18,15,
2014-04-25,17,52.77
2014-05-02,16,
