Date,MTB,Price
2004-01-09,50,
2004-01-16,46,
2004-01-23,55,
2004-01-30,47,
2004-02-06,51,91.91
2004-02-13,53,94.55
2004-02-20,53,92.75
2004-02-27,53,96.05
2004-03-05,50,96.88
2004-03-12,51,92.50
2004-03-19,59,90.47
2004-03-26,64,89.16
2004-04-02,56,89.18
2004-04-09,71,
2004-04-16,66,87.70
2004-04-23,80,84.60
2004-04-30,78,85.00
2004-05-07,75,85.63
2004-05-14,71,85.79
2004-05-21,71,86.67
2004-05-28,76,90.57
2004-06-04,78,91.67
2004-06-11,76,
2004-06-18,72,88.75
2004-06-25,67,88.20
2004-07-02,79,88.03
2004-07-09,73,87.90
2004-07-16,76,93.61
2004-07-23,81,93.02
2004-07-30,83,93.23
2004-08-06,83,92.57
2004-08-13,75,94.34
2004-08-20,71,96.35
2004-08-27,80,97.56
2004-09-03,81,96.00
2004-09-10,76,95.95
2004-09-17,76,96.34
2004-09-24,73,94.62
2004-10-01,64,97.59
2004-10-08,65,99.08
2004-10-15,63,100.30
2004-10-22,55,97.28
2004-10-29,54,103.00
2004-11-05,50,105.43
2004-11-12,51,106.30
2004-11-19,46,104.25
2004-11-26,53,106.06
2004-12-03,45,105.92
2004-12-10,46,103.83
2004-12-17,43,104.15
2004-12-24,41,
2004-12-31,45,107.84
2005-01-07,45,103.49
2005-01-14,48,100.77
2005-01-21,54,100.60
2005-01-28,47,100.24
2005-02-04,50,103.03
2005-02-11,50,101.25
2005-02-18,46,98.95
2005-02-25,43,100.20
2005-03-04,45,104.68
2005-03-11,51,101.21
2005-03-18,52,100.06
2005-03-25,63,
2005-04-01,66,100.89
2005-04-08,63,102.37
2005-04-15,61,101.30
2005-04-22,72,99.90
2005-04-29,68,103.45
2005-05-06,73,103.30
2005-05-13,66,100.93
2005-05-20,71,104.52
2005-05-27,73,103.05
2005-06-03,73,103.19
2005-06-10,77,102.78
2005-06-17,73,106.60
2005-06-24,69,104.50
2005-07-01,70,105.58
2005-07-08,69,106.46
2005-07-15,70,110.12
2005-07-22,72,110.46
2005-07-29,72,108.51
2005-08-05,75,107.34
2005-08-12,67,108.70
2005-08-19,67,108.39
2005-08-26,71,105.76
2005-09-02,69,107.05
2005-09-09,70,108.37
2005-09-16,66,106.85
2005-09-23,60,105.65
2005-09-30,64,105.71
2005-10-07,58,102.49
2005-10-14,57,103.93
2005-10-21,52,103.52
2005-10-28,54,106.65
2005-11-04,53,106.94
2005-11-11,49,110.80
2005-11-18,49,109.83
2005-11-25,45,110.84
2005-12-02,40,109.88
2005-12-09,40,109.62
2005-12-16,40,110.93
2005-12-23,39,110.35
2005-12-30,43,109.05
2006-01-06,47,112.03
2006-01-13,46,110.12
2006-01-20,44,106.50
2006-01-27,44,109.25
2006-02-03,47,106.82
2006-02-10,45,108.20
2006-02-17,48,111.82
2006-02-24,46,113.31
2006-03-03,46,112.52
2006-03-10,49,112.31
2006-03-17,49,117.19
2006-03-24,50,115.94
2006-03-31,53,114.14
2006-04-07,57,113.70
2006-04-14,56,
2006-04-21,61,114.30
2006-04-28,67,119.40
2006-05-05,68,118.92
2006-05-12,70,116.55
2006-05-19,69,115.33
2006-05-26,69,116.42
2006-06-02,65,116.89
2006-06-09,65,118.31
2006-06-16,67,116.18
2006-06-23,64,113.84
2006-06-30,63,117.92
2006-07-07,65,117.01
2006-07-14,60,116.39
2006-07-21,67,118.96
2006-07-28,66,122.77
2006-08-04,69,123.96
2006-08-11,67,121.57
2006-08-18,67,124.14
2006-08-25,66,122.45
2006-09-01,70,122.51
2006-09-08,64,118.72
2006-09-15,62,120.83
2006-09-22,61,119.78
2006-09-29,63,119.96
2006-10-06,58,119.00
2006-10-13,57,123.20
2006-10-20,55,121.76
2006-10-27,55,121.20
2006-11-03,51,119.73
2006-11-10,49,120.58
2006-11-17,42,121.55
2006-11-24,46,120.23
2006-12-01,43,118.66
2006-12-08,41,120.18
2006-12-15,39,122.11
2006-12-22,39,121.08
2006-12-29,44,122.16
2007-01-05,49,120.41
2007-01-12,45,120.31
2007-01-19,48,119.07
2007-01-26,47,119.47
2007-02-02,45,122.35
2007-02-09,46,121.67
2007-02-16,50,124.42
2007-02-23,53,124.18
2007-03-02,54,118.28
2007-03-09,53,117.44
2007-03-16,57,116.00
2007-03-23,57,118.56
2007-03-30,60,115.83
2007-04-06,61,
2007-04-13,62,105.88
2007-04-20,68,113.59
2007-04-27,72,111.62
2007-05-04,76,113.62
2007-05-11,75,112.05
2007-05-18,72,112.70
2007-05-25,70,110.75
2007-06-01,70,111.34
2007-06-08,70,109.57
2007-06-15,72,108.75
2007-06-22,68,106.94
2007-06-29,66,106.90
2007-07-06,65,108.70
2007-07-13,64,111.72
2007-07-20,68,108.71
2007-07-27,68,105.40
2007-08-03,65,99.85
2007-08-10,67,102.39
2007-08-17,67,111.67
2007-08-24,68,108.04
2007-08-31,70,105.88
2007-09-07,65,103.20
2007-09-14,65,104.80
2007-09-21,63,107.60
2007-09-28,64,103.45
2007-10-05,59,107.73
2007-10-12,58,101.34
2007-10-19,53,97.39
2007-10-26,52,100.26
2007-11-02,52,91.47
2007-11-09,48,92.28
2007-11-16,48,89.40
2007-11-23,53,89.97
2007-11-30,49,90.96
2007-12-07,51,88.87
2007-12-14,43,83.31
2007-12-21,42,82.12
2007-12-28,48,81.43
2008-01-04,49,75.85
2008-01-11,53,73.75
2008-01-18,52,73.69
2008-01-25,51,83.85
2008-02-01,52,94.03
2008-02-08,54,88.89
2008-02-15,53,88.40
2008-02-22,53,86.89
