Date,FLIR,Price
2004-01-09,40,
2004-01-16,39,
2004-01-23,56,
2004-01-30,38,
2004-02-06,45,39.50
2004-02-13,40,39.49
2004-02-20,42,39.46
2004-02-27,50,38.43
2004-03-05,52,39.48
2004-03-12,48,37.33
2004-03-19,48,37.53
2004-03-26,53,37.55
2004-04-02,57,39.46
2004-04-09,55,
2004-04-16,42,38.55
2004-04-23,38,45.57
2004-04-30,41,46.84
2004-05-07,39,44.86
2004-05-14,62,46.79
2004-05-21,47,47.91
2004-05-28,53,49.20
2004-06-04,43,52.25
2004-06-11,55,
2004-06-18,30,50.29
2004-06-25,44,52.75
2004-07-02,41,52.99
2004-07-09,50,53.71
2004-07-16,34,55.51
2004-07-23,70,60.81
2004-07-30,49,63.63
2004-08-06,24,59.23
2004-08-13,46,60.04
2004-08-20,55,63.10
2004-08-27,35,62.51
2004-09-03,36,59.90
2004-09-10,30,61.45
2004-09-17,37,62.89
2004-09-24,52,62.90
2004-10-01,41,58.04
2004-10-08,41,54.52
2004-10-15,57,54.50
2004-10-22,40,54.61
2004-10-29,39,53.21
2004-11-05,43,57.74
2004-11-12,32,60.70
2004-11-19,41,58.25
2004-11-26,40,58.08
2004-12-03,43,56.58
2004-12-10,36,54.90
2004-12-17,41,60.12
2004-12-24,34,
2004-12-31,37,63.79
2005-01-07,40,60.08
2005-01-14,46,58.90
2005-01-21,42,57.74
2005-01-28,47,59.84
2005-02-04,58,31.40
2005-02-11,39,31.86
2005-02-18,36,31.01
2005-02-25,43,31.08
2005-03-04,61,33.35
2005-03-11,33,33.34
2005-03-18,43,32.17
2005-03-25,36,
2005-04-01,34,30.60
2005-04-08,44,29.62
2005-04-15,35,24.46
2005-04-22,56,26.85
2005-04-29,40,26.60
2005-05-06,34,27.17
2005-05-13,33,25.83
2005-05-20,37,25.93
2005-05-27,43,26.28
2005-06-03,36,28.03
2005-06-10,44,27.04
2005-06-17,42,29.65
2005-06-24,35,28.51
2005-07-01,36,30.05
2005-07-08,52,30.56
2005-07-15,50,29.22
2005-07-22,49,32.98
2005-07-29,50,32.89
2005-08-05,36,32.69
2005-08-12,28,32.01
2005-08-19,38,32.70
2005-08-26,26,32.51
2005-09-02,30,30.79
2005-09-09,35,30.00
2005-09-16,36,30.09
2005-09-23,30,29.13
2005-09-30,28,29.57
2005-10-07,36,27.86
2005-10-14,43,23.97
2005-10-21,49,21.88
2005-10-28,42,20.99
2005-11-04,32,23.20
2005-11-11,42,24.10
2005-11-18,35,23.07
2005-11-25,29,24.45
2005-12-02,46,22.98
2005-12-09,44,22.81
2005-12-16,47,23.17
2005-12-23,34,22.80
2005-12-30,34,22.33
2006-01-06,25,23.08
2006-01-13,48,24.83
2006-01-20,35,23.22
2006-01-27,41,23.63
2006-02-03,37,24.06
2006-02-10,53,25.84
2006-02-17,38,25.69
2006-02-24,46,26.06
2006-03-03,40,25.83
2006-03-10,52,27.16
2006-03-17,45,27.15
2006-03-24,33,27.79
2006-03-31,43,28.41
2006-04-07,47,28.59
2006-04-14,25,
2006-04-21,39,26.01
2006-04-28,31,24.45
2006-05-05,42,24.35
2006-05-12,42,23.80
2006-05-19,38,24.57
2006-05-26,29,26.40
2006-06-02,39,25.46
2006-06-09,38,24.88
2006-06-16,43,23.68
2006-06-23,38,22.71
2006-06-30,38,22.90
2006-07-07,36,21.71
2006-07-14,45,25.84
2006-07-21,40,23.74
2006-07-28,40,24.42
2006-08-04,37,23.97
2006-08-11,34,23.62
