Date,MET,Price
2004-01-09,29,
2004-01-16,28,
2004-01-23,29,
2004-01-30,40,
2004-02-06,26,34.97
2004-02-13,28,34.65
2004-02-20,26,34.88
2004-02-27,30,35.15
2004-03-05,25,35.41
2004-03-12,29,34.30
2004-03-19,27,35.06
2004-03-26,26,35.28
2004-04-02,25,36.27
2004-04-09,27,
2004-04-16,24,35.20
2004-04-23,26,34.55
2004-04-30,27,34.50
2004-05-07,26,33.44
2004-05-14,25,34.14
2004-05-21,26,33.99
2004-05-28,27,35.55
2004-06-04,28,35.73
2004-06-11,27,
2004-06-18,27,35.26
2004-06-25,30,35.52
2004-07-02,27,35.52
2004-07-09,32,34.66
2004-07-16,28,34.25
2004-07-23,27,33.97
2004-07-30,25,35.67
2004-08-06,27,35.66
2004-08-13,31,35.64
2004-08-20,31,36.69
2004-08-27,30,36.67
2004-09-03,26,37.43
2004-09-10,29,38.16
2004-09-17,29,37.60
2004-09-24,29,37.66
2004-10-01,27,39.38
2004-10-08,29,38.53
2004-10-15,31,34.99
2004-10-22,27,34.44
2004-10-29,29,38.35
2004-11-05,27,39.37
2004-11-12,29,38.40
2004-11-19,32,38.85
2004-11-26,29,39.38
2004-12-03,29,40.48
2004-12-10,28,40.33
2004-12-17,30,39.61
2004-12-24,36,
2004-12-31,30,40.51
2005-01-07,30,39.71
2005-01-14,32,40.07
2005-01-21,32,40.28
2005-01-28,30,39.94
2005-02-04,30,40.52
2005-02-11,30,39.94
2005-02-18,31,41.08
2005-02-25,40,41.28
2005-03-04,34,40.96
2005-03-11,30,40.40
2005-03-18,30,39.45
2005-03-25,31,
2005-04-01,29,38.86
2005-04-08,31,39.49
2005-04-15,31,38.47
2005-04-22,31,38.60
2005-04-29,31,38.90
2005-05-06,29,43.55
2005-05-13,31,42.14
2005-05-20,32,43.49
2005-05-27,33,44.70
2005-06-03,32,43.43
2005-06-10,31,43.85
2005-06-17,32,44.74
2005-06-24,36,44.59
2005-07-01,34,45.47
2005-07-08,32,46.15
2005-07-15,30,46.40
2005-07-22,31,46.39
2005-07-29,32,49.14
2005-08-05,32,47.98
2005-08-12,31,48.76
2005-08-19,31,48.22
2005-08-26,34,48.88
2005-09-02,28,48.97
2005-09-09,32,49.90
2005-09-16,30,50.20
2005-09-23,32,48.57
2005-09-30,32,49.83
2005-10-07,31,48.34
2005-10-14,32,46.93
2005-10-21,32,47.91
2005-10-28,32,49.00
2005-11-04,33,50.05
2005-11-11,33,50.38
2005-11-18,32,51.08
2005-11-25,42,50.92
2005-12-02,34,52.15
2005-12-09,32,50.71
2005-12-16,33,49.82
2005-12-23,33,49.62
2005-12-30,39,49.00
2006-01-06,32,50.97
2006-01-13,32,50.67
2006-01-20,31,48.14
2006-01-27,32,50.46
2006-02-03,32,48.92
2006-02-10,32,50.30
2006-02-17,31,50.18
2006-02-24,33,51.04
2006-03-03,38,49.45
2006-03-10,33,49.63
2006-03-17,35,50.71
2006-03-24,32,49.20
2006-03-31,32,48.37
2006-04-07,30,49.32
2006-04-14,32,
2006-04-21,31,49.95
2006-04-28,30,52.10
2006-05-05,32,52.62
2006-05-12,33,52.25
2006-05-19,34,51.50
2006-05-26,36,52.15
2006-06-02,32,52.62
2006-06-09,31,51.22
2006-06-16,33,50.09
2006-06-23,32,49.08
2006-06-30,30,51.21
2006-07-07,34,50.90
2006-07-14,29,50.04
2006-07-21,34,52.42
2006-07-28,34,52.65
2006-08-04,32,52.51
2006-08-11,30,52.62
2006-08-18,35,54.09
2006-08-25,33,54.23
2006-09-01,31,55.10
2006-09-08,30,55.02
2006-09-15,31,56.00
2006-09-22,35,56.57
2006-09-29,32,56.68
2006-10-06,34,57.36
2006-10-13,32,56.63
2006-10-20,33,58.46
2006-10-27,32,58.66
2006-11-03,32,56.98
2006-11-10,32,57.94
2006-11-17,32,58.98
2006-11-24,34,58.10
2006-12-01,32,58.06
2006-12-08,32,57.87
2006-12-15,34,58.73
2006-12-22,34,59.11
2006-12-29,34,59.01
2007-01-05,34,59.80
2007-01-12,35,61.73
2007-01-19,38,61.49
2007-01-26,36,61.47
2007-02-02,31,63.36
2007-02-09,45,63.32
2007-02-16,31,64.85
2007-02-23,32,65.26
2007-03-02,30,62.48
2007-03-09,32,62.66
2007-03-16,33,61.77
2007-03-23,33,63.60
2007-03-30,31,63.15
2007-04-06,31,
2007-04-13,30,63.29
2007-04-20,31,65.09
2007-04-27,30,65.55
2007-05-04,32,68.55
2007-05-11,35,68.75
2007-05-18,35,68.42
2007-05-25,35,67.71
2007-06-01,37,68.39
2007-06-08,35,66.01
2007-06-15,38,66.75
2007-06-22,39,63.76
2007-06-29,41,64.48
2007-07-06,39,64.88
2007-07-13,36,65.32
2007-07-20,42,63.72
2007-07-27,39,59.62
2007-08-03,33,60.99
2007-08-10,33,62.08
2007-08-17,38,64.64
2007-08-24,36,66.76
2007-08-31,32,64.05
2007-09-07,31,63.52
2007-09-14,31,64.66
2007-09-21,34,69.19
2007-09-28,36,69.73
2007-10-05,34,70.87
2007-10-12,34,70.12
2007-10-19,33,65.65
2007-10-26,34,69.67
2007-11-02,36,63.99
2007-11-09,37,64.28
2007-11-16,36,63.97
2007-11-23,41,61.77
2007-11-30,40,65.59
2007-12-07,41,65.17
2007-12-14,35,61.94
2007-12-21,37,62.13
2007-12-28,36,61.47
2008-01-04,42,58.93
2008-01-11,39,59.56
2008-01-18,37,57.43
2008-01-25,37,54.62
2008-02-01,42,60.30
2008-02-08,33,57.72
2008-02-15,32,58.25
2008-02-22,34,59.99
2008-02-29,33,58.26
2008-03-07,35,56.47
2008-03-14,41,56.49
2008-03-21,42,
2008-03-28,41,59.35
2008-04-04,38,61.76
2008-04-11,38,61.00
2008-04-18,36,61.66
2008-04-25,38,60.82
2008-05-02,41,62.17
2008-05-09,38,60.08
2008-05-16,41,61.77
2008-05-23,40,58.87
2008-05-30,42,60.03
2008-06-06,39,56.99
2008-06-13,38,59.79
2008-06-20,40,56.90
2008-06-27,39,53.80
2008-07-04,40,
2008-07-11,43,51.06
2008-07-18,39,51.57
2008-07-25,38,52.01
2008-08-01,40,50.79
2008-08-08,41,53.28
2008-08-15,44,54.07
2008-08-22,41,52.75
2008-08-29,38,54.20
2008-09-05,41,55.07
2008-09-12,39,56.50
2008-09-19,35,60.24
2008-09-26,38,53.81
2008-10-03,39,42.13
2008-10-10,38,30.25
2008-10-17,38,31.14
2008-10-24,39,29.80
2008-10-31,41,33.22
2008-11-07,37,34.34
2008-11-14,36,28.14
2008-11-21,40,18.48
2008-11-28,38,28.76
2008-12-05,44,30.76
2008-12-12,39,29.94
2008-12-19,38,37.41
2008-12-26,40,33.23
2009-01-02,40,35.97
2009-01-09,42,31.87
2009-01-16,42,28.44
2009-01-23,42,26.63
2009-01-30,42,28.73
2009-02-06,77,31.24
2009-02-13,55,26.80
2009-02-20,38,21.43
2009-02-27,37,18.46
2009-03-06,42,12.22
2009-03-13,39,17.74
2009-03-20,38,20.78
2009-03-27,41,24.49
2009-04-03,39,25.34
2009-04-10,42,
2009-04-17,41,28.22
2009-04-24,41,29.25
2009-05-01,42,27.45
2009-05-08,48,35.50
2009-05-15,46,29.39
2009-05-22,47,30.15
2009-05-29,42,31.50
2009-06-05,45,31.45
2009-06-12,46,31.08
2009-06-19,46,31.20
2009-06-26,43,29.85
2009-07-03,45,
2009-07-10,44,27.36
2009-07-17,45,30.45
2009-07-24,43,33.69
2009-07-31,45,33.95
2009-08-07,42,36.88
2009-08-14,44,36.40
2009-08-21,43,38.93
2009-08-28,44,38.08
2009-09-04,42,36.61
2009-09-11,40,38.83
2009-09-18,41,39.32
2009-09-25,46,36.92
2009-10-02,42,35.67
2009-10-09,44,38.25
2009-10-16,42,37.28
2009-10-23,43,36.95
2009-10-30,44,34.03
2009-11-06,44,33.52
2009-11-13,44,34.22
2009-11-20,45,33.90
2009-11-27,47,33.28
2009-12-04,46,35.33
2009-12-11,45,36.07
2009-12-18,55,35.42
2009-12-25,61,
2010-01-01,55,
2010-01-08,100,38.25
2010-01-15,77,37.85
2010-01-22,56,36.12
2010-01-29,48,35.32
2010-02-05,49,34.68
2010-02-12,51,34.64
2010-02-19,48,35.03
2010-02-26,49,36.39
2010-03-05,44,38.92
2010-03-12,42,42.11
2010-03-19,43,41.83
2010-03-26,45,42.26
2010-04-02,51,
2010-04-09,44,45.27
2010-04-16,47,45.37
2010-04-23,47,47.10
2010-04-30,46,45.58
2010-05-07,49,40.71
2010-05-14,47,41.32
2010-05-21,49,39.48
2010-05-28,50,40.49
2010-06-04,46,38.48
2010-06-11,46,41.10
2010-06-18,43,40.99
2010-06-25,40,41.01
2010-07-02,41,37.20
2010-07-09,42,40.10
2010-07-16,44,37.80
2010-07-23,43,39.54
2010-07-30,43,42.06
2010-08-06,42,41.42
2010-08-13,44,39.56
2010-08-20,47,37.28
2010-08-27,46,37.82
2010-09-03,40,41.46
2010-09-10,45,40.49
2010-09-17,43,40.16
2010-09-24,48,39.15
2010-10-01,48,38.94
2010-10-08,45,39.18
2010-10-15,46,39.22
2010-10-22,45,40.34
2010-10-29,46,40.33
2010-11-05,46,42.10
2010-11-12,51,39.64
2010-11-19,48,38.85
2010-11-26,63,37.74
2010-12-03,91,40.14
2010-12-10,59,43.97
2010-12-17,83,43.93
2010-12-24,86,
2010-12-31,51,44.44
2011-01-07,63,46.07
2011-01-14,58,46.62
2011-01-21,53,46.21
2011-01-28,54,45.50
2011-02-04,53,47.34
2011-02-11,54,48.23
2011-02-18,50,47.65
2011-02-25,48,46.78
2011-03-04,47,45.57
2011-03-11,48,45.85
2011-03-18,46,44.02
2011-03-25,46,45.05
2011-04-01,47,45.26
2011-04-08,47,44.53
2011-04-15,49,43.96
2011-04-22,51,
2011-04-29,50,46.79
2011-05-06,52,44.83
2011-05-13,51,44.41
2011-05-20,54,44.22
2011-05-27,54,43.76
2011-06-03,48,41.77
2011-06-10,50,40.91
2011-06-17,51,40.37
2011-06-24,51,40.99
2011-07-01,48,44.38
2011-07-08,48,43.52
2011-07-15,48,41.57
2011-07-22,48,41.74
2011-07-29,46,41.21
2011-08-05,49,36.35
2011-08-12,49,33.26
2011-08-19,49,31.13
2011-08-26,50,31.46
2011-09-02,46,30.77
2011-09-09,50,29.88
2011-09-16,51,33.04
2011-09-23,59,26.82
2011-09-30,54,28.01
2011-10-07,56,28.80
2011-10-14,53,32.17
2011-10-21,56,33.51
2011-10-28,54,36.82
2011-11-04,55,34.77
2011-11-11,54,33.07
2011-11-18,58,30.62
2011-11-25,59,27.91
2011-12-02,64,31.76
2011-12-09,70,31.79
2011-12-16,72,30.23
2011-12-23,63,31.10
2011-12-30,59,31.18
2012-01-06,68,32.90
2012-01-13,62,35.24
2012-01-20,63,36.35
2012-01-27,61,35.52
2012-02-03,72,37.63
2012-02-10,71,36.89
2012-02-17,58,38.86
2012-02-24,60,37.76
2012-03-02,57,38.46
2012-03-09,57,38.42
2012-03-16,53,38.38
2012-03-23,52,37.64
2012-03-30,49,37.35
2012-04-06,54,
2012-04-13,52,35.64
2012-04-20,53,34.96
2012-04-27,51,36.31
2012-05-04,54,34.24
2012-05-11,60,34.69
2012-05-18,61,30.21
2012-05-25,48,30.33
2012-06-01,51,27.83
2012-06-08,51,29.75
2012-06-15,51,29.96
2012-06-22,51,30.03
2012-06-29,51,30.85
2012-07-06,51,30.51
2012-07-13,49,30.89
2012-07-20,49,29.53
2012-07-27,45,30.44
2012-08-03,47,33.19
2012-08-10,46,34.97
2012-08-17,49,34.79
2012-08-24,50,34.65
2012-08-31,48,34.13
2012-09-07,45,35.28
2012-09-14,47,36.25
2012-09-21,48,34.87
2012-09-28,60,34.46
2012-10-05,55,35.16
2012-10-12,51,35.00
2012-10-19,50,35.93
2012-10-26,51,35.22
2012-11-02,55,34.70
2012-11-09,50,32.02
2012-11-16,47,31.56
2012-11-23,51,33.23
2012-11-30,51,33.19
2012-12-07,55,32.89
2012-12-14,55,31.84
2012-12-21,58,33.07
2012-12-28,53,32.27
2013-01-04,52,35.95
2013-01-11,56,36.34
2013-01-18,83,36.31
2013-01-25,73,37.65
2013-02-01,52,38.20
2013-02-08,56,36.90
2013-02-15,55,36.44
2013-02-22,48,35.78
2013-03-01,47,35.32
2013-03-08,49,39.03
2013-03-15,52,40.20
2013-03-22,56,38.40
2013-03-29,54,
2013-04-05,47,36.58
2013-04-12,47,36.80
2013-04-19,47,35.60
2013-04-26,48,38.53
2013-05-03,48,40.48
2013-05-10,65,41.16
2013-05-17,75,43.28
2013-05-24,51,42.04
2013-05-31,49,44.21
2013-06-07,44,45.06
2013-06-14,46,43.97
2013-06-21,46,45.04
2013-06-28,43,45.76
2013-07-05,42,47.52
2013-07-12,43,49.08
2013-07-19,43,48.64
2013-07-26,48,48.93
2013-08-02,45,50.80
2013-08-09,43,49.77
2013-08-16,44,48.28
2013-08-23,43,48.26
2013-08-30,43,46.19
2013-09-06,42,47.98
2013-09-13,43,48.83
2013-09-20,43,47.49
2013-09-27,54,47.21
2013-10-04,50,47.69
2013-10-11,51,48.74
2013-10-18,50,49.45
2013-10-25,51,48.63
2013-11-01,54,47.32
2013-11-08,48,50.14
2013-11-15,49,52.01
2013-11-22,50,52.65
2013-11-29,47,52.19
2013-12-06,48,51.67
2013-12-13,48,51.19
2013-12-20,51,53.12
2013-12-27,53,53.96
2014-01-03,51,53.81
2014-01-10,52,54.10
2014-01-17,50,52.96
2014-01-24,49,49.51
2014-01-31,56,49.05
2014-02-07,55,49.11
2014-02-14,58,50.39
2014-02-21,46,50.52
2014-02-28,47,50.67
2014-03-07,49,53.15
2014-03-14,46,51.71
2014-03-21,49,53.42
2014-03-28,52,52.56
2014-04-04,96,52.84
2014-04-11,48,49.19
2014-04-18,46,
2014-04-25,43,51.09
2014-05-02,43,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
