Date,XLNX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,42.22
2004-02-13,0,41.51
2004-02-20,0,41.50
2004-02-27,0,41.99
2004-03-05,0,40.79
2004-03-12,0,38.55
2004-03-19,0,36.14
2004-03-26,0,37.17
2004-04-02,0,39.97
2004-04-09,0,
2004-04-16,0,37.99
2004-04-23,0,36.59
2004-04-30,0,33.61
2004-05-07,0,35.13
2004-05-14,0,34.10
2004-05-21,0,34.05
2004-05-28,0,36.48
2004-06-04,0,34.81
2004-06-11,0,
2004-06-18,0,32.49
2004-06-25,0,32.68
2004-07-02,0,31.53
2004-07-09,0,31.36
2004-07-16,0,29.76
2004-07-23,0,29.70
2004-07-30,0,29.43
2004-08-06,0,27.96
2004-08-13,0,27.08
2004-08-20,0,28.08
2004-08-27,0,28.13
2004-09-03,0,25.59
2004-09-10,0,28.02
2004-09-17,0,28.54
2004-09-24,0,27.66
2004-10-01,0,28.56
2004-10-08,0,27.63
2004-10-15,0,26.68
2004-10-22,0,28.76
2004-10-29,0,30.60
2004-11-05,0,30.18
2004-11-12,0,30.63
2004-11-19,0,32.37
2004-11-26,0,32.08
2004-12-03,0,32.00
2004-12-10,0,29.55
2004-12-17,0,29.33
2004-12-24,0,
2004-12-31,0,29.67
2005-01-07,0,27.33
2005-01-14,0,26.52
2005-01-21,0,27.35
2005-01-28,0,28.79
2005-02-04,0,29.48
2005-02-11,0,29.75
2005-02-18,0,29.08
2005-02-25,0,30.07
2005-03-04,0,30.88
2005-03-11,0,30.62
2005-03-18,0,29.20
2005-03-25,0,
2005-04-01,0,28.78
2005-04-08,0,29.96
2005-04-15,0,28.35
2005-04-22,0,27.07
2005-04-29,0,26.94
2005-05-06,0,26.92
2005-05-13,0,26.83
2005-05-20,0,28.36
2005-05-27,0,28.13
2005-06-03,0,28.22
2005-06-10,0,26.79
2005-06-17,0,26.50
2005-06-24,0,26.06
2005-07-01,0,25.48
2005-07-08,0,27.46
2005-07-15,0,27.73
2005-07-22,0,28.35
2005-07-29,0,28.35
2005-08-05,0,27.82
2005-08-12,0,27.00
2005-08-19,0,26.96
2005-08-26,0,26.87
2005-09-02,0,27.65
2005-09-09,0,28.05
2005-09-16,0,27.57
2005-09-23,0,26.78
2005-09-30,0,27.85
2005-10-07,0,27.12
2005-10-14,0,22.30
2005-10-21,0,23.67
2005-10-28,0,23.29
2005-11-04,0,23.67
2005-11-11,0,24.59
2005-11-18,0,25.94
2005-11-25,0,26.46
2005-12-02,0,27.36
2005-12-09,0,26.65
2005-12-16,0,27.19
2005-12-23,0,25.88
2005-12-30,0,25.21
2006-01-06,0,29.12
2006-01-13,0,28.79
2006-01-20,0,27.39
2006-01-27,0,28.83
2006-02-03,0,27.34
2006-02-10,0,27.70
2006-02-17,0,27.14
2006-02-24,0,26.85
2006-03-03,0,27.71
2006-03-10,0,25.33
2006-03-17,0,26.20
2006-03-24,100,25.70
2006-03-31,0,25.46
2006-04-07,0,26.54
2006-04-14,0,
2006-04-21,0,26.68
2006-04-28,0,27.67
2006-05-05,0,29.14
2006-05-12,0,27.51
2006-05-19,0,27.10
2006-05-26,0,26.30
2006-06-02,0,26.81
2006-06-09,0,24.96
2006-06-16,0,24.00
2006-06-23,0,22.90
2006-06-30,0,22.65
2006-07-07,0,21.49
2006-07-14,0,21.13
2006-07-21,0,19.99
2006-07-28,0,20.32
2006-08-04,0,20.07
2006-08-11,0,19.92
2006-08-18,0,22.94
2006-08-25,0,22.42
2006-09-01,0,22.51
2006-09-08,0,21.07
2006-09-15,0,22.40
2006-09-22,0,22.37
2006-09-29,0,21.95
2006-10-06,0,23.00
2006-10-13,0,24.87
2006-10-20,0,25.36
2006-10-27,0,25.44
2006-11-03,0,24.99
2006-11-10,60,26.92
2006-11-17,0,27.48
2006-11-24,0,27.63
2006-12-01,0,26.58
2006-12-08,0,24.83
2006-12-15,0,24.85
2006-12-22,0,23.48
2006-12-29,0,23.81
2007-01-05,0,23.95
2007-01-12,0,24.81
2007-01-19,53,23.88
2007-01-26,45,24.49
2007-02-02,0,24.72
2007-02-09,0,24.91
2007-02-16,0,25.90
2007-02-23,0,26.46
2007-03-02,0,25.30
2007-03-09,0,25.65
2007-03-16,0,25.55
2007-03-23,0,26.53
2007-03-30,0,25.73
2007-04-06,0,
2007-04-13,0,26.19
2007-04-20,0,27.16
2007-04-27,53,29.60
2007-05-04,0,29.92
2007-05-11,0,29.95
2007-05-18,0,29.26
2007-05-25,0,27.84
2007-06-01,0,28.08
2007-06-08,0,27.53
2007-06-15,0,27.52
2007-06-22,0,27.00
2007-06-29,0,26.77
2007-07-06,0,27.51
2007-07-13,0,28.10
2007-07-20,0,27.26
2007-07-27,0,25.06
2007-08-03,0,24.35
2007-08-10,0,25.89
2007-08-17,0,24.46
2007-08-24,0,25.89
2007-08-31,0,25.57
2007-09-07,0,25.82
2007-09-14,0,25.76
2007-09-21,0,26.87
2007-09-28,0,26.14
2007-10-05,0,26.80
2007-10-12,0,25.46
2007-10-19,0,25.31
2007-10-26,0,24.24
2007-11-02,36,24.12
2007-11-09,33,23.03
2007-11-16,33,22.97
2007-11-23,33,21.69
2007-11-30,33,21.90
2007-12-07,33,22.39
2007-12-14,34,22.11
2007-12-21,35,22.34
2007-12-28,35,21.92
2008-01-04,36,20.36
2008-01-11,39,19.52
2008-01-18,37,21.53
2008-01-25,29,21.35
2008-02-01,30,23.33
2008-02-08,31,21.43
2008-02-15,32,21.57
2008-02-22,31,21.59
2008-02-29,31,22.36
2008-03-07,30,22.63
2008-03-14,0,23.42
2008-03-21,0,
2008-03-28,0,23.09
2008-04-04,0,24.53
2008-04-11,0,23.93
2008-04-18,0,24.63
2008-04-25,0,24.84
2008-05-02,0,25.75
2008-05-09,0,25.75
2008-05-16,38,26.94
2008-05-23,39,26.22
2008-05-30,39,27.20
2008-06-06,40,27.29
2008-06-13,30,27.47
2008-06-20,30,27.36
2008-06-27,30,25.27
2008-07-04,30,
2008-07-11,30,23.59
2008-07-18,36,24.36
2008-07-25,0,24.50
2008-08-01,0,24.84
2008-08-08,0,26.42
2008-08-15,0,27.06
2008-08-22,0,26.51
2008-08-29,0,25.98
2008-09-05,0,23.94
2008-09-12,25,22.94
2008-09-19,27,24.05
2008-09-26,25,23.98
2008-10-03,25,22.02
2008-10-10,39,19.29
2008-10-17,50,20.49
2008-10-24,23,18.06
2008-10-31,23,18.42
2008-11-07,34,16.76
2008-11-14,32,15.95
2008-11-21,32,15.30
2008-11-28,35,16.36
2008-12-05,39,15.74
2008-12-12,23,17.34
2008-12-19,25,17.31
2008-12-26,24,16.29
2009-01-02,24,18.36
2009-01-09,24,16.31
2009-01-16,28,16.93
2009-01-23,34,16.00
2009-01-30,41,16.85
2009-02-06,50,18.69
2009-02-13,31,18.42
2009-02-20,25,16.79
2009-02-27,29,17.68
2009-03-06,39,17.82
2009-03-13,33,19.22
2009-03-20,54,19.30
2009-03-27,29,19.49
2009-04-03,29,19.99
2009-04-10,33,
2009-04-17,38,21.58
2009-04-24,28,20.22
2009-05-01,27,20.45
2009-05-08,22,18.72
2009-05-15,24,18.92
2009-05-22,38,19.26
2009-05-29,30,20.74
2009-06-05,22,20.92
2009-06-12,24,20.91
2009-06-19,29,20.07
2009-06-26,0,20.19
2009-07-03,0,
2009-07-10,0,19.38
2009-07-17,0,20.26
2009-07-24,0,21.47
2009-07-31,24,21.69
2009-08-07,0,21.44
2009-08-14,0,21.49
2009-08-21,0,22.39
2009-08-28,0,22.65
2009-09-04,0,22.21
2009-09-11,24,23.25
2009-09-18,28,22.81
2009-09-25,31,23.17
2009-10-02,29,22.16
2009-10-09,34,23.20
2009-10-16,54,23.30
2009-10-23,56,22.91
2009-10-30,35,21.75
2009-11-06,31,21.89
2009-11-13,34,22.94
2009-11-20,36,22.28
2009-11-27,27,22.63
2009-12-04,27,23.37
2009-12-11,24,23.70
2009-12-18,28,24.65
2009-12-25,22,
2010-01-01,22,
2010-01-08,22,25.00
2010-01-15,21,23.52
2010-01-22,40,23.84
2010-01-29,34,23.58
2010-02-05,35,23.62
2010-02-12,24,24.56
2010-02-19,29,25.71
2010-02-26,28,25.83
2010-03-05,30,26.71
2010-03-12,31,26.61
2010-03-19,26,26.60
2010-03-26,23,25.40
2010-04-02,26,
2010-04-09,24,26.38
2010-04-16,31,27.49
2010-04-23,54,27.30
2010-04-30,47,25.79
2010-05-07,27,24.44
2010-05-14,19,24.05
2010-05-21,19,24.34
2010-05-28,21,24.45
2010-06-04,29,24.96
2010-06-11,21,25.07
2010-06-18,21,26.80
2010-06-25,24,25.90
2010-07-02,20,25.33
2010-07-09,20,27.62
2010-07-16,29,27.59
2010-07-23,32,29.20
2010-07-30,26,27.92
2010-08-06,25,27.91
2010-08-13,26,25.04
2010-08-20,32,25.45
2010-08-27,19,24.93
2010-09-03,17,25.39
2010-09-10,22,24.67
2010-09-17,39,26.45
2010-09-24,36,26.54
2010-10-01,45,26.35
2010-10-08,28,26.08
2010-10-15,34,26.48
2010-10-22,41,25.20
2010-10-29,45,26.80
2010-11-05,43,27.73
2010-11-12,29,26.64
2010-11-19,29,27.18
2010-11-26,31,27.52
2010-12-03,31,28.87
2010-12-10,40,28.65
2010-12-17,41,28.21
2010-12-24,36,
2010-12-31,17,28.98
2011-01-07,27,29.97
2011-01-14,39,31.69
2011-01-21,44,31.28
2011-01-28,51,32.19
2011-02-04,48,33.62
2011-02-11,36,33.78
2011-02-18,33,33.92
2011-02-25,26,33.79
2011-03-04,29,34.96
2011-03-11,21,32.33
2011-03-18,43,31.77
2011-03-25,45,32.97
2011-04-01,34,32.15
2011-04-08,33,31.65
2011-04-15,38,31.46
2011-04-22,28,
2011-04-29,39,34.86
2011-05-06,19,35.73
2011-05-13,32,35.95
2011-05-20,23,35.77
2011-05-27,22,34.92
2011-06-03,34,33.73
2011-06-10,25,33.56
2011-06-17,29,32.95
2011-06-24,23,34.64
2011-07-01,29,37.06
2011-07-08,25,36.24
2011-07-15,24,33.48
2011-07-22,21,33.66
2011-07-29,20,32.10
2011-08-05,21,29.93
2011-08-12,17,30.11
2011-08-19,18,28.36
2011-08-26,24,30.24
2011-09-02,37,29.80
2011-09-09,23,30.01
2011-09-16,32,31.74
2011-09-23,38,28.92
2011-09-30,28,27.44
2011-10-07,28,28.78
2011-10-14,37,30.59
2011-10-21,31,30.22
2011-10-28,38,33.19
2011-11-04,37,32.85
2011-11-11,41,32.85
2011-11-18,34,31.47
2011-11-25,21,30.07
2011-12-02,36,33.11
2011-12-09,33,32.64
2011-12-16,24,31.21
2011-12-23,21,32.35
2011-12-30,13,32.06
2012-01-06,20,32.17
2012-01-13,27,32.99
2012-01-20,42,35.77
2012-01-27,34,35.99
2012-02-03,38,36.92
2012-02-10,48,36.33
2012-02-17,29,37.28
2012-02-24,19,37.23
2012-03-02,29,36.48
2012-03-09,28,36.44
2012-03-16,37,37.27
2012-03-23,23,36.07
2012-03-30,29,36.48
2012-04-06,39,
2012-04-13,29,35.20
2012-04-20,23,34.40
2012-04-27,50,36.50
2012-05-04,34,34.06
2012-05-11,31,33.24
2012-05-18,33,31.31
2012-05-25,36,31.98
2012-06-01,31,31.00
2012-06-08,32,32.84
2012-06-15,29,32.55
2012-06-22,31,32.66
2012-06-29,33,33.57
2012-07-06,19,32.44
2012-07-13,23,31.45
2012-07-20,26,31.14
2012-07-27,16,32.90
2012-08-03,13,33.36
2012-08-10,15,33.71
2012-08-17,19,33.96
2012-08-24,19,33.90
2012-08-31,18,33.91
2012-09-07,19,34.87
2012-09-14,24,35.23
2012-09-21,23,34.95
2012-09-28,27,33.41
2012-10-05,31,34.06
2012-10-12,23,32.68
2012-10-19,29,33.06
2012-10-26,27,32.83
2012-11-02,32,33.19
2012-11-09,33,33.59
2012-11-16,16,32.56
2012-11-23,34,34.19
2012-11-30,28,34.65
2012-12-07,40,34.86
2012-12-14,40,35.37
2012-12-21,26,36.10
2012-12-28,20,35.31
2013-01-04,29,36.50
2013-01-11,25,35.80
2013-01-18,33,37.17
2013-01-25,42,36.85
2013-02-01,39,37.16
2013-02-08,31,37.51
2013-02-15,42,38.12
2013-02-22,34,37.96
2013-03-01,37,36.65
2013-03-08,32,38.37
2013-03-15,23,38.45
2013-03-22,36,37.97
2013-03-29,32,
2013-04-05,33,36.36
2013-04-12,31,37.08
2013-04-19,34,35.51
2013-04-26,32,37.44
2013-05-03,30,38.16
2013-05-10,27,38.56
2013-05-17,30,39.22
2013-05-24,27,39.40
2013-05-31,29,40.65
2013-06-07,31,40.60
2013-06-14,28,38.88
2013-06-21,28,38.98
2013-06-28,28,39.61
2013-07-05,22,40.49
2013-07-12,22,42.98
2013-07-19,45,45.86
2013-07-26,30,46.18
2013-08-02,22,46.51
2013-08-09,24,45.30
2013-08-16,20,44.56
2013-08-23,24,44.19
2013-08-30,24,43.42
2013-09-06,47,46.18
2013-09-13,25,47.27
2013-09-20,19,47.12
2013-09-27,29,46.54
2013-10-04,39,46.65
2013-10-11,39,47.28
2013-10-18,38,45.50
2013-10-25,34,44.64
2013-11-01,41,45.28
2013-11-08,45,44.63
2013-11-15,36,43.66
2013-11-22,42,43.98
2013-11-29,27,44.43
2013-12-06,34,44.35
2013-12-13,41,43.32
2013-12-20,34,44.71
2013-12-27,22,45.29
2014-01-03,27,45.62
2014-01-10,39,45.76
2014-01-17,38,47.22
2014-01-24,56,46.86
2014-01-31,44,46.42
2014-02-07,40,46.10
2014-02-14,41,49.89
2014-02-21,41,50.81
2014-02-28,35,52.20
2014-03-07,33,53.03
2014-03-14,37,51.90
2014-03-21,33,54.50
2014-03-28,35,53.84
2014-04-04,39,53.13
2014-04-11,31,51.35
2014-04-18,39,
2014-04-25,40,47.80
2014-05-02,38,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
