Date,Apartment Investment & Mgmt,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,100,
2004-01-30,0,
2004-02-06,0,35.45
2004-02-13,0,32.90
2004-02-20,0,32.16
2004-02-27,0,32.40
2004-03-05,0,33.65
2004-03-12,0,32.30
2004-03-19,0,31.22
2004-03-26,0,30.85
2004-04-02,0,30.92
2004-04-09,0,
2004-04-16,0,29.00
2004-04-23,0,28.47
2004-04-30,0,28.17
2004-05-07,0,29.00
2004-05-14,0,27.88
2004-05-21,0,28.39
2004-05-28,0,28.88
2004-06-04,0,28.63
2004-06-11,0,
2004-06-18,0,30.24
2004-06-25,0,31.18
2004-07-02,0,32.01
2004-07-09,0,32.97
2004-07-16,0,33.01
2004-07-23,0,32.53
2004-07-30,0,31.97
2004-08-06,0,32.05
2004-08-13,0,32.23
2004-08-20,0,33.09
2004-08-27,0,34.25
2004-09-03,0,36.42
2004-09-10,0,35.15
2004-09-17,0,34.95
2004-09-24,0,34.45
2004-10-01,0,35.46
2004-10-08,75,35.32
2004-10-15,77,35.59
2004-10-22,79,35.89
2004-10-29,81,36.69
2004-11-05,84,37.06
2004-11-12,56,38.22
2004-11-19,56,36.28
2004-11-26,56,36.90
2004-12-03,56,37.31
2004-12-10,0,37.30
2004-12-17,0,37.40
2004-12-24,0,
2004-12-31,0,38.54
2005-01-07,0,35.96
2005-01-14,53,35.85
2005-01-21,0,36.49
2005-01-28,0,35.87
2005-02-04,0,36.00
2005-02-11,0,36.94
2005-02-18,0,38.17
2005-02-25,0,38.32
2005-03-04,0,38.50
2005-03-11,0,37.28
2005-03-18,54,37.14
2005-03-25,0,
2005-04-01,0,37.23
2005-04-08,0,36.90
2005-04-15,0,36.54
2005-04-22,0,37.50
2005-04-29,0,38.12
2005-05-06,0,38.45
2005-05-13,0,37.30
2005-05-20,0,38.42
2005-05-27,0,37.18
2005-06-03,0,38.22
2005-06-10,46,39.50
2005-06-17,0,40.94
2005-06-24,0,39.86
2005-07-01,0,41.04
2005-07-08,0,41.67
2005-07-15,0,42.00
2005-07-22,0,43.00
2005-07-29,0,44.00
2005-08-05,0,40.68
2005-08-12,0,39.15
2005-08-19,0,38.43
2005-08-26,0,38.75
2005-09-02,0,39.96
2005-09-09,0,40.43
2005-09-16,0,39.42
2005-09-23,0,38.46
2005-09-30,0,38.78
2005-10-07,0,36.41
2005-10-14,0,36.40
2005-10-21,0,36.10
2005-10-28,0,37.74
2005-11-04,0,37.47
2005-11-11,0,39.58
2005-11-18,0,39.00
2005-11-25,0,39.60
2005-12-02,0,39.45
2005-12-09,0,38.47
2005-12-16,0,38.72
2005-12-23,0,39.35
2005-12-30,0,37.87
2006-01-06,0,40.22
2006-01-13,0,40.77
2006-01-20,33,40.40
2006-01-27,35,42.58
2006-02-03,36,42.37
2006-02-10,0,42.98
2006-02-17,0,43.64
2006-02-24,0,43.90
2006-03-03,0,43.94
2006-03-10,0,45.00
2006-03-17,0,47.51
2006-03-24,0,47.19
2006-03-31,0,46.90
2006-04-07,0,45.11
2006-04-14,36,
2006-04-21,36,46.05
2006-04-28,36,44.69
2006-05-05,36,45.50
2006-05-12,36,44.35
2006-05-19,36,42.61
2006-05-26,36,43.90
2006-06-02,37,44.46
2006-06-09,0,45.16
2006-06-16,0,44.00
2006-06-23,0,43.01
2006-06-30,0,43.45
2006-07-07,0,45.20
2006-07-14,0,45.22
2006-07-21,0,45.82
2006-07-28,31,48.50
2006-08-04,28,51.46
2006-08-11,28,49.12
2006-08-18,28,50.14
2006-08-25,28,50.98
2006-09-01,0,51.08
2006-09-08,0,52.16
2006-09-15,0,53.56
2006-09-22,0,54.52
2006-09-29,0,54.41
2006-10-06,42,56.38
2006-10-13,26,57.52
2006-10-20,28,57.90
2006-10-27,30,57.08
2006-11-03,32,53.58
2006-11-10,34,54.25
2006-11-17,36,53.94
2006-11-24,23,57.17
2006-12-01,23,56.91
2006-12-08,26,56.80
2006-12-15,26,56.45
2006-12-22,26,54.62
2006-12-29,26,56.02
2007-01-05,26,54.66
2007-01-12,29,58.47
2007-01-19,32,60.73
2007-01-26,26,61.63
2007-02-02,23,62.63
2007-02-09,23,64.35
2007-02-16,23,61.60
2007-02-23,28,60.53
2007-03-02,22,57.11
2007-03-09,24,57.41
2007-03-16,27,55.04
2007-03-23,24,59.40
2007-03-30,24,57.69
2007-04-06,24,
2007-04-13,22,57.51
2007-04-20,22,57.13
2007-04-27,22,56.53
2007-05-04,20,55.40
2007-05-11,20,55.89
2007-05-18,20,51.96
2007-05-25,20,52.04
2007-06-01,20,54.96
2007-06-08,28,52.67
2007-06-15,19,51.50
2007-06-22,19,49.40
2007-06-29,19,50.42
2007-07-06,19,51.43
2007-07-13,28,50.80
2007-07-20,19,48.30
2007-07-27,22,42.64
2007-08-03,20,40.06
2007-08-10,20,41.37
2007-08-17,20,44.13
2007-08-24,17,45.00
2007-08-31,16,44.70
2007-09-07,16,42.96
2007-09-14,16,42.58
2007-09-21,16,45.25
2007-09-28,16,45.13
2007-10-05,18,49.13
2007-10-12,20,47.29
2007-10-19,22,43.70
2007-10-26,17,44.65
2007-11-02,19,41.31
2007-11-09,20,37.86
2007-11-16,20,37.69
2007-11-23,21,38.53
2007-11-30,22,39.77
2007-12-07,26,39.92
2007-12-14,17,35.33
2007-12-21,17,36.12
2007-12-28,17,34.62
2008-01-04,17,32.41
2008-01-11,15,33.28
2008-01-18,15,33.44
2008-01-25,15,38.80
2008-02-01,18,40.69
2008-02-08,23,36.00
2008-02-15,22,36.63
2008-02-22,21,35.99
2008-02-29,21,34.45
2008-03-07,13,33.32
2008-03-14,13,35.24
2008-03-21,21,
2008-03-28,13,35.23
2008-04-04,13,38.67
2008-04-11,14,37.14
2008-04-18,18,36.91
2008-04-25,23,37.47
2008-05-02,27,39.25
2008-05-09,31,37.97
2008-05-16,16,40.44
2008-05-23,15,37.96
2008-05-30,25,39.57
2008-06-06,13,38.17
2008-06-13,13,37.20
2008-06-20,16,35.54
2008-06-27,17,33.90
2008-07-04,18,
2008-07-11,19,33.35
2008-07-18,20,36.28
2008-07-25,20,33.92
2008-08-01,17,35.61
2008-08-08,19,39.05
2008-08-15,21,37.98
2008-08-22,17,36.19
2008-08-29,17,35.44
2008-09-05,12,35.45
2008-09-12,17,35.71
2008-09-19,13,36.27
2008-09-26,13,35.18
2008-10-03,17,30.96
2008-10-10,12,21.51
2008-10-17,14,19.90
2008-10-24,12,12.22
2008-10-31,16,14.63
2008-11-07,17,14.24
2008-11-14,17,12.09
2008-11-21,18,9.00
2008-11-28,13,11.47
2008-12-05,13,11.59
2008-12-12,12,11.52
2008-12-19,20,13.36
2008-12-26,13,11.44
2009-01-02,13,11.64
2009-01-09,13,12.08
2009-01-16,13,10.54
2009-01-23,14,9.84
2009-01-30,15,8.89
2009-02-06,13,7.25
2009-02-13,13,5.87
2009-02-20,13,5.58
2009-02-27,14,5.22
2009-03-06,12,4.94
2009-03-13,12,5.85
2009-03-20,15,5.11
2009-03-27,16,5.45
2009-04-03,14,6.41
2009-04-10,14,
2009-04-17,16,6.89
2009-04-24,16,7.35
2009-05-01,16,7.27
2009-05-08,12,9.45
2009-05-15,12,7.77
2009-05-22,10,8.91
2009-05-29,15,9.45
2009-06-05,12,10.71
2009-06-12,12,10.92
2009-06-19,12,9.09
2009-06-26,13,9.16
2009-07-03,13,
2009-07-10,18,7.49
2009-07-17,14,8.01
2009-07-24,10,8.95
2009-07-31,12,9.38
2009-08-07,14,12.09
2009-08-14,14,11.29
2009-08-21,14,11.95
2009-08-28,11,12.56
2009-09-04,10,11.63
2009-09-11,10,13.07
2009-09-18,12,14.99
2009-09-25,13,13.80
2009-10-02,12,14.09
2009-10-09,9,15.39
2009-10-16,9,15.07
2009-10-23,8,14.41
2009-10-30,12,12.35
2009-11-06,12,12.55
2009-11-13,8,13.48
2009-11-20,13,13.38
2009-11-27,13,12.85
2009-12-04,11,14.78
2009-12-11,11,14.85
2009-12-18,9,15.42
2009-12-25,9,
2010-01-01,10,
2010-01-08,10,16.86
2010-01-15,9,16.43
2010-01-22,12,15.33
2010-01-29,10,15.36
2010-02-05,9,15.69
2010-02-12,11,15.87
2010-02-19,12,16.65
2010-02-26,7,16.69
2010-03-05,12,17.60
2010-03-12,13,17.75
2010-03-19,14,17.95
2010-03-26,15,18.66
2010-04-02,13,
2010-04-09,9,19.92
2010-04-16,10,19.19
2010-04-23,12,22.11
2010-04-30,9,22.41
2010-05-07,9,21.23
2010-05-14,10,21.38
2010-05-21,10,19.99
2010-05-28,10,20.63
2010-06-04,14,19.77
2010-06-11,13,22.02
2010-06-18,9,22.25
2010-06-25,10,21.19
2010-07-02,10,18.74
2010-07-09,7,20.29
2010-07-16,18,20.11
2010-07-23,14,21.24
2010-07-30,12,21.47
2010-08-06,11,21.31
2010-08-13,17,20.26
2010-08-20,12,19.71
2010-08-27,12,20.09
2010-09-03,10,22.10
2010-09-10,7,22.12
2010-09-17,12,22.18
2010-09-24,13,21.96
2010-10-01,11,21.53
2010-10-08,9,22.57
2010-10-15,7,22.62
2010-10-22,13,23.57
2010-10-29,11,23.31
2010-11-05,11,25.44
2010-11-12,8,24.63
2010-11-19,11,23.91
2010-11-26,17,24.28
2010-12-03,10,25.18
2010-12-10,11,25.06
2010-12-17,6,24.52
2010-12-24,9,
2010-12-31,12,25.84
2011-01-07,11,25.26
2011-01-14,12,24.85
2011-01-21,13,24.71
2011-01-28,10,24.91
2011-02-04,14,24.35
2011-02-11,12,24.32
2011-02-18,6,24.59
2011-02-25,12,24.74
2011-03-04,8,24.40
2011-03-11,10,24.52
2011-03-18,7,24.58
2011-03-25,10,24.60
2011-04-01,8,25.41
2011-04-08,6,25.03
2011-04-15,7,25.11
2011-04-22,10,
2011-04-29,7,26.96
2011-05-06,7,25.86
2011-05-13,8,26.11
2011-05-20,11,26.13
2011-05-27,11,26.29
2011-06-03,12,25.61
2011-06-10,9,25.20
2011-06-17,9,25.38
2011-06-24,11,25.02
2011-07-01,10,26.06
2011-07-08,11,27.17
2011-07-15,6,26.83
2011-07-22,8,27.97
2011-07-29,12,27.30
2011-08-05,16,24.19
2011-08-12,12,24.65
2011-08-19,9,24.11
2011-08-26,11,25.02
2011-09-02,10,25.72
2011-09-09,13,26.06
2011-09-16,13,26.57
2011-09-23,6,23.52
2011-09-30,8,22.12
2011-10-07,7,21.60
2011-10-14,7,23.35
2011-10-21,7,24.67
2011-10-28,10,25.03
2011-11-04,5,22.79
2011-11-11,6,23.52
2011-11-18,7,21.52
2011-11-25,6,20.56
2011-12-02,7,21.89
2011-12-09,7,21.91
2011-12-16,8,21.80
2011-12-23,11,22.95
2011-12-30,9,22.91
2012-01-06,7,22.95
2012-01-13,12,22.60
2012-01-20,8,23.81
2012-01-27,9,24.64
2012-02-03,8,25.02
2012-02-10,10,25.07
2012-02-17,9,25.33
2012-02-24,12,25.48
2012-03-02,11,24.59
2012-03-09,10,24.83
2012-03-16,7,25.97
2012-03-23,9,25.59
2012-03-30,11,26.41
2012-04-06,8,
2012-04-13,11,25.91
2012-04-20,7,26.20
2012-04-27,11,27.17
2012-05-04,12,27.16
2012-05-11,13,27.47
2012-05-18,11,25.75
2012-05-25,10,26.71
2012-06-01,7,26.23
2012-06-08,9,27.17
2012-06-15,12,27.39
2012-06-22,12,26.58
2012-06-29,11,27.03
2012-07-06,7,27.37
2012-07-13,12,28.03
2012-07-20,11,27.40
2012-07-27,9,27.20
2012-08-03,8,26.70
2012-08-10,11,26.04
2012-08-17,9,26.38
2012-08-24,14,26.86
2012-08-31,10,26.48
2012-09-07,9,27.21
2012-09-14,12,27.42
2012-09-21,13,26.65
2012-09-28,9,25.99
2012-10-05,11,25.48
2012-10-12,9,25.45
2012-10-19,12,26.86
2012-10-26,9,26.36
2012-11-02,11,26.16
2012-11-09,8,25.38
2012-11-16,11,24.51
2012-11-23,7,24.69
2012-11-30,8,25.07
2012-12-07,9,25.48
2012-12-14,5,25.56
2012-12-21,10,26.73
2012-12-28,9,26.76
2013-01-04,13,27.45
2013-01-11,10,27.25
2013-01-18,13,27.59
2013-01-25,11,27.99
2013-02-01,14,27.39
2013-02-08,13,28.57
2013-02-15,8,29.12
2013-02-22,11,29.83
2013-03-01,11,29.76
2013-03-08,13,30.41
2013-03-15,11,30.74
2013-03-22,10,29.95
2013-03-29,8,
2013-04-05,12,31.60
2013-04-12,12,31.64
2013-04-19,9,31.12
2013-04-26,8,30.74
2013-05-03,9,30.46
2013-05-10,7,31.89
2013-05-17,11,33.08
2013-05-24,14,31.61
2013-05-31,10,30.26
2013-06-07,11,29.79
2013-06-14,14,28.93
2013-06-21,10,27.89
2013-06-28,8,30.04
2013-07-05,5,29.90
2013-07-12,10,30.89
2013-07-19,12,30.77
2013-07-26,8,30.75
2013-08-02,8,29.01
2013-08-09,15,29.21
2013-08-16,10,27.64
2013-08-23,12,28.43
2013-08-30,13,27.53
2013-09-06,7,27.72
2013-09-13,13,28.56
2013-09-20,10,29.01
2013-09-27,12,28.19
2013-10-04,8,27.76
2013-10-11,11,28.70
2013-10-18,10,29.34
2013-10-25,9,29.37
2013-11-01,11,27.65
2013-11-08,9,26.50
2013-11-15,8,26.24
2013-11-22,8,25.60
2013-11-29,13,25.11
2013-12-06,10,25.85
2013-12-13,8,25.67
2013-12-20,12,25.89
2013-12-27,7,26.06
2014-01-03,11,25.91
2014-01-10,12,26.41
2014-01-17,8,27.13
2014-01-24,14,26.73
2014-01-31,11,27.97
2014-02-07,11,29.52
2014-02-14,12,29.74
2014-02-21,10,29.47
2014-02-28,12,29.89
2014-03-07,10,30.64
2014-03-14,10,30.42
2014-03-21,11,30.33
2014-03-28,12,29.93
2014-04-04,9,30.20
2014-04-11,10,29.11
2014-04-18,10,
2014-04-25,10,30.43
2014-05-02,21,
