Date,Stanley Black & Decker,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.90
2004-02-13,0,38.14
2004-02-20,0,38.00
2004-02-27,0,38.73
2004-03-05,0,39.15
2004-03-12,0,37.21
2004-03-19,0,39.65
2004-03-26,0,42.46
2004-04-02,0,43.04
2004-04-09,0,
2004-04-16,0,44.84
2004-04-23,0,44.80
2004-04-30,0,42.51
2004-05-07,0,41.16
2004-05-14,0,41.54
2004-05-21,0,41.56
2004-05-28,0,43.55
2004-06-04,0,43.36
2004-06-11,0,
2004-06-18,0,43.12
2004-06-25,0,45.39
2004-07-02,0,44.50
2004-07-09,0,42.81
2004-07-16,0,42.53
2004-07-23,0,43.60
2004-07-30,0,42.40
2004-08-06,0,40.27
2004-08-13,0,41.33
2004-08-20,0,43.90
2004-08-27,0,43.65
2004-09-03,0,42.76
2004-09-10,0,42.62
2004-09-17,0,43.35
2004-09-24,0,42.28
2004-10-01,0,42.67
2004-10-08,0,41.69
2004-10-15,0,41.26
2004-10-22,0,43.93
2004-10-29,0,44.52
2004-11-05,0,47.77
2004-11-12,0,47.74
2004-11-19,0,46.75
2004-11-26,0,46.92
2004-12-03,0,46.95
2004-12-10,0,47.11
2004-12-17,0,47.21
2004-12-24,45,
2004-12-31,0,48.99
2005-01-07,0,46.24
2005-01-14,0,46.94
2005-01-21,0,46.54
2005-01-28,0,47.15
2005-02-04,0,47.82
2005-02-11,0,47.29
2005-02-18,0,46.45
2005-02-25,0,46.16
2005-03-04,31,47.31
2005-03-11,0,46.81
2005-03-18,0,45.50
2005-03-25,0,
2005-04-01,0,44.81
2005-04-08,0,45.89
2005-04-15,0,45.62
2005-04-22,0,45.35
2005-04-29,0,43.03
2005-05-06,0,43.33
2005-05-13,0,42.37
2005-05-20,0,44.23
2005-05-27,0,44.61
2005-06-03,0,44.90
2005-06-10,0,44.48
2005-06-17,0,45.76
2005-06-24,0,44.94
2005-07-01,0,46.52
2005-07-08,0,46.24
2005-07-15,0,46.72
2005-07-22,0,49.49
2005-07-29,26,48.93
2005-08-05,26,46.88
2005-08-12,26,47.00
2005-08-19,26,45.93
2005-08-26,0,44.83
2005-09-02,0,45.30
2005-09-09,0,45.99
2005-09-16,0,46.17
2005-09-23,0,44.84
2005-09-30,0,46.68
2005-10-07,31,45.55
2005-10-14,24,47.76
2005-10-21,24,47.28
2005-10-28,24,47.18
2005-11-04,22,47.43
2005-11-11,27,47.28
2005-11-18,37,47.60
2005-11-25,24,47.96
2005-12-02,24,48.67
2005-12-09,37,47.66
2005-12-16,45,48.43
2005-12-23,25,48.66
2005-12-30,26,48.04
2006-01-06,28,48.70
2006-01-13,21,50.10
2006-01-20,24,49.82
2006-01-27,32,48.99
2006-02-03,27,48.90
2006-02-10,27,49.10
2006-02-17,28,49.59
2006-02-24,29,50.00
2006-03-03,29,51.28
2006-03-10,29,50.16
2006-03-17,22,50.87
2006-03-24,22,51.30
2006-03-31,25,50.66
2006-04-07,27,52.42
2006-04-14,20,
2006-04-21,22,54.17
2006-04-28,25,52.25
2006-05-05,27,52.59
2006-05-12,24,50.68
2006-05-19,17,48.20
2006-05-26,18,49.14
2006-06-02,17,49.87
2006-06-09,20,46.82
2006-06-16,23,45.67
2006-06-23,17,45.69
2006-06-30,19,47.22
2006-07-07,20,45.66
2006-07-14,21,42.75
2006-07-21,23,41.95
2006-07-28,24,45.30
2006-08-04,18,46.40
2006-08-11,18,45.44
2006-08-18,20,47.73
2006-08-25,22,45.94
2006-09-01,20,47.82
2006-09-08,20,47.09
2006-09-15,27,49.81
2006-09-22,15,48.55
2006-09-29,20,49.85
2006-10-06,25,51.40
2006-10-13,22,52.79
2006-10-20,15,50.75
2006-10-27,21,47.36
2006-11-03,32,47.08
2006-11-10,13,49.23
2006-11-17,24,51.17
2006-11-24,25,51.24
2006-12-01,18,50.49
2006-12-08,22,51.41
2006-12-15,22,49.59
2006-12-22,18,49.15
2006-12-29,18,50.29
2007-01-05,26,50.90
2007-01-12,30,53.22
2007-01-19,14,53.09
2007-01-26,17,55.57
2007-02-02,13,58.95
2007-02-09,17,57.00
2007-02-16,18,57.05
2007-02-23,12,57.62
2007-03-02,12,54.39
2007-03-09,20,56.40
2007-03-16,12,53.78
2007-03-23,19,55.95
2007-03-30,17,55.36
2007-04-06,13,
2007-04-13,20,55.71
2007-04-20,21,58.47
2007-04-27,18,60.08
2007-05-04,20,59.37
2007-05-11,10,60.01
2007-05-18,11,59.83
2007-05-25,17,61.77
2007-06-01,13,63.13
2007-06-08,19,60.44
2007-06-15,15,60.92
2007-06-22,15,59.50
2007-06-29,12,60.70
2007-07-06,16,62.65
2007-07-13,18,62.74
2007-07-20,12,62.50
2007-07-27,17,55.46
2007-08-03,15,53.91
2007-08-10,15,56.55
2007-08-17,14,56.32
2007-08-24,22,56.93
2007-08-31,18,56.74
2007-09-07,15,53.78
2007-09-14,12,54.61
2007-09-21,17,57.09
2007-09-28,15,56.13
2007-10-05,20,56.90
2007-10-12,23,57.61
2007-10-19,14,55.19
2007-10-26,15,57.62
2007-11-02,15,55.28
2007-11-09,24,52.05
2007-11-16,21,51.50
2007-11-23,26,49.84
2007-11-30,16,52.15
2007-12-07,31,51.16
2007-12-14,17,48.93
2007-12-21,20,48.55
2007-12-28,14,48.39
2008-01-04,21,44.35
2008-01-11,15,46.03
2008-01-18,19,46.63
2008-01-25,14,46.58
2008-02-01,13,51.32
2008-02-08,24,48.73
2008-02-15,18,49.41
2008-02-22,24,50.01
2008-02-29,21,48.54
2008-03-07,16,47.02
2008-03-14,13,47.43
2008-03-21,21,
2008-03-28,18,47.12
2008-04-04,17,50.62
2008-04-11,17,48.10
2008-04-18,12,50.45
2008-04-25,15,48.93
2008-05-02,19,50.05
2008-05-09,16,48.64
2008-05-16,18,49.92
2008-05-23,15,48.33
2008-05-30,17,48.58
2008-06-06,14,47.44
2008-06-13,20,48.34
2008-06-20,16,45.77
2008-06-27,11,44.87
2008-07-04,18,
2008-07-11,22,42.43
2008-07-18,20,45.25
2008-07-25,11,45.16
2008-08-01,12,44.72
2008-08-08,17,47.50
2008-08-15,15,47.67
2008-08-22,13,47.93
2008-08-29,11,47.95
2008-09-05,10,47.60
2008-09-12,15,48.12
2008-09-19,17,47.27
2008-09-26,15,44.70
2008-10-03,17,39.73
2008-10-10,11,33.43
2008-10-17,14,34.81
2008-10-24,15,31.02
2008-10-31,17,32.74
2008-11-07,22,33.83
2008-11-14,21,31.12
2008-11-21,19,26.24
2008-11-28,24,31.79
2008-12-05,20,32.35
2008-12-12,21,31.40
2008-12-19,20,32.49
2008-12-26,11,32.44
2009-01-02,22,35.47
2009-01-09,14,35.04
2009-01-16,19,33.40
2009-01-23,14,30.06
2009-01-30,21,31.26
2009-02-06,19,34.65
2009-02-13,15,31.54
2009-02-20,13,28.76
2009-02-27,14,26.76
2009-03-06,19,23.56
2009-03-13,11,26.92
2009-03-20,16,27.35
2009-03-27,17,30.96
2009-04-03,17,32.34
2009-04-10,14,
2009-04-17,16,33.19
2009-04-24,14,37.59
2009-05-01,20,38.95
2009-05-08,13,38.08
2009-05-15,16,33.94
2009-05-22,20,34.54
2009-05-29,13,35.70
2009-06-05,15,35.89
2009-06-12,24,37.21
2009-06-19,17,34.66
2009-06-26,15,34.06
2009-07-03,9,
2009-07-10,13,33.67
2009-07-17,13,36.49
2009-07-24,14,39.14
2009-07-31,15,40.15
2009-08-07,17,42.38
2009-08-14,17,41.03
2009-08-21,17,42.02
2009-08-28,13,41.96
2009-09-04,14,40.45
2009-09-11,23,40.76
2009-09-18,15,42.43
2009-09-25,16,41.17
2009-10-02,17,40.97
2009-10-09,19,44.50
2009-10-16,12,45.75
2009-10-23,14,47.31
2009-10-30,18,45.23
2009-11-06,100,49.19
2009-11-13,21,50.28
2009-11-20,28,48.95
2009-11-27,25,48.73
2009-12-04,24,49.47
2009-12-11,24,49.43
2009-12-18,20,50.73
2009-12-25,26,
2010-01-01,23,
2010-01-08,20,57.42
2010-01-15,21,55.74
2010-01-22,29,53.33
2010-01-29,22,51.25
2010-02-05,29,54.43
2010-02-12,22,54.29
2010-02-19,16,55.92
2010-02-26,19,57.25
2010-03-05,24,59.09
2010-03-12,27,57.86
2010-03-19,34,58.07
2010-03-26,27,58.61
2010-04-02,24,
2010-04-09,23,60.42
2010-04-16,25,60.46
2010-04-23,28,62.84
2010-04-30,36,62.15
2010-05-07,32,56.12
2010-05-14,26,60.33
2010-05-21,29,55.38
2010-05-28,39,55.79
2010-06-04,38,55.07
2010-06-11,61,54.96
2010-06-18,36,55.99
2010-06-25,34,52.06
2010-07-02,26,49.58
2010-07-09,22,52.10
2010-07-16,26,51.06
2010-07-23,27,57.35
2010-07-30,31,58.02
2010-08-06,24,57.88
2010-08-13,30,54.93
2010-08-20,31,55.05
2010-08-27,32,54.51
2010-09-03,24,58.16
2010-09-10,23,59.29
2010-09-17,32,59.59
2010-09-24,28,60.51
2010-10-01,27,62.02
2010-10-08,25,62.70
2010-10-15,22,62.13
2010-10-22,27,61.11
2010-10-29,26,61.97
2010-11-05,31,63.02
2010-11-12,28,60.88
2010-11-19,35,59.63
2010-11-26,29,60.45
2010-12-03,25,62.37
2010-12-10,30,64.28
2010-12-17,31,63.37
2010-12-24,26,
2010-12-31,24,66.87
2011-01-07,32,65.50
2011-01-14,32,68.15
2011-01-21,22,66.46
2011-01-28,33,72.72
2011-02-04,29,72.52
2011-02-11,33,74.09
2011-02-18,25,76.09
2011-02-25,31,75.11
2011-03-04,29,75.86
2011-03-11,31,75.55
2011-03-18,23,74.47
2011-03-25,32,76.83
2011-04-01,31,76.68
2011-04-08,35,74.71
2011-04-15,36,77.04
2011-04-22,32,
2011-04-29,37,72.65
2011-05-06,31,73.59
2011-05-13,30,74.06
2011-05-20,25,75.37
2011-05-27,35,73.37
2011-06-03,31,68.93
2011-06-10,38,67.14
2011-06-17,55,68.29
2011-06-24,35,69.28
2011-07-01,40,73.67
2011-07-08,30,74.49
2011-07-15,31,69.69
2011-07-22,36,70.10
2011-07-29,32,65.77
2011-08-05,31,61.59
2011-08-12,30,61.26
2011-08-19,31,56.12
2011-08-26,29,59.85
2011-09-02,32,58.12
2011-09-09,36,54.91
2011-09-16,27,56.73
2011-09-23,29,50.53
2011-09-30,29,49.10
2011-10-07,30,53.53
2011-10-14,30,58.06
2011-10-21,36,62.26
2011-10-28,25,66.69
2011-11-04,32,66.77
2011-11-11,36,68.09
2011-11-18,36,63.66
2011-11-25,33,60.23
2011-12-02,32,65.03
2011-12-09,33,64.81
2011-12-16,39,63.10
2011-12-23,25,68.50
2011-12-30,24,67.60
2012-01-06,29,70.45
2012-01-13,36,71.60
2012-01-20,29,71.11
2012-01-27,32,71.84
2012-02-03,31,73.80
2012-02-10,30,75.08
2012-02-17,34,75.36
2012-02-24,29,74.85
2012-03-02,31,76.08
2012-03-09,31,77.63
2012-03-16,35,80.21
2012-03-23,32,78.20
2012-03-30,34,76.96
2012-04-06,29,
2012-04-13,33,76.66
2012-04-20,40,73.41
2012-04-27,32,74.44
2012-05-04,28,72.22
2012-05-11,34,70.77
2012-05-18,28,66.00
2012-05-25,33,68.53
2012-06-01,35,63.68
2012-06-08,40,64.67
2012-06-15,48,63.31
2012-06-22,32,61.65
2012-06-29,28,64.36
2012-07-06,31,62.55
2012-07-13,34,60.19
2012-07-20,39,66.45
2012-07-27,37,68.65
2012-08-03,36,68.01
2012-08-10,31,68.39
2012-08-17,33,68.38
2012-08-24,39,67.46
2012-08-31,35,65.78
2012-09-07,30,71.88
2012-09-14,33,76.70
2012-09-21,34,78.25
2012-09-28,34,76.25
2012-10-05,34,75.03
2012-10-12,38,70.06
2012-10-19,36,70.27
2012-10-26,34,67.54
2012-11-02,35,69.87
2012-11-09,36,68.73
2012-11-16,37,67.41
2012-11-23,40,71.39
2012-11-30,34,71.91
2012-12-07,38,71.19
2012-12-14,30,71.31
2012-12-21,31,73.44
2012-12-28,21,72.06
2013-01-04,28,74.76
2013-01-11,30,75.21
2013-01-18,28,76.95
2013-01-25,34,76.87
2013-02-01,38,77.37
2013-02-08,27,76.24
2013-02-15,33,78.46
2013-02-22,36,77.44
2013-03-01,36,77.59
2013-03-08,30,78.96
2013-03-15,31,81.17
2013-03-22,34,81.57
2013-03-29,34,
2013-04-05,34,77.56
2013-04-12,30,79.24
2013-04-19,31,76.40
2013-04-26,32,74.40
2013-05-03,36,76.65
2013-05-10,32,79.73
2013-05-17,39,80.94
2013-05-24,33,78.74
2013-05-31,39,79.22
2013-06-07,39,79.69
2013-06-14,52,79.42
2013-06-21,46,76.00
2013-06-28,62,77.30
2013-07-05,31,79.07
2013-07-12,38,82.30
2013-07-19,30,83.12
2013-07-26,32,84.02
2013-08-02,30,87.62
2013-08-09,31,85.60
2013-08-16,33,86.80
2013-08-23,32,87.60
2013-08-30,32,85.26
2013-09-06,25,87.27
2013-09-13,33,89.26
2013-09-20,33,90.13
2013-09-27,28,90.59
2013-10-04,34,91.14
2013-10-11,33,91.30
2013-10-18,42,77.16
2013-10-25,42,78.46
2013-11-01,37,79.05
2013-11-08,35,80.88
2013-11-15,35,82.64
2013-11-22,37,82.05
2013-11-29,45,81.39
2013-12-06,33,80.71
2013-12-13,32,80.48
2013-12-20,36,80.56
2013-12-27,28,81.01
2014-01-03,32,80.38
2014-01-10,33,81.42
2014-01-17,39,81.17
2014-01-24,35,77.81
2014-01-31,33,77.40
2014-02-07,31,78.80
2014-02-14,32,81.32
2014-02-21,34,81.74
2014-02-28,30,83.04
2014-03-07,29,82.51
2014-03-14,32,79.02
2014-03-21,33,79.71
2014-03-28,36,80.69
2014-04-04,27,80.75
2014-04-11,32,77.58
2014-04-18,29,
2014-04-25,35,85.23
2014-05-02,33,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
