Date,NDAQ,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,9.10
2004-02-13,0,9.15
2004-02-20,0,9.05
2004-02-27,0,8.92
2004-03-05,0,9.15
2004-03-12,0,9.00
2004-03-19,0,8.55
2004-03-26,0,8.56
2004-04-02,0,8.56
2004-04-09,0,
2004-04-16,0,7.70
2004-04-23,0,7.89
2004-04-30,0,7.50
2004-05-07,0,7.67
2004-05-14,0,7.25
2004-05-21,0,7.10
2004-05-28,0,7.25
2004-06-04,0,7.30
2004-06-11,0,
2004-06-18,0,6.91
2004-06-25,0,6.61
2004-07-02,0,6.35
2004-07-09,0,6.30
2004-07-16,0,6.41
2004-07-23,0,6.30
2004-07-30,0,6.30
2004-08-06,0,6.26
2004-08-13,0,5.90
2004-08-20,0,6.15
2004-08-27,0,6.08
2004-09-03,0,6.15
2004-09-10,0,6.07
2004-09-17,0,5.53
2004-09-24,0,5.90
2004-10-01,0,7.40
2004-10-08,0,7.65
2004-10-15,0,7.50
2004-10-22,0,6.55
2004-10-29,0,6.80
2004-11-05,0,6.90
2004-11-12,0,7.35
2004-11-19,0,7.65
2004-11-26,0,7.00
2004-12-03,0,6.90
2004-12-10,0,6.85
2004-12-17,0,9.10
2004-12-24,0,
2004-12-31,0,10.20
2005-01-07,0,9.12
2005-01-14,0,8.32
2005-01-21,0,8.45
2005-01-28,0,8.65
2005-02-04,0,9.61
2005-02-11,0,10.50
2005-02-18,0,10.03
2005-02-25,0,10.50
2005-03-04,0,10.70
2005-03-11,0,10.29
2005-03-18,0,11.36
2005-03-25,0,
2005-04-01,0,10.46
2005-04-08,0,10.89
2005-04-15,0,10.46
2005-04-22,0,13.43
2005-04-29,0,14.99
2005-05-06,0,15.88
2005-05-13,0,14.54
2005-05-20,0,16.14
2005-05-27,0,17.18
2005-06-03,0,17.98
2005-06-10,0,19.23
2005-06-17,0,18.46
2005-06-24,0,18.66
2005-07-01,0,19.30
2005-07-08,0,19.58
2005-07-15,0,21.15
2005-07-22,0,19.05
2005-07-29,0,22.65
2005-08-05,0,22.31
2005-08-12,0,23.33
2005-08-19,0,22.60
2005-08-26,0,23.01
2005-09-02,0,24.53
2005-09-09,0,25.02
2005-09-16,0,24.75
2005-09-23,0,25.00
2005-09-30,0,25.35
2005-10-07,0,28.00
2005-10-14,0,27.39
2005-10-21,0,29.09
2005-10-28,0,30.16
2005-11-04,0,33.74
2005-11-11,0,36.08
2005-11-18,0,39.00
2005-11-25,0,44.69
2005-12-02,77,42.28
2005-12-09,0,38.90
2005-12-16,0,36.82
2005-12-23,0,37.73
2005-12-30,0,35.18
2006-01-06,0,39.84
2006-01-13,0,39.01
2006-01-20,0,37.83
2006-01-27,0,43.55
2006-02-03,85,40.02
2006-02-10,0,40.21
2006-02-17,0,39.81
2006-02-24,0,41.04
2006-03-03,0,40.69
2006-03-10,0,43.56
2006-03-17,0,43.78
2006-03-24,0,40.56
2006-03-31,72,40.04
2006-04-07,77,41.15
2006-04-14,83,
2006-04-21,88,41.20
2006-04-28,0,37.42
2006-05-05,0,36.76
2006-05-12,0,36.07
2006-05-19,0,33.05
2006-05-26,0,31.91
2006-06-02,0,30.03
2006-06-09,0,27.41
2006-06-16,0,26.83
2006-06-23,0,27.13
2006-06-30,0,29.90
2006-07-07,0,28.13
2006-07-14,0,26.24
2006-07-21,0,27.01
2006-07-28,0,28.90
2006-08-04,0,26.92
2006-08-11,0,26.69
2006-08-18,0,29.46
2006-08-25,0,26.97
2006-09-01,0,28.33
2006-09-08,0,29.18
2006-09-15,0,29.33
2006-09-22,0,31.27
2006-09-29,0,30.24
2006-10-06,0,31.81
2006-10-13,0,34.97
2006-10-20,65,36.25
2006-10-27,76,36.72
2006-11-03,76,35.86
2006-11-10,77,37.79
2006-11-17,78,36.57
2006-11-24,78,40.63
2006-12-01,55,37.32
2006-12-08,80,36.70
2006-12-15,81,35.55
2006-12-22,82,31.81
2006-12-29,57,30.79
2007-01-05,57,33.10
2007-01-12,57,34.29
2007-01-19,61,34.57
2007-01-26,56,34.12
2007-02-02,46,33.54
2007-02-09,73,37.20
2007-02-16,100,32.32
2007-02-23,70,32.31
2007-03-02,54,28.25
2007-03-09,54,28.56
2007-03-16,59,27.81
2007-03-23,65,29.25
2007-03-30,58,29.41
2007-04-06,58,
2007-04-13,58,31.23
2007-04-20,60,32.14
2007-04-27,60,32.86
2007-05-04,61,32.78
2007-05-11,47,31.52
2007-05-18,47,31.36
2007-05-25,47,32.84
2007-06-01,48,33.21
2007-06-08,51,32.71
2007-06-15,55,31.61
2007-06-22,40,29.89
2007-06-29,40,29.71
2007-07-06,44,31.14
2007-07-13,48,31.50
2007-07-20,53,33.80
2007-07-27,54,31.18
2007-08-03,55,30.63
2007-08-10,56,31.83
2007-08-17,63,31.75
2007-08-24,65,31.41
2007-08-31,38,32.66
2007-09-07,42,32.60
2007-09-14,46,34.91
2007-09-21,57,35.60
2007-09-28,61,37.68
2007-10-05,66,40.50
2007-10-12,70,41.07
2007-10-19,34,40.00
2007-10-26,40,44.32
2007-11-02,37,46.81
2007-11-09,55,41.24
2007-11-16,44,41.94
2007-11-23,44,43.63
2007-11-30,35,43.36
2007-12-07,35,45.80
2007-12-14,35,46.75
2007-12-21,0,48.70
2007-12-28,0,49.12
2008-01-04,0,44.64
2008-01-11,0,46.10
2008-01-18,0,37.45
2008-01-25,30,42.98
2008-02-01,42,45.83
2008-02-08,30,40.77
2008-02-15,30,41.47
2008-02-22,33,40.40
2008-02-29,36,41.51
2008-03-07,40,37.79
2008-03-14,43,38.63
2008-03-21,32,
2008-03-28,32,38.79
2008-04-04,37,40.86
2008-04-11,28,38.15
2008-04-18,30,40.61
2008-04-25,32,36.85
2008-05-02,29,38.21
2008-05-09,27,38.31
2008-05-16,27,37.50
2008-05-23,27,33.62
2008-05-30,27,35.03
2008-06-06,27,32.46
2008-06-13,45,32.30
2008-06-20,31,30.31
2008-06-27,41,28.28
2008-07-04,30,
2008-07-11,42,24.33
2008-07-18,55,27.49
2008-07-25,35,28.84
2008-08-01,31,27.20
2008-08-08,38,33.73
2008-08-15,32,34.38
2008-08-22,29,31.88
2008-08-29,29,32.69
2008-09-05,29,32.22
2008-09-12,28,31.25
2008-09-19,46,38.80
2008-09-26,41,32.60
2008-10-03,41,31.42
2008-10-10,57,25.87
2008-10-17,32,30.99
2008-10-24,39,28.49
2008-10-31,39,32.46
2008-11-07,38,27.34
2008-11-14,45,21.90
2008-11-21,36,16.84
2008-11-28,31,21.50
2008-12-05,29,23.35
2008-12-12,29,24.67
2008-12-19,36,24.54
2008-12-26,25,23.28
2009-01-02,25,26.13
2009-01-09,25,22.00
2009-01-16,27,21.17
2009-01-23,29,21.98
2009-01-30,22,21.82
2009-02-06,31,24.90
2009-02-13,32,21.39
2009-02-20,31,20.70
2009-02-27,31,20.90
2009-03-06,32,19.29
2009-03-13,28,22.27
2009-03-20,39,21.10
2009-03-27,34,19.80
2009-04-03,24,21.31
2009-04-10,23,
2009-04-17,27,19.80
2009-04-24,32,19.10
2009-05-01,30,19.36
2009-05-08,30,20.38
2009-05-15,37,17.88
2009-05-22,31,19.39
2009-05-29,31,21.11
2009-06-05,31,22.00
2009-06-12,29,21.75
2009-06-19,28,21.17
2009-06-26,26,21.15
2009-07-03,21,
2009-07-10,29,18.92
2009-07-17,23,20.06
2009-07-24,23,20.34
2009-07-31,28,21.13
2009-08-07,32,22.87
2009-08-14,27,21.25
2009-08-21,29,20.84
2009-08-28,30,21.34
2009-09-04,20,20.82
2009-09-11,19,20.87
2009-09-18,29,22.62
2009-09-25,27,21.29
2009-10-02,43,19.75
2009-10-09,37,20.40
2009-10-16,50,19.71
2009-10-23,31,19.85
2009-10-30,23,18.06
2009-11-06,23,18.46
2009-11-13,19,18.92
2009-11-20,19,18.97
2009-11-27,22,18.78
2009-12-04,23,20.02
2009-12-11,18,19.66
2009-12-18,19,20.00
2009-12-25,19,
2010-01-01,20,
2010-01-08,21,20.23
2010-01-15,22,20.16
2010-01-22,17,18.34
2010-01-29,21,17.99
2010-02-05,28,18.80
2010-02-12,20,18.29
2010-02-19,17,18.63
2010-02-26,17,18.63
2010-03-05,24,20.03
2010-03-12,32,20.30
2010-03-19,34,21.03
2010-03-26,28,21.05
2010-04-02,19,
2010-04-09,19,21.91
2010-04-16,19,21.40
2010-04-23,22,22.68
2010-04-30,25,21.00
2010-05-07,28,19.12
2010-05-14,37,19.64
2010-05-21,23,18.77
2010-05-28,23,18.59
2010-06-04,20,18.43
2010-06-11,20,19.15
2010-06-18,25,19.17
2010-06-25,30,18.89
2010-07-02,42,17.30
2010-07-09,30,18.20
2010-07-16,24,17.61
2010-07-23,40,18.63
2010-07-30,28,19.47
2010-08-06,28,20.21
2010-08-13,28,19.94
2010-08-20,35,19.51
2010-08-27,38,18.54
2010-09-03,34,19.19
2010-09-10,34,18.96
2010-09-17,32,19.43
2010-09-24,40,20.17
2010-10-01,34,19.30
2010-10-08,32,19.88
2010-10-15,37,19.91
2010-10-22,41,20.66
2010-10-29,40,21.11
2010-11-05,22,22.20
2010-11-12,30,21.51
2010-11-19,28,21.96
2010-11-26,16,21.51
2010-12-03,16,22.63
2010-12-10,18,22.84
2010-12-17,20,23.50
2010-12-24,20,
2010-12-31,21,23.73
2011-01-07,21,23.38
2011-01-14,15,24.37
2011-01-21,13,24.30
2011-01-28,15,24.50
2011-02-04,17,26.56
2011-02-11,19,28.12
2011-02-18,12,29.09
2011-02-25,12,28.41
2011-03-04,14,28.02
2011-03-11,16,27.19
2011-03-18,13,24.79
2011-03-25,13,25.30
2011-04-01,23,28.23
2011-04-08,18,28.45
2011-04-15,18,28.21
2011-04-22,13,
2011-04-29,16,27.12
2011-05-06,12,26.59
2011-05-13,12,26.91
2011-05-20,22,25.50
2011-05-27,0,25.37
2011-06-03,0,24.13
2011-06-10,0,23.80
2011-06-17,0,23.77
2011-06-24,0,23.39
2011-07-01,17,26.12
2011-07-08,16,25.37
2011-07-15,14,23.69
2011-07-22,17,24.20
2011-07-29,17,24.07
2011-08-05,18,22.79
2011-08-12,18,22.97
2011-08-19,14,21.20
2011-08-26,14,22.73
2011-09-02,0,22.56
2011-09-09,0,22.26
2011-09-16,0,25.27
2011-09-23,0,24.39
2011-09-30,0,23.14
2011-10-07,14,24.11
2011-10-14,0,25.46
2011-10-21,0,25.11
2011-10-28,0,25.69
2011-11-04,0,25.30
2011-11-11,0,26.51
2011-11-18,0,25.67
2011-11-25,0,24.55
2011-12-02,0,25.90
2011-12-09,0,25.52
2011-12-16,0,24.03
2011-12-23,0,24.69
2011-12-30,0,24.51
2012-01-06,0,24.43
2012-01-13,0,24.80
2012-01-20,0,25.34
2012-01-27,0,25.99
2012-02-03,0,25.07
2012-02-10,0,26.00
2012-02-17,11,26.81
2012-02-24,0,26.69
2012-03-02,0,26.11
2012-03-09,0,26.13
2012-03-16,0,26.61
2012-03-23,0,26.64
2012-03-30,0,25.90
2012-04-06,0,
2012-04-13,0,24.57
2012-04-20,0,25.04
2012-04-27,0,25.14
2012-05-04,0,23.67
2012-05-11,0,23.36
2012-05-18,0,21.99
2012-05-25,17,22.06
2012-06-01,13,21.38
2012-06-08,12,22.12
2012-06-15,9,21.48
2012-06-22,9,21.77
2012-06-29,14,22.67
2012-07-06,0,22.22
2012-07-13,0,22.56
2012-07-20,0,22.37
2012-07-27,0,23.25
2012-08-03,0,22.96
2012-08-10,0,23.36
2012-08-17,0,23.59
2012-08-24,0,22.77
2012-08-31,0,22.87
2012-09-07,0,23.73
2012-09-14,0,24.47
2012-09-21,0,23.79
2012-09-28,0,23.29
2012-10-05,0,23.59
2012-10-12,0,23.26
2012-10-19,0,24.27
2012-10-26,0,23.77
2012-11-02,0,24.02
2012-11-09,0,23.59
2012-11-16,0,22.95
2012-11-23,0,23.78
2012-11-30,0,24.23
2012-12-07,0,23.71
2012-12-14,8,24.20
2012-12-21,14,25.49
2012-12-28,12,24.89
2013-01-04,12,26.48
2013-01-11,0,26.58
2013-01-18,0,27.13
2013-01-25,0,27.70
2013-02-01,0,28.64
2013-02-08,0,29.47
2013-02-15,12,31.07
2013-02-22,11,31.36
2013-03-01,10,31.58
2013-03-08,10,32.03
2013-03-15,7,32.57
2013-03-22,8,32.36
2013-03-29,9,
2013-04-05,11,28.76
2013-04-12,11,29.18
2013-04-19,0,27.97
2013-04-26,0,28.91
2013-05-03,0,30.46
2013-05-10,0,30.50
2013-05-17,0,31.26
2013-05-24,0,30.72
2013-05-31,0,31.46
2013-06-07,0,32.88
2013-06-14,0,32.60
2013-06-21,0,32.57
2013-06-28,0,32.79
2013-07-05,0,33.30
2013-07-12,9,34.30
2013-07-19,0,33.89
2013-07-26,0,32.92
2013-08-02,0,32.98
2013-08-09,0,31.91
2013-08-16,0,30.79
2013-08-23,23,30.83
2013-08-30,10,29.86
2013-09-06,7,30.51
2013-09-13,0,31.25
2013-09-20,0,32.08
2013-09-27,0,32.20
2013-10-04,0,32.90
2013-10-11,0,33.17
2013-10-18,0,34.15
2013-10-25,8,35.70
2013-11-01,8,35.30
2013-11-08,8,35.93
2013-11-15,8,37.08
2013-11-22,8,39.61
2013-11-29,8,39.29
2013-12-06,9,38.88
2013-12-13,10,38.55
2013-12-20,8,39.96
2013-12-27,8,39.92
2014-01-03,8,39.78
2014-01-10,8,39.92
2014-01-17,8,39.72
2014-01-24,9,37.60
2014-01-31,0,38.15
2014-02-07,0,37.54
2014-02-14,0,38.72
2014-02-21,0,38.93
2014-02-28,0,38.39
2014-03-07,9,40.79
2014-03-14,10,39.33
2014-03-21,11,37.54
2014-03-28,8,36.72
2014-04-04,8,36.30
2014-04-11,8,34.77
2014-04-18,10,
2014-04-25,0,36.05
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
