Date,buy COST,Price
2004-01-09,67,
2004-01-16,64,
2004-01-23,63,
2004-01-30,63,
2004-02-06,46,38.14
2004-02-13,58,37.61
2004-02-20,55,38.18
2004-02-27,47,38.86
2004-03-05,76,38.15
2004-03-12,37,38.30
2004-03-19,62,37.23
2004-03-26,45,36.62
2004-04-02,54,37.70
2004-04-09,60,
2004-04-16,72,38.08
2004-04-23,66,38.54
2004-04-30,63,37.50
2004-05-07,60,35.66
2004-05-14,66,35.85
2004-05-21,52,36.54
2004-05-28,58,37.90
2004-06-04,49,39.05
2004-06-11,44,
2004-06-18,45,42.02
2004-06-25,47,41.82
2004-07-02,60,40.68
2004-07-09,53,40.20
2004-07-16,40,40.62
2004-07-23,57,40.67
2004-07-30,57,40.71
2004-08-06,45,39.74
2004-08-13,43,40.73
2004-08-20,51,42.40
2004-08-27,41,42.05
2004-09-03,38,40.60
2004-09-10,53,40.54
2004-09-17,48,41.26
2004-09-24,46,41.35
2004-10-01,61,42.29
2004-10-08,48,44.69
2004-10-15,47,45.60
2004-10-22,47,45.73
2004-10-29,45,47.94
2004-11-05,46,49.55
2004-11-12,52,49.12
2004-11-19,53,47.48
2004-11-26,40,49.64
2004-12-03,61,47.92
2004-12-10,52,47.52
2004-12-17,53,47.79
2004-12-24,53,
2004-12-31,50,48.41
2005-01-07,62,47.49
2005-01-14,46,48.27
2005-01-21,44,46.51
2005-01-28,41,47.29
2005-02-04,59,46.18
2005-02-11,58,46.44
2005-02-18,49,45.80
2005-02-25,56,46.57
2005-03-04,49,44.76
2005-03-11,48,44.94
2005-03-18,61,43.70
2005-03-25,52,
2005-04-01,51,43.79
2005-04-08,61,46.18
2005-04-15,55,44.86
2005-04-22,62,40.17
2005-04-29,64,40.63
2005-05-06,52,42.88
2005-05-13,61,42.04
2005-05-20,53,44.96
2005-05-27,53,45.30
2005-06-03,51,46.12
2005-06-10,60,45.81
2005-06-17,42,46.59
2005-06-24,38,44.92
2005-07-01,45,44.93
2005-07-08,52,45.55
2005-07-15,43,46.45
2005-07-22,48,45.95
2005-07-29,47,45.97
2005-08-05,48,43.67
2005-08-12,44,42.82
2005-08-19,44,44.26
2005-08-26,34,43.12
2005-09-02,57,43.16
2005-09-09,47,43.04
2005-09-16,54,43.19
2005-09-23,46,42.82
2005-09-30,57,43.09
2005-10-07,47,45.64
2005-10-14,50,46.46
2005-10-21,54,47.76
2005-10-28,53,47.34
2005-11-04,51,49.08
2005-11-11,50,50.14
2005-11-18,54,49.81
2005-11-25,52,50.58
2005-12-02,55,49.34
2005-12-09,62,48.55
2005-12-16,49,48.75
2005-12-23,46,49.98
2005-12-30,40,49.47
2006-01-06,45,49.85
2006-01-13,47,51.00
2006-01-20,40,49.69
2006-01-27,51,50.05
2006-02-03,50,49.45
2006-02-10,47,49.74
2006-02-17,48,50.98
2006-02-24,43,50.69
2006-03-03,43,53.52
2006-03-10,43,53.97
2006-03-17,52,55.88
2006-03-24,50,54.64
2006-03-31,48,54.16
2006-04-07,44,55.70
2006-04-14,49,
2006-04-21,48,53.97
2006-04-28,53,54.43
2006-05-05,49,56.70
2006-05-12,52,55.23
2006-05-19,46,54.20
2006-05-26,54,54.43
2006-06-02,46,53.45
2006-06-09,52,53.04
2006-06-16,45,53.75
2006-06-23,38,55.50
2006-06-30,41,57.13
2006-07-07,39,56.16
2006-07-14,31,53.52
2006-07-21,51,52.56
2006-07-28,47,51.87
2006-08-04,44,51.78
2006-08-11,39,50.75
2006-08-18,50,52.55
2006-08-25,44,48.59
2006-09-01,44,47.35
2006-09-08,44,48.07
2006-09-15,40,49.82
2006-09-22,39,49.89
2006-09-29,51,49.68
2006-10-06,46,49.48
2006-10-13,42,53.20
2006-10-20,49,51.69
2006-10-27,39,53.01
2006-11-03,44,51.82
2006-11-10,41,52.90
2006-11-17,54,53.40
2006-11-24,47,53.51
2006-12-01,60,52.20
2006-12-08,45,53.69
2006-12-15,47,53.73
2006-12-22,46,52.20
2006-12-29,40,52.87
2007-01-05,46,53.41
2007-01-12,46,55.95
2007-01-19,40,56.77
2007-01-26,50,55.36
2007-02-02,50,56.01
2007-02-09,45,55.98
2007-02-16,42,57.80
2007-02-23,48,57.47
2007-03-02,43,55.75
2007-03-09,48,54.34
2007-03-16,40,52.98
2007-03-23,43,54.56
2007-03-30,48,53.84
2007-04-06,48,
2007-04-13,45,54.16
2007-04-20,44,55.12
2007-04-27,47,54.46
2007-05-04,51,53.79
2007-05-11,49,54.97
2007-05-18,55,56.41
2007-05-25,46,56.40
2007-06-01,49,56.29
2007-06-08,49,56.01
2007-06-15,53,56.09
2007-06-22,54,57.17
2007-06-29,54,58.52
2007-07-06,55,61.44
2007-07-13,52,62.98
2007-07-20,47,61.25
2007-07-27,54,58.57
2007-08-03,49,60.49
2007-08-10,47,63.25
2007-08-17,51,58.37
2007-08-24,47,61.68
2007-08-31,45,61.75
2007-09-07,42,57.00
2007-09-14,45,59.96
2007-09-21,51,60.72
2007-09-28,43,61.37
2007-10-05,51,63.27
2007-10-12,49,68.00
2007-10-19,54,65.70
2007-10-26,50,65.53
2007-11-02,49,65.58
2007-11-09,51,65.29
2007-11-16,58,66.80
2007-11-23,59,66.97
2007-11-30,65,67.40
2007-12-07,67,71.83
2007-12-14,55,68.49
2007-12-21,49,70.08
2007-12-28,46,70.22
2008-01-04,58,65.65
2008-01-11,56,66.43
2008-01-18,57,64.53
2008-01-25,58,65.46
2008-02-01,49,67.79
2008-02-08,56,63.24
2008-02-15,61,63.92
2008-02-22,58,66.02
2008-02-29,59,61.92
2008-03-07,61,60.30
2008-03-14,51,60.86
2008-03-21,57,
2008-03-28,57,64.37
2008-04-04,56,66.45
2008-04-11,54,65.70
